阿谁买与猪肝食,a'shui'mai'yu'zhu'gan'shi
才华阜比仙,cai'hua'fu'bi'xian
彩鸾,cai'luan
彩明,cai'ming
蔡女,cai'nv
才人淑女,cai'ren'shu'nv
彩霞,cai'xia
蔡义江,cai'yi'jiang
彩云,cai'yun
彩云易散,cai'yun'yi'san
才自精明志自高,cai'zi'jing'ming'zhi'zi'gao
残杯冷炙有德色,can'bei'leng'zhi'you'de'se
惭愧当年石季伦,can'kui'dang'nian'shi'ji'lun
藏修,cang'xiu
藏焉修焉,cang'yan'xiu'yan
曹练亭为江宁织造,cao'lian'ting'wei'jiang'ning'zhi'zao
曹练亭织造之嗣君也,cao'lian'ting'zhi'zao'zhi'si'jun'ye
曹平生为诗大类如此,cao'ping'sheng'wei'shi'da'lei'ru'ci
草蛇灰线,cao'she'hui'xian
草堂集序,cao'tang'ji'xu
曹雪芹,cao'xue'qin
曹雪芹的作品,cao'xue'qin'de'zuo'pin
曹雪芹诗末云,cao'xue'qin'shi'mo'yun
曹子大笑称快哉,cao'zi'da'xiao'cheng'kuai'zai
曹子雪芹出所撰红楼梦一部,cao'zi'xue'qin'chu'suo'zhuan'hong'lou'meng'yi'bu
曾见苏公过马蹄,ceng'jian'su'gong'guo'ma'ti
曾为歌舞场,ceng'wei'ge'wu'chang
曾曰魏武之子孙,ceng'yue'wei'wu'zhi'zi'sun
插屏,cha'ping
钗黛判词,chai'dai'pan'ci
柴扉晚烟薄,chai'fei'wan'yan'bo
钗于奁内待时飞,chai'yu'lian'nei'dai'shi'fei
蟾光如有意,chan'guang'ru'you'yi
缠绵不尽之意,chan'mian'bu'jin'zhi'yi
蝉鸣荒径遥相唤,chan'ming'huang'jing'yao'xiang'huan
忏宿冤凤姐托村妪,chan'su'yuan'feng'jie'tuo'cun'yu
尝遍情缘滋味,chang'bian'qing'yuan'zi'wei
肠回故垄孤儿泣,chang'hui'gu'long'gu'er'qi
长槛曲栏随处有,chang'kan'qu'lan'sui'chu'you
昌明隆盛之邦,chang'ming'long'sheng'zhi'bang
昌明太平朝世,chang'ming'tai'ping'chao'shi
朝寒袭袂,chao'han'xi'mei
朝扣富儿门,chao'kou'fu'er'men
潮来可肯送郎来,chao'lai'ke'ken'song'lang'lai
朝晴暮雨自何因,chao'qing'mu'yu'zi'he'yin
潮去不能将妾去,chao'qu'bu'neng'jiang'qie'qu
潮去潮来日几回,chao'qu'chao'lai'ri'ji'hui
抄手游廊,chao'shou'you'lang
朝啼司,chao'ti'si
陈迹故事,chen'ji'gu'shi
陈抟举进士不第,chen'tuan'ju'jin'shi'bu'di
嗔顽童茗烟闹书房,chen'wan'tong'ming'yan'nao'shu'fang
陈元赟,chen'yuan'yun
趁着这奈何天,chen'zhe'zhe'nai'he'tian
程高本,cheng'gao'ben
程甲本,cheng'jia'ben
称奇道妙,cheng'qi'dao'miao
程伟元,cheng'wei'yuan
程乙本,cheng'yi'ben
痴公子杜撰芙蓉诔,chi'gong'zi'du'zhuan'fu'rong'lei
痴公子余痛触前情,chi'gong'zi'yu'tong'chu'qian'qing
赤栏杆外青云满,chi'lan'gan'wai'qing'yun'man
痴梦仙姑,chi'meng'xian'gu
痴迷的,chi'mi'de
痴男怨女,chi'nan'yuan'nv
痴女儿遗帕惹相思,chi'nv'er'yi'pa're'xiang'si
痴情尽处灰同冷,chi'qing'jin'chu'hui'tong'leng
痴情女情重愈斟情,chi'qing'nv'qing'zhong'yu'zhen'qing
痴情司,chi'qing'si
痴情子实意觅踪迹,chi'qing'zi'shi'yi'mi'zong'ji
池塘生春草,chi'tang'sheng'chun'cao
赤瑕宫,chi'xia'gong
痴心父母古来多,chi'xin'fu'mu'gu'lai'duo
痴丫头误拾绣春囊,chi'ya'tou'wu'shi'xiu'chun'nang
敕造宁国府,chi'zao'ning'guo'fu
酬报灌溉之德,chou'bao'guan'gai'zhi'de
出口神奇,chu'kou'shen'qi
出没花间兮,chu'mo'hua'jian'xi
锄药,chu'yao
传情入色,chuan'qing'ru'se
传神文笔足千秋,chuan'shen'wen'bi'zu'qian'qiu
穿堂,chuan'tang
垂花门,chui'hua'men
春风秋月总关情,chun'feng'qiu'yue'zong'guan'qing
春感司,chun'gan'si
春恨秋悲皆自惹,chun'hen'qiu'bei'jie'zi're
春困葳蕤拥绣衾,chun'kun'wei'rui'yong'xiu'qin
春龄画蔷痴及局外,chun'ling'hua'qiang'chi'ji'ju'wai
春流到夏,chun'liu'dao'xia
春柳堂诗稿,chun'liu'tang'shi'gao
春梅绽雪,chun'mei'zhan'xue
春梦随云散,chun'meng'sui'yun'san
春荣秋谢花折磨,chun'rong'qiu'xie'hua'zhe'mo
淳维,chun'wei
春燕,chun'yan
淳颖,chun'ying
唇绽樱颗兮,chun'zhan'ying'ke'xi
此反用其意,ci'fan'yong'qi'yi
此诗据考,ci'shi'ju'kao
此系身前身后事,ci'xi'shen'qian'shen'hou'shi
慈姨妈爱语慰痴颦,ci'yi'ma'ai'yu'wei'chi'pin
从此春光美满,cong'ci'chun'guang'mei'man
从今分两地,cong'jin'fen'liang'di
从来此地无花看,cong'lai'ci'di'wu'hua'kan
骢马使弹劾平安州,cong'ma'shi'tan'he'ping'an'zhou
聪明累,cong'ming'lei
丛昙含霜弄晚烟,cong'tan'han'shuang'nong'wan'yan
从未将儿女私情略萦心上,cong'wei'jiang'er'nv'si'qing'lue'ying'xin'shang
促膝话新诗,cu'xi'hua'xin'shi
翠愁芳草望中低,cui'chou'fang'cao'wang'zhong'di
翠叠青山晚照凉,cui'die'qing'shan'wan'zhao'liang
崔泓熙,cui'hong'xi
翠缕,cui'lv
翠墨,cui'mo
翠云,cui'yun
翠云道人,cui'yun'dao'ren
村姥姥是信口开合,cun'lao'lao'shi'xin'kou'kai'he
村老妪谎谈承色笑,cun'lao'yu'huang'tan'cheng'se'xiao
村落千家带远晖,cun'luo'qian'jia'dai'yuan'hui
皴染,cun'ran
错里错以错劝哥哥,cuo'li'cuo'yi'cuo'quan'ge'ge
错认猧儿唤玉狸,cuo'ren'wo'er'huan'yu'li
大观园,da'guan'yuan
大观园符水驱妖孽,da'guan'yuan'fu'shui'qu'yao'nie
大观园试才题对额,da'guan'yuan'shi'cai'ti'dui'e
大观园月夜感幽魂,da'guan'yuan'yue'ye'gan'you'hun
大荒山,da'huang'shan
大家今夜极绸缪,da'jia'jin'ye'ji'chou'mou
大警觉,da'jing'jue
褡裢,da'lian
大菩萨,da'pu'sa
大贤大忠,da'xian'da'zhong
大转身,da'zhuan'shen
呆霸王调情遭苦打,dai'ba'wang'tiao'qing'zao'ku'da
呆香菱情解石榴裙,dai'xiang'ling'qing'jie'shi'liu'qun
黛玉,dai'yu
待止而欲行,dai'zhi'er'yu'xing
担风袖月,dan'feng'xiu'yue
但见枝枝映流水,dan'jian'zhi'zhi'ying'liu'shui
单聘仁,dan'pin'ren
但行处,dan'xing'chu
但又常与清明寒食,dan'you'chang'yu'qing'ming'han'shi
当年笏满床,dang'nian'hu'man'chuang
当然快噻,dang'ran'kuai'sai
当时红楼中有某校书尤艳,dang'shi'hong'lou'zhong'you'mou'xiao'shu'you'yan
当时虎门数晨夕,dang'shi'hu'men'shu'chen'xi
当是香山广泉寺,dang'shi'xiang'shan'guang'quan'si
荡悠悠,dang'you'you
荡悠悠三更梦,dang'you'you'san'geng'meng
到底意难平,dao'di'yi'nan'ping
悼红轩,dao'hong'xuan
道路口如碑,dao'lu'kou'ru'bei
到头来,dao'tou'lai
到头来都是为他人作嫁衣裳,dao'tou'lai'dou'shi'wei'ta'ren'zuo'jia'yi'shang
到头谁似一盆兰,dao'tou'shui'si'yi'pen'lan
到头一梦,dao'tou'yi'meng
倒峡逆波,dao'xia'ni'bo
稻香村,dao'xiang'cun
稻香老农,dao'xiang'lao'nong
到眼风光春欲归,dao'yan'feng'guang'chun'yu'gui
得通灵幻境悟仙缘,de'tong'ling'huan'jing'wu'xian'yuan
得志便猖狂,de'zhi'bian'chang'kuang
登楼空忆酒徒非,deng'lou'kong'yi'jiu'tu'fei
邓之诚,deng'zhi'cheng
邸报,di'bao
滴翠亭,di'cui'ting
滴翠亭杨妃戏彩蝶,di'cui'ting'yang'fei'xi'cai'die
娣娣姨姨笑语和,di'di'yi'yi'xiao'yu'he
菂官,di'guan
地久天长香影连,di'jiu'tian'chang'xiang'ying'lian
荻芦夜雪,di'lu'ye'xue
地舆邦国,di'yu'bang'guo
低枝亚水翻秋月,di'zhi'ya'shui'fan'qiu'yue
点水根由,dian'shui'gen'you
点题处,dian'ti'chu
定教蛮素鬼排场,ding'jiao'man'su'gui'pai'chang
丁未八月,ding'wei'ba'yue
东风吹杏雨,dong'feng'chui'xing'yu
东风满地飘榆钱,dong'feng'man'di'piao'yu'qian
东海缺少白玉床,dong'hai'que'shao'bai'yu'chuang
都道是金玉良姻,dou'dao'shi'jin'yu'liang'yin
豆官,dou'guan
都来眼底复心头,dou'lai'yan'di'fu'xin'tou
陡起波澜,dou'qi'bo'lan
都云作者痴,dou'yun'zuo'zhe'chi
都知爱慕此生才,dou'zhi'ai'mu'ci'sheng'cai
都只为风月情浓,dou'zhi'wei'feng'yue'qing'nong
杜甫,du'fu
度恨菩提,du'hen'pu'ti
杜鹃啼时,du'juan'ti'shi
独卧青灯古佛旁,du'wo'qing'deng'gu'fo'pang
对楚王问,dui'chu'wang'wen
遁入空门,dun'ru'kong'men
多情公子空牵念,duo'qing'gong'zi'kong'qian'nian
多情再问藏修地,duo'qing'zai'wen'cang'xiu'di
蛾眉颦笑兮,e'mei'pin'xiao'xi
阿房宫,e'pang'gong
恩情山海债,en'qing'shan'hai'zhai
而百姓见我必起立,er'bai'xing'jian'wo'bi'qi'li
二回回末诗,er'hui'hui'mo'shi
儿命已入黄泉,er'ming'yi'ru'huang'quan
二木头,er'mu'tou
儿女闺房语笑私,er'nv'gui'fang'yu'xiao'si
二十年来辨是非,er'shi'nian'lai'bian'shi'fei
而雪芹何许人,er'xue'qin'he'xu'ren
凡例,fan'li
凡例诗,fan'li'shi
凡鸟偏从末世来,fan'niao'pian'cong'mo'shi'lai
反认他乡是故乡,fan'ren'ta'xiang'shi'gu'xiang
反算了卿卿性命,fan'suan'le'qing'qing'xing'ming
凡心已炽,fan'xin'yi'chi
繁中简笔,fan'zhong'jian'bi
访曹雪芹不值,fang'cao'xue'qin'bu'zhi
放春山,fang'chun'shan
访道求仙,fang'dao'qiu'xian
芳官,fang'guan
方离柳坞,fang'li'liu'wu
芳气笼人是酒香,fang'qi'long'ren'shi'jiu'xiang
放生池畔摘湖船,fang'sheng'chi'pan'zhai'hu'chuan
访之,fang'zhi
飞彩凝辉,fei'cai'ning'hui
翡翠,fei'cui
