侧颈点,ce'jing'dian
侧颈点空,ce'jing'dian'kong
侧开叉保持,ce'kai'cha'bao'chi
侧开叉取消,ce'kai'cha'qu'xiao
侧身不要勾勒身形,ce'shen'bu'yao'gou'le'shen'xing
侧腰不要上翘,ce'yao'bu'yao'shang'qiao
穿起计右侧,chuan'qi'ji'you'ce
穿起计左侧,chuan'qi'ji'zuo'ce
带袢长度随之减短,dai'pan'chang'du'sui'zhi'jian'duan
带袢下移,dai'pan'xia'yi
裆点,dang'dian
多面料,duo'mian'liao
胳膊抬不起来,ge'bo'tai'bu'qi'lai
荷叶边,he'ye'bian
横绺,heng'liu
后大腿,hou'da'tui
后袋唇下降,hou'dai'chun'xia'jiang
后裆不要勾进,hou'dang'bu'yao'gou'jin
后领领尖左右要做对称,hou'ling'ling'jian'zuo'you'yao'zuo'dui'chen
后片,hou'pian
后袖笼弧挖的有点深,hou'xiu'long'hu'wa'de'you'dian'shen
后袖窿线向外移,hou'xiu'long'xian'xiang'wai'yi
后腰低,hou'yao'di
后腰高,hou'yao'gao
后移,hou'yi
后育克做水平,hou'yu'ke'zuo'shui'ping
后育克做直,hou'yu'ke'zuo'zhi
肩宽加大,jian'kuan'jia'da
肩宽减小,jian'kuan'jian'xiao
肩斜,jian'xie
脚口要向上翘,jiao'kou'yao'xiang'shang'qiao
脚口做水平,jiao'kou'zuo'shui'ping
均匀,jun'yun
拉拽,la'zhuai
领翻折线要平顺,ling'fan'zhe'xian'yao'ping'shun
领要直,ling'yao'zhi
龙门宽,long'men'kuan
龙门窄,long'men'zhai
门襟不要外翻,men'jin'bu'yao'wai'fan
內长加长,nei'chang'jia'chang
内长减短,nei'chang'jian'duan
内腿不要起吊,nei'tui'bu'yao'qi'diao
内腿不要竖绺,nei'tui'bu'yao'shu'liu
内袖减短,nei'xiu'jian'duan
破缝取消,po'feng'qu'xiao
起浪,qi'lang
起浪大一点,qi'lang'da'yi'dian
起浪效果要均匀,qi'lang'xiao'guo'yao'jun'yun
前裆不要猫须,qian'dang'bu'yao'mao'xu
前裆两侧不要出包,qian'dang'liang'ce'bu'yao'chu'bao
前裆两侧空,qian'dang'liang'ce'kong
前裆直,qian'dang'zhi
前短后长,qian'duan'hou'chang
前后落差,qian'hou'luo'cha
前后落差保持,qian'hou'luo'cha'bao'chi
前片不要压胸,qian'pian'bu'yao'ya'xiong
前腰低,qian'yao'di
取消袖窿线,qu'xiao'xiu'long'xian
竖绺,shu'liu
太肥,tai'fei
抬胳膊时后背拉拽,tai'ge'bo'shi'hou'bei'la'zhuai
太瘦,tai'shou
臀围加大,tun'wei'jia'da
外裤长加长,wai'ku'chang'jia'chang
外裤长减短,wai'ku'chang'jian'duan
外袖加长,wai'xiu'jia'chang
下摆做水平,xia'bai'zuo'shui'ping
现在胳膊抬不起来,xian'zai'ge'bo'tai'bu'qi'lai
向上掰一点,xiang'shang'bai'yi'dian
小腹紧,xiao'fu'jin
效果,xiao'guo
斜绺,xie'liu
胸上不要出包,xiong'shang'bu'yao'chu'bao
袖臂破缝,xiu'bi'po'feng
袖长加长,xiu'chang'jia'chang
袖长减短,xiu'chang'jian'duan
袖根肥,xiu'gen'fei
袖子整体向上掰,xiu'zi'zheng'ti'xiang'shang'bai
腰带弧裁,yao'dai'hu'cai
腰口做水平,yao'kou'zuo'shui'ping
腰头做水平,yao'tou'zuo'shui'ping
腰做水平,yao'zuo'shui'ping
以侧面为准,yi'ce'mian'wei'zhun
以侧腰为准,yi'ce'yao'wei'zhun
以前中为准,yi'qian'zhong'wei'zhun
整体维度,zheng'ti'wei'du
左右袋唇高度做一致,zuo'you'dai'chun'gao'du'zuo'yi'zhi
