挨克,ai'ke
挨捋,ai'luo
哎吗呀,ai'ma'ya
挨排儿,ai'pai'er
爱谁谁,ai'shui'shui
哎呀吗呀,ai'ya'ma'ya
爱咋咋地,ai'za'za'di
叭叭,ba'ba
拔尖儿,ba'jian'er
拔犟眼子,ba'jiang'yan'zi
把你给惯的,ba'ni'gei'guan'de
扒瞎,ba'xia
掰扯,bai'che
败家,bai'jia
班儿对班儿,ban'er'dui'ban'er
半拉儿,ban'la'er
半拉可叽,ban'la'ke'ji
包屈,bao'qu
备不住,bei'bu'zhu
笨笨咔咔,ben'ben'ka'ka
奔儿了头,ben'er'le'tou
逼扯,bi'che
逼次,bi'ci
鼻嘎,bi'ga
别介,bie'jie
憋啦巴屈,bie'la'ba'qu
憋屈,bie'qu
不是物,bu'shi'wu
草爬子,cao'pa'zi
插屁,cha'pi
敞亮,chang'liang
吵吵,chao'chao
吵吵巴火,chao'chao'ba'huo
扯犊子,che'du'zi
吃咂,chi'za
抽巴,chou'ba
抽抽巴巴,chou'chou'ba'ba
臭棋篓子,chou'qi'lou'zi
杵子,chu'zi
吹胡子瞪眼,chui'hu'zi'deng'yan
呲溜,ci'liu
刺目糊,ci'mu'hu
刺挠,ci'nao
凑和,cou'he
窜稀,cuan'xi
寸劲儿,cun'jin'er
搭把手,da'ba'shou
打锛儿,da'ben'er
搭茬儿,da'cha'er
大扯,da'che
打出溜划,da'chu'liu'hua
打下手,da'xia'shou
呆呵的,dai'he'de
带劲,dai'jin
单崩儿,dan'beng'er
嘚嘚,de'de
得劲儿,de'jin'er
得了八嗖,de'liao'ba'sou
得瑟,de'se
电驴子,dian'lv'zi
掉链子,diao'lian'zi
东北银,dong'bei'yin
对撇子,dui'pie'zi
蹲坑,dun'keng
多暂,duo'zan
二的呵的,er'de'he'de
二虎吧唧,er'hu'ba'ji
二踢脚,er'ti'jiao
二五眼,er'wu'yan
二椅子,er'yi'zi
噶哈,ga'ha
嘎哈啦,ga'ha'la
嘎哈呀,ga'ha'ya
嘎拉,ga'la
干不愣,gan'bu'leng
干仗,gan'zhang
钢钢的,gang'gang'de
咯叽,ge'ji
各应人,ge'ying'ren
各应银,ge'ying'yin
滚犊子,gun'du'zi
哈喇子,ha'la'zi
还是不是个银,hai'shi'bu'shi'ge'yin
后脑勺子,hou'nao'shao'zi
虎了巴嚓,hu'le'ba'cha
虎了吧唧,hu'le'ba'ji
花里胡哨,hua'li'hu'shao
坏菜了,huai'cai'le
混儿画的,hun'er'hua'de
叽咯,ji'ge
饥荒,ji'huang
挤挤插插,ji'ji'cha'cha
激头白脸,ji'tou'bai'lian
激歪,ji'wai
假古,jia'gu
家伙事,jia'huo'shi
犟眼子,jiang'yan'zi
矫情,jiao'qing
劲劲儿,jing'jin'er
砢碜,ke'chen
可劲造,ke'jing'zao
可真有闹,ke'zhen'you'nao
吭吃瘪肚,keng'chi'bie'du
扣逼飕飕,kou'bi'sou'sou
抠搜,kou'sou
侩货,kuai'huo
拉倒,la'dao
老鼻子,lao'bi'zi
老侩,lao'kuai
老铁,lao'tie
冷不丁,leng'bu'ding
冷丁,leng'ding
立整,li'zheng
撂脸子,liao'lian'zi
溜须,liu'xu
马葫芦,ma'hu'lu
妈灵,ma'ling
麻溜,ma'liu
马路牙子,ma'lu'ya'zi
麻应人,ma'ying'ren
卖呆儿,mai'dai'er
埋汰,mai'tai
毛愣,mao'leng
没事找事,mei'shi'zhao'shi
磨叽,mo'ji
脑瓜门子,nao'gua'men'zi
闹死了,nao'si'le
闹听,nao'ting
蔫吧,nian'ba
鸟悄儿,niao'qiao'er
尿性,niao'xing
屁驴子,pi'lv'zi
婆婆丁,po'po'ding
七吃喀嚓,qi'chi'ka'cha
欠儿蹬,qian'er'deng
前趴子,qian'pa'zi
曲咕,qu'gu
撒么,sa'me
煞愣,sha'leng
啥事,sha'shi
晒脸,shai'lian
煽呼,shan'hu
山炮,shan'pao
晌午头子,shang'wu'tou'zi
水了巴嚓,shui'le'ba'cha
水了吧唧,shui'le'ba'ji
胎歪,tai'wai
铁子,tie'zi
捅漏子,tong'lou'zi
土包子,tu'bao'zi
土了卡,tu'le'ka
秃了扣子,tu'le'kou'zi
秃噜翻张,tu'lu'fan'zhang
突鲁反仗,tu'lu'fan'zhang
妥了,tuo'le
玩意,wan'yi
玩应,wan'ying
五吹六哨,wu'chui'liu'shao
稀罕,xi'han
细痒,xi'yang
下巴壳子,xia'ba'ke'zi
下水,xia'shui
显摆,xian'bai
小抠,xiao'kou
小脸子,xiao'lian'zi
消停,xiao'ting
邪乎,xie'hu
熊人,xiong'ren
悬乎,xuan'hu
血乎,xue'hu
牙碜,ya'chen
妖道,yao'dao
胰子,yi'zi
愚作,yu'zuo
咋整,za'zheng
咋整啊,za'zheng'a
咋整的,za'zheng'de
载歪,zai'wai
贼好,zei'hao
怎么整,zen'me'zheng
诈唬,zha'hu
沾包,zhan'bao
招人待见,zhao'ren'dai'jian
真卡拉,zhen'ka'la
整个浪,zheng'ge'lang
抓瞎,zhua'xia
转向,zhuan'xiang
作幺,zuo'yao
