阿布里内斯,a'bu'li'nei'si
阿德里安,a'de'li'an
阿德托昆博,a'de'tuo'kun'bo
阿尔德里奇,a'er'de'li'qi
阿弗拉罗,a'fu'la'luo
阿金萨,a'jin'sa
阿莱克斯,a'lai'ke'si
阿兰,a'lan
阿兰安德森,a'lan'an'de'sen
阿里扎,a'li'zha
阿隆,a'long
阿隆贝恩斯,a'long'bei'en'si
阿隆戈登,a'long'ge'deng
阿伦,a'lun
阿伦克拉布,a'lun'ke'la'bu
阿米奴,a'mi'nu
阿奇,a'qi
阿泰斯特,a'tai'si'te
阿西克,a'xi'ke
艾德戴维斯,ai'de'dai'wei'si
埃尔弗里德,ai'er'fu'li'de
艾尔霍福德,ai'er'huo'fu'de
艾尔杰弗森,ai'er'jie'fu'sen
埃尔南戈麦斯,ai'er'nan'ge'mai'si
埃弗里,ai'fu'li
埃克萨姆,ai'ke'sa'mu
埃里克,ai'li'ke
埃利斯,ai'li'si
埃文富尼耶,ai'wen'fu'ni'ye
埃文斯,ai'wen'si
埃文特纳,ai'wen'te'na
埃泽利,ai'ze'li
艾泽利,ai'ze'li
安德烈罗伯森,an'de'lie'luo'bo'sen
安德鲁哈里森,an'de'lu'ha'li'sen
安东尼,an'dong'ni
安东尼戴维斯,an'dong'ni'dai'wei'si
奥布莱恩特,ao'bu'lai'en'te
奥古斯汀,ao'gu'si'ting
奥卡福,ao'ka'fu
奥卡罗怀特,ao'ka'luo'huai'te
奥拉迪波,ao'la'di'bo
奥拉朱旺,ao'la'zhu'wang
奥兰多魔术,ao'lan'duo'mo'shu
奥利尼克,ao'li'ni'ke
奥尼尔,ao'ni'er
奥胖,ao'pang
奥托波特,ao'tuo'bo'te
巴比特,ba'bi'te
巴博萨,ba'bo'sa
巴迪,ba'di
巴迪希尔德,ba'di'xi'er'de
巴恩斯,ba'en'si
巴里亚,ba'li'ya
巴莫特,ba'mo'te
巴莫特王子,ba'mo'te'wang'zi
巴特勒,ba'te'le
巴图姆,ba'tu'mu
半兽人,ban'shou'ren
鲍比布朗,bao'bi'bu'lang
鲍德温,bao'de'wen
