暗示法,an'shi'fa
暗喻法,an'yu'fa
避重就轻,bi'zhong'jiu'qing
贬寓褒中,bian'yu'bao'zhong
拨雾见日,bo'wu'jian'ri
步步连环,bu'bu'lian'huan
不怀好意,bu'huai'hao'yi
不言而谏,bu'yan'er'jian
层层深入,ceng'ceng'shen'ru
趁虚而入,chen'xu'er'ru
乘疑可间,cheng'yi'ke'jian
出其不意,chu'qi'bu'yi
答非所问,da'fei'suo'wen
大三角外交,da'san'jiao'wai'jiao
大信不信,da'xin'bu'xin
待机反击,dai'ji'fan'ji
当仁不让,dang'ren'bu'rang
等距离外交,deng'ju'li'wai'jiao
地缘外交,di'yuan'wai'jiao
对比法,dui'bi'fa
恩间,en'jian
伐交,fa'jiao
反间,fan'jian
腹背夹击,fu'bei'jia'ji
歌间,ge'jian
观颜察心,guan'yan'cha'xin
归谬正误,gui'miu'zheng'wu
孩间,hai'jian
含蓄讽谏,han'xu'feng'jian
和亲外交,he'qin'wai'jiao
合纵抗强,he'zong'kang'qiang
画间,hua'jian
化险为夷,hua'xian'wei'yi
宦间,huan'jian
贿间,hui'jian
火烧后院,huo'shao'hou'yuan
假迷反问,jia'mi'fan'wen
嘉言懿语,jia'yan'yi'yu
借炭助火,jie'tan'zhu'huo
经济外交,jing'ji'wai'jiao
据典法,ju'dian'fa
爵间,jue'jian
离间,li'jian
利用矛盾法,li'yong'mao'dun'fa
连横攻弱,lian'heng'gong'ruo
两面外交,liang'mian'wai'jiao
矛戟之言法,mao'ji'zhi'yan'fa
美人除奸,mei'ren'chu'jian
明确概念法,ming'que'gai'nian'fa
内间,nei'jian
女间,nv'jian
抛砖引玉,pao'zhuan'yin'yu
譬喻法,pi'yu'fa
欺骗用诈,qi'pian'yong'zha
巧引援兵,qiao'yin'yuan'bing
巧用文字拆合法,qiao'yong'wen'zi'chai'he'fa
巧于迂回,qiao'yu'yu'hui
秦庭之哭,qin'ting'zhi'ku
曲直相生,qu'zhi'xiang'sheng
软硬兼施,ruan'ying'jian'shi
僧间,seng'jian
生间,sheng'jian
使不辱国,shi'bu'ru'guo
示害退敌,shi'hai'tui'di
十面埋伏法,shi'mian'mai'fu'fa
事莫秘于间,shi'mo'mi'yu'jian
书间,shu'jian
顺水推船,shun'shui'tui'chuan
死间,si'jian
同构意悖法,tong'gou'yi'bei'fa
投石问路,tou'shi'wen'lu
威间,wei'jian
委婉曲折,wei'wan'qu'zhe
文间,wen'jian
无所不用间,wu'suo'bu'yong'jian
晓以利害,xiao'yi'li'hai
虚拟假设,xu'ni'jia'she
言间,yan'jian
谣间,yao'jian
以牙还牙,yi'ya'huan'ya
以愚困智,yi'yu'kun'zhi
一语中的,yi'yu'zhong'di
因间,yin'jian
因人施言,yin'ren'shi'yan
引申法,yin'shen'fa
引申荒谬法,yin'shen'huang'miu'fa
用间外交,yong'jian'wai'jiao
诱敌就范,you'di'jiu'fan
诱间,you'jian
友间,you'jian
迂回侧击,yu'hui'ce'ji
欲进先退,yu'jin'xian'tui
远交近攻,yuan'jiao'jin'gong
折冲樽俎,zhe'chong'zun'zu
针锋相对,zhen'feng'xiang'dui
正中要害,zheng'zhong'yao'hai
智避锋芒,zhi'bi'feng'mang
指东说西,zhi'dong'shuo'xi
转义法,zhuan'yi'fa
纵横捭阖,zong'heng'bai'he
左开右阖,zuo'kai'you'he
