暗撑,an'cheng
暗管,an'guan
暗涵,an'han
暗间,an'jian
暗梁,an'liang
安评报告,an'ping'bao'gao
安全评价,an'quan'ping'jia
暗柱,an'zhu
暗柱配筋,an'zhu'pei'jin
暗柱图,an'zhu'tu
扒梁,ba'liang
拔气罩,ba'qi'zhao
拔磉,ba'sang
白炽灯,bai'chi'deng
白水泥,bai'shui'ni
板材,ban'cai
板底,ban'di
板底钢筋,ban'di'gang'jin
板顶,ban'ding
板顶钢筋,ban'ding'gang'jin
板厚,ban'hou
板筋,ban'jin
板面,ban'mian
板配筋,ban'pei'jin
板配筋图,ban'pei'jin'tu
半球形穹顶,ban'qiu'xing'qiong'ding
板式楼梯,ban'shi'lou'ti
板式散热器,ban'shi'san're'qi
板条吊顶,ban'tiao'diao'ding
板条抹灰,ban'tiao'mo'hui
板图,ban'tu
板岩,ban'yan
半硬质塑料,ban'ying'zhi'su'liao
半圆头螺钉,ban'yuan'tou'luo'ding
半圆形壁龛,ban'yuan'xing'bi'kan
半直接照明,ban'zhi'jie'zhao'ming
板柱结构,ban'zhu'jie'gou
绑扎,bang'za
薄壁杆系,bao'bi'gan'xi
薄壁钢管,bao'bi'gang'guan
饱和空气温度,bao'he'kong'qi'wen'du
饱和土,bao'he'tu
刨痕,bao'hen
保护层,bao'hu'ceng
保护防爆灯具,bao'hu'fang'bao'deng'ju
保护热箱法,bao'hu're'xiang'fa
刨花板,bao'hua'ban
包金属皮,bao'jin'shu'pi
报警阀,bao'jing'fa
报警蜂鸣器,bao'jing'feng'ming'qi
报警器,bao'jing'qi
抱框,bao'kuang
爆破器材,bao'po'qi'cai
报审章,bao'shen'zhang
抱头梁,bao'tou'liang
保温板,bao'wen'ban
保温材料,bao'wen'cai'liao
保温层,bao'wen'ceng
保温门,bao'wen'men
保险公估,bao'xian'gong'gu
保险系数,bao'xian'xi'shu
杯架,bei'jia
背景幕,bei'jing'mu
背景噪声,bei'jing'zao'sheng
北立面,bei'li'mian
背立面,bei'li'mian
背面,bei'mian
本构,ben'gou
本构关系,ben'gou'guan'xi
本构模型,ben'gou'mo'xing
苯磺酰氯,ben'huang'xian'lv
泵房,beng'fang
泵坑,beng'keng
泵送,beng'song
泵送费,beng'song'fei
壁板,bi'ban
壁橱,bi'chu
壁灯,bi'deng
壁灯架,bi'deng'jia
壁挂,bi'gua
闭合电器,bi'he'dian'qi
避雷,bi'lei
避雷带,bi'lei'dai
避雷器,bi'lei'qi
避雷系统,bi'lei'xi'tong
避雷针,bi'lei'zhen
比例尺,bi'li'chi
壁炉,bi'lu
闭门器,bi'men'qi
比热,bi're
笔算,bi'suan
避险权,bi'xian'quan
壁纸,bi'zhi
变标高,bian'biao'gao
变电所,bian'dian'suo
变风量系统,bian'feng'liang'xi'tong
扁钢,bian'gang
变更通知,bian'geng'tong'zhi
变光灯,bian'guang'deng
变截面,bian'jie'mian
边界条件,bian'jie'tiao'jian
边框,bian'kuang
边框梁,bian'kuang'liang
边框柱,bian'kuang'zhu
边梁,bian'liang
变流器,bian'liu'qi
变配电站,bian'pei'dian'zhan
变频器,bian'pin'qi
变速,bian'su
变形缝,bian'xing'feng
变形控制,bian'xing'kong'zhi
变压器,bian'ya'qi
变压器容量,bian'ya'qi'rong'liang
变压器室,bian'ya'qi'shi
变压器组,bian'ya'qi'zu
边缘构件,bian'yuan'gou'jian
边缘吻合,bian'yuan'wen'he
边缘效应,bian'yuan'xiao'ying
变赭,bian'zhe
编织线,bian'zhi'xian
编制依据,bian'zhi'yi'ju
边支座,bian'zhi'zuo
边柱,bian'zhu
标高,biao'gao
标号,biao'hao
标志照明系统,biao'zhi'zhao'ming'xi'tong
标准层,biao'zhun'ceng
标准层平面,biao'zhun'ceng'ping'mian
标准大样,biao'zhun'da'yang
标准冻深,biao'zhun'dong'shen
标准构件,biao'zhun'gou'jian
标准光源,biao'zhun'guang'yuan
标准截面,biao'zhun'jie'mian
标准设计,biao'zhun'she'ji
标准时,biao'zhun'shi
标准图,biao'zhun'tu
标准一览表,biao'zhun'yi'lan'biao
标准值,biao'zhun'zhi
标准组合,biao'zhun'zu'he
并联,bing'lian
并联电路,bing'lian'dian'lu
波动声学,bo'dong'sheng'xue
波段开关,bo'duan'kai'guan
搏缝版,bo'feng'ban
薄腹梁,bo'fu'liang
薄钢板,bo'gang'ban
博古架,bo'gu'jia
玻璃,bo'li
玻璃板,bo'li'ban
玻璃窗,bo'li'chuang
玻璃钢,bo'li'gang
玻璃胶,bo'li'jiao
玻璃马赛克,bo'li'ma'sai'ke
玻璃门,bo'li'men
玻璃幕墙,bo'li'mu'qiang
玻璃丝,bo'li'si
玻璃丝布,bo'li'si'bu
薄弱层,bo'ruo'ceng
波纹管,bo'wen'guan
波形瓦,bo'xing'wa
薄质涂料,bo'zhi'tu'liao
不安全,bu'an'quan
布层间梁,bu'ceng'jian'liang
补偿,bu'chang
补偿电路,bu'chang'dian'lu
补偿柜,bu'chang'gui
补偿器,bu'chang'qi
补偿收缩混凝土,bu'chang'shou'suo'hun'ning'tu
不等边角钢,bu'deng'bian'jiao'gang
不等肢角钢,bu'deng'zhi'jiao'gang
不对称平衡,bu'dui'chen'ping'heng
不封闭楼梯,bu'feng'bi'lou'ti
补间铺作,bu'jian'pu'zuo
不良导体,bu'liang'dao'ti
补强,bu'qiang
补强钢筋,bu'qiang'gang'jin
不燃结构,bu'ran'jie'gou
不上人屋面,bu'shang'ren'wu'mian
布线,bu'xian
布线管道,bu'xian'guan'dao
不锈钢,bu'xiu'gang
不锈钢板,bu'xiu'gang'ban
不锈钢管,bu'xiu'gang'guan
踩步金,cai'bu'jin
彩度,cai'du
采光均匀度,cai'guang'jun'yun'du
采光口,cai'guang'kou
采光系数,cai'guang'xi'shu
采光罩,cai'guang'zhao
材料分配存放,cai'liao'fen'pei'cun'fang
仓库搭建,cang'ku'da'jian
槽钢,cao'gang
槽口,cao'kou
槽升子,cao'sheng'zi
槽铁,cao'tie
操行可移动架,cao'xing'ke'yi'dong'jia
操作电源,cao'zuo'dian'yuan
测绘,ce'hui
侧击雷,ce'ji'lei
侧立面,ce'li'mian
测量吊杆,ce'liang'diao'gan
测量放线,ce'liang'fang'xian
侧面采光,ce'mian'cai'guang
侧面垂直度,ce'mian'chui'zhi'du
测试点,ce'shi'dian
测试卡子,ce'shi'ka'zi
侧视图,ce'shi'tu
侧天窗,ce'tian'chuang
侧向反射声,ce'xiang'fan'she'sheng
侧向照明,ce'xiang'zhao'ming
侧移,ce'yi
层高,ceng'gao
层高表,ceng'gao'biao
层间梁,ceng'jian'liang
层间位移比,ceng'jian'wei'yi'bi
层数,ceng'shu
层压材料,ceng'ya'cai'liao
插板,cha'ban
插接板,cha'jie'ban
插接管,cha'jie'guan
插筋,cha'jin
插口,cha'kou
插口接头,cha'kou'jie'tou
叉手,cha'shou
插头,cha'tou
插头板,cha'tou'ban
插图,cha'tu
插销,cha'xiao
叉柱造,cha'zhu'zao
插座,cha'zuo
拆建比,chai'jian'bi
拆模,chai'mo
拆模板,chai'mu'ban
拆图,chai'tu
颤动回声,chan'dong'hui'sheng
掺合料,chan'he'liao
缠柱造,chan'zhu'zao
场地类别,chang'di'lei'bie
场地面积,chang'di'mian'ji
场地土,chang'di'tu
长弧氙灯,chang'hu'xian'deng
长跨,chang'kua
长螺旋灌注桩,chang'luo'xuan'guan'zhu'zhuang
长期刚度,chang'qi'gang'du
场所感,chang'suo'gan
长细比,chang'xi'bi
场致发光,chang'zhi'fa'guang
场致发光灯,chang'zhi'fa'guang'deng
超长,chao'chang
超长结构,chao'chang'jie'gou
超高,chao'gao
超高频,chao'gao'pin
超筋,chao'jin
超筋超限,chao'jin'chao'xian
超筋梁,chao'jin'liang
超五类对双绞线,chao'wu'lei'dui'shuang'jiao'xian
超限,chao'xian
坼架子,che'jia'zi
车辆荷载,che'liang'he'zai
沉淀池,chen'dian'chi
沉降,chen'jiang
沉降差,chen'jiang'cha
沉降缝,chen'jiang'feng
沉头螺栓,chen'tou'luo'shuan
沉头螺丝,chen'tou'luo'si
沉头木螺栓,chen'tou'mu'luo'shuan
承插管,cheng'cha'guan
承插接头,cheng'cha'jie'tou
程控电源,cheng'kong'dian'yuan
程控器,cheng'kong'qi
程懋堃,cheng'mao'kun
承台,cheng'tai
承台梁,cheng'tai'liang
程序开关,cheng'xu'kai'guan
承载力,cheng'zai'li
承载龙骨,cheng'zai'long'gu
承重,cheng'zhong
承重隔墙,cheng'zhong'ge'qiang
承重结构,cheng'zhong'jie'gou
承重墙,cheng'zhong'qiang
承重墙结构,cheng'zhong'qiang'jie'gou
承重砖墙,cheng'zhong'zhuan'qiang
池壁,chi'bi
尺寸线,chi'cun'xian
持力层,chi'li'ceng
鸱尾,chi'wei
重复,chong'fu
重复接地,chong'fu'jie'di
冲击电流,chong'ji'dian'liu
虫胶,chong'jiao
充气结构,chong'qi'jie'gou
冲切,chong'qie
冲切破坏,chong'qie'po'huai
重檐,chong'yan
抽查射钉,chou'cha'she'ding
抽气泵,chou'qi'beng
抽气风扇,chou'qi'feng'shan
抽气机,chou'qi'ji
抽气通风,chou'qi'tong'feng
臭氧发生器,chou'yang'fa'sheng'qi
储藏室,chu'cang'shi
触点,chu'dian
触点压力,chu'dian'ya'li
出际,chu'ji
初凝,chu'ning
出平面,chu'ping'mian
出气口,chu'qi'kou
出入口,chu'ru'kou
初设,chu'she
除湿剂,chu'shi'ji
出水口,chu'shui'kou
出线盒,chu'xian'he
出线口,chu'xian'kou
除锈,chu'xiu
除油池,chu'you'chi
串并联,chuan'bing'lian
串并联电路,chuan'bing'lian'dian'lu
穿钉,chuan'ding
传感器,chuan'gan'qi
穿管,chuan'guan
穿孔板,chuan'kong'ban
串联,chuan'lian
串联电池组,chuan'lian'dian'chi'zu
串联电路,chuan'lian'dian'lu
串联线圈,chuan'lian'xian'quan
传热,chuan're
传送装置,chuan'song'zhuang'zhi
穿线工程,chuan'xian'gong'cheng
传质,chuan'zhi
椽子,chuan'zi
窗插销,chuang'cha'xiao
窗磁报警,chuang'ci'bao'jing
窗轨,chuang'gui
窗间墙,chuang'jian'qiang
窗井,chuang'jing
窗框,chuang'kuang
窗框墙,chuang'kuang'qiang
窗楣,chuang'mei
窗墙比,chuang'qiang'bi
窗锁,chuang'suo
垂带,chui'dai
垂带石,chui'dai'shi
垂台钩栏,chui'tai'gou'lan
锤印,chui'yin
垂直遮阳,chui'zhi'zhe'yang
纯受弯,chun'shou'wan
纯音,chun'yin
瓷管,ci'guan
瓷夹,ci'jia
瓷夹板,ci'jia'ban
瓷夹布线,ci'jia'bu'xian
次间,ci'jian
磁卡锁,ci'ka'suo
磁力开关,ci'li'kai'guan
磁力起重机,ci'li'qi'zhong'ji
磁石发电机,ci'shi'fa'dian'ji
磁性烟感器,ci'xing'yan'gan'qi
瓷砖,ci'zhuan
瓷砖胶,ci'zhuan'jiao
葱花券,cong'hua'quan
粗砂,cu'sha
粗制螺栓,cu'zhi'luo'shuan
存水弯,cun'shui'wan
错层,cuo'ceng
错层式车库,cuo'ceng'shi'che'ku
错列排管,cuo'lie'pai'guan
大板结构,da'ban'jie'gou
大板结构体系,da'ban'jie'gou'ti'xi
大比例详图,da'bi'li'xiang'tu
大便器,da'bian'qi
打底,da'di
大底盘,da'di'pan
大斗,da'dou
大额枋,da'e'fang
搭架子,da'jia'zi
搭建,da'jian
搭接,da'jie
搭接长度,da'jie'chang'du
大卡,da'ka
大理石,da'li'shi
大理石板,da'li'shi'ban
大理石板贴面,da'li'shi'ban'tie'mian
大理石拼花工艺,da'li'shi'pin'hua'gong'yi
大理石铺切,da'li'shi'pu'qie
大梁,da'liang
大面,da'mian
大幕,da'mu
大木作,da'mu'zuo
大偏拉,da'pian'la
大偏心,da'pian'xin
大偏心受压,da'pian'xin'shou'ya
大偏压,da'pian'ya
大平锹,da'ping'qiao
大堂,da'tang
大堂吧,da'tang'ba
大屋顶,da'wu'ding
大样,da'yang
大样图,da'yang'tu
大震,da'zhen
大震不屈服,da'zhen'bu'qu'fu
大震弹性,da'zhen'tan'xing
单步梁,dan'bu'liang
单材拱,dan'cai'gong
单槽,dan'cao
单层厂房,dan'ceng'chang'fang
单风道空调系统,dan'feng'dao'kong'tiao'xi'tong
单风道系统,dan'feng'dao'xi'tong
单栱,dan'gong
单勾阑,dan'gou'lan
单管热水供暖系统,dan'guan're'shui'gong'nuan'xi'tong
单管上行下给供暖系统,dan'guan'shang'xing'xia'gei'gong'nuan'xi'tong
单管卫生管道系统,dan'guan'wei'sheng'guan'dao'xi'tong
单管系统,dan'guan'xi'tong
单极开关,dan'ji'kai'guan
单孔插座,dan'kong'cha'zuo
单立杆,dan'li'gan
单面走廊式,dan'mian'zou'lang'shi
单人床,dan'ren'chuang
单扇窗,dan'shan'chuang
单扇门,dan'shan'men
但扇推拉门,dan'shan'tui'la'men
单身宿舍,dan'shen'su'she
单索幕墙,dan'suo'mu'qiang
单投开关,dan'tou'kai'guan
单位长度,dan'wei'chang'du
单位面积,dan'wei'mian'ji
弹线分格,dan'xian'fen'ge
单线图,dan'xian'tu
单向板,dan'xiang'ban
单相电动机,dan'xiang'dian'dong'ji
单向电路,dan'xiang'dian'lu
单向阀,dan'xiang'fa
单相负荷,dan'xiang'fu'he
单相系统,dan'xiang'xi'tong
单行道,dan'xing'dao
单一材料,dan'yi'cai'liao
单元板分配,dan'yuan'ban'fen'pei
单元板块,dan'yuan'ban'kuai
单元式幕墙,dan'yuan'shi'mu'qiang
单砖墙,dan'zhuan'qiang
