阿,a
阿冰,a'bing
阿剌罕,a'la'han
阿里海牙,a'li'hai'ya
阿凌,a'ling
阿鲁台,a'lu'tai
阿莫,a'mo
阿术,a'shu
阿滩尊者,a'tan'zun'zhe
阿雪,a'xue
暗渡陈仓,an'du'chen'cang
安吉尔,an'ji'er
安吉纳,an'ji'na
暗香拳,an'xiang'quan
按字诀,an'zi'jue
八八伏羲步,ba'ba'fu'xi'bu
八臂神弩,ba'bi'shen'nu
八柳回风术,ba'liu'hui'feng'shu
八门天关阵,ba'men'tian'guan'zhen
八思巴,ba'si'ba
霸王扛顶,ba'wang'kang'ding
百兵之变,bai'bing'zhi'bian
白不吃,bai'bu'chi
百尺竿头不动人,bai'chi'gan'tou'bu'dong'ren
百尺竿头须进步,bai'chi'gan'tou'xu'jin'bu
白凫,bai'fu
白鹤,bai'he
白朴,bai'pu
白三元,bai'san'yuan
白衣苍狗变浮云,bai'yi'cang'gou'bian'fu'yun
白云苍狗,bai'yun'cang'gou
白昼移形,bai'zhou'yi'xing
北斗七步,bei'dou'qi'bu
悲欢离合拳,bei'huan'li'he'quan
奔雷拳法,ben'lei'quan'fa
碧海惊涛掌,bi'hai'jing'tao'zhang
比剑道,bi'jian'dao
碧微箭,bi'wei'jian
碧云冉冉衡皋暮,bi'yun'ran'ran'heng'gao'mu
碧云冉冉自东来,bi'yun'ran'ran'zi'dong'lai
变铜成金,bian'tong'cheng'jin
冰冻三尺,bing'dong'san'chi
病鹤,bing'he
冰河玄功,bing'he'xuan'gong
冰龙吸髓大法,bing'long'xi'sui'da'fa
病天王,bing'tian'wang
般若锋,bo're'feng
伯颜,bo'yan
布袋煞,bu'dai'sha
不过是天地运行之一瞬,bu'guo'shi'tian'di'yun'xing'zhi'yi'shun
不过一介微残之躯,bu'guo'yi'jie'wei'can'zhi'qu
步履踉跄,bu'lv'liang'qiang
不是爱花即肯死,bu'shi'ai'hua'ji'ken'si
不为桀亡,bu'wei'jie'wang
不为尧存,bu'wei'yao'cun
不知转入此中来,bu'zhi'zhuan'ru'ci'zhong'lai
彩风,cai'feng
残红小筑,can'hong'xiao'zhu
参天狻猊,can'tian'suan'ni
仓颉造字,cang'jie'zao'zi
苍龙翻江腿,cang'long'fan'jiang'tui
插字诀,cha'zi'jue
拆字诀,chai'zi'jue
蝉剑,chan'jian
蝉蜕尘埃外,chan'tui'chen'ai'wai
缠字诀,chan'zi'jue
长恨春归,chang'hen'chun'gui
长恨春归无觅处,chang'hen'chun'gui'wu'mi'chu
常宁,chang'ning
常牛,chang'niu
常望海,chang'wang'hai
长烟落日孤城闭,chang'yan'luo'ri'gu'cheng'bi
掣电追风,che'dian'zhui'feng
陈鼎,chen'ding
陈抟高卧,chen'tuan'gao'wo
陈宜中,chen'yi'zhong
沉鱼式,chen'yu'shi
乘风蹈海,cheng'feng'dao'hai
池鹤,chi'he
赤精斩蛇,chi'jing'zhan'she
赤毛虎,chi'mao'hu
池羡鱼,chi'xian'yu
冲霄式,chong'xiao'shi
愁眼看露浓,chou'yan'kan'lu'nong
楚宫,chu'gong
楚婉,chu'wan
楚仙流,chu'xian'liu
楚羽,chu'yu
穿花蝶影手,chuan'hua'die'ying'shou
穿林式,chuan'lin'shi
穿心七式,chuan'xin'qi'shi
穿云纵,chuan'yun'zong
床弩,chuang'nu
春风拂槛露华浓,chun'feng'fu'kan'lu'hua'nong
春光懒困倚微风,chun'guang'lan'kun'yi'wei'feng
春秋直笔,chun'qiu'zhi'bi
春色三分,chun'se'san'fen
春水三分,chun'shui'san'fen
春水盈盈,chun'shui'ying'ying
纯阳卷,chun'yang'juan
慈悲广度佛母神功,ci'bei'guang'du'fo'mu'shen'gong
刺客境,ci'ke'jing
摧断山根,cui'duan'shan'gen
翠鸟,cui'niao
摧心断肠,cui'xin'duan'chang
大匠运斤,da'jiang'yun'jin
大金刚神力,da'jin'gang'shen'li
大逆诛心掌,da'ni'zhu'xin'zhang
大日如来印,da'ri'ru'lai'yin
大神境,da'shen'jing
大贤心经,da'xian'xin'jing
大雪山,da'xue'shan
大有剑,da'you'jian
大圆满心髓,da'yuan'man'xin'sui
大哉昆仑,da'zai'kun'lun
大直剑,da'zhi'jian
大自在天之舞,da'zi'zai'tian'zhi'wu
胆巴,dan'ba
丹顶鹤,dan'ding'he
担山赶海,dan'shan'gan'hai
弹字诀,dan'zi'jue
荡尽天下,dang'jin'tian'xia
滴水劲,di'shui'jin
帝王境,di'wang'jing
颠倒阴阳动昆仑,dian'dao'yin'yang'dong'kun'lun
点字诀,dian'zi'jue
蝶梦水云乡,die'meng'shui'yun'xiang
东海一尊,dong'hai'yi'zun
董亮,dong'liang
东鳞西爪功,dong'lin'xi'zhao'gong
洞天石扉,dong'tian'shi'fei
董文炳,dong'wen'bing
东岳镇齐,dong'yue'zhen'qi
毒罗刹,du'luo'cha
端木长歌,duan'mu'chang'ge
断雨残云无意趣,duan'yu'can'yun'wu'yi'qu
兑剑道,dui'jian'dao
恶华佗,e'hua'tuo
而可据者皆空,er'ke'ju'zhe'jie'kong
而可恃者唯我,er'ke'shi'zhe'wei'wo
二郎担山,er'lang'dan'shan
翻江手,fan'jiang'shou
饭来张口,fan'lai'zhang'kou
范文虎,fan'wen'hu
繁枝容易纷纷落,fan'zhi'rong'yi'fen'fen'luo
仿佛梦魂归帝所,fang'fu'meng'hun'gui'di'suo
方澜,fang'lan
飞鸿爪,fei'hong'zhao
焚天灭地,fen'tian'mie'di
分香剑术,fen'xiang'jian'shu
凤歌,feng'ge
风怜,feng'lian
风眠,feng'mian
凤抬头,feng'tai'tou
凤尾脚,feng'wei'jiao
风雪交加,feng'xue'jiao'jia
风摇影动,feng'yao'ying'dong
风云变色气塞空,feng'yun'bian'se'qi'sai'kong
封字诀,feng'zi'jue
否剑道,fou'jian'dao
复剑道,fu'jian'dao
弗雷德,fu'lei'de
芙蓉夜雨剑,fu'rong'ye'yu'jian
扶疏六绝,fu'shu'liu'jue
拂霜,fu'shuang
伏羲问卦,fu'xi'wen'gua
负心薄幸,fu'xin'bo'xing
拂字诀,fu'zi'jue
高情已逐晓云空,gao'qing'yi'zhu'xiao'yun'kong
割肉喂鹰,ge'rou'wei'ying
艮剑道,gen'jian'dao
弓弦劲,gong'xian'jin
公羊羽,gong'yang'yu
勾字诀,gou'zi'jue
孤神渺渺,gu'shen'miao'miao
古瑜珈神功,gu'yu'jia'shen'gong
卦中千秋,gua'zhong'qian'qiu
怪蟒翻身,guai'mang'fan'shen
关洛四杰,guan'luo'si'jie
管仲射钩,guan'zhong'she'gou
广成子倒踢丹炉,guang'cheng'zi'dao'ti'dan'lu
归藏剑,gui'cang'jian
鬼谷子发课,gui'gu'zi'fa'ke
鬼魂也难脱,gui'hun'ye'nan'tuo
龟息功,gui'xi'gong
国色天香,guo'se'tian'xiang
郭守敬,guo'shou'jing
哈里斯,ha'li'si
海底捞月,hai'di'lao'yue
海都,hai'du
寒城自菊花,han'cheng'zi'ju'hua
韩非结舌,han'fei'jie'she
函关化胡,han'guan'hua'hu
韩凝紫,han'ning'zi
撼山功,han'shan'gong
韩信点兵,han'xin'dian'bing
寒鸦穿林,han'ya'chuan'lin
寒鸦掠过乱云去,han'ya'lue'guo'luan'yun'qu
韩铮,han'zheng
浩然正气,hao'ran'zheng'qi
合蚩蛮,he'chi'man
何论什么善恶,he'lun'shen'me'shan'e
呵欠连天,he'qian'lian'tian
何嵩阳,he'song'yang
河图洛书未卜先知,he'tu'luo'shu'wei'bu'xian'zhi
河图洛书无一可据,he'tu'luo'shu'wu'yi'ke'ju
贺陀罗,he'tuo'luo
和谐自然,he'xie'zi'ran
黑虎,hei'hu
黑颈鹤,hei'jing'he
黑水滔滔,hei'shui'tao'tao
黑水一怪,hei'shui'yi'guai
黑水一派,hei'shui'yi'pai
黑鹰,hei'ying
横尽虚空,heng'jin'xu'kong
红豆不堪看,hong'dou'bu'kan'kan
弘悟大师,hong'wu'da'shi
洪照,hong'zhao
后土掩水,hou'tu'yan'shui
忽赤因,hu'chi'yin
胡老百,hu'lao'bai
胡老千,hu'lao'qian
胡老十,hu'lao'shi
胡老万,hu'lao'wan
胡老一,hu'lao'yi
葫芦寸劲,hu'lu'cun'jin
胡孙儿,hu'sun'er
花斑豹,hua'ban'bao
化工洗净千般巧,hua'gong'xi'jing'qian'ban'qiao
花镜圆,hua'jing'yuan
画龙点睛,hua'long'dian'jing
花慕容,hua'mu'rong
花清渊,hua'qing'yuan
花生,hua'sheng
花无媸,hua'wu'chi
花晓霜,hua'xiao'shuang
淮安王,huai'an'wang
幻尘身法,huan'chen'shen'fa
涣剑道,huan'jian'dao
换日式,huan'ri'shi
环字诀,huan'zi'jue
黄鹤,huang'he
黄河一夫,huang'he'yi'fu
黄老五,huang'lao'wu
黄师塔前江水东,huang'shi'ta'qian'jiang'shui'dong
黄四娘家花满蹊,huang'si'niang'jia'hua'man'xi
回回炮,hui'hui'pao
回回星学者,hui'hui'xing'xue'zhe
汇涓成河,hui'juan'cheng'he
会向瑶台月下逢,hui'xiang'yao'tai'yue'xia'feng
挥字诀,hui'zi'jue
昏天黑地,hun'tian'hei'di
浑天三弦剑,hun'tian'san'xian'jian
火流星,huo'liu'xing
活修罗,huo'xiu'luo
火真人,huo'zhen'ren
姬落红,ji'luo'hong
鸡犬升天,ji'quan'sheng'tian
寂兮寥兮,ji'xi'liao'xi
霁雨,ji'yu
贾似道,jia'si'dao
贾秀才,jia'xiu'cai
贾谊奋笔,jia'yi'fen'bi
剑及履及,jian'ji'lv'ji
渐离击筑,jian'li'ji'zhu
将来之事无人说得明白,jiang'lai'zhi'shi'wu'ren'shuo'de'ming'bai
将相境,jiang'xiang'jing
劫波卷,jie'bo'juan
皆是虚妄,jie'shi'xu'wang
捷苏,jie'su
借问汉宫谁得似,jie'wen'han'gong'shui'de'si
接舆狂歌,jie'yu'kuang'ge
截字诀,jie'zi'jue
金翠羽,jin'cui'yu
靳飞,jin'fei
金风弄菊,jin'feng'nong'ju
