八中,ba'zhong
白沙洲,bai'sha'zhou
百信八仓行,bai'xin'ba'cang'xing
变电站,bian'dian'zhan
变压器厂,bian'ya'qi'chang
滨江大厦,bin'jiang'da'sha
滨江医院,bin'jiang'yi'yuan
玻璃厂,bo'li'chang
财校,cai'xiao
草桥,cao'qiao
叉车厂,cha'che'chang
叉路口,cha'lu'kou
茶山坳镇,cha'shan'ao'zhen
茶山桥,cha'shan'qiao
柴埠门,chai'bu'men
常胜路,chang'sheng'lu
车江铜矿,che'jiang'tong'kuang
城建局,cheng'jian'ju
传染病院,chuan'ran'bing'yuan
船山公园,chuan'shan'gong'yuan
船山路,chuan'shan'lu
船山实验小学,chuan'shan'shi'yan'xiao'xue
船山英文学校,chuan'shan'ying'wen'xue'xiao
创伟市场,chuang'wei'shi'chang
大庆路,da'qing'lu
大塘湾,da'tang'wan
大湾塘,da'wan'tang
打线坪,da'xian'ping
呆鹰岭,dai'ying'ling
氮肥厂,dan'fei'chang
道路公司,dao'lu'gong'si
德泉大酒店,de'quan'da'jiu'dian
电厂,dian'chang
电力大厦,dian'li'da'sha
电筒厂,dian'tong'chang
电信局,dian'xin'ju
东风路,dong'feng'lu
东风南路,dong'feng'nan'lu
动力配件厂,dong'li'pei'jian'chang
东三角线,dong'san'jiao'xian
动物园,dong'wu'yuan
东阳渡,dong'yang'du
二七二厂,er'qi'er'chang
二水泥厂,er'shui'ni'chang
二塘,er'tang
房地局,fang'di'ju
纺织品站,fang'zhi'pin'zhan
分部,fen'bu
丰越大厦,feng'yue'da'sha
附二医院,fu'er'yi'yuan
附一西门,fu'yi'xi'men
附一医院,fu'yi'yi'yuan
钢管厂生活区,gang'guan'chang'sheng'huo'qu
公交总公司,gong'jiao'zong'gong'si
公铁大桥,gong'tie'da'qiao
供销大厦,gong'xiao'da'sha
古汉大道,gu'han'da'dao
广东路口,guang'dong'lu'kou
光明,guang'ming
光明立交桥,guang'ming'li'jiao'qiao
光明桥,guang'ming'qiao
海关,hai'guan
核六所,he'liu'suo
衡茶路口,heng'cha'lu'kou
衡化,heng'hua
衡南电影院,heng'nan'dian'ying'yuan
衡南人民医院,heng'nan'ren'min'yi'yuan
衡南县政府,heng'nan'xian'zheng'fu
衡西市场,heng'xi'shi'chang
衡阳宾馆,heng'yang'bin'guan
衡阳电大艺校,heng'yang'dian'da'yi'xiao
衡阳教育学院,heng'yang'jiao'yu'xue'yuan
衡阳日报,heng'yang'ri'bao
衡阳师范学院,heng'yang'shi'fan'xue'yuan
衡阳师院新址,heng'yang'shi'yuan'xin'zhi
衡州大市场,heng'zhou'da'shi'chang
洪塘村,hong'tang'cun
红湘路口,hong'xiang'lu'kou
红星菜园,hong'xing'cai'yuan
湖大分校,hu'da'fen'xiao
湖东,hu'dong
湖南环境生物学院,hu'nan'huan'jing'sheng'wu'xue'yuan
湖南重汽厂,hu'nan'zhong'qi'chang
花炮厂,hua'pao'chang
华强灯泡厂,hua'qiang'deng'pao'chang
华新开发区,hua'xin'kai'fa'qu
华新汽车站,hua'xin'qi'che'zhan
华源市场,hua'yuan'shi'chang
环城南路,huan'cheng'nan'lu
环境生物学院,huan'jing'sheng'wu'xue'yuan
黄茶岭,huang'cha'ling
火车东站,huo'che'dong'zhan
火车西站,huo'che'xi'zhan
火车站,huo'che'zhan
鸡窝山,ji'wo'shan
驾照考场,jia'zhao'kao'chang
建湘机械厂,jian'xiang'ji'xie'chang
江南药械厂,jiang'nan'yao'xie'chang
江雁机械厂,jiang'yan'ji'xie'chang
交警支队,jiao'jing'zhi'dui
解放大队,jie'fang'da'dui
解放路,jie'fang'lu
解放路口,jie'fang'lu'kou
结核病医院,jie'he'bing'yi'yuan
金果路口,jin'guo'lu'kou
金鹏超市,jin'peng'chao'shi
精神病医院,jing'shen'bing'yi'yuan
敬一室,jing'yi'shi
酒厂,jiu'chang
军分区,jun'fen'qu
空军部队,kong'jun'bu'dui
乐福大酒店,le'fu'da'jiu'dian
李坳,li'ao
理工学院,li'gong'xue'yuan
立新开发区,li'xin'kai'fa'qu
莲湖广场,lian'hu'guang'chang
莲湖路口,lian'hu'lu'kou
两路口,liang'lu'kou
粮站,liang'zhan
廖家湾,liao'jia'wan
烈士陵园,lie'shi'ling'yuan
酃湖,ling'hu
酃湖汽车站,ling'hu'qi'che'zhan
酃湖中学,ling'hu'zhong'xue
龙泉商城,long'quan'shang'cheng
陆家祖屋,lu'jia'zu'wu
铝制品厂,lv'zhi'pin'chang
玛钢件厂,ma'gang'jian'chang
煤气工程,mei'qi'gong'cheng
棉纺厂,mian'fang'chang
苗圃,miao'pu
明翰路,ming'han'lu
南方大厦,nan'fang'da'sha
南华大学,nan'hua'da'xue
南华附二医院,nan'hua'fu'er'yi'yuan
南华附一医院,nan'hua'fu'yi'yi'yuan
汽车西站,qi'che'xi'zhan
桥头花园,qiao'tou'hua'yuan
青少年宫,qing'shao'nian'gong
区路里,qu'lu'li
泉溪镇,quan'xi'zhen
人民银行,ren'min'yin'hang
日鑫建材市场,ri'xin'jian'cai'shi'chang
荣誉路口,rong'yu'lu'kou
三得利水果批发市场,san'de'li'shui'guo'pi'fa'shi'chang
三化,san'hua
三角线,san'jiao'xian
三塘,san'tang
上托,shang'tuo
设计院,she'ji'yuan
省测绘队,sheng'ce'hui'dui
生态公园,sheng'tai'gong'yuan
石坳,shi'ao
市二中,shi'er'zhong
市工商局,shi'gong'shang'ju
石鼓广场,shi'gu'guang'chang
石鼓书院,shi'gu'shu'yuan
市规划局,shi'gui'hua'ju
市机械局,shi'ji'xie'ju
市建行,shi'jian'hang
市交通局,shi'jiao'tong'ju
市六中,shi'liu'zhong
市民政局,shi'min'zheng'ju
市七中,shi'qi'zhong
市人大,shi'ren'da
市委,shi'wei
市委党校,shi'wei'dang'xiao
市物价局,shi'wu'jia'ju
市五中,shi'wu'zhong
实验中学,shi'yan'zhong'xue
石油大厦,shi'you'da'sha
市政府,shi'zheng'fu
市中医院,shi'zhong'yi'yuan
首峰小区,shou'feng'xiao'qu
首峰装饰市场,shou'feng'zhuang'shi'shi'chang
双江,shuang'jiang
水果批发市场,shui'guo'pi'fa'shi'chang
水泥厂,shui'ni'chang
四机总厂,si'ji'zong'chang
斯林村,si'lin'cun
司马塘,si'ma'tang
松木塘,song'mu'tang
锁厂,suo'chang
太平小区,tai'ping'xiao'qu
太阳广场,tai'yang'guang'chang
探矿厂南门,tan'kuang'chang'nan'men
糖果饼干厂,tang'guo'bing'gan'chang
天马宫,tian'ma'gong
天马山,tian'ma'shan
天马山立交桥,tian'ma'shan'li'jiao'qiao
天马山路,tian'ma'shan'lu
铁工校,tie'gong'xiao
铁路医院,tie'lu'yi'yuan
头塘,tou'tang
图书馆,tu'shu'guan
万户村,wan'hu'cun
万联证劵,wan'lian'zheng'juan
万联证券,wan'lian'zheng'quan
王家湾,wang'jia'wan
卫材厂,wei'cai'chang
武警支队,wu'jing'zhi'dui
五一桥,wu'yi'qiao
五一市场,wu'yi'shi'chang
西湖饭店,xi'hu'fan'dian
西湖公园,xi'hu'gong'yuan
西湖公园东门,xi'hu'gong'yuan'dong'men
西湖停车场,xi'hu'ting'che'chang
西园市场,xi'yuan'shi'chang
先锋路口,xian'feng'lu'kou
先锋码头,xian'feng'ma'tou
仙姬巷,xian'ji'xiang
仙姬巷口,xian'ji'xiang'kou
县招待所,xian'zhao'dai'suo
湘江五桥,xiang'jiang'wu'qiao
湘南学联,xiang'nan'xue'lian
消防支队,xiao'fang'zhi'dui
肖家山,xiao'jia'shan
小西门,xiao'xi'men
新大桥,xin'da'qiao
新大桥东,xin'da'qiao'dong
鑫泉宾馆,xin'quan'bin'guan
新西园,xin'xi'yuan
幸福村,xing'fu'cun
蓄电池厂,xu'dian'chi'chang
玄碧塘,xuan'bi'tang
旋宫宾馆,xuan'gong'bin'guan
烟草局,yan'cao'ju
雁城宾馆,yan'cheng'bin'guan
雁城路,yan'cheng'lu
雁东大厦,yan'dong'da'sha
雁峰公园,yan'feng'gong'yuan
雁峰景区,yan'feng'jing'qu
雁峰景区中心医院,yan'feng'jing'qu'zhong'xin'yi'yuan
雁峰区政府,yan'feng'qu'zheng'fu
雁栖湖,yan'qi'hu
演武坪,yan'wu'ping
杨家花园,yang'jia'hua'yuan
冶金,ye'jin
一纺机,yi'fang'ji
易赖街,yi'lai'jie
一六九医院,yi'liu'jiu'yi'yuan
一塘,yi'tang
医院,yi'yuan
一中,yi'zhong
樱花婚纱,ying'hua'hun'sha
邮电大楼,you'dian'da'lou
有线电视台,you'xian'dian'shi'tai
雨母山,yu'mu'shan
岳屏公园,yue'ping'gong'yuan
岳屏公园东门,yue'ping'gong'yuan'dong'men
岳屏公园南门,yue'ping'gong'yuan'nan'men
岳屏广场,yue'ping'guang'chang
云集镇,yun'ji'zhen
运输机械厂,yun'shu'ji'xie'chang
樟树,zhang'shu
蒸水风光带,zheng'shui'feng'guang'dai
蒸水桥,zheng'shui'qiao
蒸湘北路,zheng'xiang'bei'lu
蒸湘北路口,zheng'xiang'bei'lu'kou
蒸湘南路口,zheng'xiang'nan'lu'kou
蒸湘区政府,zheng'xiang'qu'zheng'fu
蒸湘消防大队,zheng'xiang'xiao'fang'da'dui
蒸阳南路,zheng'yang'nan'lu
蒸阳南路口,zheng'yang'nan'lu'kou
制药厂,zhi'yao'chang
中级法院,zhong'ji'fa'yuan
中山北路,zhong'shan'bei'lu
中山南路,zhong'shan'nan'lu
中西结合医院,zhong'xi'jie'he'yi'yuan
中心医院,zhong'xin'yi'yuan
中药厂,zhong'yao'chang
轴承厂,zhou'cheng'chang
周家坳,zhou'jia'ao
朱家堰,zhu'jia'yan
珠江桥,zhu'jiang'qiao
