阿达婆吠陀,a'da'po'fei'tuo
慈悲水忏法,ci'bei'shui'chan'fa
丛林集,cong'lin'ji
从容录,cong'rong'lu
大阿弥陀经,da'a'mi'tuo'jing
大爱道比丘尼经,da'ai'dao'bi'qiu'ni'jing
大安般守意经,da'an'ban'shou'yi'jing
大般涅槃经,da'ban'nie'pan'jing
大般若波罗蜜多经,da'ban'ruo'bo'luo'mi'duo'jing
大般若波罗蜜多经叙,da'ban'ruo'bo'luo'mi'duo'jing'xu
大宝积经,da'bao'ji'jing
大宝积经论,da'bao'ji'jing'lun
大悲空智金刚大教王仪轨经,da'bei'kong'zhi'jin'gang'da'jiao'wang'yi'gui'jing
大乘阿毗达磨集论,da'cheng'a'pi'da'mo'ji'lun
大乘阿毗达磨杂集论,da'cheng'a'pi'da'mo'za'ji'lun
大乘百法明门论,da'cheng'bai'fa'ming'men'lun
大乘宝要义论,da'cheng'bao'yao'yi'lun
大乘本生心地观经,da'cheng'ben'sheng'xin'di'guan'jing
大乘成业论,da'cheng'cheng'ye'lun
大乘稻秆经,da'cheng'dao'gan'jing
大乘二十二问,da'cheng'er'shi'er'wen
大乘法界无差别论,da'cheng'fa'jie'wu'cha'bie'lun
大乘法相研神章,da'cheng'fa'xiang'yan'shen'zhang
大乘法苑义林章,da'cheng'fa'yuan'yi'lin'zhang
大乘伽耶山顶经,da'cheng'ga'ye'shan'ding'jing
大乘集菩萨学论,da'cheng'ji'pu'sa'xue'lun
大乘经,da'cheng'jing
大乘理趣六波罗蜜多经,da'cheng'li'qu'liu'bo'luo'mi'duo'jing
大乘离文字普光明藏经,da'cheng'li'wen'zi'pu'guang'ming'cang'jing
大乘论,da'cheng'lun
大乘律,da'cheng'lv
大乘密严经,da'cheng'mi'yan'jing
大乘菩萨入道三种观,da'cheng'pu'sa'ru'dao'san'zhong'guan
大乘起信论,da'cheng'qi'xin'lun
大乘唯识论,da'cheng'wei'shi'lun
大乘五门十地实相论,da'cheng'wu'men'shi'di'shi'xiang'lun
大乘无生方便门,da'cheng'wu'sheng'fang'bian'men
大乘五蕴论,da'cheng'wu'yun'lun
大乘显识经,da'cheng'xian'shi'jing
大乘修心七义论释,da'cheng'xiu'xin'qi'yi'lun'shi
大乘玄论,da'cheng'xuan'lun
大乘要道密集,da'cheng'yao'dao'mi'ji
大乘义章,da'cheng'yi'zhang
大乘造像功德经,da'cheng'zao'xiang'gong'de'jing
大乘掌珍论,da'cheng'zhang'zhen'lun
大乘止观法门,da'cheng'zhi'guan'fa'men
大乘中观释论,da'cheng'zhong'guan'shi'lun
大乘庄严宝王经,da'cheng'zhuang'yan'bao'wang'jing
大乘庄严经论,da'cheng'zhuang'yan'jing'lun
大慈恩寺三藏法师传,da'ci'en'si'san'zang'fa'shi'chuan
大灯国师语录,da'deng'guo'shi'yu'lu
大法鼓经,da'fa'gu'jing
大梵天王问佛决疑经,da'fan'tian'wang'wen'fo'jue'yi'jing
大方等大集经,da'fang'deng'da'ji'jing
大方等大集日藏经,da'fang'deng'da'ji'ri'cang'jing
大方等大集月藏经,da'fang'deng'da'ji'yue'cang'jing
大方等无想经,da'fang'deng'wu'xiang'jing
大方广佛华严经,da'fang'guang'fo'hua'yan'jing
大方广佛华严经修慈分,da'fang'guang'fo'hua'yan'jing'xiu'ci'fen
大方广如来藏经,da'fang'guang'ru'lai'cang'jing
大幻化网导引法,da'huan'hua'wang'dao'yin'fa
大慧普觉禅师年谱,da'hui'pu'jue'chan'shi'nian'pu
大慧普觉禅师语录,da'hui'pu'jue'chan'shi'yu'lu
大鉴禅师小清规,da'jian'chan'shi'xiao'qing'gui
大觉禅师语录,da'jiao'chan'shi'yu'lu
大明高僧传,da'ming'gao'seng'chuan
大明仁孝皇后梦感佛说第一希有大功德经,da'ming'ren'xiao'huang'hou'meng'gan'fo'shuo'di'yi'xi'you'da'gong'de'jing
大明三藏法数,da'ming'san'zang'fa'shu
达磨多罗禅经,da'mo'duo'luo'chan'jing
大目干连冥间救母变文,da'mu'gan'lian'ming'jian'jiu'mu'bian'wen
大毗卢遮那成佛经疏,da'pi'lu'zhe'na'cheng'fo'jing'shu
大毗卢遮那经广大仪轨,da'pi'lu'zhe'na'jing'guang'da'yi'gui
大毗婆沙论,da'pi'po'sha'lun
大品般若经,da'pin'bo're'jing
大日本佛教全书,da'ri'ben'fo'jiao'quan'shu
大日本国法华经验记,da'ri'ben'guo'fa'hua'jing'yan'ji
大日经,da'ri'jing
大萨遮尼干子所说经,da'sa'zhe'ni'gan'zi'suo'shuo'jing
大事,da'shi
大史,da'shi
大树紧那罗王所问经,da'shu'jin'na'luo'wang'suo'wen'jing
大宋僧史略,da'song'seng'shi'lue
大唐内典录,da'tang'nei'dian'lu
大唐西域记,da'tang'xi'yu'ji
大唐西域求法高僧传,da'tang'xi'yu'qiu'fa'gao'seng'chuan
怛特罗,da'te'luo
怛特罗部集成,da'te'luo'bu'ji'cheng
大圆满龙钦心髓前行引导文,da'yuan'man'long'qin'xin'sui'qian'xing'yin'dao'wen
大圆满无上智广大心要,da'yuan'man'wu'shang'zhi'guang'da'xin'yao
大圆满心要总集,da'yuan'man'xin'yao'zong'ji
大圆满虚幻休息妙车疏,da'yuan'man'xu'huan'xiu'xi'miao'che'shu
大云轮请雨经,da'yun'lun'qing'yu'jing
大藏经,da'zang'jing
大藏经补编,da'zang'jing'bu'bian
大藏经纲目指要录,da'zang'jing'gang'mu'zhi'yao'lu
大藏经索引,da'zang'jing'suo'yin
大藏圣教法宝标目,da'zang'sheng'jiao'fa'bao'biao'mu
大藏一览集,da'zang'yi'lan'ji
大丈夫论,da'zhang'fu'lun
大昭庆律寺志,da'zhao'qing'lv'si'zhi
大正新修大藏经,da'zheng'xin'xiu'da'zang'jing
大智度论,da'zhi'du'lun
大中祥符法宝录,da'zhong'xiang'fu'fa'bao'lu
大周刊定众经目录,da'zhou'kan'ding'zhong'jing'mu'lu
大庄严论经,da'zhuang'yan'lun'jing
大宗地玄文本论,da'zong'di'xuan'wen'ben'lun
岛史,dao'shi
道余录,dao'yu'lu
登噶尔玛目录,deng'ga'er'ma'mu'lu
地藏菩萨本愿经,di'zang'pu'sa'ben'yuan'jing
地藏菩萨发心因缘十王经,di'zang'pu'sa'fa'xin'yin'yuan'shi'wang'jing
地藏十轮经,di'zang'shi'lun'jing
电脑佛典,dian'nao'fo'dian
滇释记,dian'shi'ji
丁氏佛学丛书,ding'shi'fo'xue'cong'shu
东方圣书,dong'fang'sheng'shu
东国高僧传,dong'guo'gao'seng'chuan
东国僧尼录,dong'guo'seng'ni'lu
东林十八高贤传,dong'lin'shi'ba'gao'xian'chuan
洞山悟本大师语录,dong'shan'wu'ben'da'shi'yu'lu
洞上祖宪录,dong'shang'zu'xian'lu
兜沙经,dou'sha'jing
端正的难陀,duan'zheng'de'nan'tuo
顿悟大乘正理决,dun'wu'da'cheng'zheng'li'jue
顿悟入道要门论,dun'wu'ru'dao'yao'men'lun
多罗那他佛教史,duo'luo'na'ta'fo'jiao'shi
二部僧授戒轨范,er'bu'seng'shou'jie'gui'fan
二谛义,er'di'yi
二教论,er'jiao'lun
二入四行论,er'ru'si'hang'lun
二十犍度,er'shi'jian'du
二隐谧禅师语录,er'yin'mi'chan'shi'yu'lu
二障义,er'zhang'yi
法藏和尚传,fa'cang'he'shang'chuan
法藏碎金录,fa'cang'sui'jin'lu
法华经安乐行义,fa'hua'jing'an'le'xing'yi
法华经论,fa'hua'jing'lun
法华三昧忏仪,fa'hua'san'mei'chan'yi
法华文句,fa'hua'wen'ju
法华文句记,fa'hua'wen'ju'ji
法华秀句,fa'hua'xiu'ju
法华玄义,fa'hua'xuan'yi
法华玄义释签,fa'hua'xuan'yi'shi'qian
法华传记,fa'hua'zhuan'ji
法集论,fa'ji'lun
法界安立图,fa'jie'an'li'tu
法界次第初门,fa'jie'ci'di'chu'men
法界观门,fa'jie'guan'men
法经,fa'jing
法句经,fa'ju'jing
法门名义集,fa'men'ming'yi'ji
发趣论,fa'qu'lun
法事赞,fa'shi'zan
法喜志,fa'xi'zhi
法相辞典,fa'xiang'ci'dian
法苑珠林,fa'yuan'zhu'lin
法蕴足论,fa'yun'zu'lun
发智论,fa'zhi'lun
法住记,fa'zhu'ji
梵经,fan'jing
梵书,fan'shu
梵网经,fan'wang'jing
梵学津梁,fan'xue'jin'liang
翻译名义大集,fan'yi'ming'yi'da'ji
翻译名义集,fan'yi'ming'yi'ji
梵语千字文,fan'yu'qian'zi'wen
梵语杂名,fan'yu'za'ming
方便心论,fang'bian'xin'lun
方等部,fang'deng'bu
方等三昧行法,fang'deng'san'mei'xing'fa
放光般若经,fang'guang'bo're'jing
方广大庄严经,fang'guang'da'zhuang'yan'jing
房山石经,fang'shan'shi'jing
吠檀多精髓,fei'tan'duo'jing'sui
吠陀,fei'tuo
吠陀圣义纲要,fei'tuo'sheng'yi'gang'yao
分别功德论,fen'bie'gong'de'lun
分别论,fen'bie'lun
汾阳无德禅师语录,fen'yang'wu'de'chan'shi'yu'lu
奉法要,feng'fa'yao
佛般泥洹经,fo'ban'ni'huan'jing
佛本行集经,fo'ben'hang'ji'jing
佛藏经,fo'cang'jing
佛垂般涅槃略说教诫经,fo'chui'ban'nie'pan'lue'shuo'jiao'jie'jing
佛地经,fo'di'jing
佛地经论,fo'di'jing'lun
佛典音义,fo'dian'yin'yi
佛顶尊胜陀罗尼经,fo'ding'zun'sheng'tuo'luo'ni'jing
佛法金汤,fo'fa'jin'tang
佛法金汤编,fo'fa'jin'tang'bian
佛华严入如来德智不思议境界经,fo'hua'yan'ru'ru'lai'de'zhi'bu'si'yi'jing'jie'jing
佛教大系,fo'jiao'da'xi
佛教活论,fo'jiao'huo'lun
佛教诠释学,fo'jiao'quan'shi'xue
佛教统一论,fo'jiao'tong'yi'lun
佛教文库,fo'jiao'wen'ku
佛教文献学,fo'jiao'wen'xian'xue
佛名经,fo'ming'jing
佛母大孔雀明王经,fo'mu'da'kong'que'ming'wang'jing
佛书编目,fo'shu'bian'mu
佛所行赞,fo'suo'hang'zan
佛心经,fo'xin'jing
佛性论,fo'xing'lun
佛制比丘六物图,fo'zhi'bi'qiu'liu'wu'tu
佛种姓种,fo'zhong'xing'zhong
佛祖历代通载,fo'zu'li'dai'tong'zai
佛祖统纪,fo'zu'tong'ji
佛祖正宗道影,fo'zu'zheng'zong'dao'ying
伏藏,fu'cang
付法藏因缘传,fu'fa'cang'yin'yuan'chuan
辅教编,fu'jiao'bian
扶桑禅林僧宝传,fu'sang'chan'lin'seng'bao'chuan
福州版大藏经,fu'zhou'ban'da'cang'jing
噶当宝册,ga'dang'bao'ce
改邪钞,gai'xie'chao
甘露味论,gan'lu'wei'lun
刚般若波罗蜜经论,gang'bo're'bo'luo'mi'jing'lun
高丽藏,gao'li'cang
高僧传,gao'seng'chuan
高僧法显传,gao'seng'fa'xian'chuan
高僧摘要,gao'seng'zhai'yao
高王观音经,gao'wang'guan'yin'jing
格萨尔王传,ge'sa'er'wang'chuan
葛藤语笺,ge'teng'yu'jian
根本说一切有部毗奈耶,gen'ben'shuo'yi'qie'you'bu'pi'nai'ye
古今禅藻集,gu'jin'chan'zao'ji
古今译经图纪,gu'jin'yi'jing'tu'ji
古清凉传,gu'qing'liang'chuan
古音王传,gu'yin'wang'chuan
古尊宿语录,gu'zun'su'yu'lu
灌顶经,guan'ding'jing
观佛三昧海经,guan'fo'san'mei'hai'jing
观普贤菩萨行法经,guan'pu'xian'pu'sa'xing'fa'jing
观世音菩萨普门品,guan'shi'yin'pu'sa'pu'men'pin
观世音菩萨授记经,guan'shi'yin'pu'sa'shou'ji'jing
观所缘缘论,guan'suo'yuan'yuan'lun
观无量寿经,guan'wu'liang'shou'jing
观心本尊钞,guan'xin'ben'zun'chao
观心觉梦钞,guan'xin'jue'meng'chao
观心论,guan'xin'lun
关中创立戒坛图经,guan'zhong'chuang'li'jie'tan'tu'jing
广弘明集,guang'hong'ming'ji
归元镜,gui'yuan'jing
国清百录,guo'qing'bai'lu
过去现在因果经,guo'qu'xian'zai'yin'guo'jing
国译一切经,guo'yi'yi'qie'jing
海潮音,hai'chao'yin
海东高僧传,hai'dong'gao'seng'chuan
憨山大师梦游全集,han'shan'da'shi'meng'you'quan'ji
汉魏两晋南北朝佛教史,han'wei'liang'jin'nan'bei'chao'fo'jiao'shi
弘明集,hong'ming'ji
红史,hong'shi
弘赞法华传,hong'zan'fa'hua'chuan
宏智正觉禅师广录,hong'zhi'zheng'jue'chan'shi'guang'lu
吽字义,hong'zi'yi
护法论,hu'fa'lun
护命放生轨仪法,hu'ming'fang'sheng'gui'yi'fa
华手经,hua'shou'jing
华严金师子章,hua'yan'jin'shi'zi'zhang
华严经合论,hua'yan'jing'he'lun
华严经疏钞,hua'yan'jing'shu'chao
华严经疏论纂要,hua'yan'jing'shu'lun'zuan'yao
华严经搜玄记,hua'yan'jing'sou'xuan'ji
华严经探玄记,hua'yan'jing'tan'xuan'ji
华严经问答,hua'yan'jing'wen'da
华严经旨归,hua'yan'jing'zhi'gui
华严经传记,hua'yan'jing'zhuan'ji
华严孔目章,hua'yan'kong'mu'zhang
华严五教章,hua'yan'wu'jiao'zhang
华严五教止观,hua'yan'wu'jiao'zhi'guan
华严五十要问答,hua'yan'wu'shi'yao'wen'da
华严玄谈,hua'yan'xuan'tan
华严一乘十玄门,hua'yan'yi'cheng'shi'xuan'men
华严游心法界记,hua'yan'you'xin'fa'jie'ji
华严游意,hua'yan'you'yi
华严圆融念佛,hua'yan'yuan'rong'nian'fo
黄檗清规,huang'bo'qing'gui
黄檗山断际禅师传心法要,huang'bo'shan'duan'ji'chan'shi'chuan'xin'fa'yao
黄檗无念禅师语录,huang'bo'wu'nian'chan'shi'yu'lu
黄龙慧南禅师语录,huang'long'hui'nan'chan'shi'yu'lu
慧超往五天竺国传,hui'chao'wang'wu'tian'zhu'guo'chuan
慧琳音义,hui'lin'yin'yi
回诤论,hui'zheng'lun
霍尔却穹,huo'er'que'qiong
继灯录,ji'deng'lu
集古今佛道论衡,ji'gu'jin'fo'dao'lun'heng
击节录,ji'jie'lu
集量论,ji'liang'lun
集沙门不应拜俗等事,ji'sha'men'bu'ying'bai'su'deng'shi
即身成佛义,ji'shen'cheng'fo'yi
集神州塔寺三宝感通录,ji'shen'zhou'ta'si'san'bao'gan'tong'lu
吉祥喜金刚集轮甘露泉,ji'xiang'xi'jin'gang'ji'lun'gan'lu'quan
集异门足论,ji'yi'men'zu'lun
集诸经礼忏仪,ji'zhu'jing'li'chan'yi
嘉泰普灯录,jia'tai'pu'deng'lu
家庭经,jia'ting'jing
嘉兴大藏经,jia'xing'da'zang'jing
建中靖国续灯录,jian'zhong'jing'guo'xu'deng'lu
江湖风月集,jiang'hu'feng'yue'ji
江南梵剎志,jiang'nan'fan'cha'zhi
教乘法数,jiao'cheng'fa'shu
教观纲宗,jiao'guan'gang'zong
角虎集,jiao'hu'ji
教诫律仪,jiao'jie'lv'yi
教时义,jiao'shi'yi
教外别传,jiao'wai'bie'zhuan
教行信证,jiao'xing'xin'zheng
教苑清规,jiao'yuan'qing'gui
介菴进禅师语录,jie'an'jin'chan'shi'yu'lu
戒本,jie'ben
界论,jie'lun
解迷显智成悲十明论,jie'mi'xian'zhi'cheng'bei'shi'ming'lun
戒杀放生文,jie'sha'fang'sheng'wen
解深密经,jie'shen'mi'jing
界身足论,jie'shen'zu'lun
解脱道论,jie'tuo'dao'lun
金藏,jin'cang
金刚般若波罗蜜经,jin'gang'bo're'bo'luo'mi'jing
金刚顶经一字顶轮王瑜伽一切时处念诵成佛仪轨,jin'gang'ding'jing'yi'zi'ding'lun'wang'yu'jia'yi'qie'shi'chu'nian'song'cheng'fo'yi'gui
金刚顶经瑜伽修习毗卢遮那三摩地法,jin'gang'ding'jing'yu'jia'xiu'xi'pi'lu'zhe'na'san'mo'di'fa
金刚顶一切如来真实摄大乘现证大教王经,jin'gang'ding'yi'qie'ru'lai'zhen'shi'she'da'cheng'xian'zheng'da'jiao'wang'jing
金刚顶瑜伽护摩仪轨,jin'gang'ding'yu'jia'hu'mo'yi'gui
金刚顶瑜伽略述三十七尊心要,jin'gang'ding'yu'jia'lue'shu'san'shi'qi'zun'xin'yao
金刚顶瑜伽三十七尊出生义,jin'gang'ding'yu'jia'san'shi'qi'zun'chu'sheng'yi
金刚顶瑜伽中略出念诵经,jin'gang'ding'yu'jia'zhong'lue'chu'nian'song'jing
金刚峰楼阁一切瑜伽瑜祇经,jin'gang'feng'lou'ge'yi'qie'yu'jia'yu'chi'jing
金刚錍,jin'gang'pi
金刚仙论,jin'gang'xian'lun
金刚针论,jin'gang'zhen'lun
金光明经,jin'guang'ming'jing
锦江禅灯,jin'jiang'chan'deng
金陵梵剎志,jin'ling'fan'cha'zhi
金陵清凉院文益禅师语录,jin'ling'qing'liang'yuan'wen'yi'chan'shi'yu'lu
金七十论,jin'qi'shi'lun
金字经,jin'zi'jing
经藏,jing'cang
景德传灯录,jing'de'chuan'deng'lu
经集,jing'ji
经录,jing'lu
经律异相,jing'lv'yi'xiang
净土慈悲集,jing'tu'ci'bei'ji
净土论,jing'tu'lun
净土群疑论,jing'tu'qun'yi'lun
净土圣贤录,jing'tu'sheng'xian'lu
净土十要,jing'tu'shi'yao
净土十疑论,jing'tu'shi'yi'lun
净土往生传,jing'tu'wang'sheng'chuan
净土五会念佛诵经观行仪,jing'tu'wu'hui'nian'fo'song'jing'guan'xing'yi
净土资粮全集,jing'tu'zi'liang'quan'ji
经王,jing'wang
净心诫观法,jing'xin'jie'guan'fa
景祐法宝录,jing'you'fa'bao'lu
净住子,jing'zhu'zi
救拔焰口饿鬼陀罗尼经,jiu'ba'yan'kou'e'gui'tuo'luo'ni'jing
九部经,jiu'bu'jing
九华山志,jiu'hua'shan'zhi
究竟一乘宝性论,jiu'jing'yi'cheng'bao'xing'lun
鸠摩罗什法师大义,jiu'mo'luo'shen'fa'shi'da'yi
九色鹿经,jiu'se'lu'jing
俱舍论,ju'she'lun
居士传,ju'shi'chuan
居士分灯录,ju'shi'fen'deng'lu
觉禅钞,jue'chan'chao
决定藏论,jue'ding'cang'lun
决定往生集,jue'ding'wang'sheng'ji
绝观论,jue'guan'lun
开宝大藏经,kai'bao'da'zang'jing
开经,kai'jing
开元释教录,kai'yuan'shi'jiao'lu
开元释教录略出,kai'yuan'shi'jiao'lu'lue'chu
孔雀明王经,kong'que'ming'wang'jing
枯崖和尚漫录,ku'ya'he'shang'man'lu
老子化胡经,lao'zi'hua'hu'jing
了菴和尚语录,le'an'he'shang'yu'lu
乐邦文类,le'bang'wen'lei
