阿达婆吠陀,a'da'po'fei'tuo
密宗道次第广论,mi'zong'dao'ci'di'guang'lun
密宗要决钞,mi'zong'yao'jue'chao
妙法莲华经,miao'fa'lian'hua'jing
妙好人传,miao'hao'ren'chuan
妙云集,miao'yun'ji
明板大藏经,ming'ban'da'zang'jing
冥报记,ming'bao'ji
鸣道集说,ming'dao'ji'shuo
明觉禅师语录,ming'jiao'chan'shi'yu'lu
名僧传,ming'seng'chuan
明行道六成就法,ming'xing'dao'liu'cheng'jiu'fa
末代念佛授手印,mo'dai'nian'fo'shou'shou'yin
摩登伽经,mo'deng'ga'jing
摩诃摩耶经,mo'he'mo'ye'jing
摩诃婆罗多,mo'he'po'luo'duo
摩诃僧祇律,mo'he'seng'chi'lv
摩诃止观,mo'he'zhi'guan
摩奴法典,mo'nu'fa'dian
牟子理惑论,mou'zi'li'huo'lun
那先比丘经,na'xian'bi'qiu'jing
南藏,nan'cang
南传大藏经,nan'chuan'da'zang'jing
南传七论,nan'chuan'qi'lun
南海寄归内法传,nan'hai'ji'gui'nei'fa'chuan
南宋元明禅林僧宝传,nan'song'yuan'ming'chan'lin'seng'bao'chuan
南岳单传记,nan'yue'dan'zhuan'ji
南岳思大禅师立誓愿文,nan'yue'si'da'chan'shi'li'shi'yuan'wen
内典,nei'dian
内典尘露章,nei'dian'chen'lu'zhang
内学年刊,nei'xue'nian'kan
内证佛法相承血脉谱,nei'zheng'fo'fa'xiang'cheng'xue'mai'pu
能显中边慧日论,neng'xian'zhong'bian'hui'ri'lun
念佛宝号,nian'fo'bao'hao
念佛镜,nian'fo'jing
念佛三昧宝王论,nian'fo'san'mei'bao'wang'lun
盘珪禅师语录,pan'gui'chan'shi'yu'lu
毗伽罗论,pi'ga'luo'lun
毗尼母经,pi'ni'mu'jing
品类足论,pin'lei'zu'lun
普慧大藏经,pu'hui'da'zang'jing
普宁藏,pu'ning'cang
普劝坐禅仪,pu'quan'zuo'chan'yi
菩萨本生鬘论,pu'sa'ben'sheng'man'lun
菩萨处胎经,pu'sa'chu'tai'jing
菩萨地持经,pu'sa'di'chi'jing
菩萨戒本,pu'sa'jie'ben
菩萨善戒经,pu'sa'shan'jie'jing
菩萨璎珞本业经,pu'sa'ying'luo'ben'ye'jing
菩提道次第传灯法师列传,pu'ti'dao'ci'di'chuan'deng'fa'shi'lie'zhuan
菩提道次第诀要,pu'ti'dao'ci'di'jue'yao
菩提道次第论,pu'ti'dao'ci'di'lun
菩提道灯论,pu'ti'dao'deng'lun
菩提心论,pu'ti'xin'lun
菩提行经,pu'ti'xing'jing
菩提资粮论,pu'ti'zi'liang'lun
普贤行愿品,pu'xian'xing'yuan'pin
七代记,qi'dai'ji
契丹藏,qi'dan'cang
七佛八菩萨所说大陀罗尼神咒经,qi'fo'ba'pu'sa'suo'shuo'da'tuo'luo'ni'shen'zhou'jing
七佛赞呗伽陀,qi'fo'zan'bai'ga'tuo
七俱胝独部法,qi'ju'zhi'du'bu'fa
七俱胝佛母所说准提陀罗尼经,qi'ju'zhi'fo'mu'suo'shuo'zhun'ti'tuo'luo'ni'jing
碛砂版大藏经,qi'sha'ban'da'cang'jing
起世经,qi'shi'jing
七十空性论,qi'shi'kong'xing'lun
七塔寺志,qi'ta'si'zhi
七系付法传,qi'xi'fu'fa'chuan
七曜星辰别行法,qi'yao'xing'chen'bie'xing'fa
千钵经,qian'bo'jing
千佛因缘经,qian'fo'yin'yuan'jing
黔南会灯录,qian'nan'hui'deng'lu
千手千眼大悲心咒行法,qian'shou'qian'yan'da'bei'xin'zhou'xing'fa
千松笔记,qian'song'bi'ji
请观世音消伏毒害陀罗尼经,qing'guan'shi'yin'xiao'fu'du'hai'tuo'luo'ni'jing
清净道论,qing'jing'dao'lun
青龙寺仪轨,qing'long'si'yi'gui
青史,qing'shi
请益录,qing'yi'lu
曲肱斋全集,qu'gong'zhai'quan'ji
劝发菩提心集,quan'fa'pu'ti'xin'ji
全哲学纲要,quan'zhe'xue'gang'yao
人本欲生经,ren'ben'yu'sheng'jing
人施设论,ren'shi'she'lun
人天宝鉴,ren'tian'bao'jian
人天眼目,ren'tian'yan'mu
仁王护国般若波罗蜜经,ren'wang'hu'guo'bo're'bo'luo'mi'jing
日本大藏经,ri'ben'da'zang'jing
日本高僧传要文抄,ri'ben'gao'seng'chuan'yao'wen'chao
日本往生极乐记,ri'ben'wang'sheng'ji'yue'ji
入阿毗达磨论,ru'a'pi'da'mo'lun
入大乘论,ru'da'cheng'lun
如幻三摩地无量印法门经,ru'huan'san'mo'di'wu'liang'yin'fa'men'jing
入就瑞白禅师语录,ru'jiu'rui'bai'chan'shi'yu'lu
入菩萨行论,ru'pu'sa'xing'lun
如实论,ru'shi'lun
如是语经,ru'shi'yu'jing
入唐求法巡礼行记,ru'tang'qiu'fa'xun'li'xing'ji
如意宝树史,ru'yi'bao'shu'shi
入中论,ru'zhong'lun
入众日用清规,ru'zhong'ri'yong'qing'gui
蕤耶经,rui'ye'jing
萨迦格言,sa'jia'ge'yan
三宝感通录,san'bao'gan'tong'lu
三宝感应要略录,san'bao'gan'ying'yao'lue'lu
三大部,san'da'bu
三大祕法禀承事,san'da'mi'fa'bing'cheng'shi
三法度论,san'fa'du'lun
三峰藏和尚语录,san'feng'cang'he'shang'yu'lu
三国佛法传通缘起,san'guo'fo'fa'chuan'tong'yuan'qi
三国遗事,san'guo'yi'shi
三教平心论,san'jiao'ping'xin'lun
三教指归,san'jiao'zhi'gui
三阶教研究,san'jie'jiao'yan'jiu
三界论,san'jie'lun
三经一论,san'jing'yi'lun
三经义疏,san'jing'yi'shu
三论,san'lun
三论玄义,san'lun'xuan'yi
三弥底部论,san'mi'di'bu'lun
三圣圆融观门,san'sheng'yuan'rong'guan'men
三十帖策子,san'shi'tie'ce'zi
三时系念仪范,san'shi'xi'nian'yi'fan
三坛传戒正范,san'tan'chuan'jie'zheng'fan
三无性论,san'wu'xing'lun
三缘山轮藏目录,san'yuan'shan'lun'cang'mu'lu
三藏,san'zang
三转法轮经,san'zhuan'fa'lun'jing
三自性论,san'zi'xing'lun
森林书,sen'lin'shu
僧传,seng'chuan
僧伽罗剎所集经,seng'ga'luo'cha'suo'ji'jing
沙门不敬王者论,sha'men'bu'jing'wang'zhe'lun
沙门果经,sha'men'guo'jing
沙摩吠陀,sha'mo'fei'tuo
删定四分僧戒本,shan'ding'si'fen'seng'jie'ben
删定止观,shan'ding'zhi'guan
山芳卡玛哈耶尼康,shan'fang'ka'ma'ha'ye'ni'kang
山家学生式,shan'jia'xue'sheng'shi
山家义苑,shan'jia'yi'yuan
善见律毗婆沙,shan'jian'lv'pi'po'sha
善女人传,shan'nv'ren'chuan
善书,shan'shu
上宫皇太子菩萨传,shang'gong'huang'tai'zi'pu'sa'chuan
上宫圣德法王帝说,shang'gong'sheng'de'fa'wang'di'shuo
尚直编,shang'zhi'bian
少室六门集,shao'shi'liu'men'ji
少室逸书,shao'shi'yi'shu
摄阿毗达磨义论,she'a'pi'da'mo'yi'lun
摄大乘论,she'da'cheng'lun
舍利弗阿毗昙论,she'li'fu'a'pi'tan'lun
舍利弗问经,she'li'fu'wen'jing
摄真实论,she'zhen'shi'lun
神僧传,shen'seng'chuan
神圣的生活,shen'sheng'de'sheng'huo
圣朝破邪集,sheng'chao'po'xie'ji
胜论,sheng'lun
胜鬘经,sheng'man'jing
生命的实现,sheng'ming'de'shi'xian
胜天王般若波罗蜜经,sheng'tian'wang'bo're'bo'luo'mi'jing
胜者时鬘,sheng'zhe'shi'man
声字实相义,sheng'zi'shi'xiang'yi
胜宗十句义论,sheng'zong'shi'ju'yi'lun
十八大经,shi'ba'da'jing
十八空论,shi'ba'kong'lun
十不二门指要钞,shi'bu'er'men'zhi'yao'chao
释禅波罗蜜次第法门,shi'chan'bo'luo'mi'ci'di'fa'men
十地经论,shi'di'jing'lun
十地经论义记,shi'di'jing'lun'yi'ji
十二门论,shi'er'men'lun
十二门论疏,shi'er'men'lun'shu
十二缘生祥瑞经,shi'er'yuan'sheng'xiang'rui'jing
十法界钞,shi'fa'jie'chao
释迦方志,shi'jia'fang'zhi
尸迦罗越六方礼经,shi'jia'luo'yue'liu'fang'li'jing
释迦牟尼如来像法灭尽之记,shi'jia'mou'ni'ru'lai'xiang'fa'mie'jin'zhi'ji
释迦谱,shi'jia'pu
石经,shi'jing
释量论,shi'liang'lun
时轮怛特罗,shi'lun'da'te'luo
十门辩惑论,shi'men'bian'huo'lun
释门归敬仪,shi'men'gui'jing'yi
石门文字禅,shi'men'wen'zi'chan
释门章服仪,shi'men'zhang'fu'yi
释门正统,shi'men'zheng'tong
释摩诃般若波罗蜜经觉意三昧,shi'mo'he'bo're'bo'luo'mi'jing'jue'yi'san'mei
释摩诃衍论,shi'mo'he'yan'lun
十善法语,shi'shan'fa'yu
十善业道经,shi'shan'ye'dao'jing
施设足论,shi'she'zu'lun
识身足论,shi'shen'zu'lun
事师法五十颂,shi'shi'fa'wu'shi'song
释氏稽古略,shi'shi'ji'gu'lue
释氏六帖,shi'shi'liu'tie
释氏通鉴,shi'shi'tong'jian
释氏要览,shi'shi'yao'lan
石霜楚圆禅师语录,shi'shuang'chu'yuan'chan'shi'yu'lu
十诵律,shi'song'lv
十万白龙,shi'wan'bai'long
十万歌颂,shi'wan'ge'song
石屋珙禅师语录,shi'wu'gong'chan'shi'yu'lu
失译经,shi'yi'jing
十住毗婆沙论,shi'zhu'pi'po'sha'lun
十住心论,shi'zhu'xin'lun
守护大千国土经,shou'hu'da'qian'guo'tu'jing
守护国界章,shou'hu'guo'jie'zhang
守护国界主陀罗尼经,shou'hu'guo'jie'zhu'tuo'luo'ni'jing
首楞严三昧经,shou'leng'yan'san'mei'jing
受菩萨戒仪,shou'pu'sa'jie'yi
受菩提心戒仪,shou'pu'ti'xin'jie'yi
数论,shu'lun
双论,shuang'lun
水晶镜,shui'jing'jing
顺正理论,shun'zheng'li'lun
顺中论,shun'zhong'lun
四阿含经,si'a'han'jing
四百论,si'bai'lun
四藏,si'cang
四谛论,si'di'lun
四吠陀,si'fei'tuo
四分律,si'fen'lv
四分律含注戒本,si'fen'lv'han'zhu'jie'ben
四分律开宗记,si'fen'lv'kai'zong'ji
四分律删补随机羯磨,si'fen'lv'shan'bu'sui'ji'jie'mo
四分律疏,si'fen'lv'shu
四分律行事钞,si'fen'lv'xing'shi'chao
四分律行事钞资持记,si'fen'lv'xing'shi'chao'zi'chi'ji
四分僧戒本,si'fen'seng'jie'ben
寺格帐,si'ge'zhang
四家语录,si'jia'yu'lu
四教义,si'jiao'yi
四论,si'lun
四律五论,si'lv'wu'lun
四明十义书,si'ming'shi'yi'shu
四明尊者教行录,si'ming'zun'zhe'jiao'xing'lu
四念处,si'nian'chu
四十二章经,si'shi'er'zhang'jing
思惟略要法,si'wei'lue'yao'fa
思溪大藏经,si'xi'da'zang'jing
思益梵天所问经,si'yi'fan'tian'suo'wen'jing
寺院版,si'yuan'ban
思择说,si'ze'shuo
宋版大藏经,song'ban'da'cang'jing
宋版佛典,song'ban'fo'dian
宋藏遗珍,song'cang'yi'zhen
宋高僧传,song'gao'seng'chuan
苏婆呼童子经,su'po'hu'tong'zi'jing
苏悉地经,su'xi'di'jing
宿曜经,su'yao'jing
缩刷大藏经,suo'shua'da'zang'jing
胎藏四部仪轨,tai'cang'si'bu'yi'gui
太上感应篇,tai'shang'gan'ying'pian
台湾宗教调查,tai'wan'zong'jiao'diao'cha
镡津文集,tan'jin'wen'ji
叹异钞,tan'yi'chao
唐大和上东征传,tang'da'he'shang'dong'zheng'chuan
提谓波利经,ti'wei'bo'li'jing
天地八阳神咒经,tian'di'ba'yang'shen'zhou'jing
天界觉浪盛禅师全录,tian'jie'jue'lang'sheng'chan'shi'quan'lu
天目中峰广录,tian'mu'zhong'feng'guang'lu
天平写经,tian'ping'xie'jing
天然居士怀净土诗,tian'ran'ju'shi'huai'jing'tu'shi
天如和尚语录,tian'ru'he'shang'yu'lu
天圣广灯录,tian'sheng'guang'deng'lu
天台八教大意,tian'tai'ba'jiao'da'yi
天台传佛心印记,tian'tai'chuan'fo'xin'yin'ji
天台九祖传,tian'tai'jiu'zu'chuan
天台山方外志,tian'tai'shan'fang'wai'zhi
天台四教仪,tian'tai'si'jiao'yi
天台真言二宗同异章,tian'tai'zhen'yan'er'zong'tong'yi'zhang
天台智者大师别传,tian'tai'zhi'zhe'da'shi'bie'zhuan
天童和尚辟妄救略说,tian'tong'he'shang'pi'wang'jiu'lue'shuo
天童弘觉文心禅师北游集,tian'tong'hong'jue'wen'xin'chan'shi'bei'you'ji
天童弘觉文心禅师语录,tian'tong'hong'jue'wen'xin'chan'shi'yu'lu
天童寺志,tian'tong'si'zhi
天童正觉禅师广录,tian'tong'zheng'jue'chan'shi'guang'lu
天学初征,tian'xue'chu'zheng
天竺字源,tian'zhu'zi'yuan
吐蕃僧诤记,tu'bo'seng'zheng'ji
土观宗派源流,tu'guan'zong'pai'yuan'liu
陀罗尼集经,tuo'luo'ni'ji'jing
瓦经,wa'jing
外道小乘涅槃论,wai'dao'xiao'cheng'nie'pan'lun
外道小乘四宗论,wai'dao'xiao'cheng'si'zong'lun
万善同归集,wan'shan'tong'gui'ji
卍续藏经,wan'xu'cang'jing
卍正藏经,wan'zheng'cang'jing
王法正理论,wang'fa'zheng'li'lun
妄尽还源观,wang'jin'hai'yuan'guan
往生集,wang'sheng'ji
往生净土忏愿仪,wang'sheng'jing'tu'chan'yuan'yi
往生礼赞偈,wang'sheng'li'zan'ji
往生论注,wang'sheng'lun'zhu
往生西方净土瑞应删传,wang'sheng'xi'fang'jing'tu'rui'ying'shan'chuan
往生要集,wang'sheng'yao'ji
往世书,wang'shi'shu
王统史,wang'tong'shi
伪经,wei'jing
维摩诘所说经,wei'mo'jie'suo'shuo'jing
唯识二十论,wei'shi'er'shi'lun
唯识三十颂,wei'shi'san'shi'song
唯识三十颂释,wei'shi'san'shi'song'shi
魏书释老志,wei'shu'shi'lao'zhi
温室洗浴众僧经,wen'shi'xi'yu'zhong'seng'jing
文殊师利般涅槃经,wen'shu'shi'li'ban'nie'pan'jing
文殊师利问经,wen'shu'shi'li'wen'jing
倭藏,wo'cang
无碍解道,wu'ai'jie'dao
五部大论,wu'bu'da'lun
五部律,wu'bu'lv
五部祕经,wu'bu'mi'jing
五藏,wu'cang
无常经,wu'chang'jing
五次第,wu'ci'di
五大部,wu'da'bu
五灯会元,wu'deng'hui'yuan
五灯全书,wu'deng'quan'shu
五灯严统,wu'deng'yan'tong
吴都法乘,wu'dou'fa'cheng
五方便念佛门,wu'fang'bian'nian'fo'men
五分比丘尼戒本,wu'fen'bi'qiu'ni'jie'ben
五会法事赞,wu'hui'fa'shi'zan
五家语录,wu'jia'yu'lu
五家正宗赞,wu'jia'zheng'zong'zan
五家宗旨纂要,wu'jia'zong'zhi'zuan'yao
五卷书,wu'juan'shu
无量寿经,wu'liang'shou'jing
无量义经,wu'liang'yi'jing
武林西湖高僧事略,wu'lin'xi'hu'gao'seng'shi'lue
五门禅经要用法,wu'men'chan'jing'yao'yong'fa
无门关,wu'men'guan
五山版,wu'shan'ban
无上依经,wu'shang'yi'jing
五十卷钞,wu'shi'juan'chao
五失三不易,wu'shi'san'bu'yi
无畏三藏禅要,wu'wei'san'zang'chan'yao
五小部,wu'xiao'bu
五原理精要,wu'yuan'li'jing'yao
五宗救,wu'zong'jiu
五宗原,wu'zong'yuan
西方公据,xi'fang'gong'ju
西方合论,xi'fang'he'lun
西方要决释疑通规,xi'fang'yao'jue'shi'yi'tong'gui
西归直指,xi'gui'zhi'zhi
溪岚拾叶集,xi'lan'shi'ye'ji
希叟绍昙禅师广录,xi'sou'shao'tan'chan'shi'guang'lu
西夏文大藏经,xi'xia'wen'da'zang'jing
西游记,xi'you'ji
西域中华海东佛祖源流,xi'yu'zhong'hua'hai'dong'fo'zu'yuan'liu
西藏大藏经,xi'zang'da'zang'jing
西藏高僧全书,xi'zang'gao'seng'quan'shu
西藏王臣记,xi'zang'wang'chen'ji
西藏王统记,xi'zang'wang'tong'ji
西斋净土诗,xi'zhai'jing'tu'shi
现代佛教学术丛刊,xian'dai'fo'jiao'xue'shu'cong'kan
现观庄严论,xian'guan'zhuang'yan'lun
显戒论,xian'jie'lun
闲居编,xian'ju'bian
显识论,xian'shi'lun
显扬圣教论,xian'yang'sheng'jiao'lun
贤愚经,xian'yu'jing
贤者喜宴,xian'zhe'xi'yan
显宗记,xian'zong'ji
像法决疑经,xiang'fa'jue'yi'jing
象教皮编,xiang'jiao'pi'bian
相宗八要,xiang'zong'ba'yao
小部,xiao'bu
小品般若经,xiao'pin'bo're'jing
小史,xiao'shi
小诵,xiao'song
写经,xie'jing
新编诸宗教藏总录,xin'bian'zhu'zong'jiao'cang'zong'lu
新集浴像仪轨,xin'ji'yu'xiang'yi'gui
心王铭,xin'wang'ming
新唯识论,xin'wei'shi'lun
信心铭,xin'xin'ming
新续高僧传,xin'xu'gao'seng'chuan
兴禅护国论,xing'chan'hu'guo'lun
性灵集,xing'ling'ji
兴起行经,xing'qi'xing'jing
修禅要诀,xiu'chan'yao'jue
修大方广佛华严法界观门,xiu'da'fang'guang'fo'hua'yan'fa'jie'guan'men
修习次第,xiu'xi'ci'di
修习止观坐禅法要,xiu'xi'zhi'guan'zuo'chan'fa'yao
修行本起经,xiu'xing'ben'qi'jing
修行道地经,xiu'xing'dao'di'jing
修证义,xiu'zheng'yi
续高僧传,xu'gao'seng'chuan
须摩提菩萨经,xu'mo'ti'pu'sa'jing
玄法寺仪轨,xuan'fa'si'yi'gui
玄应音义,xuan'ying'yin'yi
选择本愿念佛集,xuan'ze'ben'yuan'nian'fo'ji
血经,xue'jing
血脉类集记,xue'mai'lei'ji'ji
血脉论,xue'mai'lun
延宝传灯录,yan'bao'chuan'deng'lu
延历僧录,yan'li'seng'lu
阎婆罗达耶怛特罗,yan'po'luo'da'ye'da'te'luo
仰兑,yang'dui
央掘魔罗经,yang'jue'mo'luo'jing
杨岐方会和尚语录,yang'qi'fang'hui'he'shang'yu'lu
药师琉璃光如来本愿功德经,yao'shi'liu'li'guang'ru'lai'ben'yuan'gong'de'jing
夜船闲话,ye'chuan'xian'hua
夜柔吠陀,ye'rou'fei'tuo
耶遮文约,ye'zhe'wen'yue
一本十支,yi'ben'shi'zhi
一遍上人语录,yi'bian'shang'ren'yu'lu
异部宗轮论,yi'bu'zong'lun'lun
一乘决疑论,yi'cheng'jue'yi'lun
一乘要决,yi'cheng'yao'jue
一初元禅师语录,yi'chu'yuan'chan'shi'yu'lu
一贯别传,yi'guan'bie'zhuan
一髻尊陀罗尼经,yi'ji'zun'tuo'luo'ni'jing
一枚起请文,yi'mei'qi'qing'wen
一切法高王经,yi'qie'fa'gao'wang'jing
一切功德庄严王经,yi'qie'gong'de'zhuang'yan'wang'jing
一切经,yi'qie'jing
一切经音义,yi'qie'jing'yin'yi
一切漏经,yi'qie'lou'jing
一切如来金刚三业最上祕密大教王经,yi'qie'ru'lai'jin'gang'san'ye'zui'shang'mi'mi'da'jiao'wang'jing
一切如来金刚寿命陀罗尼经,yi'qie'ru'lai'jin'gang'shou'ming'tuo'luo'ni'jing
一切如来真实摄大乘现证三昧大教王经,yi'qie'ru'lai'zhen'shi'she'da'cheng'xian'zheng'san'mei'da'jiao'wang'jing
一切善见律注,yi'qie'shan'jian'lv'zhu
夷夏论,yi'xia'lun
一字佛顶轮王经,yi'zi'fo'ding'lun'wang'jing
印度文献史,yin'du'wen'xian'shi
因明入正理论,yin'ming'ru'zheng'li'lun
因明入正理论疏,yin'ming'ru'zheng'li'lun'shu
因明义断,yin'ming'yi'duan
因明正理门论,yin'ming'zheng'li'men'lun
莹山清规,ying'shan'qing'gui
永嘉证道歌,yong'jia'zheng'dao'ge
永觉和尚广录,yong'jue'he'shang'guang'lu
永明延寿禅净四料简,yong'ming'yan'shou'chan'jing'si'liao'jian
永明智觉禅师唯心诀,yong'ming'zhi'jue'chan'shi'wei'xin'jue
永平广录,yong'ping'guang'lu
永平清规,yong'ping'qing'gui
优婆塞戒经,you'po'sai'jie'jing
瑜伽师地论,yu'ga'shi'di'lun
瑜伽经,yu'jia'jing
盂兰盆经,yu'lan'pen'jing
愚秃钞,yu'tu'chao
预修十王生七经,yu'xiu'shi'wang'sheng'qi'jing
御选语录,yu'xuan'yu'lu
玉耶经,yu'ye'jing
愚者智禅师语录,yu'zhe'zhi'chan'shi'yu'lu
御制拣魔辨异录,yu'zhi'jian'mo'bian'yi'lu
原道辟邪说,yuan'dao'bi'xie'shuo
圆顿成佛论,yuan'dun'cheng'fo'lun
元亨释书,yuan'heng'shi'shu
元洁莹禅师语录,yuan'jie'ying'chan'shi'yu'lu
圆觉经,yuan'jue'jing
圆觉经道场修证仪,yuan'jue'jing'dao'chang'xiu'zheng'yi
原理证得经,yuan'li'zheng'de'jing
原人论,yuan'ren'lun
缘山三大藏目录,yuan'shan'san'da'zang'mu'lu
圆悟佛果禅师语录,yuan'wu'fo'guo'chan'shi'yu'lu
阅藏知津,yue'cang'zhi'jin
月灯三昧经,yue'deng'san'mei'jing
月上女经,yue'shang'nv'jing
月印释谱,yue'yin'shi'pu
云门匡真禅师广录,yun'men'kuang'zhen'chan'shi'guang'lu
云门麦浪怀禅师宗门设难,yun'men'mai'lang'huai'chan'shi'zong'men'she'nan
云栖法汇,yun'qi'fa'hui
杂阿含经,za'a'han'jing
杂阿毗昙心论,za'a'pi'tan'xin'lun
杂宝藏经,za'bao'cang'jing
造像量度经,zao'xiang'liang'du'jing
增壹阿含经,zeng'yi'a'han'jing
增支部,zeng'zhi'bu
占察善恶业报经,zhan'cha'shan'e'ye'bao'jing
长老偈,zhang'lao'ji
彰所知论,zhang'suo'zhi'lun
掌中论,zhang'zhong'lun
昭和法宝总目录,zhao'he'fa'bao'zong'mu'lu
肇论,zhao'lun
赵州和尚语录,zhao'zhou'he'shang'yu'lu
折疑论,zhe'yi'lun
真理之如意宝珠,zhen'li'zhi'ru'yi'bao'zhu
真妄颂,zhen'wang'song
真心直说,zhen'xin'zhi'shuo
真言传,zhen'yan'chuan
贞元新定释教目录,zhen'yuan'xin'ding'shi'jiao'mu'lu
正法念处经,zheng'fa'nian'chu'jing
正法眼藏,zheng'fa'yan'zang
正法眼藏随闻记,zheng'fa'yan'zang'sui'wen'ji
正理滴论,zheng'li'di'lun
正理经,zheng'li'jing
治禅病祕要法,zhi'chan'bing'mi'yao'fa
指导论,zhi'dao'lun
止观辅行传弘决,zhi'guan'fu'xing'chuan'hong'jue
至元法宝勘同总录,zhi'yuan'fa'bao'kan'tong'zong'lu
指月录,zhi'yue'lu
中阿含经,zhong'a'han'jing
中本起经,zhong'ben'qi'jing
中部,zhong'bu
中峰和尚广录,zhong'feng'he'shang'guang'lu
中观部,zhong'guan'bu
中观论疏,zhong'guan'lun'shu
中观破迷执论,zhong'guan'po'mi'zhi'lun
中观心论颂,zhong'guan'xin'lun'song
中观庄严论,zhong'guan'zhuang'yan'lun
中国佛寺志,zhong'guo'fo'si'zhi
中华大藏经,zhong'hua'da'zang'jing
中论,zhong'lun
中天竺舍卫国祇洹寺图经,zhong'tian'zhu'she'wei'guo'chi'huan'si'tu'jing
众许摩诃帝经,zhong'xu'mo'he'di'jing
中阴经,zhong'yin'jing
中阴救度法,zhong'yin'jiu'du'fa
竹窗随笔,zhu'chuang'sui'bi
诸法无行经,zhu'fa'wu'xing'jing
诸经要集,zhu'jing'yao'ji
诸说不同记,zhu'shuo'bu'tong'ji
诸天传,zhu'tian'chuan
注心赋,zhu'xin'fu
撰集百缘经,zhuan'ji'bai'yuan'jing
紫柏尊者全集,zi'bai'zun'zhe'quan'ji
自得禅师语录,zi'de'chan'shi'yu'lu
缁门崇行录,zi'men'chong'xing'lu
缁门警训,zi'men'jing'xun
缁门世谱,zi'men'shi'pu
自说经,zi'shuo'jing
自知录,zi'zhi'lu
宗范,zong'fan
宗教律诸家演派,zong'jiao'lv'zhu'jia'yan'pai
宗镜录,zong'jing'lu
宗门或问,zong'men'huo'wen
宗门拈古汇集,zong'men'nian'gu'hui'ji
宗门千字文,zong'men'qian'zi'wen
宗门十规论,zong'men'shi'gui'lun
宗门统要续集,zong'men'tong'yao'xu'ji
宗门武库,zong'men'wu'ku
宗门玄鉴图,zong'men'xuan'jian'tu
宗统编年,zong'tong'bian'nian
宗义书,zong'yi'shu
祖灯大统,zu'deng'da'tong
祖堂集,zu'tang'ji
祖庭事苑,zu'ting'shi'yuan
最上乘论,zui'shang'cheng'lun
尊婆须蜜菩萨所集论,zun'po'xu'mi'pu'sa'suo'ji'lun
坐禅三昧经,zuo'chan'san'mei'jing
坐禅用心记,zuo'chan'yong'xin'ji
