俺朗,an'lang
俺老,an'lao
败乎,bai'hu
白作假,bai'zuo'jia
扳掉,ban'diao
绊趴倒,ban'pa'dao
不管经,bu'guan'jing
不买呼你,bu'mai'hu'ni
不肉你,bu'rou'ni
不照气,bu'zhao'qi
草扩子,cao'kuo'zi
曹鱼,cao'yu
次毛,ci'mao
打岔,da'cha
得意得,de'yi'de
滴点喽,di'dian'lou
肚眼子,du'yan'zi
泛蛋,fan'dan
胳肢窝,ga'zhi'wo
搞他,gao'ta
格把地,ge'ba'di
骼勒拜子,ge'le'bai'zi
搁哪来,ge'na'lai
光光蜓,guang'guang'ting
光锦裳,guang'jin'shang
海趴子,hai'pa'zi
薅草,hao'cao
黑不楞通,hei'bu'leng'tong
黑雀子,hei'qiao'zi
呼你一而把子,hu'ni'yi'er'ba'zi
晃荡人,huang'dang'ren
急怔眼,ji'zheng'yan
架车,jia'che
架试,jia'shi
家走,jia'zou
胶粘,jiao'nian
脚趾盖子,jiao'zhi'gai'zi
今个,jin'ge
镜子,jing'zi
可吃吗,ke'chi'ma
可照,ke'zhao
剋饭剋架,kei'fan'kei'jia
肯吃,ken'chi
拉寡,la'gua
癞蛤蟆,lai'ha'ma
癞癞肚,lai'lai'du
老马子,lao'ma'zi
老头子,lao'tou'zi
老子,lao'zi
脸帮子,lian'bang'zi
列列,lie'lie
领衣子,ling'yi'zi
毛格子,mao'ge'zi
毛票子,mao'piao'zi
明个,ming'ge
磨牙,mo'ya
恁说的啥家伙,nen'shuo'de'sha'jia'huo
能屌抬,neng'diao'tai
腻歪,ni'wai
尿尿,niao'sui
浓鼻子,nong'bi'zi
弄啥子,nong'sha'zi
皮锤,pi'chui
清早,qing'zao
热古毒得,re'gu'du'de
扫脸乎,sao'lian'hu
啥家乎,sha'jia'hu
赏问,shang'wen
屎橛子,shi'jue'zi
手脖子,shou'bo'zi
手镊子,shou'nie'zi
手指盖子,shou'zhi'gai'zi
死不热,si'bu're
抬杠,tai'gang
剔溜圆,ti'liu'yuan
添孩子,tian'hai'zi
铁条,tie'tiao
挺不湿,ting'bu'shi
头毛,tou'mao
晚黑来,wan'hei'lai
温不臭,wen'bu'chou
乌了牛子,wu'le'niu'zi
响饭,xiang'fan
徐吊,xu'diao
丫把子,ya'ba'zi
咽熊,yan'xiong
夜里头,ye'li'tou
尾巴,yi'ba
义西,yi'xi
脏经人,zang'jing'ren
早起来,zao'qi'lai
炸米花,zha'mi'hua
真有抹,zhen'you'mo
知了,zhi'liao
字儿,zi'er
昨个,zuo'ge
