阿基米德巧计,a'ji'mi'de'qiao'ji
暗渡陈仓,an'du'chen'cang
安能动之,an'neng'dong'zhi
按人之兵,an'ren'zhi'bing
按左扶右,an'zuo'fu'you
半渡而击,ban'du'er'ji
饱而饥之,bao'er'ji'zhi
薄前猎后,bao'qian'lie'hou
卑而骄之,bei'er'jiao'zhi
备而形以弛,bei'er'xing'yi'chi
避坑落井,bi'keng'luo'jing
避难就易,bi'nan'jiu'yi
避实击虚,bi'shi'ji'xu
兵贵神速,bing'gui'shen'su
兵以静胜,bing'yi'jing'sheng
不劳而获,bu'lao'er'huo
草木皆兵,cao'mu'jie'bing
草人惑敌,cao'ren'huo'di
缠战劳敌,chan'zhan'lao'di
唱筹量沙,chang'chou'liang'sha
长围制敌,chang'wei'zhi'di
车轮战法,che'lun'zhan'fa
趁火打劫,chen'huo'da'jie
乘彼不虞,cheng'bi'bu'yu
乘敌因循,cheng'di'yin'xun
乘间击暇,cheng'jian'ji'xia
乘降袭敌,cheng'jiang'xi'di
乘乱掩击,cheng'luan'yan'ji
乘其所之,cheng'qi'suo'zhi
重叠设伏,chong'die'she'fu
出尔反尔,chu'er'fan'er
出奇制胜,chu'qi'zhi'sheng
船马引敌,chuan'ma'yin'di
打草惊蛇,da'cao'jing'she
打柴诱兵,da'chai'you'bing
打猎突袭,da'lie'tu'xi
大智若愚,da'zhi'ruo'yu
绐俘诱敌,dai'fu'you'di
单刀赴会,dan'dao'fu'hui
敌进我进,di'jin'wo'jin
调虎离山,diao'hu'li'shan
丢卒保车,diu'zu'bao'ju
断敌所望,duan'di'suo'wang
断敌退路,duan'di'tui'lu
夺其所恃,duo'qi'suo'shi
扼喉拊背,e'hou'fu'bei
恩威并用,en'wei'bing'yong
二虎竞食,er'hu'jing'shi
饵杀文丑,er'sha'wen'chou
乏敌国力,fa'di'guo'li
反戈一击,fan'ge'yi'ji
反间计,fan'jian'ji
反径行权,fan'jing'xing'quan
反客为主,fan'ke'wei'zhu
反劳为逸,fan'lao'wei'yi
放舰于流,fang'jian'yu'liu
分军备敌,fen'jun'bei'di
分人之兵,fen'ren'zhi'bing
焚珍激气,fen'zhen'ji'qi
釜底抽薪,fu'di'chou'xin
覆其巢穴,fu'qi'chao'xue
刚中柔外,gang'zhong'rou'wai
隔岸观火,ge'an'guan'huo
攻其不备,gong'qi'bu'bei
攻其中坚,gong'qi'zhong'jian
故布疑阵,gu'bu'yi'zhen
关门捉贼,guan'men'zhuo'zei
后发制人,hou'fa'zhi'ren
后击突兵,hou'ji'tu'bing
忽东忽西,hu'dong'hu'xi
狐假虎威,hu'jia'hu'wei
画地退陈儒,hua'di'tui'chen'ru
化患为利,hua'huan'wei'li
化劣为优,hua'lie'wei'you
化整为零,hua'zheng'wei'ling
缓兵之计,huan'bing'zhi'ji
换旗破赵,huan'qi'po'zhao
回马枪,hui'ma'qiang
毁契买义,hui'qi'mai'yi
混水摸鱼,hun'shui'mo'yu
火中取栗,huo'zhong'qu'li
激将法,ji'jiang'fa
集中兵力,ji'zhong'bing'li
假道伐虢,jia'dao'fa'guo
假降诱敌,jia'jiang'you'di
假结联盟,jia'jie'lian'meng
假猎误敌,jia'lie'wu'di
假手于人,jia'shou'yu'ren
假顺敌意,jia'shun'di'yi
假托王命,jia'tuo'wang'ming
坚壁清野,jian'bi'qing'ye
见风使舵,jian'feng'shi'duo
见好就收,jian'hao'jiu'shou
见可而进,jian'ke'er'jin
践墨随敌,jian'mo'sui'di
见微知著,jian'wei'zhi'zhu
将贵自专,jiang'gui'zi'zhuan
将计就计,jiang'ji'jiu'ji
将正兵勇,jiang'zheng'bing'yong
骄纵制敌,jiao'zong'zhi'di
借虫杀人,jie'chong'sha'ren
借刀杀人,jie'dao'sha'ren
借敌除叛,jie'di'chu'pan
借敌之借,jie'di'zhi'jie
借敌之力,jie'di'zhi'li
借敌之刃,jie'di'zhi'ren
借口扬威,jie'kou'yang'wei
借尸还魂,jie'shi'huan'hun
借势弱敌,jie'shi'ruo'di
借宿杀人,jie'su'sha'ren
借物言志,jie'wu'yan'zhi
金蝉脱壳,jin'chan'tuo'qiao
近而示之远,jin'er'shi'zhi'yuan
军政两手,jun'zheng'liang'shou
开门揖盗,kai'men'yi'dao
空城计,kong'cheng'ji
苦肉计,ku'rou'ji
乐饮惑敌,le'yin'huo'di
利而诱之,li'er'you'zhi
里应外合,li'ying'wai'he
联船锁江,lian'chuan'suo'jiang
连环计,lian'huan'ji
连环诱敌,lian'huan'you'di
两面三刀,liang'mian'san'dao
留鞭脱险,liu'bian'tuo'xian
乱而取之,luan'er'qu'zhi
屡见不疑,lv'jian'bu'yi
马槽退兵,ma'cao'tui'bing
埋名杀将,mai'ming'sha'jiang
瞒天过海,man'tian'guo'hai
冒名顶替,mao'ming'ding'ti
毛遂自荐,mao'sui'zi'jian
美人计,mei'ren'ji
蒙混过关,meng'hun'guo'guan
民以食为天,min'yi'shi'wei'tian
明歇明打,ming'xie'ming'da
冒顿之谋,mo'du'zhi'mou
蘑菇战,mo'gu'zhan
谋士三策,mou'shi'san'ce
木马计,mu'ma'ji
难得糊涂,nan'de'hu'tu
能而示之不能,neng'er'shi'zhi'bu'neng
能进则进,neng'jin'ze'jin
怒而挠之,nu'er'nao'zhi
旁敲侧击,pang'qiao'ce'ji
抛金逃命,pao'jin'tao'ming
抛砖引玉,pao'zhuan'yin'yu
批亢捣虚,pi'kang'dao'xu
破彼之破,po'bi'zhi'po
破釜沉舟,po'fu'chen'zhou
破袭战,po'xi'zhan
奇正相生,qi'zheng'xiang'sheng
巧夺敌势,qiao'duo'di'shi
巧借日影,qiao'jie'ri'ying
巧借谐音,qiao'jie'xie'yin
巧用敌间,qiao'yong'di'jian
巧用敌坦,qiao'yong'di'tan
巧用音响,qiao'yong'yin'xiang
巧筑土城,qiao'zhu'tu'cheng
怯防勇战,qie'fang'yong'zhan
求救诱敌,qiu'jiu'you'di
驱虎吞狼,qu'hu'tun'lang
取近利而割远害,qu'jin'li'er'ge'yuan'hai
趋利避害,qu'li'bi'hai
忍为上计,ren'wei'shang'ji
锐军勿攻,rui'jun'wu'gong
弱女退敌,ruo'nv'tui'di
弱守强攻,ruo'shou'qiang'gong
撒星阵,sa'xing'zhen
杀敌以怒,sha'di'yi'nu
杀一儆百,sha'yi'jing'bai
闪电破敌,shan'dian'po'di
善用潮汐,shan'yong'chao'xi
善卒而养,shan'zu'er'yang
上屋抽梯,shang'wu'chou'ti
声东击西,sheng'dong'ji'xi
圣旗络人心,sheng'qi'luo'ren'xin
声前掩后,sheng'qian'yan'hou
剩余信息,sheng'yu'xin'xi
师出有名,shi'chu'you'ming
示敌败相,shi'di'bai'xiang
示短伏奇,shi'duan'fu'qi
示短致长,shi'duan'zhi'chang
实而示虚,shi'er'shi'xu
实而实之,shi'er'shi'zhi
实而虚之,shi'er'xu'zhi
示假隐真,shi'jia'yin'zhen
十面埋伏,shi'mian'mai'fu
示破诱敌,shi'po'you'di
十日歇兵,shi'ri'xie'bing
示弱骄敌,shi'ruo'jiao'di
示弱诱敌,shi'ruo'you'di
示实生疑,shi'shi'sheng'yi
施诈退敌,shi'zha'tui'di
施诈降敌,shi'zha'xiang'di
输金止间,shu'jin'zhi'jian
树上开花,shu'shang'kai'hua
树叶传单,shu'ye'chuan'dan
树帜设疑,shu'zhi'she'yi
双管齐下,shuang'guan'qi'xia
顺手牵羊,shun'shou'qian'yang
顺佯敌意,shun'yang'di'yi
四面楚歌,si'mian'chu'ge
损刚益柔,sun'gang'yi'rou
贪利诱敌,tan'li'you'di
谈笑计,tan'xiao'ji
糖衣炮弹,tang'yi'pao'dan
田单保城,tian'dan'bao'cheng
同甘共苦,tong'gan'gong'ku
同舟共济,tong'zhou'gong'ji
