艾蒿,ai'hao
安石榴科,an'shi'liu'ke
凹叶厚朴,ao'ye'hou'pu
凹叶景天,ao'ye'jing'tian
八宝,ba'bao
芭蕉,ba'jiao
八角枫,ba'jiao'feng
八角枫科,ba'jiao'feng'ke
八角莲,ba'jiao'lian
菝葜,ba'qia
白背叶,bai'bei'ye
百部,bai'bu
白哺鸡竹,bai'bu'ji'zhu
白粉霉,bai'fen'mei
百合,bai'he
白花败酱,bai'hua'bai'jiang
白花菜,bai'hua'cai
白花前胡,bai'hua'qian'hu
白花蛇舌草,bai'hua'she'she'cao
白及,bai'ji
败酱,bai'jiang
白鹃梅,bai'juan'mei
柏科,bai'ke
白兰花,bai'lan'hua
白栎,bai'li
白蔹,bai'lian
白马骨,bai'ma'gu
白茅,bai'mao
百日草,bai'ri'cao
百蕊草,bai'rui'cao
白瑞香,bai'rui'xiang
白英,bai'ying
白榆,bai'yu
白术,bai'zhu
半边莲,ban'bian'lian
板栗,ban'li
半夏,ban'xia
斑叶兰,ban'ye'lan
半枝莲,ban'zhi'lian
斑竹,ban'zhu
报春花,bao'chun'hua
豹皮樟,bao'pi'zhang
抱石莲,bao'shi'lian
北美独行菜,bei'mei'du'xing'cai
本地早,ben'di'zao
薜荔,bi'li
碧桃,bi'tao
扁担杆,bian'dan'gan
蝙蝠葛,bian'fu'ge
萹蓄,bian'xu
薄荷,bo'he
博落回,bo'luo'hui
补骨脂,bu'gu'zhi
苍耳,cang'er
草棉,cao'mian
侧柏,ce'bai
茶杆竹,cha'gan'zhu
檫木,cha'mu
蝉花,chan'hua
颤藻,chan'zao
长春花,chang'chun'hua
长萼堇菜,chang'e'jin'cai
长梗黄精,chang'geng'huang'jing
长梗南五味子,chang'geng'nan'wu'wei'zi
菖蒲,chang'pu
朝天椒,chao'tian'jiao
车前,che'qian
车前科,che'qian'ke
柽柳,cheng'liu
赤车,chi'che
赤胫散,chi'jing'san
赤楠,chi'nan
池杉,chi'shan
匙叶黄杨,chi'ye'huang'yang
重阳木,chong'yang'mu
臭椿,chou'chun
臭棘树,chou'ji'shu
臭牡丹,chou'mu'dan
雏菊,chu'ju
樗叶花椒,chu'ye'hua'jiao
川楝,chuan'lian
穿龙薯蓣,chuan'long'shu'yu
穿心莲,chuan'xin'lian
垂柳,chui'liu
垂盆草,chui'pen'cao
垂丝海棠,chui'si'hai'tang
垂丝桃,chui'si'tao
莼菜,chun'cai
春兰,chun'lan
唇形科,chun'xing'ke
刺柏,ci'bai
慈菇,ci'gu
刺槐,ci'huai
刺葡萄,ci'pu'tao
刺楸,ci'qiu
刺榆,ci'yu
葱莲,cong'lian
丛枝蓼,cong'zhi'liao
粗齿铁线莲,cu'chi'tie'xian'lian
粗榧,cu'fei
粗榧科,cu'fei'ke
脆杆藻,cui'gan'zao
翠菊,cui'ju
大风子科,da'feng'zi'ke
大花马齿苋半枝莲,da'hua'ma'chi'xian'ban'zhi'lian
大蓟,da'ji
大戟科,da'ji'ke
大棱柱,da'leng'zhu
大理菊,da'li'ju
大麻,da'ma
大麻科,da'ma'ke
大漂,da'piao
大青,da'qing
打碗花,da'wan'hua
大文柱,da'wen'zhu
大血藤,da'xue'teng
大叶冬青,da'ye'dong'qing
大叶火焰草,da'ye'huo'yan'cao
大叶槭,da'ye'qi
代代花,dai'dai'hua
单叶铁线莲,dan'ye'tie'xian'lian
淡竹,dan'zhu
灯笼草,deng'long'cao
灯笼花,deng'long'hua
等片藻,deng'pian'zao
灯心草科,deng'xin'cao'ke
地胆草,di'dan'cao
地耳草,di'er'cao
地肤,di'fu
帝冠,di'guan
地黄,di'huang
地念,di'nian
地钱,di'qian
滴水珠,di'shui'zhu
点青霉,dian'qing'mei
吊兰,diao'lan
丁香蓼,ding'xiang'liao
东风菜,dong'feng'cai
冬红茶梅,dong'hong'cha'mei
冬葵,dong'kui
冬青科,dong'qing'ke
冬珊瑚,dong'shan'hu
豆腐柴,dou'fu'chai
豆梨,dou'li
豆薯,dou'shu
杜衡,du'heng
杜鹃花科,du'juan'hua'ke
毒伞,du'san
杜英,du'ying
杜仲,du'zhong
杜仲科,du'zhong'ke
短柄抱,duan'bing'bao
椴树科,duan'shu'ke
短叶罗汉松,duan'ye'luo'han'song
短叶松,duan'ye'song
短柱茶,duan'zhu'cha
对叶百部,dui'ye'bai'bu
钝叶酸模,dun'ye'suan'mo
多花地杨梅,duo'hua'di'yang'mei
多花黄精,duo'hua'huang'jing
多穗石栎,duo'sui'shi'li
峨参,e'can
鹅观草,e'guan'cao
鹅掌楸,e'zhang'qiu
二乔木兰,er'qiao'mu'lan
翻白草,fan'bai'cao
反瓣虾脊兰,fan'ban'xia'ji'lan
饭汤子,fan'tang'zi
番杏科,fan'xing'ke
防己,fang'ji
防己科,fang'ji'ke
肺筋草,fei'jin'cao
飞来鹤,fei'lai'he
飞廉,fei'lian
肥皂荚,fei'zao'jia
粉萆薢,fen'bi'xie
蜂斗菜,feng'dou'cai
风轮菜,feng'lun'cai
风藤,feng'teng
凤尾厥,feng'wei'jue
凤尾兰,feng'wei'lan
凤尾竹,feng'wei'zhu
凤仙花,feng'xian'hua
枫香,feng'xiang
凤丫蕨,feng'ya'jue
枫杨,feng'yang
佛甲草,fo'jia'cao
附地菜,fu'di'cai
扶芳藤,fu'fang'teng
福建紫薇,fu'jian'zi'wei
伏苓,fu'ling
复盆子,fu'pen'zi
浮萍,fu'ping
