成化,cheng'hua
崇祯,chong'zhen
代宗,dai'zong
光宗,guang'zong
洪武,hong'wu
洪熙,hong'xi
弘治,hong'zhi
惠帝,hui'di
嘉靖,jia'jing
建文,jian'wen
景泰,jing'tai
穆宗,mu'zong
仁宗,ren'zong
神宗,shen'zong
世宗,shi'zong
思宗,si'zong
泰昌,tai'chang
太祖,tai'zu
天启,tian'qi
天顺,tian'shun
万历,wan'li
武宗,wu'zong
宪宗,xian'zong
孝宗,xiao'zong
宣德,xuan'de
宣宗,xuan'zong
英宗,ying'zong
永乐,yong'le
正德,zheng'de
正统,zheng'tong
朱常洛,zhu'chang'luo
朱棣,zhu'di
朱高炽,zhu'gao'chi
朱厚熜,zhu'hou'cong
朱厚照,zhu'hou'zhao
朱见深,zhu'jian'shen
朱祁钰,zhu'qi'yu
朱祁镇,zhu'qi'zhen
朱翊钧,zhu'yi'jun
朱祐憆,zhu'you'cheng
朱由检,zhu'you'jian
朱由校,zhu'you'xiao
朱元璋,zhu'yuan'zhang
朱允文,zhu'yun'wen
朱载垕,zhu'zai'hou
朱瞻基,zhu'zhan'ji
