安了,an'le
罢碗,ba'wan
白挫子,bai'cuo'zi
白搓子,bai'cuo'zi
半吊子,ban'diao'zi
半头裤子,ban'tou'ku'zi
被窝,bei'wo
壁子,bi'zi
财喜,cai'xi
差点咖,cha'dian'ka
唱荒领锅,chang'huang'ling'guo
扯不称,che'bu'cheng
扯谎溜白,che'huang'liu'bai
愁屋,chou'wu
捶桶,chui'tong
春白菜,chun'bai'cai
错拐,cuo'guai
打摆子,da'bai'zi
打赤帕,da'chi'pa
打个尿胯,da'ge'niao'kua
打古球,da'gu'qiu
大垮,da'kua
大胯,da'kua
打皮汗,da'pi'han
打条跨,da'tiao'kua
呆哪里,dai'na'li
倒拐,dao'guai
掉得大,diao'de'da
定昂,ding'ang
丁丁,ding'ding
洞的,dong'de
恶照,e'zhao
扶子,fu'zi
旮爹,ga'die
旮婆,ga'po
告娃,gao'wa
告屋,gao'wu
拱米球,gong'mi'qiu
刮气,gua'qi
拐子,guai'zi
惯事,guan'shi
滚衫,gun'shan
滚子,gun'zi
锅块,guo'kuai
过一哈,guo'yi'ha
过早,guo'zao
哈把,ha'ba
黄古丁,huang'gu'ding
晃褂,huang'gua
鸡娃,ji'wa
脚踏车,jiao'ta'che
脚鱼,jiao'yu
街叫该,jie'jiao'gai
颈谎,jing'huang
就了,jiu'le
卡过气,ka'guo'qi
炕鸡蛋,kang'ji'dan
克马,ke'ma
克马凳,ke'ma'deng
克细包,ke'xi'bao
哭倒,ku'dao
癞克宝,lai'ke'bao
狼扛,lang'kang
连把肚子,lian'ba'du'zi
嘹亮,liao'liang
罗果,luo'guo
螺丝,luo'si
罗斯拐,luo'si'guai
麻奋子雨,ma'fen'zi'yu
马拉古,ma'la'gu
麻绒,ma'rong
抹澡,ma'zao
妈子,ma'zi
冒得当,mao'de'dang
毛嘎子,mao'ga'zi
毛毛,mao'mao
毛坨,mao'tuo
么事,me'shi
闷子,men'zi
抹汗,mo'han
奶伢,nai'ya
脑壳,nao'ke
脑阔,nao'kuo
年嘎,nian'ga
七饭,qi'fan
其他,qi'ta
强偷,qiang'tou
蚯蒜,qiu'suan
日白,ri'bai
日美,ri'mei
日头,ri'tou
肉奶,rou'nai
褥单,ru'dan
沙油,sha'you
烧火,shao'huo
苕货,shao'huo
蛇人买呆,she'ren'mai'dai
睡窝窝,shui'wo'wo
它的,ta'de
陶屋,tao'wu
调羹,tiao'geng
唾皮,tuo'pi
外显,wai'xian
卧单,wo'dan
物死了,wu'si'le
媳妇,xi'fu
洗口,xi'kou
喜头,xi'tou
巷口,xiang'kou
斜细阿,xie'xi'a
业五,ye'wu
银俺子,yin'an'zi
应菜,ying'cai
哟和,yo'he
有板眼,you'ban'yan
油绞,you'jiao
圆子,yuan'zi
照叶,zhao'ye
中磕许,zhong'ke'xu
珠驼罗,zhu'tuo'luo
