阿拔斯一世,a'ba'si'yi'shi
阿般提,a'ban'ti
阿倍仲麻吕,a'bei'zhong'ma'lv
阿芙乐尔号巡洋舰,a'fu'le'er'hao'xun'yang'jian
阿哥尼斯特运动,a'ge'ni'si'te'yun'dong
阿根廷独立运动,a'gen'ting'du'li'yun'dong
阿卡德,a'ka'de
阿奎那,a'kui'na
阿蒙神庙,a'meng'shen'miao
阿湿波,a'shi'bo
阿维农之囚,a'wei'nong'zhi'qiu
阿维森纳,a'wei'sen'na
阿亚库巧战役,a'ya'ku'qiao'zhan'yi
阿育王,a'yu'wang
艾伯特,ai'bo'te
爱尔福特纲领,ai'er'fu'te'gang'ling
爱尔兰独立运动,ai'er'lan'du'li'yun'dong
埃赫那吞,ai'he'na'tun
爱姆斯急电,ai'mu'si'ji'dian
埃帕米农达,ai'pa'mi'nong'da
爱琴文化,ai'qin'wen'hua
爱森那赫派,ai'sen'na'he'pai
矮子丕平,ai'zi'pi'ping
安立甘,an'li'gan
安政条约,an'zheng'tiao'yue
昂山,ang'shan
澳大利亚联邦,ao'da'li'ya'lian'bang
奥得尼斯河线,ao'de'ni'si'he'xian
奥列格,ao'lie'ge
奥斯曼帝国,ao'si'man'di'guo
奥匈帝国,ao'xiong'di'guo
巴贝夫,ba'bei'fu
巴比伦之囚,ba'bi'lun'zhi'qiu
巴布教徒起义,ba'bu'jiao'tu'qi'yi
巴多利决议,ba'duo'li'jue'yi
巴伐利亚苏维埃共和国,ba'fa'li'ya'su'wei'ai'gong'he'guo
巴高达运动,ba'gao'da'yun'dong
巴枯宁,ba'ku'ning
巴黎公社,ba'li'gong'she
巴黎和会,ba'li'he'hui
巴拿马丑闻,ba'na'ma'chou'wen
八旗通志,ba'qi'tong'zhi
八旗制度,ba'qi'zhi'du
跋沙,ba'sha
巴士底狱,ba'shi'di'yu
跋祗,ba'zhi
百工衙,bai'gong'ya
百科全书派,bai'ke'quan'shu'pai
白里安凯洛公约,bai'li'an'kai'luo'gong'yue
白鹭城,bai'lu'cheng
百年翻译运动,bai'nian'fan'yi'yun'dong
拜上帝会,bai'shang'di'hui
拜上帝教,bai'shang'di'jiao
白衣大食,bai'yi'da'shi
版籍奉还,ban'ji'feng'huan
斑鸠寺,ban'jiu'si
班田收授法,ban'tian'shou'shou'fa
板垣征四郎,ban'yuan'zheng'si'lang
般遮罗,ban'zhe'luo
爆发了,bao'fa'le
包瑞德上校,bao'rui'de'shang'xiao
包衣,bao'yi
保元之乱,bao'yuan'zhi'luan
倍倍尔,bei'bei'er
贝杜因人,bei'du'yin'ren
北非战争,bei'fei'zhan'zheng
贝拉库恩,bei'la'ku'en
北洋大臣,bei'yang'da'chen
北洋海军,bei'yang'hai'jun
贝冢,bei'zhong
本草纲目,ben'cao'gang'mu
本能寺之变,ben'neng'si'zhi'bian
本尼迪克特,ben'ni'di'ke'te
彼得格勒十月武装起义,bi'de'ge'le'shi'yue'wu'zhuang'qi'yi
俾斯麦,bi'si'mai
编户齐民,bian'hu'qi'min
波茨坦会议,bo'ci'tan'hui'yi
伯恩施坦,bo'en'shi'tan
伯尔尼国际,bo'er'ni'guo'ji
伯里克利,bo'li'ke'li
玻利瓦尔,bo'li'wa'er
柏林战役,bo'lin'zhan'yi
