腌臜不堪,a'za'bu'kan
暗暗啧舌,an'an'ze'she
暗生情愫,an'sheng'qing'su
暗通款曲,an'tong'kuan'qu
霸气无双,ba'qi'wu'shuang
白衣翩翩,bai'yi'pian'pian
白衣飘飘,bai'yi'piao'piao
悲痛欲绝,bei'tong'yu'jue
本末倒置,ben'mo'dao'zhi
闭口不谈,bi'kou'bu'tan
碧绿挺拔,bi'lv'ting'ba
碧玉红云,bi'yu'hong'yun
宾至如归,bin'zhi'ru'gui
波光潋滟,bo'guang'lian'yan
博览群书,bo'lan'qun'shu
勃然大怒,bo'ran'da'nu
不凡气质,bu'fan'qi'zhi
不顾场合,bu'gu'chang'he
不疾不徐,bu'ji'bu'xu
不紧不慢,bu'jin'bu'man
不可置信,bu'ke'zhi'xin
不情不愿,bu'qing'bu'yuan
不忍直视,bu'ren'zhi'shi
不甚在意,bu'shen'zai'yi
不务正业,bu'wu'zheng'ye
不遗余力,bu'yi'yu'li
不由自主,bu'you'zi'zhu
才华横溢,cai'hua'heng'yi
才貌双全,cai'mao'shuang'quan
惨不忍睹,can'bu'ren'du
惨绝人寰,can'jue'ren'huan
灿若星辰,can'ruo'xing'chen
沧桑疲惫,cang'sang'pi'bei
草木皆兵,cao'mu'jie'bing
草木茂盛,cao'mu'mao'sheng
参差错落,cen'ci'cuo'luo
层层叠叠,ceng'ceng'die'die
层出不穷,ceng'chu'bu'qiong
缠绵病榻,chan'mian'bing'ta
缠绵甜蜜,chan'mian'tian'mi
长裙飘渺,chang'qun'piao'miao
长裙曳地,chang'qun'ye'di
畅通无阻,chang'tong'wu'zu
长袖善舞,chang'xiu'shan'wu
吃吃喝喝,chi'chi'he'he
齿如贝壳,chi'ru'bei'ke
齿如含贝,chi'ru'han'bei
齿如瓠犀,chi'ru'hu'xi
出乎意料,chu'hu'yi'liao
出人意料,chu'ren'yi'liao
窗棂破烂,chuang'ling'po'lan
春光烂漫,chun'guang'lan'man
春光明媚,chun'guang'ming'mei
春光尚好,chun'guang'shang'hao
唇红齿白,chun'hong'chi'bai
唇红齿皓,chun'hong'chi'hao
春花渐谢,chun'hua'jian'xie
春花烂漫,chun'hua'lan'man
唇如樱果,chun'ru'ying'guo
春意融融,chun'yi'rong'rong
从容不迫,cong'rong'bu'po
大不如前,da'bu'ru'qian
达成协议,da'cheng'xie'yi
大大方方,da'da'fang'fang
大发慈悲,da'fa'ci'bei
大义凛然,da'yi'lin'ran
黛眉朱唇,dai'mei'zhu'chun
丹唇素齿,dan'chun'su'chi
丹唇外朗,dan'chun'wai'lang
淡点朱唇,dan'dian'zhu'chun
淡定自若,dan'ding'zi'ruo
当仁不让,dang'ren'bu'rang
道貌岸然,dao'mao'an'ran
得不偿失,de'bu'chang'shi
低眉敛目,di'mei'lian'mu
地位猛涨,di'wei'meng'zhang
跌跌撞撞,die'die'zhuang'zhuang
咄咄逼人,duo'duo'bi'ren
多费唇舌,duo'fei'chun'she
繁花骄阳,fan'hua'jiao'yang
翻箱倒柜,fan'xiang'dao'gui
繁星点点,fan'xing'dian'dian
沸沸扬扬,fei'fei'yang'yang
分道扬镳,fen'dao'yang'biao
粉腮含羞,fen'sai'han'xiu
风尘仆仆,feng'chen'pu'pu
风度翩翩,feng'du'pian'pian
风流不羁,feng'liu'bu'ji
风流桀骜,feng'liu'jie'ao
风流倜傥,feng'liu'ti'tang
风流婉转,feng'liu'wan'zhuan
疯魔执拗,feng'mo'zhi'niu
风情万种,feng'qing'wan'zhong
风姿绰约,feng'zi'chuo'yue
腐朽冷寂,fu'xiu'leng'ji
干爽利落,gan'shuang'li'luo
甘之如饴,gan'zhi'ru'yi
高大威猛,gao'da'wei'meng
各表一枝,ge'biao'yi'zhi
觥筹交错,gong'chou'jiao'cuo
宫灯高挂,gong'deng'gao'gua
恭敬无比,gong'jing'wu'bi
勾魂慑魄,gou'hun'she'po
孤立无援,gu'li'wu'yuan
顾盼生辉,gu'pan'sheng'hui
古往今来,gu'wang'jin'lai
归根到底,gui'gen'dao'di
果断干脆,guo'duan'gan'cui
孩子心性,hai'zi'xin'xing
含情凝睇,han'qing'ning'di
含沙射影,han'sha'she'ying
毫不避讳,hao'bu'bi'hui
毫不留情,hao'bu'liu'qing
好不热闹,hao'bu're'nao
毫不在意,hao'bu'zai'yi
皓齿唇白,hao'chi'chun'bai
皓齿内鲜,hao'chi'nei'xian
皓齿星眸,hao'chi'xing'mou
好高骛远,hao'gao'wu'yuan
豪气干云,hao'qi'gan'yun
嚎啕大哭,hao'tao'da'ku
毫无顾忌,hao'wu'gu'ji
毫无情趣,hao'wu'qing'qu
毫无兴趣,hao'wu'xing'qu
毫无形象,hao'wu'xing'xiang
毫无征兆,hao'wu'zheng'zhao
毫无作用,hao'wu'zuo'yong
和谐美好,he'xie'mei'hao
狠辣恶毒,hen'la'e'du
狠辣无情,hen'la'wu'qing
洪福齐天,hong'fu'qi'tian
红纱飘扬,hong'sha'piao'yang
厚颜无耻,hou'yan'wu'chi
蝴蝶翩跹,hu'die'pian'xian
花瓣凋零,hua'ban'diao'ling
花瓣艳红,hua'ban'yan'hong
花草争艳,hua'cao'zheng'yan
花开两朵,hua'kai'liang'duo
花谢月缺,hua'xie'yue'que
话中有话,hua'zhong'you'hua
患得患失,huan'de'huan'shi
欢声笑语,huan'sheng'xiao'yu
恍若仙境,huang'ruo'xian'jing
绘声绘色,hui'sheng'hui'se
毁尸灭迹,hui'shi'mie'ji
浑身燥热,hun'shen'zao're
火急火燎,huo'ji'huo'liao
火冒三丈,huo'mao'san'zhang
脊梁弯曲,ji'liang'wan'qu
鸡皮疙瘩,ji'pi'ge'da
记忆犹新,ji'yi'you'xin
