保卫部,bao'wei'bu
保卫处,bao'wei'chu
北京电子能谱中心,bei'jing'dian'zi'neng'pu'zhong'xin
北京电子显微镜中心,bei'jing'dian'zi'xian'wei'jing'zhong'xin
北区办,bei'qu'ban
材料科学与工程系,cai'liao'ke'xue'yu'gong'cheng'xi
材料学院,cai'liao'xue'yuan
财务处,cai'wu'chu
城市规划系,cheng'shi'gui'hua'xi
诚志股份,cheng'zhi'gu'fen
出版社,chu'ban'she
出土文献研究与保护中心,chu'tu'wen'xian'yan'jiu'yu'bao'hu'zhong'xin
传播学院,chuan'bo'xue'yuan
创新创业与战略系,chuang'xin'chuang'ye'yu'zhan'lue'xi
大学与企业合作委员会,da'xue'yu'qi'ye'he'zuo'wei'yuan'hui
蛋白质科学教育部重点实验室,dan'bai'zhi'ke'xue'jiao'yu'bu'zhong'dian'shi'yan'shi
蛋白质药物北京市重点实验室,dan'bai'zhi'yao'wu'bei'jing'shi'zhong'dian'shi'yan'shi
档案馆,dang'an'guan
党办,dang'ban
党办校办,dang'ban'xiao'ban
党委办公室,dang'wei'ban'gong'shi
党委保卫部,dang'wei'bao'wei'bu
党委统战部,dang'wei'tong'zhan'bu
党委武装部,dang'wei'wu'zhuang'bu
党委宣传部,dang'wei'xuan'chuan'bu
党委学生部,dang'wei'xue'sheng'bu
党委组织部,dang'wei'zu'zhi'bu
第二附属医院,di'er'fu'shu'yi'yuan
第二附中,di'er'fu'zhong
低维量子物理国家重点实验室,di'wei'liang'zi'wu'li'guo'jia'zhong'dian'shi'yan'shi
第一附属医院,di'yi'fu'shu'yi'yuan
电工厂,dian'gong'chang
电工电子学教学实验中心,dian'gong'dian'zi'xue'jiao'xue'shi'yan'zhong'xin
电工电子中心,dian'gong'dian'zi'zhong'xin
电化教育中心,dian'hua'jiao'yu'zhong'xin
电机工程与应用电子技术,dian'ji'gong'cheng'yu'ying'yong'dian'zi'ji'shu
电教中心,dian'jiao'zhong'xin
电子工程系,dian'zi'gong'cheng'xi
对外学术文化交流中心,dui'wai'xue'shu'wen'hua'jiao'liu'zhong'xin
二附中,er'fu'zhong
法学院,fa'xue'yuan
发展研院,fa'zhan'yan'yuan
房地产管理处,fang'di'chan'guan'li'chu
房管处,fang'guan'chu
放射性防护室,fang'she'xing'fang'hu'shi
房屋安全鉴定室,fang'wu'an'quan'jian'ding'shi
房屋管理中心,fang'wu'guan'li'zhong'xin
分析中心,fen'xi'zhong'xin
附小,fu'xiao
附中,fu'zhong
高等研究中心,gao'deng'yan'jiu'zhong'xin
高校德育研究中心,gao'xiao'de'yu'yan'jiu'zhong'xin
工程力学系,gong'cheng'li'xue'xi
工程物理系,gong'cheng'wu'li'xi
公共管理学院,gong'gong'guan'li'xue'yuan
工会,gong'hui
功能材料国际联合研究中心,gong'neng'cai'liao'guo'ji'lian'he'yan'jiu'zhong'xin
工业工程系,gong'ye'gong'cheng'xi
工业酶国家工程实验室联合,gong'ye'mei'guo'jia'gong'cheng'shi'yan'shi'lian'he
工业生物催化教育部重点实验室,gong'ye'sheng'wu'cui'hua'jiao'yu'bu'zhong'dian'shi'yan'shi
管理科学与工程系,guan'li'ke'xue'yu'gong'cheng'xi
国防教育与人才培养办公室,guo'fang'jiao'yu'yu'ren'cai'pei'yang'ban'gong'shi
国际处,guo'ji'chu
国际关系系,guo'ji'guan'xi'xi
国际合作与交流处,guo'ji'he'zuo'yu'jiao'liu'chu
国家服务外包人力资源研究院,guo'jia'fu'wu'wai'bao'ren'li'zi'yuan'yan'jiu'yuan
国家文化产业研究中心,guo'jia'wen'hua'chan'ye'yan'jiu'zhong'xin
海外宣传办公室,hai'wai'xuan'chuan'ban'gong'shi
航天航空学院,hang'tian'hang'kong'xue'yuan
河北院,he'bei'yuan
核电技术教育部工程研究中心,he'dian'ji'shu'jiao'yu'bu'gong'cheng'yan'jiu'zhong'xin
核检测技术北京市重点实验室,he'jian'ce'ji'shu'bei'jing'shi'zhong'dian'shi'yan'shi
核能技术设计研究院,he'neng'ji'shu'she'ji'yan'jiu'yuan
核能与新能源技术研究院,he'neng'yu'xin'neng'yuan'ji'shu'yan'jiu'yuan
核算中心,he'suan'zhong'xin
核研院,he'yan'yuan
后勤处,hou'qin'chu
后勤管理处,hou'qin'guan'li'chu
后勤核算中心,hou'qin'he'suan'zhong'xin
后勤会计核算中心,hou'qin'kuai'ji'he'suan'zhong'xin
化学工程联合国家重点实验室,hua'xue'gong'cheng'lian'he'guo'jia'zhong'dian'shi'yan'shi
化学工程系,hua'xue'gong'cheng'xi
化学系,hua'xue'xi
环境科学与工程系,huan'jing'ke'xue'yu'gong'cheng'xi
环境影响评价室,huan'jing'ying'xiang'ping'jia'shi
环境质量检测中心,huan'jing'zhi'liang'jian'ce'zhong'xin
集成光电子学国家重点实验室,ji'cheng'guang'dian'zi'xue'guo'jia'zhong'dian'shi'yan'shi
基础工业训练中心,ji'chu'gong'ye'xun'lian'zhong'xin
基建处,ji'jian'chu
纪检委,ji'jian'wei
继教学院,ji'jiao'xue'yuan
基金会,ji'jin'hui
纪律检查委员会,ji'lv'jian'cha'wei'yuan'hui
技术创新研究中心,ji'shu'chuang'xin'yan'jiu'zhong'xin
技术经济与管理系,ji'shu'jing'ji'yu'guan'li'xi
计算机科学与技术系,ji'suan'ji'ke'xue'yu'ji'shu'xi
计算机与信息管理中心,ji'suan'ji'yu'xin'xi'guan'li'zhong'xin
计算中心,ji'suan'zhong'xin
机械工程系,ji'xie'gong'cheng'xi
机械工程学院,ji'xie'gong'cheng'xue'yuan
继续教育学院,ji'xu'jiao'yu'xue'yuan
监察工作委员会,jian'cha'gong'zuo'wei'yuan'hui
监察室,jian'cha'shi
建管系,jian'guan'xi
建设管理系,jian'she'guan'li'xi
建筑环境检测中心,jian'zhu'huan'jing'jian'ce'zhong'xin
建筑技术,jian'zhu'ji'shu
建筑技术科学系,jian'zhu'ji'shu'ke'xue'xi
建筑节能教育部工程研究中心,jian'zhu'jie'neng'jiao'yu'bu'gong'cheng'yan'jiu'zhong'xin
建筑节能研究中心,jian'zhu'jie'neng'yan'jiu'zhong'xin
建筑设计研究院,jian'zhu'she'ji'yan'jiu'yuan
建筑设计院,jian'zhu'she'ji'yuan
建筑系,jian'zhu'xi
建筑学院,jian'zhu'xue'yuan
交叉信息研究院,jiao'cha'xin'xi'yan'jiu'yuan
教培处,jiao'pei'chu
教务处,jiao'wu'chu
教研所,jiao'yan'suo
教育部在线教育研究中心,jiao'yu'bu'zai'xian'jiao'yu'yan'jiu'zhong'xin
教育基金会,jiao'yu'ji'jin'hui
教育培训管理处,jiao'yu'pei'xun'guan'li'chu
教育研究所,jiao'yu'yan'jiu'suo
接待服务部,jie'dai'fu'wu'bu
接待服务中心,jie'dai'fu'wu'zhong'xin
接待中心,jie'dai'zhong'xin
街道办,jie'dao'ban
街道办事处,jie'dao'ban'shi'chu
结构工程检测中心,jie'gou'gong'cheng'jian'ce'zhong'xin
金融系,jin'rong'xi
金融学院,jin'rong'xue'yuan
金属工艺学教研室,jin'shu'gong'yi'xue'jiao'yan'shi
景观学系,jing'guan'xue'xi
经济管理学院,jing'ji'guan'li'xue'yuan
经济系,jing'ji'xi
精密仪器系,jing'mi'yi'qi'xi
精密仪器与机械学系,jing'mi'yi'qi'yu'ji'xie'xue'xi
精细陶瓷北京市重点实验室,jing'xi'tao'ci'bei'jing'shi'zhong'dian'shi'yan'shi
经营性资产管理办公室,jing'ying'xing'zi'chan'guan'li'ban'gong'shi
经资办,jing'zi'ban
就业发展指导中心,jiu'ye'fa'zhan'zhi'dao'zhong'xin
科技开发部,ke'ji'kai'fa'bu
科技园,ke'ji'yuan
科教政策研究中心,ke'jiao'zheng'ce'yan'jiu'zhong'xin
科研院,ke'yan'yuan
会计核算中心,kuai'ji'he'suan'zhong'xin
会计系,kuai'ji'xi
劳动服务管理办公室,lao'dong'fu'wu'guan'li'ban'gong'shi
历史系,li'shi'xi
离退休处,li'tui'xiu'chu
离退休工作处,li'tui'xiu'gong'zuo'chu
理学院,li'xue'yuan
两办,liang'ban
临床医院,lin'chuang'yi'yuan
领导力与组织管理系,ling'dao'li'yu'zu'zhi'guan'li'xi
绿办,lv'ban
马克思主义学院,ma'ke'si'zhu'yi'xue'yuan
马克思主义研究中心,ma'ke'si'zhu'yi'yan'jiu'zhong'xin
马研中心,ma'yan'zhong'xin
美术学院,mei'shu'xue'yuan
摩擦学国家重点实验室,mo'ca'xue'guo'jia'zhong'dian'shi'yan'shi
膜材料与工程北京市重点实验室,mo'cai'liao'yu'gong'cheng'bei'jing'shi'zhong'dian'shi'yan'shi
膜生物学国家重点实验室,mo'sheng'wu'xue'guo'jia'zhong'dian'shi'yan'shi
派出所,pai'chu'suo
普适计算教育部重点实验室,pu'shi'ji'suan'jiao'yu'bu'zhong'dian'shi'yan'shi
汽车安全与节能国家重点实验室,qi'che'an'quan'yu'jie'neng'guo'jia'zhong'dian'shi'yan'shi
汽车工程系,qi'che'gong'cheng'xi
汽车院,qi'che'yuan
企合委,qi'he'wei
企业管理系,qi'ye'guan'li'xi
企业战略系,qi'ye'zhan'lue'xi
企业战略与政策系,qi'ye'zhan'lue'yu'zheng'ce'xi
清华大学医院,qing'hua'da'xue'yi'yuan
清华控股,qing'hua'kong'gu
丘成桐数学科学中心,qiu'cheng'tong'shu'xue'ke'xue'zhong'xin
热能工程系,re'neng'gong'cheng'xi
人才中心,ren'cai'zhong'xin
人力资源系,ren'li'zi'yuan'xi
人事处,ren'shi'chu
人文社会科学学院,ren'wen'she'hui'ke'xue'xue'yuan
人文学院,ren'wen'xue'yuan
软件技术中心,ruan'jian'ji'shu'zhong'xin
软件学院,ruan'jian'xue'yuan
软件中心,ruan'jian'zhong'xin
社会科学学院,she'hui'ke'xue'xue'yuan
社科学院,she'ke'xue'yuan
审计室,shen'ji'shi
神经调控技术国家工程实验室,shen'jing'tiao'kong'ji'shu'guo'jia'gong'cheng'shi'yan'shi
深研院,shen'yan'yuan
深圳研究生院,shen'zhen'yan'jiu'sheng'yuan
生物科学与技术系,sheng'wu'ke'xue'yu'ji'shu'xi
生物芯片北京国家工程研究中心,sheng'wu'xin'pian'bei'jing'guo'jia'gong'cheng'yan'jiu'zhong'xin
生物信息学教育部重点实验室,sheng'wu'xin'xi'xue'jiao'yu'bu'zhong'dian'shi'yan'shi
生医系,sheng'yi'xi
市场营销系,shi'chang'ying'xiao'xi
世纪发展研究院,shi'ji'fa'zhan'yan'jiu'yuan
实验室处,shi'yan'shi'chu
实验室与设备处,shi'yan'shi'yu'she'bei'chu
