巴戟天,ba'ji'tian
百合,bai'he
白何首乌,bai'he'shou'wu
白芍,bai'shao
白芷,bai'zhi
白术,bai'zhu
柏子仁,bai'zi'ren
板蓝根,ban'lan'gen
板栗,ban'li
薄荷,bo'he
苍术,cang'zhu
茶叶,cha'ye
柴葛根,chai'ge'gen
柴胡,chai'hu
陈皮,chen'pi
赤何首乌,chi'he'shou'wu
赤芍,chi'shao
川芎,chuan'xiong
刺五加根,ci'wu'jia'gen
刺五加皮,ci'wu'jia'pi
刺五加叶,ci'wu'jia'ye
大黄,da'huang
大茴香,da'hui'xiang
大青叶,da'qing'ye
大枣,da'zao
丹参,dan'shen
当归,dang'gui
党参,dang'shen
冬凌草,dong'ling'cao
独活,du'huo
杜仲皮,du'zhong'pi
杜仲叶,du'zhong'ye
莪术,e'zhu
防风,fang'feng
榧子,fei'zi
粉葛根,fen'ge'gen
甘草,gan'cao
干姜,gan'jiang
高良姜,gao'liang'jiang
桂圆,gui'yuan
核桃果,he'tao'guo
荷叶,he'ye
红花,hong'hua
红景天,hong'jing'tian
红毛刺五加皮,hong'mao'ci'wu'jia'pi
厚朴,hou'pu
胡椒,hu'jiao
虎杖,hu'zhang
花椒,hua'jiao
槐米,huai'mi
黄柏,huang'bai
黄精,huang'jing
黄芪,huang'qi
黄芩,huang'qin
蒺藜,ji'li
鸡血藤,ji'xue'teng
姜黄,jiang'huang
绞股蓝,jiao'gu'lan
桔梗,jie'geng
金银花,jin'yin'hua
荆芥,jing'jie
菊花,ju'hua
蕨菜,jue'cai
蕨根,jue'gen
决明子,jue'ming'zi
苦参,ku'shen
苦杏仁,ku'xing'ren
款冬根,kuan'dong'gen
款冬花,kuan'dong'hua
辣根,la'gen
莲藕,lian'ou
连翘,lian'qiao
莲心,lian'xin
莲子,lian'zi
罗汉果,luo'han'guo
麦门冬,mai'men'dong
没药,mei'yao
魔芋,mo'yu
牡丹皮,mu'dan'pi
木瓜,mu'gua
牛蒡根,niu'bang'gen
牛蒡子,niu'bang'zi
牛膝,niu'xi
女贞子,nv'zhen'zi
平贝母,ping'bei'mu
蒲公英,pu'gong'ying
羌活,qiang'huo
秦艽,qin'jiao
青皮,qing'pi
忍冬藤,ren'dong'teng
人参,ren'shen
肉苁蓉,rou'cong'rong
肉桂,rou'gui
三七,san'qi
桑椹果,sang'shen'guo
沙棘,sha'ji
砂仁,sha'ren
沙参,sha'shen
山桃仁,shan'tao'ren
山药,shan'yao
山楂,shan'zha
山茱萸,shan'zhu'yu
商陆,shang'lu
蛇床子,she'chuang'zi
生地黄,sheng'di'huang
升麻,sheng'ma
柿饼,shi'bing
柿蒂,shi'di
石斛,shi'hu
石莲子,shi'lian'zi
石榴,shi'liu
石榴皮,shi'liu'pi
石榴子,shi'liu'zi
熟地黄,shu'di'huang
水飞蓟,shui'fei'ji
酸枣仁,suan'zao'ren
娑罗子,suo'luo'zi
锁阳,suo'yang
檀香,tan'xiang
桃仁,tao'ren
天冬,tian'dong
天花粉,tian'hua'fen
天南星,tian'nan'xing
甜杏仁,tian'xing'ren
菟丝子,tu'si'zi
无花果,wu'hua'guo
五加皮,wu'jia'pi
乌梅,wu'mei
五味子,wu'wei'zi
细辛,xi'xin
西洋参,xi'yang'shen
夏枯草,xia'ku'cao
鲜柿,xian'shi
香附子,xiang'fu'zi
小茴香,xiao'hui'xiang
辛夷花,xin'yi'hua
玄参,xuan'shen
延胡索,yan'hu'suo
野菊花,ye'ju'hua
野生猕猴桃,ye'sheng'mi'hou'tao
野生山葡萄,ye'sheng'shan'pu'tao
薏苡仁,yi'yi'ren
银杏果,yin'xing'guo
银杏叶,yin'xing'ye
淫羊藿,yin'yang'huo
郁金,yu'jin
鱼腥草,yu'xing'cao
玉竹,yu'zhu
远志,yuan'zhi
月见草,yue'jian'cao
泽兰,ze'lan
泽泻,ze'xie
枳壳,zhi'ke
知母,zhi'mu
枳实,zhi'shi
栀子,zhi'zi
孜然,zi'ran
紫锥菊,zi'zhui'ju
