半自动步枪,ban'zi'dong'bu'qiang
表尺距离,biao'chi'ju'li
表尺危险界,biao'chi'wei'xian'jie
标定射击,biao'ding'she'ji
标准射击条件,biao'zhun'she'ji'tiao'jian
步兵武器,bu'bing'wu'qi
步枪,bu'qiang
侧射,ce'she
常用表尺,chang'yong'biao'chi
超越射,chao'yue'she
超越射击,chao'yue'she'ji
冲锋枪,chong'feng'qiang
重弹,chong'tan
初速,chu'su
穿甲燃烧弹,chuan'jia'ran'shao'dan
刺刀,ci'dao
存速,cun'su
待机射击,dai'ji'she'ji
单兵火箭,dan'bing'huo'jian
弹道,dan'dao
弹道低,dan'dao'di
弹道高,dan'dao'gao
弹道切线,dan'dao'qie'xian
弹道学,dan'dao'xue
弹道要素,dan'dao'yao'su
弹道最高点,dan'dao'zui'gao'dian
单个目标,dan'ge'mu'biao
单管,dan'guan
单箭,dan'jian
弹壳,dan'ke
弹头,dan'tou
弹头动能,dan'tou'dong'neng
弹头活力,dan'tou'huo'li
弹头降落量,dan'tou'jiang'luo'liang
弹头终点,dan'tou'zhong'dian
弹着点,dan'zhuo'dian
底火,di'huo
抵近射击,di'jin'she'ji
低空目标,di'kong'mu'biao
低伸弹道,di'shen'dan'dao
地形倾斜角,di'xing'qing'xie'jiao
点射,dian'she
定偏,ding'pian
短停顿射击,duan'ting'dun'she'ji
对飞机射击,dui'fei'ji'she'ji
对抗射击,dui'kang'she'ji
对空射击,dui'kong'she'ji
对伞兵射击,dui'san'bing'she'ji
对一点射击,dui'yi'dian'she'ji
多管,duo'guan
发射,fa'she
发射差角,fa'she'cha'jiao
发射角,fa'she'jiao
发射线,fa'she'xian
发射药,fa'she'yao
发弹,fa'tan
法线角,fa'xian'jiao
发扬火力,fa'yang'huo'li
反坦克手榴弹,fan'tan'ke'shou'liu'dan
高低角,gao'di'jiao
高低精瞄机,gao'di'jing'miao'ji
高射,gao'she
高射火器,gao'she'huo'qi
高射机枪,gao'she'ji'qiang
公算偏差,gong'suan'pian'cha
固定目标,gu'ding'mu'biao
贯穿力,guan'chuan'li
海上目标,hai'shang'mu'biao
和风,he'feng
横风,heng'feng
横风修正量,heng'feng'xiu'zheng'liang
横宽目标,heng'kuan'mu'biao
后坐,hou'zuo
后坐力,hou'zuo'li
火箭筒,huo'jian'tong
火力,huo'li
火力点,huo'li'dian
火器,huo'qi
火身口水平面,huo'shen'kou'shui'ping'mian
火身口压力,huo'shen'kou'ya'li
基本射击,ji'ben'she'ji
机关枪,ji'guan'qiang
机枪,ji'qiang
集束箭,ji'shu'jian
集团目标,ji'tuan'mu'biao
间隙射,jian'xi'she
间隙射击,jian'xi'she'ji
箭形枪弹,jian'xing'qiang'dan
检验射击,jian'yan'she'ji
降弧,jiang'hu
交叉射,jiao'cha'she
脚架,jiao'jia
精速度射击,jing'su'du'she'ji
考核射击,kao'he'she'ji
空中目标,kong'zhong'mu'biao
口径,kou'jing
理论射速,li'lun'she'su
连发,lian'fa
连发精度,lian'fa'jing'du
连发射击,lian'fa'she'ji
榴弹发射器,liu'dan'fa'she'qi
落点,luo'dian
落角,luo'jiao
密位,mi'wei
密位公式,mi'wei'gong'shi
瞄准,miao'zhun
瞄准角,miao'zhun'jiao
瞄准具,miao'zhun'ju
瞄准线,miao'zhun'xian
瞄准线上的弹道高,miao'zhun'xian'shang'de'dan'dao'gao
瞄准要素,miao'zhun'yao'su
命中公算,ming'zhong'gong'suan
命中角,ming'zhong'jiao
命中目标,ming'zhong'mu'biao
末速,mo'su
目标,mu'biao
内弹道,nei'dan'dao
内弹道学,nei'dan'dao'xue
平均弹道,ping'jun'dan'dao
平均弹着点,ping'jun'dan'zhuo'dian
平射,ping'she
普通弹,pu'tong'tan
起点,qi'dian
起动压力,qi'dong'ya'li
枪弹,qiang'dan
强风,qiang'feng
枪管堪抗力,qiang'guan'kan'kang'li
枪架,qiang'jia
枪口,qiang'kou
