白毒伞,bai'du'san
赤霉病麦,chi'mei'bing'mai
单端胞霉烯族化合物,dan'duan'bao'mei'xi'zu'hua'he'wu
毒伞,du'san
毒伞肽类,du'san'tai'lei
毒肽类,du'tai'lei
毒蝇碱,du'ying'jian
毒蝇伞蕈,du'ying'san'xun
甘薯长喙壳菌,gan'shu'chang'hui'ke'jun
甘薯酮醇宁,gan'shu'tong'chun'ning
茛菪碱,gen'dang'jian
光盖伞素,guang'gai'san'su
光过敏性皮炎型,guang'guo'min'xing'pi'yan'xing
含氰苷类,han'qing'gan'lei
黑伞蕈属,hei'san'xun'shu
花摺伞属,hua'zhe'san'shu
幻觉原,huan'jue'yuan
节菱孢霉,jie'ling'bao'mei
橘黄裸伞蕈,ju'huang'luo'san'xun
蜡子树酸,la'zi'shu'suan
类树脂物质毒素,lei'shu'zhi'wu'zhi'du'su
镰刀菌菌种,lian'dao'jun'jun'zhong
鹿花毒素,lu'hua'du'su
鹿花蕈,lu'hua'xun
麦角胺,mai'jiao'an
麦角克碱,mai'jiao'ke'jian
麦角新碱,mai'jiao'xin'jian
麦角异胺,mai'jiao'yi'an
麦角异克碱,mai'jiao'yi'ke'jian
麦角异新碱,mai'jiao'yi'xin'jian
茄碱,qie'jian
日光性皮炎,ri'guang'xing'pi'yan
石房蛤毒素,shi'fang'ge'du'su
丝盖伞蕈,si'gai'san'xun
脱磷酸光盖伞素,tuo'lin'suan'guang'gai'san'su
玉米赤霉烯酮类,yu'mi'chi'mei'xi'tong'lei
猪嘴蘑,zhu'zui'mo
