白切牛百叶,bai'qie'niu'bai'ye
白切虾,bai'qie'xia
板粟烧鸡,ban'su'shao'ji
草鱼,cao'yu
茶树菇烧鸡,cha'shu'gu'shao'ji
炒时蔬,chao'shi'shu
豉汁蒸排骨,chi'zhi'zheng'pai'gu
重庆火锅鱼,chong'qing'huo'guo'yu
重庆口水鸡,chong'qing'kou'shui'ji
重庆辣子鸡,chong'qing'la'zi'ji
重庆水煮鱼,chong'qing'shui'zhu'yu
葱花煎蛋,cong'hua'jian'dan
脆皮肠,cui'pi'chang
带皮黄牛肉,dai'pi'huang'niu'rou
冬菇炖鸡汤,dong'gu'dun'ji'tang
冬菇蒸滑鸡,dong'gu'zheng'hua'ji
豆腐,dou'fu
豆芽,dou'ya
肚片,du'pian
剁椒大白菜,duo'jiao'da'bai'cai
剁椒大鱼头,duo'jiao'da'yu'tou
剁椒田鸡煲,duo'jiao'tian'ji'bao
剁椒蒸大白菜,duo'jiao'zheng'da'bai'cai
剁椒蒸芋头,duo'jiao'zheng'yu'tou
肥肠,fei'chang
肥肠烧鳝鱼,fei'chang'shao'shan'yu
粉条,fen'tiao
夫妻肺片,fu'qi'fei'pian
干煸肥肠,gan'bian'fei'chang
干煸鳝鱼,gan'bian'shan'yu
干煸四季豆,gan'bian'si'ji'dou
干煸土豆丝,gan'bian'tu'dou'si
干锅茶树菇,gan'guo'cha'shu'gu
干锅带皮黄牛肉,gan'guo'dai'pi'huang'niu'rou
干锅带皮驴肉,gan'guo'dai'pi'lv'rou
干锅肥肠,gan'guo'fei'chang
干锅狗肉,gan'guo'gou'rou
干锅黄骨鱼,gan'guo'huang'gu'yu
干锅黄鳝,gan'guo'huang'shan
干锅鸡杂,gan'guo'ji'za
干锅麻虾,gan'guo'ma'xia
干锅牛肉,gan'guo'niu'rou
干锅啤酒鸭,gan'guo'pi'jiu'ya
干锅飘香手撕鸡,gan'guo'piao'xiang'shou'si'ji
干锅手撕包菜,gan'guo'shou'si'bao'cai
干锅田鸡,gan'guo'tian'ji
干锅土鸡,gan'guo'tu'ji
干锅野猪肉,gan'guo'ye'zhu'rou
干锅攸县豆腐,gan'guo'you'xian'dou'fu
干锅猪肚,gan'guo'zhu'du
干妈回锅鱼,gan'ma'hui'guo'yu
干烧鲫鱼,gan'shao'ji'yu
干烧泡椒兔,gan'shao'pao'jiao'tu
干烧啤酒鸭,gan'shao'pi'jiu'ya
干炸酥肉,gan'zha'su'rou
宫保鸡丁,gong'bao'ji'ding
狗肉,gou'rou
狗肉火锅,gou'rou'huo'guo
锅巴肉片,guo'ba'rou'pian
过桥牛百叶,guo'qiao'niu'bai'ye
海带,hai'dai
海带排骨汤,hai'dai'pai'gu'tang
蚝油生菜,hao'you'sheng'cai
红烧草鱼,hong'shao'cao'yu
红烧鲤鱼,hong'shao'li'yu
红烧排骨,hong'shao'pai'gu
红烧鱼块,hong'shao'yu'kuai
虎皮尖椒,hu'pi'jian'jiao
滑肉汤,hua'rou'tang
黄鳝福寿鱼,huang'shan'fu'shou'yu
回锅腊肉,hui'guo'la'rou
火爆肥肠,huo'bao'fei'chang
火爆腰花,huo'bao'yao'hua
火爆猪肚,huo'bao'zhu'du
火爆猪肝,huo'bao'zhu'gan
火腿肠,huo'tui'chang
鸡杂,ji'za
家常豆腐,jia'chang'dou'fu
家常千张,jia'chang'qian'zhang
酱板鸭,jiang'ban'ya
椒盐排骨,jiao'yan'pai'gu
椒盐虾,jiao'yan'xia
金针菇,jin'zhen'gu
金针菇肉丝,jin'zhen'gu'rou'si
金针菇肉丝汤,jin'zhen'gu'rou'si'tang
京酱肉丝,jing'jiang'rou'si
腊肉火锅,la'rou'huo'guo
老干妈蒸田鸡,lao'gan'ma'zheng'tian'ji
莲藕,lian'ou
凉拌海带,liang'ban'hai'dai
凉拌金针菇,liang'ban'jin'zhen'gu
凉拌苦瓜,liang'ban'ku'gua
凉拌莲藕,liang'ban'lian'ou
凉拌牛肚,liang'ban'niu'du
凉拌皮蛋,liang'ban'pi'dan
凉拌通菜,liang'ban'tong'cai
