白沙,bai'sha
柏林,bo'lin
蔡家,cai'jia
槽坊街,cao'fang'jie
慈云,ci'yun
德感,de'gan
德感工业园,de'gan'gong'ye'yuan
刁新友,diao'xin'you
东方红,dong'fang'hong
杜市,du'shi
福禄来,fu'lu'lai
关海翔,guan'hai'xiang
广兴,guang'xing
郭家富,guo'jia'fu
荷花米花糖,he'hua'mi'hua'tang
几江,ji'jiang
嘉平,jia'ping
贾嗣,jia'si
江津,jiang'jin
江津老白干,jiang'jin'lao'bai'gan
骄王花椒,jiao'wang'hua'jiao
金江津,jin'jiang'jin
琅山,lang'shan
李市,li'shi
李树明,li'shu'ming
刘新跃,liu'xin'yue
龙华,long'hua
珞璜,luo'huang
珞璜工业园,luo'huang'gong'ye'yuan
罗学蓬,luo'xue'peng
玫瑰米花糖,mei'gui'mi'hua'tang
米花糖,mi'hua'tang
聂高贵,nie'gao'gui
聂荣臻,nie'rong'zhen
秦敏,qin'min
石蟆,shi'ma
石门,shi'men
石诗龙,shi'shi'long
双福,shuang'fu
双福工业园,shuang'fu'gong'ye'yuan
双福新区,shuang'fu'xin'qu
顺发麻糖杆,shun'fa'ma'tang'gan
四面山,si'mian'shan
塘河,tang'he
陶长海,tao'chang'hai
王君成,wang'jun'cheng
王其富,wang'qi'fu
王银锋,wang'yin'feng
吴芳吉,wu'fang'ji
吴滩,wu'tan
吴永富,wu'yong'fu
西湖,xi'hu
夏坝,xia'ba
先锋,xian'feng
杨利,yang'li
油溪,you'xi
张晓江,zhang'xiao'jiang
支坪,zhi'ping
中山,zhong'shan
中山古镇,zhong'shan'gu'zhen
钟云舫,zhong'yun'fang
周德勋,zhou'de'xun
朱杨,zhu'yang
邹勇,zou'yong
