背包,bei'bao
并查集,bing'cha'ji
长整型,chang'zheng'xing
超长整形,chao'chang'zheng'xing
超长字符串,chao'chang'zi'fu'chuan
打表,da'biao
单调队列,dan'diao'dui'lie
单源最短路径,dan'yuan'zui'duan'lu'jing
递归,di'gui
递推,di'tui
动规,dong'gui
动态规划,dong'tai'gui'hua
堆排序,dui'pai'xu
多重背包,duo'chong'bei'bao
多维动态规划,duo'wei'dong'tai'gui'hua
多维数组,duo'wei'shu'zu
二叉树,er'cha'shu
二分查找,er'fen'cha'zhao
二分答案,er'fen'da'an
二维数组,er'wei'shu'zu
分治,fen'zhi
高精,gao'jing
高精度算法,gao'jing'du'suan'fa
广度优先搜索,guang'du'you'xian'sou'suo
归并排序,gui'bing'pai'xu
哈希表,ha'xi'biao
集合,ji'he
记录,ji'lu
记忆化搜索,ji'yi'hua'sou'suo
剪枝,jian'zhi
交叉模拟,jiao'cha'mo'ni
阶乘,jie'cheng
快速排序,kuai'su'pai'xu
宽搜,kuan'sou
零一背包,ling'yi'bei'bao
冒泡排序,mao'pao'pai'xu
模拟,mo'ni
排序,pai'xu
强连通,qiang'lian'tong
三维数组,san'wei'shu'zu
筛法求素数,shai'fa'qiu'su'shu
深度优先搜索,shen'du'you'xian'sou'suo
深搜,shen'sou
数据结构,shu'ju'jie'gou
树形数据结构,shu'xing'shu'ju'jie'gou
数学,shu'xue
数组,shu'zu
搜索,sou'suo
贪心,tan'xin
图论,tu'lun
完全背包,wan'quan'bei'bao
无向图,wu'xiang'tu
希尔排序,xi'er'pai'xu
线段树,xian'duan'shu
线性动态规划,xian'xing'dong'tai'gui'hua
线性筛素数,xian'xing'shai'su'shu
线性数据结构,xian'xing'shu'ju'jie'gou
选择排序,xuan'ze'pai'xu
一维数组,yi'wei'shu'zu
有向图,you'xiang'tu
约瑟夫问题,yue'se'fu'wen'ti
子段和,zi'duan'he
字符串,zi'fu'chuan
最大子段和,zui'da'zi'duan'he
最小生成树,zui'xiao'sheng'cheng'shu
