爱国奖券,ai'guo'jiang'quan
隘勇线,ai'yong'xian
八十年代三件大事,ba'shi'nian'dai'san'jian'da'shi
本土化,ben'tu'hua
变相三通,bian'xiang'san'tong
赤嵌城,chi'qian'cheng
处变不惊庄敬自强,chu'bian'bu'jing'zhuang'jing'zi'qiang
慈惠堂,ci'hui'tang
大湖帮,da'hu'bang
大家乐,da'jia'le
大陆籍第二代,da'lu'ji'di'er'dai
大陆籍第一代,da'lu'ji'di'yi'dai
道教,dao'jiao
等待尘埃落定政策,deng'dai'chen'ai'luo'ding'zheng'ce
第二七部队,di'er'qi'bu'dui
第三代,di'san'dai
多体制国家论,duo'ti'zhi'guo'jia'lun
二刘交恶,er'liu'jiao'wu
番社,fan'she
分巡台湾兵备道,fen'xun'tai'wan'bing'bei'dao
分巡台湾道,fen'xun'tai'wan'dao
分巡台厦兵备道,fen'xun'tai'xia'bing'bei'dao
佛教,fo'jiao
高砂国,gao'sha'guo
共祭会,gong'ji'hui
官租,guan'zu
国民党辅选提名制度,guo'min'dang'fu'xuan'ti'ming'zhi'du
荷兰东印度公司,he'lan'dong'yin'du'gong'si
红毛,hong'mao
户警合一,hu'jing'he'yi
户政组织,hu'zheng'zu'zhi
华侨节,hua'qiao'jie
皇民练成所,huang'min'lian'cheng'suo
回教,hui'jiao
基督教,ji'du'jiao
佳山计划,jia'shan'ji'hua
教师节,jiao'shi'jie
紧急处分事项,jin'ji'chu'fen'shi'xiang
军人节,jun'ren'jie
理番同知,li'fan'tong'zhi
理教,li'jiao
联合政见,lian'he'zheng'jian
六合乐,lu'he'le
妈祖,ma'zu
美国第七舰队,mei'guo'di'qi'jian'dui
明郑时代,ming'zheng'shi'dai
母亲节,mu'qin'jie
澎湖游兵,peng'hu'you'bing
七贤帮,qi'xian'bang
清泉冈空军基地,qing'quan'gang'kong'jun'ji'di
日本台湾总督,ri'ben'tai'wan'zong'du
日本延长主义,ri'ben'yan'chang'zhu'yi
日据时期,ri'ju'shi'qi
荣民,rong'min
儒宗神教,ru'zong'shen'jiao
三不原则,san'bu'yuan'ze
三不政策,san'bu'zheng'ce
三化政策,san'hua'zheng'ce
三民主义统一中国,san'min'zhu'yi'tong'yi'zhong'guo
三山国王庙帮,san'shan'guo'wang'miao'bang
社,she
神明会,shen'ming'hui
胜安宫,sheng'an'gong
生番,sheng'fan
十三太保,shi'san'tai'bao
始政纪念日,shi'zheng'ji'nian'ri
熟番,shu'fan
四海帮,si'hai'bang
台独,tai'du
台湾,tai'wan
台湾地方政府,tai'wan'di'fang'zheng'fu
台湾地方自治,tai'wan'di'fang'zi'zhi
台湾地位未定论,tai'wan'di'wei'wei'ding'lun
台湾光复节,tai'wan'guang'fu'jie
台湾基督教长老会,tai'wan'ji'du'jiao'zhang'lao'hui
台湾基督徒自决协会,tai'wan'ji'du'tu'zi'jue'xie'hui
台湾戒严时期,tai'wan'jie'yan'shi'qi
台湾卖却论,tai'wan'mai'que'lun
台湾民主国,tai'wan'min'zhu'guo
台湾青年节,tai'wan'qing'nian'jie
台湾绅章规则,tai'wan'shen'zhang'gui'ze
台湾万税,tai'wan'wan'shui
台湾行政区划,tai'wan'xing'zheng'qu'hua
台湾巡抚,tai'wan'xun'fu
台湾镇总兵,tai'wan'zhen'zong'bing
天道盟,tian'dao'meng
天德圣教,tian'de'sheng'jiao
天地会,tian'di'hui
天理教,tian'li'jiao
天主教,tian'zhu'jiao
童子军,tong'zi'jun
土匪归顺政策,tu'fei'gui'shun'zheng'ce
土匪招降政策,tu'fei'zhao'xiang'zheng'ce
万年国代,wan'nian'guo'dai
文化复兴节,wen'hua'fu'xing'jie
文武合一,wen'wu'he'yi
倭寇,wo'kou
五年讨番计划,wu'nian'tao'fan'ji'hua
西北帮,xi'bei'bang
轩辕教,xuan'yuan'jiao
巡台御史,xun'tai'yu'shi
亚银模式,ya'yin'mo'shi
一府二鹿三艋舺,yi'fu'er'lu'san'meng'xia
一个主权两个治权,yi'ge'zhu'quan'liang'ge'zhi'quan
一贯道,yi'guan'dao
一国两制,yi'guo'liang'zhi
移民三禁,yi'min'san'jin
寓兵于农,yu'bing'yu'nong
斋教,zhai'jiao
郑成功庙,zheng'cheng'gong'miao
政略结婚,zheng'lue'jie'hun
政治革新,zheng'zhi'ge'xin
中国佛教会,zhong'guo'fo'jiao'hui
中国回教协会,zhong'guo'hui'jiao'xie'hui
中华佛教居士会,zhong'hua'fo'jiao'ju'shi'hui
中央民意代表,zhong'yang'min'yi'dai'biao
竹联帮,zhu'lian'bang
壮丁团,zhuang'ding'tuan
