矮坝,ai'ba
隘背,ai'bei
安基山,an'ji'shan
坳背,ao'bei
坳下,ao'xia
八宝洞,ba'bao'dong
坝上,ba'shang
八一九,ba'yi'jiu
坝仔,ba'zai
白沙,bai'sha
半坑,ban'keng
陂角,bei'jiao
陂坑,bei'keng
蹦岗下,beng'gang'xia
滨江广场,bin'jiang'guang'chang
财苟岑下,cai'gou'cen'xia
蔡屋,cai'wu
曹岭,cao'ling
曾黄,ceng'huang
茶坑,cha'keng
茶园,cha'yuan
长排,chang'pai
昌鑫养猪场,chang'xin'yang'zhu'chang
车田,che'tian
程口,cheng'kou
程岭,cheng'ling
程龙,cheng'long
赤仔,chi'zai
初浐,chu'chan
穿下,chuan'xia
大坝,da'ba
大广高速,da'guang'gao'su
大举,da'ju
大埧,da'ju
大坑,da'keng
大坑口,da'keng'kou
大罗,da'luo
大坪,da'ping
大桥,da'qiao
大丘田,da'qiu'tian
大山,da'shan
大塘圳,da'tang'zhen
大田,da'tian
大稳,da'wen
大屋,da'wu
大屋小学,da'wu'xiao'xue
大园,da'yuan
邓公,deng'gong
店背,dian'bei
店下,dian'xia
东村,dong'cun
东瓜坑,dong'gua'keng
东湖,dong'hu
东江,dong'jiang
东坑,dong'keng
东升,dong'sheng
豆头,dou'tou
渡江,du'jiang
对门,dui'men
墩头,dun'tou
鹅井,e'jing
芳洞,fang'dong
峰山,feng'shan
枫树,feng'shu
冯湾,feng'wan
富陂,fu'bei
付背圩,fu'bei'xu
富康,fu'kang
富业,fu'ye
赣粤高速,gan'yue'gao'su
岗上,gang'shang
高峰,gao'feng
高排,gao'pai
埂上围,geng'shang'wei
古坑,gu'keng
关东,guan'dong
观罗下,guan'luo'xia
关西,guan'xi
贯下,guan'xia
圭湖,gui'hu
果龙,guo'long
旱江,han'jiang
旱田,han'tian
河背,he'bei
河坑水库,he'keng'shui'ku
河口,he'kou
贺廊下,he'lang'xia
和平,he'ping
盒山,he'shan
和泰,he'tai
河屋,he'wu
合仔,he'zai
横岗,heng'gang
横坑,heng'keng
宏昌,hong'chang
红梅,hong'mei
红旗,hong'qi
红岩,hong'yan
红杨,hong'yang
湖坑,hu'keng
虎头,hu'tou
胡屋,hu'wu
胡屋厅下,hu'wu'ting'xia
虎岩,hu'yan
湖洋背,hu'yang'bei
花露,hua'lu
花树,hua'shu
花树下,hua'shu'xia
槐树下,huai'shu'xia
黄金,huang'jin
黄坑,huang'keng
黄牛,huang'niu
黄陂,huang'pi
黄沙,huang'sha
会龙,hui'long
籍居头,ji'ju'tou
夹河,jia'he
夹湖,jia'hu
佳吉山,jia'ji'shan
夹水,jia'shui
枧头,jian'tou
江背,jiang'bei
姜湖,jiang'hu
江口,jiang'kou
江头,jiang'tou
江下,jiang'xia
蕉陂,jiao'bei
焦陂,jiao'bei
金都,jin'du
金钩,jin'gou
金虎,jin'hu
金华,jin'hua
金莲,jin'lian
金水,jin'shui
金塘,jin'tang
井岗,jing'gang
井头,jing'tou
九连山,jiu'lian'shan
九龙湾,jiu'long'wan
九曲,jiu'qu
均兴,jun'xing
开泰,kai'tai
客家,ke'jia
坑尾,keng'wei
坑仔,keng'zai
兰屋,lan'wu
老光天前,lao'guang'tian'qian
老桥头,lao'qiao'tou
老屋,lao'wu
老屋场,lao'wu'chang
老屋下,lao'wu'xia
老屋仔,lao'wu'zai
老圩,lao'xu
老镇,lao'zhen
里陂,li'bei
黎明,li'ming
栗坪,li'ping
里仁,li'ren
栗树,li'shu
黎屋,li'wu
李屋,li'wu
栗园,li'yuan
濂江,lian'jiang
莲塘,lian'tang
料坑,liao'keng
廖屋,liao'wu
潦营,liao'ying
林洞,lin'dong
临江,lin'jiang
临塘,lin'tang
林业局苗圃,lin'ye'ju'miao'pu
岭背,ling'bei
领下,ling'xia
刘家庄,liu'jia'zhuang
留坑,liu'keng
刘屋,liu'wu
刘屋厅下,liu'wu'ting'xia
龙陂,long'bei
龙鼎,long'ding
龙井头,long'jing'tou
龙南,long'nan
龙腾,long'teng
龙头滩,long'tou'tan
龙翔,long'xiang
龙秀,long'xiu
龙源,long'yuan
龙泽居,long'ze'ju
龙洲,long'zhou
罗坝,luo'ba
罗埧,luo'ju
罗岭,luo'ling
罗上,luo'shang
罗塘,luo'tang
罗田,luo'tian
罗下,luo'xia
马古,ma'gu
马牯塘,ma'gu'tang
马坪,ma'ping
马屋,ma'wu
茅洞,mao'dong
枚九,mei'jiu
梅子坑,mei'zi'keng
门陂,men'bei
棉土,mian'tu
南亨,nan'heng
泥屋,ni'wu
牛角坑,niu'jiao'keng
欧都,ou'dou
盘石,pan'shi
盆形,pen'xing
坪湖,ping'hu
坪湖九组,ping'hu'jiu'zu
坪湖六组,ping'hu'liu'zu
坪湖四组,ping'hu'si'zu
坪坑,ping'keng
坪上,ping'shang
棋棠山,qi'tang'shan
桥头,qiao'tou
勤业,qin'ye
芹子坑,qin'zi'keng
庆沟排,qing'gou'pai
清源,qing'yuan
润洞,run'dong
洒口,sa'kou
三坳,san'ao
三坳茶场,san'ao'cha'chang
三房,san'fang
三角坪,san'jiao'ping
三坑,san'keng
三联,san'lian
三门,san'men
三星,san'xing
三友,san'you
山背,shan'bei
山前,shan'qian
杉树,shan'shu
杉树小学,shan'shu'xiao'xue
上陂,shang'bei
上峰,shang'feng
上黄,shang'huang
上金陂,shang'jin'bei
上坑,shang'keng
上门陂,shang'men'bei
上庙背,shang'miao'bei
上南背,shang'nan'bei
上社,shang'she
上围,shang'wei
上屋,shang'wu
上新屋,shang'xin'wu
上燕,shang'yan
上游,shang'you
上圳,shang'zhen
上庄,shang'zhuang
石坝,shi'ba
石灰窑下,shi'hui'yao'xia
石角围,shi'jiao'wei
石角子,shi'jiao'zi
石莲,shi'lian
石龙围,shi'long'wei
石门,shi'men
石门框,shi'men'kuang
石桥,shi'qiao
石人,shi'ren
狮山,shi'shan
石下,shi'xia
石峡山,shi'xia'shan
双罗,shuang'luo
水陂面,shui'bei'mian
水东,shui'dong
水口,shui'kou
水尾,shui'wei
水西坝,shui'xi'ba
丝罗,si'luo
松湖,song'hu
松山,song'shan
松山背,song'shan'bei
锁口,suo'kou
塔下,ta'xia
太平居委会,tai'ping'ju'wei'hui
棠河,tang'he
汤湖,tang'hu
塘口,tang'kou
塘犁岭,tang'li'ling
塘尾,tang'wei
塘子,tang'zi
桃江,tao'jiang
甜井,tian'jing
田心,tian'xin
田心围,tian'xin'wei
湾仔,wan'zai
望居,wang'ju
王沙坪,wang'sha'ping
围仔,wei'zai
围足下,wei'zu'xia
汶龙,wen'long
渥江,wo'jiang
武当,wu'dang
乌石,wu'shi
五星,wu'xing
五一,wu'yi
西村,xi'cun
西坑,xi'keng
西坪,xi'ping
西头,xi'tou
下洞,xia'dong
下峰,xia'feng
虾公塘,xia'gong'tang
下寒,xia'han
下湖,xia'hu
下迳,xia'jing
下境,xia'jing
下山角,xia'shan'jiao
下社,xia'she
下湾,xia'wan
下屋,xia'wu
下新,xia'xin
下燕,xia'yan
下灶,xia'zao
下圳,xia'zhen
县农林稀土矿,xian'nong'lin'xi'tu'kuang
仙人,xian'ren
乡联际稀土矿,xiang'lian'ji'xi'tu'kuang
象塘,xiang'tang
乡稀土矿,xiang'xi'tu'kuang
象形,xiang'xing
小井,xiao'jing
晓坑,xiao'keng
肖屋,xiao'wu
小溪,xiao'xi
新陂,xin'bei
新布,xin'bu
新城,xin'cheng
新大,xin'da
新都,xin'du
新丰,xin'feng
新化,xin'hua
新华,xin'hua
新建,xin'jian
新街,xin'jie
新里,xin'li
新莲,xin'lian
新岭,xin'ling
新梅,xin'mei
新民,xin'min
新彭,xin'peng
新生,xin'sheng
新围,xin'wei
新屋,xin'wu
新屋场,xin'wu'chang
新圩,xin'xu
新杨,xin'yang
新友,xin'you
新园,xin'yuan
新圳,xin'zhen
圩上,xu'shang
许屋垇,xu'wu'ao
鸭麻围,ya'ma'wei
盐前坝,yan'qian'ba
杨村,yang'cun
杨岭,yang'ling
杨梅,yang'mei
杨太,yang'tai
杨太湾,yang'tai'wan
尧古段,yao'gu'duan
耀前,yao'qian
瑶前,yao'qian
窑前,yao'qian
瑶上,yao'shang
窑头,yao'tou
叶坊,ye'fang
叶坊细围,ye'fang'xi'wei
叶屋,ye'wu
叶兴,ye'xing
依璐玛,yi'lu'ma
游阁,you'ge
油岭下,you'ling'xia
有余坝,you'yu'ba
余坑,yu'keng
玉坑,yu'keng
玉石仙岩,yu'shi'xian'yan
余田,yu'tian
鱼子潭,yu'zi'tan
员布,yuan'bu
袁屋,yuan'wu
寨背,zhai'bei
寨前,zhai'qian
斩木,zhan'mu
张古段,zhang'gu'duan
樟树,zhang'shu
樟树下,zhang'shu'xia
张屋,zhang'wu
障下,zhang'xia
赵兴,zhao'xing
圳背,zhen'bei
正桂,zheng'gui
中村,zhong'cun
中洞,zhong'dong
中关围,zhong'guan'wei
中和,zhong'he
中迳,zhong'jing
中坑,zhong'keng
中岭,zhong'ling
中坪,zhong'ping
中社,zhong'she
钟屋,zhong'wu
中心,zhong'xin
中兴,zhong'xing
中源,zhong'yuan
周屋,zhou'wu
竹山,zhu'shan
助水,zhu'shui
竹梓,zhu'zi
自力,zi'li
紫霞,zi'xia
邹坑,zou'keng
足洞共大,zu'dong'gong'da
