白马探,bai'ma'tan
白鸟,bai'niao
本堂瑛海,ben'tang'ying'hai
本堂瑛祐,ben'tang'ying'you
博士,bo'shi
步美,bu'mei
赤井秀一,chi'jing'xiu'yi
妃英理,fei'ying'li
高木,gao'mu
工藤新一,gong'teng'xin'yi
工藤有希子,gong'teng'you'xi'zi
工藤优作,gong'teng'you'zuo
光彦,guang'yan
和叶,he'ye
红子,hong'zi
灰原哀,hui'yuan'ai
基德,ji'de
基尔,ji'er
卡梅隆,ka'mei'long
柯南,ke'nan
铃木次郎吉,ling'mu'ci'lang'ji
铃木园子,ling'mu'yuan'zi
毛利兰,mao'li'lan
毛利小五郎,mao'li'xiao'wu'lang
目暮警官,mu'mu'jing'guan
平次,ping'ci
千叶警官,qian'ye'jing'guan
群马县山村刑警,qun'ma'xian'shan'cun'xing'jing
世良真纯,shi'liang'zhen'chun
小林老师,xiao'lin'lao'shi
新出医生,xin'chu'yi'sheng
元太,yuan'tai
詹姆斯,zhan'mu'si
中森警官,zhong'sen'jing'guan
中森青子,zhong'sen'qing'zi
朱蒂,zhu'di
主线人物,zhu'xian'ren'wu
佐藤,zuo'teng
