八儒,ba'ru
百家争鸣,bai'jia'zheng'ming
白莲宗,bai'lian'zong
北方王门,bei'fang'wang'men
北宋五子,bei'song'wu'zi
北宗,bei'zong
本无异宗,ben'wu'yi'zong
本无宗,ben'wu'zong
辨者,bian'zhe
别墨,bie'mo
兵家,bing'jia
般若学,bo're'xue
曹洞宗,cao'dong'zong
禅学,chan'xue
禅宗,chan'zong
禅宗北宗,chan'zong'bei'zong
禅宗南宗,chan'zong'nan'zong
常州学派,chang'zhou'xue'pai
谶纬之学,chen'wei'zhi'xue
程门四弟子,cheng'men'si'di'zi
成实师,cheng'shi'shi
程氏学派,cheng'shi'xue'pai
程朱理学,cheng'zhu'li'xue
程朱学派,cheng'zhu'xue'pai
崇有派,chong'you'pai
春秋公羊学,chun'qiu'gong'yang'xue
慈恩宗,ci'en'zong
大乘,da'cheng
大乘空宗,da'cheng'kong'zong
大乘有宗,da'cheng'you'zong
道德家,dao'de'jia
道德性命之学,dao'de'xing'ming'zhi'xue
道家,dao'jia
道教,dao'jiao
道学,dao'xue
道学六先生,dao'xue'liu'xian'sheng
地论学派,di'lun'xue'pai
东林学派,dong'lin'xue'pai
鹅湖之会,e'hu'zhi'hui
法华宗,fa'hua'zong
法家,fa'jia
法相宗,fa'xiang'zong
法性宗,fa'xing'zong
法眼宗,fa'yan'zong
封建顽固派,feng'jian'wan'gu'pai
佛教,fo'jiao
佛学,fo'xue
复性书院,fu'xing'shu'yuan
改良派,gai'liang'pai
功利之学,gong'li'zhi'xue
公孙龙学派,gong'sun'long'xue'pai
公羊学派,gong'yang'xue'pai
古史辨派,gu'shi'bian'pai
古文经学,gu'wen'jing'xue
管商,guan'shang
关学,guan'xue
管仲学派,guan'zhong'xue'pai
龟山学派,gui'shan'xue'pai
贵无派,gui'wu'pai
国粹派,guo'cui'pai
国家主义派,guo'jia'zhu'yi'pai
汉学,han'xue
合同异派,he'tong'yi'pai
横渠学派,heng'qu'xue'pai
后期墨家,hou'qi'mo'jia
湖湘学派,hu'xiang'xue'pai
华严宗,hua'yan'zong
槐堂诸儒,huai'tang'zhu'ru
幻化宗,huan'hua'zong
黄老道,huang'lao'dao
黄老道家,huang'lao'dao'jia
黄老学派,huang'lao'xue'pai
黄老之学,huang'lao'zhi'xue
黄龙派,huang'long'pai
惠施学派,hui'shi'xue'pai
即色宗,ji'se'zong
稷下之学,ji'xia'zhi'xue
江门之学,jiang'men'zhi'xue
江右王门,jiang'you'wang'men
金华四君子,jin'hua'si'jun'zi
金华学派,jin'hua'xue'pai
金华朱学,jin'hua'zhu'xue
今文经学,jin'wen'jing'xue
荆公新学,jing'gong'xin'xue
净明道,jing'ming'dao
净明忠孝道,jing'ming'zhong'xiao'dao
净土宗,jing'tu'zong
经学,jing'xue
九流十家,jiu'liu'shi'jia
旧学,jiu'xue
俱舍师,ju'she'shi
钜子,ju'zi
考据学,kao'ju'xue
考亭学派,kao'ting'xue'pai
科学派,ke'xue'pai
孔教会,kong'jiao'hui
孔孟之道,kong'meng'zhi'dao
空宗,kong'zong
老庄学派,lao'zhuang'xue'pai
离坚白派,li'jian'bai'pai
理学,li'xue
濂洛关闽,lian'luo'guan'min
濂学,lian'xue
莲宗,lian'zong
临济宗,lin'ji'zong
六家,liu'jia
六家七宗,liu'jia'qi'zong
陆王心学,lu'wang'xin'xue
陆王学派,lu'wang'xue'pai
洛学,luo'xue
吕学,lv'xue
律宗,lv'zong
茅山派,mao'shan'pai
密宗,mi'zong
闽学,min'xue
名家,ming'jia
名理学,ming'li'xue
名学,ming'xue
明州四先生,ming'zhou'si'xian'sheng
墨家,mo'jia
墨家三派,mo'jia'san'pai
墨学,mo'xue
南山宗,nan'shan'zong
南岳系,nan'yue'xi
南中王门,nan'zhong'wang'men
涅槃学派,nie'pan'xue'pai
涅槃宗,nie'pan'zong
农家,nong'jia
毗昙学派,pi'tan'xue'pai
普法宗,pu'fa'zong
朴学,pu'xue
乾嘉学派,qian'jia'xue'pai
青原系,qing'yuan'xi
全真,quan'zhen
全真道,quan'zhen'dao
全真教,quan'zhen'jiao
儒家,ru'jia
儒家八派,ru'jia'ba'pai
儒教,ru'jiao
儒学,ru'xue
三阶教,san'jie'jiao
三陆子之学,san'lu'zi'zhi'xue
三论宗,san'lun'zong
三墨,san'mo
上蔡学派,shang'cai'xue'pai
上海大学,shang'hai'da'xue
上清派,shang'qing'pai
摄论学派,she'lun'xue'pai
申韩,shen'han
申商,shen'shang
事功之学,shi'gong'zhi'xue
识含宗,shi'han'zong
蜀学,shu'xue
思孟学派,si'meng'xue'pai
宋初三先生,song'chu'san'xian'sheng
宋明理学,song'ming'li'xue
宋学,song'xue
宋尹学派,song'yin'xue'pai
太平道,tai'ping'dao
泰州学派,tai'zhou'xue'pai
天师道,tian'shi'dao
天台宗,tian'tai'zong
外学,wai'xue
魏晋玄学,wei'jin'xuan'xue
唯识宗,wei'shi'zong
维新派,wei'xin'pai
纬学,wei'xue
沩仰宗,wei'yang'zong
五斗米道,wu'dou'mi'dao
