阿兰若,a'lan're
阿摩落迦塔,a'mo'luo'jia'ta
阿难陀寺,a'nan'tuo'si
阿育王寺,a'yu'wang'si
阿育王塔,a'yu'wang'ta
安国寺,an'guo'si
安乐行院,an'le'hang'yuan
安乐寿院,an'le'shou'yuan
安乐寺,an'le'si
鞍马寺,an'ma'si
安祥寺,an'xiang'si
安养寺,an'yang'si
安远庙,an'yuan'miao
安乐律院,an'yue'lv'yuan
八大灵塔,ba'da'ling'ta
把溪寺,ba'xi'si
百八塔,bai'ba'ta
百灵庙,bai'ling'miao
白马寺,bai'ma'si
百岁宫,bai'sui'gong
白塔寺,bai'ta'si
百塔寺,bai'ta'si
白羊寺,bai'yang'si
保安寺,bao'an'si
报恩寺,bao'en'si
宝光寺,bao'guang'si
保国寺,bao'guo'si
报国寺,bao'guo'si
宝觉禅寺,bao'jue'chan'si
宝莲禅寺,bao'lian'chan'si
保宁寺,bao'ning'si
保圣寺,bao'sheng'si
宝通禅寺,bao'tong'chan'si
北海白塔,bei'hai'bai'ta
北石窟寺,bei'shi'ku'si
北寺塔,bei'si'ta
贝子庙,bei'zi'miao
本门寺,ben'men'si
本能寺,ben'neng'si
本堂,ben'tang
本愿寺,ben'yuan'si
碧云寺,bi'yun'si
别蚌寺,bie'bang'si
柏林寺,bo'lin'si
博那佛塔,bo'na'fo'ta
布达拉宫,bu'da'la'gong
不退寺,bu'tui'si
草堂寺,cao'tang'si
禅林寺,chan'lin'si
禅院,chan'yuan
禅云寺,chan'yun'si
长干寺,chang'gan'si
长谷寺,chang'gu'si
昌珠寺,chang'zhu'si
超峰寺,chao'feng'si
超戒寺,chao'jie'si
承天寺,cheng'tian'si
祇园精舍,chi'yuan'jing'she
祇园寺,chi'yuan'si
崇福寺,chong'fu'si
崇善寺,chong'shan'si
崇圣寺三塔,chong'sheng'si'san'ta
初祖庵,chu'zu'an
慈善寺,ci'shan'si
慈云寺,ci'yun'si
大安寺,da'an'si
大报恩寺,da'bao'en'si
达彬瑜寺,da'bin'yu'si
大慈恩寺,da'ci'en'si
大慈寺,da'ci'si
大德寺,da'de'si
大佛寺,da'fo'si
大荐福寺,da'jian'fu'si
大觉寺,da'jue'si
大林精舍,da'lin'jing'she
达垄寺,da'long'si
大明寺,da'ming'si
大明塔,da'ming'ta
大念佛寺,da'nian'fo'si
大秦寺,da'qin'si
大石寺,da'shi'si
大寺,da'si
大仙寺,da'xian'si
大兴善寺,da'xing'shan'si
大兴寺,da'xing'si
大雄宝殿,da'xiong'bao'dian
大雁塔,da'yan'ta
大圆觉寺,da'yuan'jue'si
大云寺,da'yun'si
大召,da'zhao
大昭寺,da'zhao'si
大正觉寺,da'zheng'jue'si
大钟寺,da'zhong'si
道场寺,dao'chang'si
道成寺,dao'cheng'si
道诜寺,dao'shen'si
德山寺,de'shan'si
德源寺,de'yuan'si
殿堂,dian'tang
定慧寺,ding'hui'si
定林寺,ding'lin'si
东禅院,dong'chan'yuan
东大寺,dong'da'si
东福寺,dong'fu'si
东鹤寺,dong'he'si
东净寺,dong'jing'si
东林寺,dong'lin'si
独乐寺,du'le'si
度门寺,du'men'si
断俗寺,duan'su'si
多伦寺,duo'lun'si
朵依斯特普寺,duo'yi'si'te'pu'si
多子塔,duo'zi'ta
二月堂,er'yue'tang
二尊院,er'zun'yuan
法海寺,fa'hai'si
法华经寺,fa'hua'jing'si
法华寺,fa'hua'si
法隆寺,fa'long'si
法门寺,fa'men'si
法堂,fa'tang
法王寺,fa'wang'si
法源寺,fa'yuan'si
法云寺,fa'yun'si
法住寺,fa'zhu'si
繁塔,fan'ta
梵鱼寺,fan'yu'si
方广寺,fang'guang'si
飞来寺,fei'lai'si
粉河寺,fen'he'si
芬皇寺,fen'huang'si
奉恩寺,feng'en'si
奉国寺,feng'guo'si
凤山佛教莲社,feng'shan'fo'jiao'lian'she
凤停寺,feng'ting'si
奉先寺,feng'xian'si
风穴寺,feng'xue'si
佛殿,fo'dian
佛光山寺,fo'guang'shan'si
佛光寺,fo'guang'si
佛国寺,fo'guo'si
佛授记寺,fo'shou'ji'si
佛通寺,fo'tong'si
佛牙寺,fo'ya'si
福济寺,fu'ji'si
浮石寺,fu'shi'si
浮图,fu'tu
福严精舍,fu'yan'jing'she
福严寺,fu'yan'si
甘丹寺,gan'dan'si
干凤寺,gan'feng'si
甘露寺,gan'lu'si
感通寺,gan'tong'si
高明寺,gao'ming'si
高雄佛教堂,gao'xiong'fo'jiao'tang
根来寺,gen'lai'si
功德坟寺,gong'de'fen'si
官寺,guan'si
观宗讲寺,guan'zong'jiang'si
广化寺,guang'hua'si
广济寺,guang'ji'si
广隆寺,guang'long'si
光明寺,guang'ming'si
广仁寺,guang'ren'si
广胜寺,guang'sheng'si
光孝寺,guang'xiao'si
光宅寺,guang'zhai'si
归化寺,gui'hua'si
龟山福清寺,gui'shan'fu'qing'si
归元寺,gui'yuan'si
国分寺,guo'fen'si
国清寺,guo'qing'si
国相寺,guo'xiang'si
海宝塔,hai'bao'ta
海会寺,hai'hui'si
海山寺,hai'shan'si
海印寺,hai'yin'si
寒山寺,han'shan'si
宏法寺,hong'fa'si
弘福寺,hong'fu'si
红螺寺,hong'luo'si
护国寺,hu'guo'si
华藏寺,hua'cang'si
化城寺,hua'cheng'si
化度寺,hua'du'si
华林寺,hua'lin'si
华亭寺,hua'ting'si
华严莲社,hua'yan'lian'she
华严寺,hua'yan'si
皇龙寺,huang'long'si
黄寺,huang'si
皇泽寺,huang'ze'si
慧日讲堂,hui'ri'jiang'tang
灰炭塔,hui'tan'ta
慧因寺,hui'yin'si
汇宗寺,hui'zong'si
极乐寺,ji'le'si
鸡鸣寺,ji'ming'si
鸡园寺,ji'yuan'si
甲寺,jia'si
嘉祥寺,jia'xiang'si
建长寺,jian'chang'si
建初寺,jian'chu'si
建仁寺,jian'ren'si
教王护国寺,jiao'wang'hu'guo'si
戒台寺,jie'tai'si
戒坛,jie'tan
戒坛院,jie'tan'yuan
金佛寺,jin'fo'si
金刚峰寺,jin'gang'feng'si
金阁寺,jin'ge'si
金戒光明寺,jin'jie'guang'ming'si
金山寺,jin'shan'si
金堂,jin'tang
静安寺,jing'an'si
净慈寺,jing'ci'si
净居寺,jing'ju'si
净名寺,jing'ming'si
净明寺,jing'ming'si
精舍,jing'she
经塔,jing'ta
敬天寺,jing'tian'si
净业寺,jing'ye'si
经冢,jing'zhong
久米寺,jiu'mi'si
救仁寺,jiu'ren'si
久远寺,jiu'yuan'si
开福寺,kai'fu'si
开化寺,kai'hua'si
开善寺,kai'shan'si
开山堂,kai'shan'tang
开先寺,kai'xian'si
开元寺,kai'yuan'si
宽永寺,kuan'yong'si
拉卜楞寺,la'bu'leng'si
来迎院,lai'ying'yuan
雷峰塔,lei'feng'ta
雷音寺,lei'yin'si
黎明寺,li'ming'si
立石寺,li'shi'si
临济寺,lin'ji'si
灵谷寺,ling'gu'si
灵光寺,ling'guang'si
灵泉禅寺,ling'quan'chan'si
灵山寺,ling'shan'si
灵巖寺,ling'yan'si
灵隐寺,ling'yin'si
凌云禅寺,ling'yun'chan'si
六和塔,liu'he'ta
六榕寺,liu'rong'si
龙光寺,long'guang'si
龙湖巖,long'hu'yan
龙华寺,long'hua'si
龙门寺,long'men'si
龙泉寺,long'quan'si
泷泉寺,long'quan'si
龙山寺,long'shan'si
隆兴寺,long'xing'si
龙兴寺,long'xing'si
龙珠寺,long'zhu'si
麓山寺,lu'shan'si
律院,lv'yuan
麻谷寺,ma'gu'si
门迹,men'ji
弥勒寺,mi'le'si
弥陀寺,mi'tuo'si
庙,miao
妙法华寺,miao'fa'hua'si
妙法院,miao'fa'yuan
妙莲寺,miao'lian'si
妙满寺,miao'man'si
妙显寺,miao'xian'si
妙心寺,miao'xin'si
妙严寺,miao'yan'si
妙应寺,miao'ying'si
那烂陀寺,na'lan'tuo'si
奈塘寺,nai'tang'si
南禅寺,nan'chan'si
南华寺,nan'hua'si
南普陀寺,nan'pu'tuo'si
南山寺,nan'shan'si
南台寺,nan'tai'si
内藏寺,nei'cang'si
内道场,nei'dao'chang
能仁寺,neng'ren'si
尼寺,ni'si
尼寺五山,ni'si'wu'shan
欧丹多富梨寺,ou'dan'duo'fu'li'si
毗诃罗,pi'he'luo
平间寺,ping'jian'si
瓶塔,ping'ta
普光王寺,pu'guang'wang'si
普救寺,pu'jiu'si
普乐寺,pu'le'si
普门寺,pu'men'si
普宁寺,pu'ning'si
溥仁寺,pu'ren'si
菩提寺,pu'ti'si
普陀宗乘之庙,pu'tuo'zong'cheng'zhi'miao
普贤寺,pu'xian'si
七大寺,qi'da'si
七塔寺,qi'ta'si
七堂伽蓝,qi'tang'qie'lan
栖霞寺,qi'xia'si
浅草寺,qian'cao'si
千福寺,qian'fu'si
前堂,qian'tang
伽蓝,qie'lan
清觉寺,qing'jue'si
清凉寺,qing'liang'si
青龙寺,qing'long'si
庆宁寺,qing'ning'si
清水寺,qing'shui'si
庆云寺,qing'yun'si
笻竹寺,qiong'zhu'si
瞿昙寺,qu'tan'si
劝修寺,quan'xiu'si
雀离浮图,que'li'fu'tu
热振寺,re'zhen'si
仁和寺,ren'he'si
壬生寺,ren'sheng'si
日本寺,ri'ben'si
如意轮寺,ru'yi'lun'si
瑞大光塔,rui'da'guang'ta
叡福寺,rui'fu'si
瑞光塔,rui'guang'ta
瑞丽姐勒金塔,rui'li'jie'le'jin'ta
瑞巖寺,rui'yan'si
萨迦寺,sa'jia'si
三宝院,san'bao'yuan
三佛寺,san'fo'si
三默堂,san'mo'tang
三平寺,san'ping'si
三千院,san'qian'yuan
三十三间堂,san'shi'san'jian'tang
三时知恩寺,san'shi'zhi'en'si
桑浦寺,sang'pu'si
桑耶寺,sang'ye'si
色拉寺,se'la'si
善导寺,shan'dao'si
山谷寺,shan'gu'si
山号,shan'hao
善化寺,shan'hua'si
山门,shan'men
善因寺,shan'yin'si
上下华严寺,shang'xia'hua'yan'si
上下密院,shang'xia'mi'yuan
上院寺,shang'yuan'si
少林寺,shao'lin'si
神宫寺,shen'gong'si
神护寺,shen'hu'si
神通寺,shen'tong'si
胜持寺,sheng'chi'si
胜林院,sheng'lin'yuan
圣寿寺,sheng'shou'si
圣佑寺,sheng'you'si
圣源寺,sheng'yuan'si
十大寺,shi'da'si
石窟庵,shi'ku'an
石窟寺,shi'ku'si
十普寺,shi'pu'si
石山本愿寺,shi'shan'ben'yuan'si
氏寺,shi'si
殊像寺,shu'xiang'si
双林寺,shuang'lin'si
双塔寺,shuang'ta'si
双溪寺,shuang'xi'si
寺格,si'ge
寺号,si'hao
寺领,si'ling
四门塔,si'men'ta
四天王寺,si'tian'wang'si
寺院,si'yuan
四祖寺,si'zu'si
松广寺,song'guang'si
松山寺,song'shan'si
嵩岳寺,song'yue'si
嵩祝寺,song'zhu'si
塔,ta
塔尔寺,ta'er'si
塔銮寺,ta'luan'si
塔院寺,ta'yuan'si
太平兴国寺,tai'ping'xing'guo'si
太原寺,tai'yuan'si
檀溪寺,tan'xi'si
潭柘寺,tan'zhe'si
唐招提寺,tang'zhao'ti'si
醍醐寺,ti'hu'si
天宫寺,tian'gong'si
天界寺,tian'jie'si
天龙寺,tian'long'si
天宁寺,tian'ning'si
天童寺,tian'tong'si
天王殿,tian'wang'dian
天王寺,tian'wang'si
天竺三寺,tian'zhu'san'si
天竺寺,tian'zhu'si
通道观,tong'dao'guan
通度寺,tong'du'si
