备不住,bei'bu'zhu
逼逼咔咔,bi'bi'ka'ka
刺挠,ci'nao
捣扯,dao'che
得瑟,de'se
二了吧唧,er'le'ba'ji
噶哈,ga'ha
噶就窝儿,ga'jiu'wo'er
干吧愣子,gan'ba'leng'zi
钢钢地,gang'gang'di
滚犊子,gun'du'zi
哈喇子,ha'la'zi
虎了吧唧,hu'le'ba'ji
急眼,ji'yan
卡吐露皮了,ka'tu'lu'pi'le
卡拽了,ka'zhuai'le
科碜,ke'chen
唠嗑,lao'ke
麻溜,ma'liu
马路牙子,ma'lu'ya'zi
埋汰,mai'tai
墨迹,mo'ji
牛逼,niu'bi
沙棱儿的,sha'leng'er'de
挺毙,ting'bi
秃撸反涨,tu'lu'fan'zhang
五迷三道,wu'mi'san'dao
稀罕,xi'han
闲扯狗皮,xian'che'gou'pi
仰逼扯胯,yang'bi'che'kua
杨的二正,yang'de'er'zheng
原先,yuan'xian
咋整,za'zheng
整个浪儿,zheng'ge'lang'er
整事儿,zheng'shi'er
