安贵人,an'gui'ren
安嫔,an'pin
白贵人,bai'gui'ren
布贵人,bu'gui'ren
布木布泰,bu'mu'bu'tai
常常在,chang'chang'zai
常妃,chang'fei
常贵人,chang'gui'ren
宸妃,chen'fei
诚妃,cheng'fei
成妃,cheng'fei
诚贵妃,cheng'gui'fei
成贵妃,cheng'gui'fei
诚嫔,cheng'pin
春常在,chun'chang'zai
瑃常在,chun'chang'zai
春答应,chun'da'ying
纯妃,chun'fei
春贵人,chun'gui'ren
纯惠皇贵妃,chun'hui'huang'gui'fei
淳嫔,chun'pin
纯悫皇贵妃,chun'que'huang'gui'fei
纯裕勤太妃,chun'yu'qin'tai'fei
悼妃,dao'fei
德答应,de'da'ying
定妃,ding'fei
定贵人,ding'gui'ren
端康皇贵妃,duan'kang'huang'gui'fei
端恪皇贵妃,duan'ke'huang'gui'fei
端嫔,duan'pin
端顺妃,duan'shun'fei
惇妃,dun'fei
敦肃皇贵妃,dun'su'huang'gui'fei
惇怡皇贵妃,dun'yi'huang'gui'fei
鄂贵人,e'gui'ren
恩嫔,en'pin
芳妃,fang'fei
璷妃,fu'fei
福贵人,fu'gui'ren
高常在,gao'chang'zai
恭靖妃,gong'jing'fei
恭嫔,gong'pin
恭顺皇贵妃,gong'shun'huang'gui'fei
顾常在,gu'chang'zai
关雎宫,guan'ju'gong
贵常在,gui'chang'zai
郭贵人,guo'gui'ren
海贵人,hai'gui'ren
海兰珠,hai'lan'zhu
和妃,he'fei
和裕皇贵妃,he'yu'huang'gui'fei
恒嫔,heng'pin
华妃,hua'fei
惠妃,hui'fei
慧妃,hui'fei
慧贤皇贵妃,hui'xian'huang'gui'fei
吉常在,ji'chang'zai
吉妃,ji'fei
吉嫔,ji'pin
佳贵妃,jia'gui'fei
嘉贵妃,jia'gui'fei
简嫔,jian'pin
晋妃,jin'fei
瑨妃,jin'fei
瑾妃,jin'fei
金贵人,jin'gui'ren
谨嫔,jin'pin
敬敏皇贵妃,jing'min'huang'gui'fei
静嫔,jing'pin
敬嫔,jing'pin
敬懿皇贵妃,jing'yi'huang'gui'fei
康惠淑妃,kang'hui'shu'fei
恪妃,ke'fei
恪顺皇贵妃,ke'shun'huang'gui'fei
揆常在,kui'chang'zai
蓝贵人,lan'gui'ren
兰贵人,lan'gui'ren
老贵人,lao'gui'ren
勒贵人,le'gui'ren
李常在,li'chang'zai
李贵人,li'gui'ren
良妃,liang'fei
林贵人,lin'gui'ren
麟趾宫,lin'zhi'gong
灵答应,ling'da'ying
路常在,lu'chang'zai
陆贵人,lu'gui'ren
马常在,ma'chang'zai
马贵人,ma'gui'ren
蔓常在,man'chang'zai
懋嫔,mao'pin
玫贵妃,mei'gui'fei
妙答应,miao'da'ying
敏惠恭和元妃,min'hui'gong'he'yuan'fei
睦答应,mu'da'ying
穆嫔,mu'pin
那常在,na'chang'zai
那贵人琭贵人,na'gui'ren'lu'gui'ren
宁常在,ning'chang'zai
宁妃,ning'fei
宁悫妃,ning'que'fei
牛答应,niu'da'ying
平常在,ping'chang'zai
玶常在,ping'chang'zai
平妃,ping'fei
平贵人,ping'gui'ren
齐妃,qi'fei
谦妃,qian'fei
庆答应,qing'da'ying
庆妃,qing'fei
庆恭皇贵妃,qing'gong'huang'gui'fei
庆贵妃,qing'gui'fei
悫惠皇贵妃,que'hui'huang'gui'fei
荣妃,rong'fei
容妃,rong'fei
荣惠皇贵妃,rong'hui'huang'gui'fei
荣嫔,rong'pin
容嫔,rong'pin
如妃,ru'fei
如贵妃,ru'gui'fei
瑞常在,rui'chang'zai
瑞贵人,rui'gui'ren
色常在,se'chang'zai
慎贵人,shen'gui'ren
慎嫔,shen'pin
石常在,shi'chang'zai
寿常在,shou'chang'zai
寿贵人,shou'gui'ren
舒妃,shu'fei
恕妃,shu'fei
淑妃,shu'fei
淑惠妃,shu'hui'fei
淑嘉皇贵妃,shu'jia'huang'gui'fei
璹嫔,shu'pin
淑慎皇贵妃,shu'shen'huang'gui'fei
双答应,shuang'da'ying
顺妃,shun'fei
顺贵人,shun'gui'ren
顺嫔,shun'pin
顺懿密太妃,shun'yi'mi'tai'fei
苏答应,su'da'ying
恬嫔,tian'pin
彤贵妃,tong'gui'fei
通嫔,tong'pin
婉贵妃,wan'gui'fei
汪答应,wang'da'ying
文贵人,wen'gui'ren
温僖贵妃,wen'xi'gui'fei
武贵人,wu'gui'ren
禧妃,xi'fei
僖嫔,xi'pin
熙嫔,xi'pin
娴妃,xian'fei
祥妃,xiang'fei
襄嫔,xiang'pin
孝诚仁皇后,xiao'cheng'ren'huang'hou
晓答应,xiao'da'ying
孝德显皇后,xiao'de'xian'huang'hou
孝定景皇后,xiao'ding'jing'huang'hou
孝端文皇后,xiao'duan'wen'huang'hou
孝恭仁皇后,xiao'gong'ren'huang'hou
孝和睿皇后,xiao'he'rui'huang'hou
孝惠章皇后,xiao'hui'zhang'huang'hou
孝静成皇后,xiao'jing'cheng'huang'hou
孝敬宪皇后,xiao'jing'xian'huang'hou
孝康章皇后,xiao'kang'zhang'huang'hou
孝穆成皇后,xiao'mu'cheng'huang'hou
孝钦显皇后,xiao'qin'xian'huang'hou
孝全成皇后,xiao'quan'cheng'huang'hou
孝慎成皇后,xiao'shen'cheng'huang'hou
孝圣宪皇后,xiao'sheng'xian'huang'hou
孝淑睿皇后,xiao'shu'rui'huang'hou
孝贤纯皇后,xiao'xian'chun'huang'hou
孝献端敬皇后,xiao'xian'duan'jing'huang'hou
孝献皇后,xiao'xian'huang'hou
孝仪纯皇后,xiao'yi'chun'huang'hou
孝懿仁皇后,xiao'yi'ren'huang'hou
孝昭仁皇后,xiao'zhao'ren'huang'hou
孝哲毅皇后,xiao'zhe'yi'huang'hou
孝贞显皇后,xiao'zhen'xian'huang'hou
孝庄文皇后,xiao'zhuang'wen'huang'hou
鑫常在,xin'chang'zai
信妃,xin'fei
忻贵妃,xin'gui'fei
新贵人,xin'gui'ren
秀答应,xiu'da'ying
秀贵人,xiu'gui'ren
徐常在,xu'chang'zai
宣妃,xuan'fei
珣妃,xun'fei
循贵妃,xun'gui'fei
珣贵妃,xun'gui'fei
逊嫔,xun'pin
恂嫔,xun'pin
衍庆宫,yan'qing'gong
宜妃,yi'fei
伊贵人,yi'gui'ren
懿靖大贵妃,yi'jing'da'gui'fei
仪嫔,yi'pin
怡嫔,yi'pin
尹常在,yin'chang'zai
尹贵人,yin'gui'ren
英答应,ying'da'ying
颖贵妃,ying'gui'fei
莹嫔,ying'pin
永福宫,yong'fu'gong
裕妃,yu'fei
豫妃,yu'fei
瑜妃,yu'fei
愉贵妃,yu'gui'fei
瑜贵妃,yu'gui'fei
玉贵人,yu'gui'ren
豫嫔,yu'pin
袁贵人,yuan'gui'ren
芸贵人,yun'gui'ren
云嫔,yun'pin
张常在,zhang'chang'zai
张贵人,zhang'gui'ren
哲妃,zhe'fei
哲悯皇贵妃,zhe'min'huang'gui'fei
哲哲,zhe'zhe
贞妃,zhen'fei
珍妃,zhen'fei
珍嫔,zhen'pin
治答应,zhi'da'ying
庄妃,zhuang'fei
庄和皇贵妃,zhuang'he'huang'gui'fei
庄静皇贵妃,zhuang'jing'huang'gui'fei
庄顺皇贵妃,zhuang'shun'huang'gui'fei
