粑粑,ba'ba
白话,bai'hua
板缯,ban'zeng
棒棒,bang'bang
帮扶,bang'fu
菢小鸡,bao'xiao'ji
饽饽,bo'bo
脖脐,bo'qi
布鸽,bu'ge
不糟,bu'zao
刬说瞎话,chan'shuo'xia'hua
长虫,chang'chong
长餲,chang'he
啖朝饭,dan'chao'fan
地场,di'chang
地蛋子,di'dan'zi
钉硬的,ding'ying'de
儿郎,er'lang
过晌,guo'shang
后日,hou'ri
后晌,hou'shang
烀地瓜,hu'di'gua
家雀,jia'qiao
家去,jia'qu
假手抓,jia'shou'zhua
搛菜,jian'cai
绞手指盖,jiao'shou'zhi'gai
趄着,ju'zhe
抗不了,kang'bu'liao
拇量,mu'liang
乃家,nai'jia
南塂,nan'jiang
起空,qi'kong
前日,qian'ri
日头,ri'tou
潲雨,shao'yu
势起,shi'qi
饧面,tang'mian
熥饭,teng'fan
头半晌,tou'ban'shang
头晌,tou'shang
腯肥,tu'fei
擤鼻子,xing'bi'zi
鸭巴子,ya'ba'zi
阳历年,yang'li'nian
馇萝卜丝子,zha'luo'bo'si'zi
长得碜,zhang'de'chen
周正,zhou'zheng
