按喝,an'he
八叠戏,ba'die'xi
拔禾,ba'he
八蜡,ba'la
巴渝戏,ba'yu'xi
百戏,bai'xi
百姓一般受无量苦,bai'xing'yi'ban'shou'wu'liang'ku
邦老,bang'lao
鲍老,bao'lao
抱锣,bao'luo
薄媚西子词,bo'mei'xi'zi'ci
钵头,bo'tou
拨头,bo'tou
卜儿,bu'er
不及垛箭,bu'ji'duo'jian
部头,bu'tou
参军色,can'jun'se
参军戏,can'jun'xi
衬交鼓儿院本,chen'jiao'gu'er'yuan'ben
蚩尤戏,chi'you'xi
冲撞引首,chong'zhuang'yin'shou
川杂剧,chuan'za'ju
次净,ci'jing
词林说统,ci'lin'shuo'tong
次末,ci'mo
词舆,ci'yu
爨弄,cuan'nong
错立身,cuo'li'shen
大遍,da'bian
打略拴搐,da'lue'shuan'chu
大面,da'mian
打砌,da'qi
大曲,da'qu
打三教,da'san'jiao
打野呵,da'ye'he
打野胡,da'ye'hu
打夜胡,da'ye'hu
代面,dai'mian
点砌,dian'qi
东海黄公,dong'hai'huang'gong
都子,dou'zi
断送,duan'song
队戏,dui'xi
二郎神,er'lang'shen
二圣镮,er'sheng'huan
法曲,fa'qu
樊哙排君难,fan'kuai'pai'jun'nan
樊哙排闼,fan'kuai'pai'ta
方相氏,fang'xiang'shi
凤归云,feng'gui'yun
副靖,fu'jing
副净,fu'jing
副末,fu'mo
歌楼格,ge'lou'ge
歌舞戏,ge'wu'xi
歌戏,ge'xi
宫人,gong'ren
勾栏,gou'lan
构栏,gou'lan
鼓板,gu'ban
鼓架部,gu'jia'bu
古剧,gu'ju
古掾曹,gu'yuan'cao
观酺,guan'pu
郭秃,guo'tu
蛤蟆贯,ha'ma'guan
撼雷,han'lei
行院,hang'yuan
合生,he'sheng
合笙,he'sheng
河市乐,he'shi'le
洪涯,hong'ya
后行子弟,hou'xing'zi'di
胡妲,hu'da
胡公头,hu'gong'tou
胡戏,hu'xi
滑稽,hua'ji
滑稽戏,hua'ji'xi
华林戏,hua'lin'xi
黄丸儿,huang'wan'er
顐官,hun'guan
诨砌,hun'qi
假面,jia'mian
假头,jia'tou
剑舞,jian'wu
角牴,jiao'di
教坊,jiao'fang
捷讥,jie'ji
金斗,jin'dou
斤斗,jin'dou
筋斗,jin'dou
九部乐,jiu'bu'le
九歌,jiu'ge
菊部,ju'bu
句南吕薄媚舞,ju'nan'lv'bo'mei'wu
撅丁,jue'ding
撅俫,jue'lai
君圣臣贤爨,jun'sheng'chen'xian'cuan
开呵,kai'he
开科,kai'ke
康衢戏,kang'qu'xi
骷髅格,ku'lou'ge
兰陵王,lan'ling'wang
老胡文康,lao'hu'wen'kang
老郎庙,lao'lang'miao
老郎神,lao'lang'shen
乐人,le'ren
礼毕,li'bi
立部伎,li'bu'ji
礼节传簿所载院本,li'jie'chuan'bu'suo'zai'yuan'ben
李勉负心,li'mian'fu'xin
梨园,li'yuan
梨园弟子,li'yuan'di'zi
辽东妖妇,liao'dong'yao'fu
伶正,ling'zheng
路歧,lu'qi
露台,lu'tai
末尼,mo'ni
末泥,mo'ni
末色,mo'se
木大,mu'da
内人,nei'ren
年年好,nian'nian'hao
撚捎子,nian'shao'zi
念诵,nian'song
纽元子,niu'yuan'zi
弄参军,nong'can'jun
弄假妇人,nong'jia'fu'ren
弄假官戏,nong'jia'guan'xi
弄婆罗门,nong'po'luo'men
俳戏,pai'xi
裴少俊伊州,pei'shao'jun'yi'zhou
平乐观,ping'le'guan
前头人,qian'tou'ren
请禁角牴戏疏,qing'jin'jiao'di'xi'shu
清闲真道本,qing'xian'zhen'dao'ben
清源师,qing'yuan'shi
曲破,qu'po
曲源术语,qu'yuan'shu'yu
赛社,sai'she
三教论衡,san'jiao'lun'heng
三京下书,san'jing'xia'shu
散乐,san'le
散乐人,san'le'ren
三十六髻,san'shi'liu'ji
散说,san'shuo
色长,se'chang
上云乐,shang'yun'le
社会,she'hui
社火,she'huo
十部乐,shi'bu'le
使砌,shi'qi
耍乐院本,shua'le'yuan'ben
耍笑院本,shua'xiao'yuan'ben
拴搐艳段,shuan'chu'yan'duan
双斗医,shuang'dou'yi
四偌少年游,si'ruo'shao'nian'you
四十大曲,si'shi'da'qu
苏莫遮,su'mo'zhe
苏中郎,su'zhong'lang
踏爨,ta'cuan
踏歌,ta'ge
踏谣娘,ta'yao'niang
太公家教,tai'gong'jia'jiao
太乐署,tai'le'shu
谈容娘,tan'rong'niang
田公元帅,tian'gong'yuan'shuai
天台山伎,tian'tai'shan'ji
瓦舍,wa'she
瓦市,wa'shi
瓦子,wa'zi
王勃,wang'bo
王母上寿,wang'mu'shang'shou
王子高六幺,wang'zi'gao'liu'yao
文康乐,wen'kang'le
舞队,wu'dui
无过虫,wu'guo'chong
五花爨弄,wu'hua'cuan'nong
乌获扛鼎,wu'huo'kang'ding
舞旋,wu'xuan
细旦,xi'dan
戏礼,xi'li
西凉伎,xi'liang'ji
戏面,xi'mian
戏弄,xi'nong
戏色,xi'se
戏神,xi'shen
戏头,xi'tou
咸淡,xian'dan
仙韶院,xian'shao'yuan
向里飞,xiang'li'fei
象人,xiang'ren
相如文君,xiang'ru'wen'jun
小部音声,xiao'bu'yin'sheng
小唱,xiao'chang
笑乐院本,xiao'le'yuan'ben
小杂剧,xiao'za'ju
许胡克伐,xu'hu'ke'fa
讶鼓戏,ya'gu'xi
哑杂剧,ya'za'ju
艳段,yan'duan
焰段,yan'duan
眼药酸,yan'yao'suan
杨饭,yang'fan
尧舜禹汤,yao'shun'yu'tang
曳剌,ye'la
宜春院,yi'chun'yuan
一甲,yi'jia
翼宿星君,yi'su'xing'jun
音声人,yin'sheng'ren
引戏,yin'xi
优笑,you'xiao
鱼龙曼延,yu'long'man'yan
院本,yuan'ben
院体,yuan'ti
院幺,yuan'yao
乐户,yue'hu
云韶府,yun'shao'fu
杂扮,za'ban
杂班,za'ban
杂剧三甲,za'ju'san'jia
杂剧丈夫,za'ju'zhang'fu
杂戏,za'xi
在钱眼内坐,zai'qian'yan'nei'zuo
赵闳夫榜禁,zhao'hong'fu'bang'jin
针儿线,zhen'er'xian
郑叔暴虎,zheng'shu'bao'hu
正杂剧,zheng'za'ju
周优人曲辞,zhou'you'ren'qu'ci
竹竿子,zhu'gan'zi
侏儒,zhu'ru
侏儒导,zhu'ru'dao
朱相非相,zhu'xiang'fei'xiang
诸杂砌,zhu'za'qi
诸杂院爨,zhu'za'yuan'cuan
装旦,zhuang'dan
妆旦,zhuang'dan
装孤,zhuang'gu
妆孤,zhuang'gu
装外,zhuang'wai
子弟,zi'di
总会仙倡,zong'hui'xian'chang
坐部伎,zuo'bu'ji
