阿尔法兽,a'er'fa'shou
安杜路兽,an'du'lu'shou
奥米加兽,ao'mi'jia'shou
八尺鸟兽,ba'chi'niao'shou
巴达兽,ba'da'shou
巴多拉兽,ba'duo'la'shou
巴鲁兽,ba'lu'shou
巴萨兽,ba'sa'shou
八神光,ba'shen'guang
八神嘉儿,ba'shen'jia'er
八神太一,ba'shen'tai'yi
八足马兽,ba'zu'ma'shou
白川慧,bai'chuan'hui
白虎兽,bai'hu'shou
暴龙兽,bao'long'shou
暴雪兽,bao'xue'shou
北川健太,bei'chuan'jian'tai
本宫大辅,ben'gong'da'fu
比多兽,bi'duo'shou
比丘兽,bi'qiu'shou
变种吸血魔兽,bian'zhong'xi'xie'mo'shou
冰见友树,bing'jian'you'shu
兵棋兽,bing'qi'shou
冰熊兽,bing'xiong'shou
裁决兽,cai'jue'shou
仓田,cang'tian
柴山纯平,chai'shan'chun'ping
超比多兽,chao'bi'duo'shou
车棋兽,che'qi'shou
城户丈,cheng'hu'zhang
城户助,cheng'hu'zhu
虫虫兽,chong'chong'shou
穿山兽,chuan'shan'shou
大地暴龙兽,da'di'bao'long'shou
大耳兽,da'er'shou
大古拉兽,da'gu'la'shou
打架番长,da'jia'fan'chang
大门大,da'men'da
大门小百合,da'men'xiao'bai'he
大门英,da'men'ying
大门知香,da'men'zhi'xiang
大乌兽,da'wu'shou
单角龙兽,dan'jiao'long'shou
道士兽,dao'shi'shou
迪哥兽,di'ge'shou
帝皇龙甲兽,di'huang'long'jia'shou
帝历魔,di'li'mo
迪路兽,di'lu'shou
帝魔,di'mo
电光兽,dian'guang'shou
丁香兽,ding'xiang'shou
洞穴兽,dong'xue'shou
独角兽,du'jiao'shou
杜纳斯兽,du'na'si'shou
渡鸭兽,du'ya'shou
对偶神兽,dui'ou'shen'shou
多路暴龙兽,duo'lu'bao'long'shou
多路加兽,duo'lu'jia'shou
多路兽,duo'lu'shou
多路战龙兽,duo'lu'zhan'long'shou
堕天地狱兽,duo'tian'di'yu'shou
恶魔兽,e'mo'shou
番长狮子兽,fan'chang'shi'zi'shou
芳香兽,fang'xiang'shou
方舟计划,fang'zhou'ji'hua
飞虫兽,fei'chong'shou
风神兽,feng'shen'shou
伽楼达兽,ga'lou'da'shou
钢铁海龙兽,gang'tie'hai'long'shou
钢铁加鲁鲁,gang'tie'jia'lu'lu
钢铁猩猩兽,gang'tie'xing'xing'shou
高石武,gao'shi'wu
高石岳,gao'shi'yue
哥玛兽,ge'ma'shou
公爵兽,gong'jue'shou
古拉兽,gu'la'shou
古神兽,gu'shen'shou
古乐兽,gu'yue'shou
管狐兽,guan'hu'shou
光明兽,guang'ming'shou
滚球兽,gun'qiu'shou
海狮兽,hai'shi'shou
海天使兽,hai'tian'shi'shou
河童兽,he'tong'shou
黑暗四天王,hei'an'si'tian'wang
黑暗战斗暴龙兽,hei'an'zhan'dou'bao'long'shou
黑大耳兽,hei'da'er'shou
黑崎美树,hei'qi'mei'shu
黑球兽,hei'qiu'shou
黑狮兽,hei'shi'shou
黑鹰兽,hei'ying'shou
红莲骑士兽,hong'lian'qi'shi'shou
花瓣龙兽,hua'ban'long'shou
花龙兽,hua'long'shou
花仙兽,hua'xian'shou
幻影加奥加兽,huan'ying'jia'ao'jia'shou
皇家骑士,huang'jia'qi'shi
昏暗兽,hun'an'shou
火神兽,huo'shen'shou
火田伊织,huo'tian'yi'zhi
及川悠纪夫,ji'chuan'you'ji'fu
极恶魔王,ji'e'mo'wang
极恶吸血魔兽,ji'e'xi'xie'mo'shou
基尔兽,ji'er'shou
机甲龙兽,ji'jia'long'shou
基路比兽,ji'lu'bi'shou
基米拉兽,ji'mi'la'shou
祭师兽,ji'shi'shou
机械暴龙兽,ji'xie'bao'long'shou
加奥加兽,jia'ao'jia'shou
加奥兽,jia'ao'shou
加布兽,jia'bu'shou
甲虫兽,jia'chong'shou
加鲁哥兽,jia'lu'ge'shou
加鲁鲁兽,jia'lu'lu'shou
加藤树莉,jia'teng'shu'li
剑皇兽,jian'huang'shou
金刚武神兽,jin'gang'wu'shen'shou
金甲龙兽,jin'jia'long'shou
金剑兽,jin'jian'shou
井上京,jing'shang'jing
究级魔兽,jiu'ji'mo'shou
究级天使兽,jiu'ji'tian'shi'shou
究级吸血魔兽,jiu'ji'xi'xie'mo'shou
九尾狐兽,jiu'wei'hu'shou
巨岩兽,ju'yan'shou
君主兽,jun'zhu'shou
卡玛拉兽,ka'ma'la'shou
铠甲加鲁鲁兽,kai'jia'jia'lu'lu'shou
凯撒暴龙兽,kai'sa'bao'long'shou
凯撒狮子兽,kai'sa'shi'zi'shou
科学飞龙兽,ke'xue'fei'long'shou
拉比兽,la'bi'shou
拉拉兽,la'la'shou
拉娜兽,la'na'shou
雷光兽,lei'guang'shou
雷龙兽,lei'long'shou
李建良,li'jian'liang
理解不能,li'jie'bu'neng
烈焰兽,lie'yan'shou
猎鹰兽,lie'ying'shou
六翅兽,liu'chi'shou
颅骨兽,lu'gu'shou
玛格纳加鲁鲁兽,ma'ge'na'jia'lu'lu'shou
马赫加奥加兽,ma'he'jia'ao'jia'shou
麻鹰兽,ma'ying'shou
玫瑰兽,mei'gui'shou
莫慢待,mo'man'dai
木乃伊兽,mu'nai'yi'shou
木偶兽,mu'ou'shou
牧野留姬,mu'ye'liu'ji
裴欧沃夫兽,pei'ou'wo'fu'shou
骑士领主兽,qi'shi'ling'zhu'shou
青龙兽,qing'long'shou
秋山辽,qiu'shan'liao
泉光子郎,quan'guang'zi'lang
人马兽,ren'ma'shou
人面战鹰兽,ren'mian'zhan'ying'shou
撒多格杜兽,sa'duo'ge'du'shou
萨古牙兽,sa'gu'ya'shou
薩摩廉太郎,sa'mo'lian'tai'lang
丧失暴龙兽,sang'shi'bao'long'shou
沙古牙兽,sha'gu'ya'shou
沙悟净兽,sha'wu'jing'shou
闪光暴龙兽,shan'guang'bao'long'shou
山木,shan'mu
神圣天女兽,shen'sheng'tian'nv'shou
神圣天使兽,shen'sheng'tian'shi'shou
神源拓也,shen'yuan'tuo'ye
圣加鲁哥兽,sheng'jia'lu'ge'shou
胜利暴龙兽,sheng'li'bao'long'shou
圣龙兽,sheng'long'shou
圣树兽,sheng'shu'shou
世界树,shi'jie'shu
十数兽,shi'shu'shou
石田大和,shi'tian'da'he
狮子兽,shi'zi'shou
兽人加鲁鲁,shou'ren'jia'lu'lu
守卫兽,shou'wei'shou
数码宝贝,shu'ma'bao'bei
数码宝贝无限地带,shu'ma'bao'bei'wu'xian'de'dai
数码暴龙,shu'ma'bao'long
数码兽,shu'ma'shou
数码兽大冒险,shu'ma'shou'da'mao'xian
数码兽驯兽师,shu'ma'shou'xun'shou'shi
数码兽拯救者,shu'ma'shou'zheng'jiu'zhe
数码兽最前线,shu'ma'shou'zui'qian'xian
水银兽,shui'yin'shou
松田启人,song'tian'qi'ren
太刀川美美,tai'dao'chuan'mei'mei
汤岛浩,tang'dao'hao
藤枝淑乃,teng'zhi'shu'nai
天女兽,tian'nv'shou
天使兽,tian'shi'shou
托马,tuo'ma
乌龟兽,wu'gui'shou
悟空兽,wu'kong'shou
无限邪龙兽,wu'xian'xie'long'shou
乌贼兽,wu'zei'shou
武之内空,wu'zhi'nei'kong
武之内素娜,wu'zhi'nei'su'na
吸血魔兽,xi'xie'mo'shou
仙女兽,xian'nv'shou
仙人掌兽,xian'ren'zhang'shou
象棋兽,xiang'qi'shou
向日葵兽,xiang'ri'kui'shou
小丑皇,xiao'chou'huang
小狗兽,xiao'gou'shou
小妖兽,xiao'yao'shou
须佐之男兽,xu'zuo'zhi'nan'shou
玄内老人,xuan'nei'lao'ren
玄武兽,xuan'wu'shou
亚古拉兽,ya'gu'la'shou
亚古兽,ya'gu'shou
亚基利兽,ya'ji'li'shou
炎龙兽,yan'long'shou
盐田博和,yan'tian'bo'he
妖狐兽,yao'hu'shou
妖精兽,yao'jing'shou
野火兽,ye'huo'shou
野口郁人,ye'kou'yu'ren
野狼兽,ye'lang'shou
一乘寺贤,yi'cheng'si'xian
伊古德拉西尔,yi'gu'de'la'xi'er
银镜兽,yin'jing'shou
银狼兽,yin'lang'shou
音速加奥加兽,yin'su'jia'ao'jia'shou
玉兔兽,yu'tu'shou
源辉二,yuan'hui'er
跃升暴龙兽,yue'sheng'bao'long'shou
云迪兽,yun'di'shou
战斗暴龙兽,zhan'dou'bao'long'shou
战甲兽,zhan'jia'shou
战狼兽,zhan'lang'shou
真红莲形态,zhen'hong'lian'xing'tai
织本泉,zhi'ben'quan
朱雀兽,zhu'que'shou
仔兽,zi'shou
祖顿兽,zu'dun'shou
祖多兽,zu'duo'shou
