版型,ban'xing
包图,bao'tu
边界,bian'jie
边界类,bian'jie'lei
参数,can'shu
参与者,can'yu'zhe
策略,ce'lue
测试,ce'shi
层次,ceng'ci
层级,ceng'ji
场景,chang'jing
成果,cheng'guo
抽象,chou'xiang
代码,dai'ma
迭代,die'dai
独立性,du'li'xing
多态,duo'tai
泛化,fan'hua
反馈,fan'kui
方法,fang'fa
分布,fen'bu
分工,fen'gong
封装,feng'zhuang
概念,gai'nian
概念建模,gai'nian'jian'mo
概念用例,gai'nian'yong'li
构建,gou'jian
关联,guan'lian
关系,guan'xi
后置条件,hou'zhi'tiao'jian
活动集,huo'dong'ji
活动图,huo'dong'tu
继承,ji'cheng
架构,jia'gou
建模,jian'mo
角度,jiao'du
交互,jiao'hu
节点,jie'dian
接口,jie'kou
解耦,jie'ou
进程,jin'cheng
精化,jing'hua
静态,jing'tai
聚合,ju'he
角色,jue'se
可见性,ke'jian'xing
可用性,ke'yong'xing
控制类,kong'zhi'lei
框架,kuang'jia
扩展,kuo'zhan
类图,lei'tu
粒度,li'du
领域包,ling'yu'bao
逻辑,luo'ji
模拟,mo'ni
模型,mo'xing
耦合,ou'he
配置,pei'zhi
前置条件,qian'zhi'tiao'jian
强依赖,qiang'yi'lai
驱动,qu'dong
软件工程,ruan'jian'gong'cheng
软件过程,ruan'jian'guo'cheng
软件架构,ruan'jian'jia'gou
上下文,shang'xia'wen
设备,she'bei
设计类,she'ji'lei
设计实现,she'ji'shi'xian
涉众,she'zhong
实例,shi'li
实施,shi'shi
视图,shi'tu
实现用例,shi'xian'yong'li
时序图,shi'xu'tu
数据持久层,shu'ju'chi'jiu'ceng
属性,shu'xing
条件,tiao'jian
统一过程,tong'yi'guo'cheng
完备性,wan'bei'xing
系统,xi'tong
系统建模,xi'tong'jian'mo
系统用例,xi'tong'yong'li
线程,xian'cheng
现实世界,xian'shi'shi'jie
项目,xiang'mu
协作图,xie'zuo'tu
需求,xu'qiu
需求层次,xu'qiu'ceng'ci
需求调研,xu'qiu'diao'yan
业务工人,ye'wu'gong'ren
业务规则,ye'wu'gui'ze
业务建模,ye'wu'jian'mo
业务用例,ye'wu'yong'li
依赖,yi'lai
用例,yong'li
用例驱动,yong'li'qu'dong
用例实现,yong'li'shi'xian
源码,yuan'ma
元素,yuan'su
原子,yuan'zi
原子性,yuan'zi'xing
运行时,yun'xing'shi
质量,zhi'liang
状态图,zhuang'tai'tu
子包,zi'bao
组件,zu'jian
