白帘,bai'lian
白马王子,bai'ma'wang'zi
白牡丹,bai'mu'dan
白娘子,bai'niang'zi
白玉兰,bai'yu'lan
白玉堂,bai'yu'tang
宝岛金龙,bao'dao'jin'long
宝岛仙女,bao'dao'xian'nv
宝岛胭脂,bao'dao'yan'zhi
宝轮,bao'lun
宝玉爱,bao'yu'ai
彩荷仙,cai'he'xian
彩虹,cai'hong
朝阳,chao'yang
春秋三杰,chun'qiu'san'jie
翠玉牡丹,cui'yu'mu'dan
大满贯,da'man'guan
东方明珠,dong'fang'ming'zhu
峨眉梅蝶,e'mei'mei'die
峨眉水晶,e'mei'shui'jing
梵净素,fan'jing'su
飞天,fei'tian
福隆,fu'long
复色梅仙,fu'se'mei'xian
富山,fu'shan
复兴奇蝶,fu'xing'qi'die
古蛟素,gu'jiao'su
观音锦,guan'yin'jin
观音素心,guan'yin'su'xin
贵夫人,gui'fu'ren
含笑荷,han'xiao'he
荷花仙女,he'hua'xian'nv
荷晶奇蝶,he'jing'qi'die
荷王,he'wang
红粉佳人,hong'fen'jia'ren
红娘,hong'niang
红天鹅,hong'tian'e
皇旗,huang'qi
加治国,jia'zhi'guo
建兰长舌蝶,jian'lan'chang'she'die
建兰翡翠荷,jian'lan'fei'cui'he
建兰高出架花,jian'lan'gao'chu'jia'hua
建兰拐新花,jian'lan'guai'xin'hua
建兰黑花,jian'lan'hei'hua
建兰红蝶,jian'lan'hong'die
建兰欢庆,jian'lan'huan'qing
建兰君荷,jian'lan'jun'he
建兰罗汉,jian'lan'luo'han
建兰绿蝶,jian'lan'lv'die
建兰梅蝶,jian'lan'mei'die
建兰奇叶品,jian'lan'qi'ye'pin
建兰奇异水晶,jian'lan'qi'yi'shui'jing
建兰千喜如意,jian'lan'qian'xi'ru'yi
建兰树型梅,jian'lan'shu'xing'mei
建兰水晶龙,jian'lan'shui'jing'long
建兰四季红,jian'lan'si'ji'hong
建兰四季华光,jian'lan'si'ji'hua'guang
建兰四季奇龙,jian'lan'si'ji'qi'long
建兰四季玉妃,jian'lan'si'ji'yu'fei
建兰四季玉狮,jian'lan'si'ji'yu'shi
建兰四季皱皮,jian'lan'si'ji'zhou'pi
建兰玉兰素,jian'lan'yu'lan'su
娇鹤,jiao'he
金蜂,jin'feng
金荷,jin'he
锦鹤,jin'he
金铃,jin'ling
金马之光,jin'ma'zhi'guang
锦旗,jin'qi
金丝马尾,jin'si'ma'wei
金童玉女,jin'tong'yu'nv
丽宝,li'bao
梨山狮王,li'shan'shi'wang
龙凤大彩梅,long'feng'da'cai'mei
龙岩十八开,long'yan'shi'ba'kai
龙之梅,long'zhi'mei
绿岛胭脂,lv'dao'yan'zhi
绿岛嘴,lv'dao'zui
绿梅,lv'mei
绿云仙女,lv'yun'xian'nv
马耳,ma'er
马尾爪,ma'wei'zhao
满堂红,man'tang'hong
迷你娇鹤,mi'ni'jiao'he
明星,ming'xing
明玉,ming'yu
蓬莱之花,peng'lai'zhi'hua
企建荷花素,qi'jian'he'hua'su
七仙女,qi'xian'nv
千手观音,qian'shou'guan'yin
青山玉泉,qing'shan'yu'quan
琼和,qiong'he
日进,ri'jin
日月宝,ri'yue'bao
日之出,ri'zhi'chu
萨摩锦,sa'mo'jin
三元奇蝶,san'yuan'qi'die
市长红,shi'chang'hong
双燕,shuang'yan
四季佳龙,si'ji'jia'long
四季蟠龙,si'ji'pan'long
四季奇蝶,si'ji'qi'die
四季奇巧,si'ji'qi'qiao
四季文山龙,si'ji'wen'shan'long
素虎斑,su'hu'ban
唐伯虎,tang'bo'hu
桃娇,tao'jiao
桃琳,tao'lin
桃腮素,tao'sai'su
天虫文星,tian'chong'wen'xing
天鹅,tian'e
天府牡丹,tian'fu'mu'dan
天荷,tian'he
天司晃,tian'si'huang
天香,tian'xiang
天香锦,tian'xiang'jin
铁骨黄芽,tie'gu'huang'ya
铁骨水晶,tie'gu'shui'jing
铁骨水晶花,tie'gu'shui'jing'hua
铁骨中透,tie'gu'zhong'tou
铁金刚,tie'jin'gang
五星蝶,wu'xing'die
西海锦,xi'hai'jin
仙山牡丹,xian'shan'mu'dan
香妃,xiang'fei
小桃红,xiao'tao'hong
小天龙,xiao'tian'long
小玉桃,xiao'yu'tao
新宝岛仙女,xin'bao'dao'xian'nv
馨逸锦,xin'yi'jin
雪莲,xue'lian
雪山红,xue'shan'hong
雪玉,xue'yu
芽黄素,ya'huang'su
延陵荷素,yan'ling'he'su
雁山红,yan'shan'hong
一品梅,yi'pin'mei
银边大贡素,yin'bian'da'gong'su
银丝马尾,yin'si'ma'wei
玉丰锦,yu'feng'jin
玉芙蓉,yu'fu'rong
玉荷,yu'he
玉环妃,yu'huan'fei
玉山奇蝶,yu'shan'qi'die
玉雪天香,yu'xue'tian'xiang
中山梅,zhong'shan'mei
