阿育塔,a'yu'ta
坳南,ao'nan
坳南乡,ao'nan'xiang
坳南镇,ao'nan'zhen
白鹭,bai'lu
白鹭村,bai'lu'cun
白沙,bai'sha
白沙塘,bai'sha'tang
碧波崖,bi'bo'ya
埠前,bu'qian
埠前乡,bu'qian'xiang
埠前镇,bu'qian'zhen
才丰,cai'feng
才丰乡,cai'feng'xiang
才丰镇,cai'feng'zhen
城厢小学,cheng'xiang'xiao'xue
东里,dong'li
东里乡,dong'li'xiang
东里镇,dong'li'zhen
墩上,dun'shang
墩上乡,dun'shang'xiang
墩上镇,dun'shang'zhen
福建城,fu'jian'cheng
福建城港式休闲中心,fu'jian'cheng'gang'shi'xiu'xian'zhong'xin
高溪,gao'xi
高溪乡,gao'xi'xiang
高溪镇,gao'xi'zhen
广场上,guang'chang'shang
禾川,he'chuan
禾川镇,he'chuan'zhen
禾川中学,he'chuan'zhong'xue
荷花塘,he'hua'tang
荷花塘村,he'hua'tang'cun
横江,heng'jiang
横江村,heng'jiang'cun
怀忠,huai'zhong
怀忠乡,huai'zhong'xiang
怀忠镇,huai'zhong'zhen
江畔,jiang'pan
江畔乡,jiang'pan'xiang
江畔镇,jiang'pan'zhen
里田,li'tian
里田乡,li'tian'xiang
里田镇,li'tian'zhen
莲洲,lian'zhou
莲洲乡,lian'zhou'xiang
莲洲镇,lian'zhou'zhen
龙门,long'men
龙门乡,long'men'xiang
龙门镇,long'men'zhen
龙田,long'tian
龙田乡,long'tian'xiang
龙田镇,long'tian'zhen
龙源口,long'yuan'kou
龙源口乡,long'yuan'kou'xiang
龙源口镇,long'yuan'kou'zhen
芦溪,lu'xi
芦溪乡,lu'xi'xiang
芦溪镇,lu'xi'zhen
梅荷,mei'he
梅荷村,mei'he'cun
梅田,mei'tian
梅田洞,mei'tian'dong
曲白,qu'bai
曲白乡,qu'bai'xiang
曲白镇,qu'bai'zhen
任弼时中学,ren'bi'shi'zhong'xue
人民医院,ren'min'yi'yuan
日光,ri'guang
日光乡,ri'guang'xiang
日光镇,ri'guang'zhen
三湾,san'wan
三湾公园,san'wan'gong'yuan
三湾乡,san'wan'xiang
三湾镇,san'wan'zhen
沙市,sha'shi
沙市乡,sha'shi'xiang
沙市镇,sha'shi'zhen
石桥,shi'qiao
石桥乡,shi'qiao'xiang
石桥镇,shi'qiao'zhen
实验小学,shi'yan'xiao'xue
台岭,tai'ling
台岭乡,tai'ling'xiang
台岭镇,tai'ling'zhen
文竹,wen'zhu
文竹乡,wen'zhu'xiang
文竹镇,wen'zhu'zhen
西光村,xi'guang'cun
夏阳,xia'yang
夏阳村,xia'yang'cun
象形,xiang'xing
象形乡,xiang'xing'xiang
象形镇,xiang'xing'zhen
烟阁,yan'ge
烟阁乡,yan'ge'xiang
烟阁镇,yan'ge'zhen
永安中学,yong'an'zhong'xue
永新,yong'xin
永新第三中学,yong'xin'di'san'zhong'xue
永新二中,yong'xin'er'zhong
永新三中,yong'xin'san'zhong
永新县,yong'xin'xian
在中,zai'zhong
在中乡,zai'zhong'xiang
在中镇,zai'zhong'zhen
樟枧,zhang'jian
樟枧村,zhang'jian'cun
中医院,zhong'yi'yuan
子珍小学,zi'zhen'xiao'xue
