安全性,an'quan'xing
保付支票,bao'fu'zhi'piao
保管业务,bao'guan'ye'wu
保证信托,bao'zheng'xin'tuo
保值贴补率,bao'zhi'tie'bu'lv
背书,bei'shu
本票,ben'piao
拨改贷,bo'gai'dai
不动产信托,bu'dong'chan'xin'tuo
部队存款,bu'dui'cun'kuan
财务轧差,cai'wu'zha'cha
财政存款,cai'zheng'cun'kuan
财政性存款,cai'zheng'xing'cun'kuan
差别利率,cha'bie'li'lv
差额包干,cha'e'bao'gan
差额控制,cha'e'kong'zhi
拆借,chai'jie
产值贷款率,chan'zhi'dai'kuan'lv
超定额贷款,chao'ding'e'dai'kuan
承兑,cheng'dui
承兑汇票,cheng'dui'hui'piao
储蓄,chu'xu
储蓄存款,chu'xu'cun'kuan
储蓄函数,chu'xu'han'shu
储蓄率,chu'xu'lv
储蓄倾向,chu'xu'qing'xiang
储蓄生命周期假说,chu'xu'sheng'ming'zhou'qi'jia'shuo
储蓄原则,chu'xu'yuan'ze
创业利润,chuang'ye'li'run
存差,cun'cha
存贷分户,cun'dai'fen'hu
存贷合一,cun'dai'he'yi
存款,cun'kuan
大修理贷款,da'xiu'li'dai'kuan
贷款,dai'kuan
贷款对象,dai'kuan'dui'xiang
贷款经济效益,dai'kuan'jing'ji'xiao'yi
贷款三查,dai'kuan'san'cha
贷款条件,dai'kuan'tiao'jian
贷款原则,dai'kuan'yuan'ze
贷款指标,dai'kuan'zhi'biao
呆帐贷款,dai'zhang'dai'kuan
呆滞贷款,dai'zhi'dai'kuan
单利,dan'li
抵押贷款,di'ya'dai'kuan
典当,dian'dang
定额贷款,ding'e'dai'kuan
定额负债,ding'e'fu'zhai
定期储蓄,ding'qi'chu'xu
定期存款,ding'qi'cun'kuan
动产信托,dong'chan'xin'tuo
短期负债,duan'qi'fu'zhai
多元化经营理论,duo'yuan'hua'jing'ying'li'lun
法人信托,fa'ren'xin'tuo
房地产信托,fang'di'chan'xin'tuo
非营业信托,fei'ying'ye'xin'tuo
浮动利率,fu'dong'li'lv
复利,fu'li
负债管理理论,fu'zhai'guan'li'li'lun
负债业务,fu'zhai'ye'wu
高利贷信用,gao'li'dai'xin'yong
个人信托,ge'ren'xin'tuo
个体工商户贷款,ge'ti'gong'shang'hu'dai'kuan
公司信托,gong'si'xin'tuo
工业贷款,gong'ye'dai'kuan
工业贷款计划,gong'ye'dai'kuan'ji'hua
公益信托,gong'yi'xin'tuo
固定资产贷款,gu'ding'zi'chan'dai'kuan
国际信用,guo'ji'xin'yong
国家信用,guo'jia'xin'yong
国家综合信贷计划,guo'jia'zong'he'xin'dai'ji'hua
国库券,guo'ku'quan
国营农业企业贷款,guo'ying'nong'ye'qi'ye'dai'kuan
国营农业企业流动资金贷款,guo'ying'nong'ye'qi'ye'liu'dong'zi'jin'dai'kuan
国营农业企业设备贷款,guo'ying'nong'ye'qi'ye'she'bei'dai'kuan
华侨人民币储蓄,hua'qiao'ren'min'bi'chu'xu
黄金贴水,huang'jin'tie'shui
汇票,hui'piao
货币放款,huo'bi'fang'kuan
货币信用,huo'bi'xin'yong
活期储蓄,huo'qi'chu'xu
活期存款,huo'qi'cun'kuan
挤兑,ji'dui
机关团体存款,ji'guan'tuan'ti'cun'kuan
基建存款,ji'jian'cun'kuan
技术改造贷款,ji'shu'gai'zao'dai'kuan
集体工业生产贷款,ji'ti'gong'ye'sheng'chan'dai'kuan
集体农业存款,ji'ti'nong'ye'cun'kuan
集体农业贷款,ji'ti'nong'ye'dai'kuan
集体农业生产费用贷款,ji'ti'nong'ye'sheng'chan'fei'yong'dai'kuan
集体农业生产设备贷款,ji'ti'nong'ye'sheng'chan'she'bei'dai'kuan
家庭农场贷款,jia'ting'nong'chang'dai'kuan
借差,jie'cha
借款,jie'kuan
结算贷款,jie'suan'dai'kuan
金融寡头,jin'rong'gua'tou
金融租赁,jin'rong'zu'lin
空头支票,kong'tou'zhi'piao
利息基数,li'xi'ji'shu
利息率,li'xi'lv
粮食贷款,liang'shi'dai'kuan
临时贷款,lin'shi'dai'kuan
流动基金贷款,liu'dong'ji'jin'dai'kuan
流动性,liu'dong'xing
旅行支票,lv'xing'zhi'piao
买方信贷,mai'fang'xin'dai
卖方信贷,mai'fang'xin'dai
民间信用,min'jian'xin'yong
民事信托,min'shi'xin'tuo
耐用消费品信托,nai'yong'xiao'fei'pin'xin'tuo
农村个体工商业贷款,nong'cun'ge'ti'gong'shang'ye'dai'kuan
农村金融,nong'cun'jin'rong
农贷沉淀,nong'dai'chen'dian
农贷豁免,nong'dai'huo'mian
农副产品采购贷款,nong'fu'chan'pin'cai'gou'dai'kuan
农副产品收购定额支票,nong'fu'chan'pin'shou'gou'ding'e'zhi'piao
农副产品预购定金贷款,nong'fu'chan'pin'yu'gou'ding'jin'dai'kuan
农民个人贷款,nong'min'ge'ren'dai'kuan
农业贷款,nong'ye'dai'kuan
农业开发性贷款,nong'ye'kai'fa'xing'dai'kuan
派生存款,pai'sheng'cun'kuan
票据,piao'ju
票据转让,piao'ju'zhuan'rang
平均利息率,ping'jun'li'xi'lv
平均利息率下降规律,ping'jun'li'xi'lv'xia'jiang'gui'lv
平行线支票,ping'xing'xian'zhi'piao
普通信托,pu'tong'xin'tuo
期票,qi'piao
企业存款,qi'ye'cun'kuan
企业借款计划,qi'ye'jie'kuan'ji'hua
前资本主义信用,qian'zi'ben'zhu'yi'xin'yong
强制储蓄,qiang'zhi'chu'xu
区别对待择优扶植,qu'bie'dui'dai'ze'you'fu'zhi
全额信贷,quan'e'xin'dai
人民币长期保值储蓄存款,ren'min'bi'chang'qi'bao'zhi'chu'xu'cun'kuan
人民银行信贷计划,ren'min'yin'hang'xin'dai'ji'hua
融通票据,rong'tong'piao'ju
三角债务,san'jiao'zhai'wu
商品流转贷款,shang'pin'liu'zhuan'dai'kuan
商事信托,shang'shi'xin'tuo
商务管理信托,shang'wu'guan'li'xin'tuo
商业承兑汇票,shang'ye'cheng'dui'hui'piao
商业贷款,shang'ye'dai'kuan
商业贷款计划,shang'ye'dai'kuan'ji'hua
商业汇票,shang'ye'hui'piao
商业汇票贴现,shang'ye'hui'piao'tie'xian
商业票据,shang'ye'piao'ju
商业信用,shang'ye'xin'yong
商业性贷款论,shang'ye'xing'dai'kuan'lun
社会主义信用,she'hui'zhu'yi'xin'yong
社团信托,she'tuan'xin'tuo
身后信托,shen'hou'xin'tuo
生产周转贷款,sheng'chan'zhou'zhuan'dai'kuan
生前信托,sheng'qian'xin'tuo
市场利息率,shi'chang'li'xi'lv
实贷实存,shi'dai'shi'cun
