岸芷汀兰,an'zhi'ting'lan
把酒临风,ba'jiu'lin'feng
百废具兴,bai'fei'ju'xing
百里奚举于市,bai'li'xi'ju'yu'shi
彼竭我盈,bi'jie'wo'ying
必先苦其心志,bi'xian'ku'qi'xin'zhi
必以分人,bi'yi'fen'ren
必以情,bi'yi'qing
必以信,bi'yi'xin
便得一山,bian'de'yi'shan
便舍船,bian'she'chuan
并怡然自乐,bing'yi'ran'zi'le
波澜不惊,bo'lan'bu'jing
薄暮冥冥,bo'mu'ming'ming
不可久居,bu'ke'jiu'ju
不可知其源,bu'ke'zhi'qi'yuan
不以己悲,bu'yi'ji'bei
不亦君子乎,bu'yi'jun'zi'hu
不亦乐乎,bu'yi'le'hu
不以物喜,bu'yi'wu'xi
不亦说乎,bu'yi'yue'hu
才通人,cai'tong'ren
曹刿论战,cao'gui'lun'zhan
曹刿请见,cao'gui'qing'jian
草色入帘青,cao'se'ru'lian'qing
参差披拂,cen'ci'pi'fu
曾益其所不能,ceng'yi'qi'suo'bu'neng
宠辱偕忘,chong'ru'xie'wang
俶尔远逝,chu'er'yuan'shi
初极狭,chu'ji'xia
处江湖之远则忧其君,chu'jiang'hu'zhi'yuan'ze'you'qi'jun
出则无敌国外患者,chu'ze'wu'di'guo'wai'huan'zhe
此乐何极,ci'le'he'ji
此则岳阳楼之大观也,ci'ze'yue'yang'lou'zhi'da'guan'ye
从口入,cong'kou'ru
从小丘西行百二十步,cong'xiao'qiu'xi'xing'bai'er'shi'bu
得无异乎,de'wu'yi'hu
登轼而望之,deng'shi'er'wang'zhi
登斯楼也,deng'si'lou'ye
东晋,dong'jin
斗折蛇行,dou'zhe'she'xing
对曰,dui'yue
多会于此,duo'hui'yu'ci
饿其体肤,e'qi'ti'fu
而后喻,er'hou'yu
而后作,er'hou'zuo
而或长烟一空,er'huo'chang'yan'yi'kong
而死于安乐也,er'si'yu'an'le'ye
发于声,fa'yu'sheng
伐竹取道,fa'zhu'qu'dao
范仲淹,fan'zhong'yan
芳草鲜美,fang'cao'xian'mei
仿佛若有光,fang'fu'ruo'you'guang
夫大国,fu'da'guo
弗敢加也,fu'gan'jia'ye
弗敢专也,fu'gan'zhuan'ye
浮光跃金,fu'guang'yue'jin
复前行,fu'qian'xing
傅说举于版筑之间,fu'shuo'ju'yu'ban'zhu'zhi'jian
复行数十步,fu'xing'shu'shi'bu
夫战,fu'zhan
感极而悲者矣,gan'ji'er'bei'zhe'yi
隔篁竹,ge'huang'zhu
公将驰之,gong'jiang'chi'zhi
公将鼓之,gong'jiang'gu'zhi
公将战,gong'jiang'zhan
公问其故,gong'wen'qi'gu
公与之乘,gong'yu'zhi'cheng
公曰,gong'yue
故克之,gu'ke'zhi
故天将降大任于是人也,gu'tian'jiang'jiang'da'ren'yu'shi'ren'ye
故逐之,gu'zhu'zhi
管夷吾举于士,guan'yi'wu'ju'yu'shi
刿曰,gui'yue
国恒亡,guo'heng'wang
浩浩汤汤,hao'hao'shang'tang
皓月千里,hao'yue'qian'li
何陋之有,he'lou'zhi'you
何以战,he'yi'zhan
何哉,he'zai
横无际涯,heng'wu'ji'ya
衡于虑,heng'yu'lv
后天下之乐而乐,hou'tian'xia'zhi'le'er'le
忽逢桃花林,hu'feng'tao'hua'lin
虎啸猿啼,hu'xiao'yuan'ti
黄发垂髫,huang'fa'chui'tiao
豁然开朗,huo'ran'kai'lang
或异二者之为,huo'yi'er'zhe'zhi'wei
既克,ji'ke
寂寥无人,ji'liao'wu'ren
鸡犬相闻,ji'quan'xiang'wen
夹岸数百步,jia'an'shu'bai'bu
胶鬲举于鱼盐之中,jiao'ge'ju'yu'yu'yan'zhi'zhong
嗟夫,jie'fu
皆若空游无所依,jie'ruo'kong'you'wu'suo'yi
近岸,jin'an
锦鳞游泳,jin'lin'you'yong
晋太元中,jin'tai'yuan'zhong
静影沉璧,jing'ying'chen'bi
居庙堂之高则忧其民,ju'miao'tang'zhi'gao'ze'you'qi'min
惧有伏焉,ju'you'fu'yan
卷石底以出,juan'shi'di'yi'chu
刻唐贤今人诗赋于其上,ke'tang'xian'jin'ren'shi'fu'yu'qi'shang
可矣,ke'yi
可以调素琴,ke'yi'tiao'su'qin
可以为师矣,ke'yi'wei'shi'yi
可以一战,ke'yi'yi'zhan
空乏其身,kong'fa'qi'shen
孔子云,kong'zi'yun
困于心,kun'yu'xin
览物之情,lan'wu'zhi'qing
劳其筋骨,lao'qi'jin'gu
连月不开,lian'yue'bu'kai
林尽水源,lin'jin'shui'yuan
刘禹锡,liu'yu'xi
柳宗元,liu'zong'yuan
陋室铭,lou'shi'ming
论语,lun'yu
落英缤纷,luo'ying'bin'fen
