阿会喃,a'hui'nan
阿罗盘,a'luo'pan
阿鹜,a'wu
白芍,bai'shao
颁下,ban'xia
鲍出,bao'chu
鲍隆,bao'long
鲍信,bao'xin
毕岚,bi'lan
卞秉,bian'bing
边鸿,bian'hong
卞氏,bian'shi
卞喜,bian'xi
邴原,bing'yuan
波才,bo'cai
薄奚康姆,bo'xi'kang'mu
步度根,bu'du'gen
步练师,bu'lian'shi
卜已,bu'yi
步骘,bu'zhi
蔡夫人,cai'fu'ren
蔡和,cai'he
蔡瑁,cai'mao
蔡勋,cai'xun
蔡琰,cai'yan
蔡阳,cai'yang
蔡邕,cai'yong
蔡中,cai'zhong
曹安民,cao'an'min
曹昂,cao'ang
曹豹,cao'bao
曹操,cao'cao
曹冲,cao'chong
曹纯,cao'chun
曹洪,cao'hong
曹华,cao'hua
曹节,cao'jie
曹丕,cao'pi
曹仁,cao'ren
曹嵩,cao'song
曹宪,cao'xian
曹性,cao'xing
曹熊,cao'xiong
曹休,cao'xiu
曹芸,cao'yun
曹彰,cao'zhang
曹真,cao'zhen
曹植,cao'zhi
岑壁,cen'bi
常雕,chang'diao
常林,chang'lin
昌奇,chang'qi
昌豨,chang'xi
车胄,che'zhou
陈到,chen'dao
陈登,chen'deng
陈宫,chen'gong
陈珪,chen'gui
陈矫,chen'jiao
陈就,chen'jiu
陈兰,chen'lan
陈琳,chen'lin
陈群,chen'qun
陈式,chen'shi
陈孙,chen'sun
陈武,chen'wu
陈应,chen'ying
陈震,chen'zhen
程秉,cheng'bing
成公英,cheng'gong'ying
成何,cheng'he
程畿,cheng'ji
成廉,cheng'lian
成律归,cheng'lv'gui
程普,cheng'pu
成宜,cheng'yi
程银,cheng'yin
程昱,cheng'yu
程远志,cheng'yuan'zhi
程咨,cheng'zi
淳于导,chun'yu'dao
淳于琼,chun'yu'qiong
崔钧,cui'jun
崔林,cui'lin
崔琰,cui'yan
崔禹,cui'yu
大乔,da'qiao
戴胡阿狼泥,dai'hu'a'lang'ni
带来洞主,dai'lai'dong'zhu
戴员,dai'yuan
丹杨,dan'yang
丹阳弦翎队,dan'yang'xian'ling'dui
蹈锋白毦军,dao'feng'bai'er'jun
邓方,deng'fang
邓龙,deng'long
邓茂,deng'mao
邓贤,deng'xian
邓展,deng'zhan
邓芝,deng'zhi
典满,dian'man
典韦,dian'wei
貂蝉,diao'chan
丁斐,ding'fei
丁奉,ding'feng
丁封,ding'feng
丁氏,ding'shi
丁仪,ding'yi
丁廙,ding'yi
丁原,ding'yuan
董白,dong'bai
董超,dong'chao
董承,dong'cheng
董贵人,dong'gui'ren
董和,dong'he
董衡,dong'heng
董旻,dong'min
董祀,dong'si
董荼那,dong'tu'na
董袭,dong'xi
董允,dong'yun
董昭,dong'zhao
董卓,dong'zhuo
杜畿,du'ji
杜夔,du'kui
杜琼,du'qiong
杜微,du'wei
杜袭,du'xi
督邮,du'you
杜远,du'yuan
段煨,duan'wei
朶思大王,duo'si'da'wang
鄂焕,e'huan
法正,fa'zheng
樊阿,fan'a
樊稠,fan'chou
范疆,fan'jiang
繁钦,fan'qin
樊氏,fan'shi
范先,fan'xian
方悦,fang'yue
费观,fei'guan
费诗,fei'shi
费祎,fei'yi
封衡,feng'heng
逢纪,feng'ji
冯楷,feng'kai
冯礼,feng'li
冯习,feng'xi
傅干,fu'gan
伏皇后,fu'huang'hou
扶罗韩,fu'luo'han
傅肜,fu'rong
傅士仁,fu'shi'ren
伏完,fu'wan
傅巽,fu'xun
傅婴,fu'ying
甘夫人,gan'fu'ren
甘宁,gan'ning
高定,gao'ding
高干,gao'gan
高槐,gao'huai
高览,gao'lan
高沛,gao'pei
高平,gao'ping
高柔,gao'rou
高升,gao'sheng
高顺,gao'shun
高堂隆,gao'tang'long
戈定,ge'ding
葛玄,ge'xuan
耿纪,geng'ji
龚都,gong'du
公孙度,gong'sun'du
公孙范,gong'sun'fan
公孙恭,gong'sun'gong
公孙康,gong'sun'kang
公孙越,gong'sun'yue
公孙瓒,gong'sun'zan
巩志,gong'zhi
骨进,gu'jin
谷利,gu'li
顾雍,gu'yong
关凤,guan'feng
管亥,guan'hai
管辂,guan'lu
管宁,guan'ning
关平,guan'ping
关兴,guan'xing
关羽,guan'yu
眭固,gui'gu
妫览,gui'lan
眭元进,gui'yuan'jin
郭淮,guo'huai
郭嘉,guo'jia
郭女王,guo'nv'wang
郭胜,guo'sheng
郭汜,guo'si
郭图,guo'tu
郭勋,guo'xun
郭奕,guo'yi
郭攸之,guo'you'zhi
国渊,guo'yuan
郭援,guo'yuan
邯郸商,han'dan'shang
韩当,han'dang
韩福,han'fu
韩馥,han'fu
韩浩,han'hao
韩珩,han'heng
韩暨,han'ji
韩莒子,han'ju'zi
汗卢维,han'lu'wei
韩猛,han'meng
韩镕,han'rong
韩嵩,han'song
韩遂,han'sui
韩暹,han'xian
韩玄,han'xuan
韩忠,han'zhong
郝萌,hao'meng
郝昭,hao'zhao
何皇后,he'huang'hou
何进,he'jin
贺齐,he'qi
和洽,he'qia
何儀,he'yi
何宗,he'zong
侯成,hou'cheng
侯览,hou'lan
侯选,hou'xuan
胡班,hu'ban
虎豹,hu'bao
虎豹骁锐骑,hu'bao'xiao'rui'qi
胡车儿,hu'che'er
呼厨泉,hu'chu'quan
狐笃,hu'du
护留,hu'liu
胡潜,hu'qian
胡轸,hu'zhen
花鬘,hua'man
华佗,hua'tuo
华歆,hua'xin
华雄,hua'xiong
桓阶,huan'jie
黄承彦,huang'cheng'yan
皇甫嵩,huang'fu'song
黄盖,huang'gai
黄奎,huang'kui
黄权,huang'quan
黄邵,huang'shao
黄月英,huang'yue'ying
黄忠,huang'zhong
黄祖,huang'zu
火攻队,huo'gong'dui
霍峻,huo'jun
纪灵,ji'ling
吉邈,ji'miao
吉穆,ji'mu
吉平,ji'ping
贾华,jia'hua
贾逵,jia'kui
贾诩,jia'xu
建安文士,jian'an'wen'shi
蹇硕,jian'shuo
简雍,jian'yong
蒋干,jiang'gan
蒋济,jiang'ji
姜冏,jiang'jiong
蒋奇,jiang'qi
蒋钦,jiang'qin
蒋琬,jiang'wan
姜维,jiang'wei
姜叙,jiang'xu
蒋义渠,jiang'yi'qu
姜隐,jiang'yin
焦触,jiao'chu
焦仲卿,jiao'zhong'qing
锦帆,jin'fan
金环三结,jin'huan'san'jie
金旋,jin'xuan
金祎,jin'yi
沮鹄,ju'hu
沮授,ju'shou
厥机,jue'ji
阚泽,kan'ze
轲比能,ke'bi'neng
孔融,kong'rong
孔信,kong'xin
孔秀,kong'xiu
孔伷,kong'zhou
寇娄敦,kou'lou'dun
蒯良,kuai'liang
蒯越,kuai'yue
魁头,kui'tou
赖恭,lai'gong
来莺儿,lai'ying'er
乐进,le'jin
乐就,le'jiu
乐綝,le'shen
雷薄,lei'bo
雷铜,lei'tong
李春香,li'chun'xiang
李典,li'dian
李丰,li'feng
李伏,li'fu
李孚,li'fu
李珪,li'gui
李恢,li'hui
李傕,li'jue
李俊,li'jun
李堪,li'kan
李清,li'qing
李儒,li'ru
栗嵩,li'song
李肃,li'su
李通,li'tong
李严,li'yan
李异,li'yi
李意,li'yi
李整,li'zheng
李植,li'zhi
梁纲,liang'gang
梁宽,liang'kuan
梁习,liang'xi
梁兴,liang'xing
廖化,liao'hua
廖立,liao'li
泠苞,ling'bao
凌操,ling'cao
灵帝,ling'di
凌统,ling'tong
刘巴,liu'ba
刘豹,liu'bao
刘备,liu'bei
刘表,liu'biao
刘琮,liu'cong
刘岱,liu'dai
刘度,liu'du
刘惇,liu'dun
刘冯,liu'feng
刘封,liu'feng
刘馥,liu'fu
刘夫人,liu'fu'ren
刘璝,liu'gui
刘娢,liu'han
刘和,liu'he
刘虎,liu'hu
刘兰芝,liu'lan'zhi
刘磐,liu'pan
刘辟,liu'pi
刘琦,liu'qi
刘禅,liu'shan
