阿的平,a'di'ping
吖啶,a'ding
吖啶橙,a'ding'cheng
吖啶黄,a'ding'huang
阿克拉霉素,a'ke'la'mei'su
阿拉伯半乳聚糖,a'la'bo'ban'ru'ju'tang
阿拉伯胶,a'la'bo'jiao
阿拉伯糖,a'la'bo'tang
阿拉伯糖型抗坏血酸,a'la'bo'tang'xing'kang'huai'xue'suan
阿洛糖,a'luo'tang
阿洛酮糖,a'luo'tong'tang
阿霉素,a'mei'su
阿米巴状细胞,a'mi'ba'zhuang'xi'bao
阿片剂,a'pian'ji
阿片样促皮质素原,a'pian'yang'cu'pi'zhi'su'yuan
阿片样肽,a'pian'yang'tai
阿片样物质,a'pian'yang'wu'zhi
阿斯巴甜剂,a'si'ba'tian'ji
阿司匹林,a'si'pi'lin
阿托品,a'tuo'pin
癌的,ai'de
矮的,ai'de
埃德曼,ai'de'man
埃德曼降解,ai'de'man'jiang'jie
艾杜糖醛酸,ai'du'tang'quan'suan
癌发生的,ai'fa'sheng'de
矮秆品种,ai'gan'pin'zhong
癌基因,ai'ji'yin
癌胚抗原,ai'pei'kang'yuan
癌溶解,ai'rong'jie
癌生成,ai'sheng'cheng
癌细胞,ai'xi'bao
癌细胞样生长,ai'xi'bao'yang'sheng'zhang
矮壮素,ai'zhuang'su
艾滋病,ai'zi'bing
氨苄青霉素抗性,an'bian'qing'mei'su'kang'xing
氨苄青霉素敏感,an'bian'qing'mei'su'min'gan
氨苄青霉索,an'bian'qing'mei'suo
氨丙基转移酶,an'bing'ji'zhuan'yi'mei
安瓿,an'bu
暗淡的,an'dan'de
暗反应,an'fan'ying
安福灵,an'fu'ling
暗褐菌素,an'he'jun'su
氨合作用,an'he'zuo'yong
氨基,an'ji
氨基蝶呤,an'ji'die'ling
氨基丁酸,an'ji'ding'suan
氨基端,an'ji'duan
氨基甲酸,an'ji'jia'suan
氨基甲酸激酶,an'ji'jia'suan'ji'mei
氨基连接臂,an'ji'lian'jie'bi
氨基脲,an'ji'niao
氨基嘌呤,an'ji'piao'ling
氨基青霉烷酸,an'ji'qing'mei'wan'suan
氨基酸,an'ji'suan
氨基酸残基,an'ji'suan'can'ji
氨基酸侧链,an'ji'suan'ce'lian
氨基酸代谢,an'ji'suan'dai'xie
氨基酸分析仪,an'ji'suan'fen'xi'yi
氨基酸结合部位,an'ji'suan'jie'he'bu'wei
氨基酸频率,an'ji'suan'pin'lv
氨基酸脱甲基酶,an'ji'suan'tuo'jia'ji'mei
氨基酸消旋酶,an'ji'suan'xiao'xuan'mei
氨基酸修饰,an'ji'suan'xiu'shi
氨基酸序列,an'ji'suan'xu'lie
氨基酸乙酰转移酶,an'ji'suan'yi'xian'zhuan'yi'mei
氨基酸转乙酰酶,an'ji'suan'zhuan'yi'xian'mei
氨基酸组成,an'ji'suan'zu'cheng
氨基糖苷,an'ji'tang'gan
氨基头孢菌酸,an'ji'tou'bao'jun'suan
氨基乙醇,an'ji'yi'chun
氨基已二酸途径,an'ji'yi'er'suan'tu'jing
氨甲蝶呤,an'jia'die'ling
氨甲蝶岭,an'jia'die'ling
氨甲酰蛋白,an'jia'xian'dan'bai
氨甲酰基,an'jia'xian'ji
