兵八进一,bing'ba'jin'yi
兵八平九,bing'ba'ping'jiu
兵八平七,bing'ba'ping'qi
兵二进一,bing'er'jin'yi
兵二平三,bing'er'ping'san
兵二平一,bing'er'ping'yi
兵九进一,bing'jiu'jin'yi
兵九平八,bing'jiu'ping'ba
兵六进一,bing'liu'jin'yi
兵六平七,bing'liu'ping'qi
兵六平五,bing'liu'ping'wu
兵七进一,bing'qi'jin'yi
兵七平八,bing'qi'ping'ba
兵七平六,bing'qi'ping'liu
兵三进一,bing'san'jin'yi
兵三平二,bing'san'ping'er
兵三平四,bing'san'ping'si
兵四进一,bing'si'jin'yi
兵四平三,bing'si'ping'san
兵四平五,bing'si'ping'wu
兵五进一,bing'wu'jin'yi
兵五平六,bing'wu'ping'liu
兵五平四,bing'wu'ping'si
兵一进一,bing'yi'jin'yi
兵一平二,bing'yi'ping'er
车八进八,che'ba'jin'ba
车八进二,che'ba'jin'er
车八进九,che'ba'jin'jiu
车八进六,che'ba'jin'liu
车八进七,che'ba'jin'qi
车八进三,che'ba'jin'san
车八进四,che'ba'jin'si
车八进五,che'ba'jin'wu
车八进一,che'ba'jin'yi
车八平二,che'ba'ping'er
车八平九,che'ba'ping'jiu
车八平六,che'ba'ping'liu
车八平七,che'ba'ping'qi
车八平三,che'ba'ping'san
车八平四,che'ba'ping'si
车八平五,che'ba'ping'wu
车八平一,che'ba'ping'yi
车八退八,che'ba'tui'ba
车八退二,che'ba'tui'er
车八退九,che'ba'tui'jiu
车八退六,che'ba'tui'liu
车八退七,che'ba'tui'qi
车八退三,che'ba'tui'san
车八退四,che'ba'tui'si
车八退五,che'ba'tui'wu
车八退一,che'ba'tui'yi
车二进八,che'er'jin'ba
车二进二,che'er'jin'er
车二进九,che'er'jin'jiu
车二进六,che'er'jin'liu
车二进七,che'er'jin'qi
车二进三,che'er'jin'san
车二进四,che'er'jin'si
车二进五,che'er'jin'wu
车二进一,che'er'jin'yi
车二平八,che'er'ping'ba
车二平九,che'er'ping'jiu
车二平六,che'er'ping'liu
车二平七,che'er'ping'qi
车二平三,che'er'ping'san
车二平四,che'er'ping'si
车二平五,che'er'ping'wu
车二平一,che'er'ping'yi
车二退八,che'er'tui'ba
车二退二,che'er'tui'er
车二退九,che'er'tui'jiu
车二退六,che'er'tui'liu
车二退七,che'er'tui'qi
车二退三,che'er'tui'san
车二退四,che'er'tui'si
车二退五,che'er'tui'wu
车二退一,che'er'tui'yi
车九进八,che'jiu'jin'ba
车九进二,che'jiu'jin'er
车九进九,che'jiu'jin'jiu
车九进六,che'jiu'jin'liu
车九进七,che'jiu'jin'qi
车九进三,che'jiu'jin'san
车九进四,che'jiu'jin'si
车九进五,che'jiu'jin'wu
车九进一,che'jiu'jin'yi
车九平八,che'jiu'ping'ba
车九平二,che'jiu'ping'er
车九平六,che'jiu'ping'liu
车九平七,che'jiu'ping'qi
车九平三,che'jiu'ping'san
车九平四,che'jiu'ping'si
车九平五,che'jiu'ping'wu
车九平一,che'jiu'ping'yi
车九退八,che'jiu'tui'ba
车九退二,che'jiu'tui'er
车九退九,che'jiu'tui'jiu
车九退六,che'jiu'tui'liu
车九退七,che'jiu'tui'qi
车九退三,che'jiu'tui'san
车九退四,che'jiu'tui'si
车九退五,che'jiu'tui'wu
车九退一,che'jiu'tui'yi
车六进八,che'liu'jin'ba
车六进二,che'liu'jin'er
车六进九,che'liu'jin'jiu
车六进六,che'liu'jin'liu
车六进七,che'liu'jin'qi
车六进三,che'liu'jin'san
车六进四,che'liu'jin'si
车六进五,che'liu'jin'wu
车六进一,che'liu'jin'yi
车六平八,che'liu'ping'ba
车六平二,che'liu'ping'er
车六平九,che'liu'ping'jiu
车六平七,che'liu'ping'qi
车六平三,che'liu'ping'san
车六平四,che'liu'ping'si
车六平五,che'liu'ping'wu
车六平一,che'liu'ping'yi
车六退八,che'liu'tui'ba
车六退二,che'liu'tui'er
车六退九,che'liu'tui'jiu
车六退六,che'liu'tui'liu
车六退七,che'liu'tui'qi
车六退三,che'liu'tui'san
车六退四,che'liu'tui'si
车六退五,che'liu'tui'wu
车六退一,che'liu'tui'yi
车七进八,che'qi'jin'ba
车七进二,che'qi'jin'er
车七进九,che'qi'jin'jiu
车七进六,che'qi'jin'liu
车七进七,che'qi'jin'qi
车七进三,che'qi'jin'san
车七进四,che'qi'jin'si
车七进五,che'qi'jin'wu
车七进一,che'qi'jin'yi
车七平八,che'qi'ping'ba
车七平二,che'qi'ping'er
车七平九,che'qi'ping'jiu
车七平六,che'qi'ping'liu
车七平三,che'qi'ping'san
车七平四,che'qi'ping'si
车七平五,che'qi'ping'wu
车七平一,che'qi'ping'yi
车七退八,che'qi'tui'ba
车七退二,che'qi'tui'er
车七退九,che'qi'tui'jiu
车七退六,che'qi'tui'liu
车七退七,che'qi'tui'qi
车七退三,che'qi'tui'san
车七退四,che'qi'tui'si
车七退五,che'qi'tui'wu
车七退一,che'qi'tui'yi
车三进八,che'san'jin'ba
车三进二,che'san'jin'er
车三进九,che'san'jin'jiu
车三进六,che'san'jin'liu
车三进七,che'san'jin'qi
车三进三,che'san'jin'san
车三进四,che'san'jin'si
车三进五,che'san'jin'wu
车三进一,che'san'jin'yi
车三平八,che'san'ping'ba
车三平二,che'san'ping'er
车三平九,che'san'ping'jiu
车三平六,che'san'ping'liu
车三平七,che'san'ping'qi
车三平四,che'san'ping'si
车三平五,che'san'ping'wu
车三平一,che'san'ping'yi
车三退八,che'san'tui'ba
车三退二,che'san'tui'er
车三退九,che'san'tui'jiu
车三退六,che'san'tui'liu
车三退七,che'san'tui'qi
车三退三,che'san'tui'san
车三退四,che'san'tui'si
车三退五,che'san'tui'wu
车三退一,che'san'tui'yi
车四进八,che'si'jin'ba
车四进二,che'si'jin'er
车四进九,che'si'jin'jiu
车四进六,che'si'jin'liu
车四进七,che'si'jin'qi
车四进三,che'si'jin'san
车四进四,che'si'jin'si
车四进五,che'si'jin'wu
车四进一,che'si'jin'yi
车四平八,che'si'ping'ba
车四平二,che'si'ping'er
车四平九,che'si'ping'jiu
车四平六,che'si'ping'liu
车四平七,che'si'ping'qi
车四平三,che'si'ping'san
车四平五,che'si'ping'wu
车四平一,che'si'ping'yi
车四退八,che'si'tui'ba
车四退二,che'si'tui'er
