阿阿达达,a'a'da'da
阿阿达达里,a'a'da'da'li
阿达,a'da
阿公,a'gong
阿苗,a'miao
阿婆,a'po
案刀个,an'dao'ge
安起来,an'qi'lai
安上去,an'shang'qu
熬个,ao'ge
鳌溪,ao'xi
鳌溪路,ao'xi'lu
鳌溪镇,ao'xi'zhen
霸霸仔糖,ba'ba'zai'tang
巴不得,ba'bu'de
巴不能得,ba'bu'neng'de
霸场事,ba'chang'shi
罢刚,ba'gang
八管嘴,ba'guan'zui
巴麻仔,ba'ma'zai
耙田,ba'tian
巴野事,ba'ye'shi
八月拆,ba'yue'chai
巴仔客,ba'zai'ke
百鳖,bai'bie
白吃里,bai'chi'li
摆火,bai'huo
百货,bai'huo
败家精,bai'jia'jing
摆架子,bai'jia'zi
白净,bai'jing
白壳,bai'ke
摆酷,bai'ku
败冒里,bai'mao'li
摆冒里,bai'mao'li
摆钱,bai'qian
拜神,bai'shen
百是百,bai'shi'bai
白石岭,bai'shi'ling
白拖里,bai'tuo'li
白哇里,bai'wa'li
半巴里,ban'ba'li
搬搬把把,ban'ban'ba'ba
板板嗨,ban'ban'hai
半布下丢里,ban'bu'xia'diu'li
班房,ban'fang
半日,ban'ri
半是半,ban'shi'ban
半仙,ban'xian
帮下工,bang'xia'gong
宝宝崽,bao'bao'zai
刨饼,bao'bing
爆冲,bao'chong
刨豆腐,bao'dou'fu
包烂脚,bao'lan'jiao
包你,bao'ni
包你好用,bao'ni'hao'yong
包你晓得,bao'ni'xiao'de
包你有,bao'ni'you
刨起来里,bao'qi'lai'li
包恰,bao'qia
包恰包住,bao'qia'bao'zhu
包钱,bao'qian
包生崽,bao'sheng'zai
报死,bao'si
饱死里,bao'si'li
包台我身上,bao'tai'wo'shen'shang
刨油焦,bao'you'jiao
宝崽,bao'zai
爆炸,bao'zha
保长,bao'zhang
包粽里,bao'zong'li
报嘴,bao'zui
爆嘴,bao'zui
报嘴婆种,bao'zui'po'zhong
爆嘴婆种,bao'zui'po'zhong
北大道,bei'da'dao
北坑,bei'keng
绷凳,beng'deng
绷干,beng'gan
绷紧,beng'jin
笔笔巴巴,bi'bi'ba'ba
比比巴巴里,bi'bi'ba'ba'li
笔笔巴巴里,bi'bi'ba'ba'li
笔笔剥剥,bi'bi'bao'bao
笔笔剥剥里,bi'bi'bao'bao'li
笔笔窜,bi'bi'cuan
笔笔跳,bi'bi'tiao
笔窜,bi'cuan
逼酒,bi'jiu
笔轻,bi'qing
逼烧酒,bi'shao'jiu
逼债,bi'zhai
扁豆接,bian'dou'jie
边分子,bian'fen'zi
边里,bian'li
边上,bian'shang
变死,bian'si
边王鳅,bian'wang'qiu
扁嘴,bian'zui
扁嘴甲,bian'zui'jia
扁嘴王原,bian'zui'wang'yuan
标标射,biao'biao'she
标射样走,biao'she'yang'zou
婊子崽,biao'zi'zai
鳖歹子,bie'dai'zi
别唔加,bie'wu'jia
鳖嘴,bie'zui
冰棒,bing'bang
病个,bing'ge
兵姑老,bing'gu'lao
冰冷,bing'leng
病里打倒,bing'li'da'dao
病拧,bing'ning
冰水,bing'shui
剥壳,bo'ke
剥重,bo'zhong
驳嘴,bo'zui
不带你,bu'dai'ni
不够恰,bu'gou'qia
