阿基德,a'ji'de
阿兰,a'lan
阿利耶斯,a'li'ye'si
阿什弗德,a'shen'fu'de
阿什福德,a'shen'fu'de
阿什福德学园,a'shen'fu'de'xue'yuan
阿修雷,a'xiu'lei
巴雷里,ba'lei'li
巴特雷,ba'te'lei
被夺走的假面,bei'duo'zou'de'jia'mian
卜部巧雪,bu'bu'qiao'xue
布里塔尼亚,bu'li'ta'ni'ya
布里塔尼亚万岁,bu'li'ta'ni'ya'wan'sui
不列颠,bu'lie'dian
草璧,cao'bi
查尔斯,cha'er'si
查鲁鲁,cha'lu'lu
朝比奈省悟,chao'bi'nai'xing'wu
超电磁式榴散弹枪炮,chao'dian'ci'shi'liu'san'dan'qiang'pao
超高温导体,chao'gao'wen'dao'ti
成濑幸也,cheng'lai'xing'ye
成田攻防战,cheng'tian'gong'fang'zhan
赤羽,chi'yu
大和同盟,da'he'tong'meng
达里奥,da'li'ao
达瓦肯,da'wa'ken
迪特哈尔特,di'te'ha'er'te
敌我信号识别系统,di'wo'xin'hao'shi'bie'xi'tong
反物质,fan'wu'zhi
辐射波动,fu'she'bo'dong
古拉维,gu'la'wei
哈里,ha'li
黑色的骑士团,hei'se'de'qi'shi'tuan
黑色骑士团,hei'se'qi'shi'tuan
红莲二式,hong'lian'er'shi
红莲起舞,hong'lian'qi'wu
红月卡莲,hong'yue'ka'lian
华莲,hua'lian
皇女和魔女,huang'nv'he'mo'nv
皇神乐耶,huang'shen'le'ye
吉尔福德,ji'er'fu'de
吉田,ji'tian
蒋丽华,jiang'li'hua
杰雷米亚,jie'lei'mi'ya
杰米雷亚,jie'mi'lei'ya
京都六家,jing'du'liu'jia
井上,jing'shang
觉醒的白色骑士,jue'xing'de'bai'se'qi'shi
卡莲,ka'lian
克里西,ke'li'xi
克洛维斯,ke'luo'wei'si
柯内莉娅,ke'nei'li'ya
科内莉娅,ke'nei'li'ya
库洛维斯,ku'luo'wei'si
拉吉斯坦,la'ji'si'tan
拉库夏塔,la'ku'xia'ta
拉斯洛,la'si'luo
兰佩鲁迪,lan'pei'lu'di
兰斯洛特,lan'si'luo'te
雷光,lei'guang
蕾拉,lei'la
雷鲁斯,lei'lu'si
里巴鲁,li'ba'lu
利特,li'te
利瓦尔,li'wa'er
黎星刻,li'xing'ke
鲁鲁,lu'lu
鲁路修,lu'lu'xiu
罗伊德,luo'yi'de
玛丽安娜,ma'li'an'na
玛丽安娜皇妃,ma'li'an'na'huang'fei
米蕾,mi'lei
米蕾塔,mi'lei'ta
名誉不里塔尼亚人,ming'yu'bu'li'ta'ni'ya'ren
魔神诞生之日,mo'shen'dan'sheng'zhi'ri
娜娜,na'na
娜娜莉,na'na'li
那佐,na'zuo
妮娜,ni'na
尼娜,ni'na
片濑少将,pian'lai'shao'jiang
其名为零,qi'ming'wei'ling
琼罗,qiong'luo
丘艾尔,qiu'ai'er
人形自在战斗装甲骑,ren'xing'zi'zai'zhan'dou'zhuang'jia'qi
人形自在装甲骑,ren'xing'zi'zai'zhuang'jia'qi
日本解放战线,ri'ben'jie'fang'zhan'xian
塞西尔,sai'xi'er
衫山,shan'shan
扇要,shan'yao
神圣布里塔尼亚帝国,shen'sheng'bu'li'ta'ni'ya'di'guo
史麦拉斯,shi'mai'la'si
史佩萨,shi'pei'sa
枢木玄武,shu'mu'xuan'wu
枢木朱雀,shu'mu'zhu'que
苏菲,su'fei
特别派遣向导技术部,te'bie'pai'qian'xiang'dao'ji'shu'bu
特派,te'pai
藤堂,teng'tang
藤堂镜志朗,teng'tang'jing'zhi'lang
藤堂中校,teng'tang'zhong'xiao
桐原泰三,tong'yuan'tai'san
托雷斯,tuo'lei'si
维根,wei'gen
维蕾塔,wei'lei'ta
沃龙,wo'long
袭击科内莉娅,xi'ji'ke'nei'li'ya
夏利,xia'li
夏利和枪口,xia'li'he'qiang'kou
仙波,xian'bo
仙波崚河,xian'bo'leng'he
香坂绫乃,xiang'ban'ling'nai
向导兵器,xiang'dao'bing'qi
咲世子,xiao'shi'zi
休妲菲尔特,xiu'da'fei'er'te
修乃泽尔,xiu'nai'ze'er
修奈泽尔,xiu'nai'ze'er
休塔特非鲁特,xiu'ta'te'fei'lu'te
亚瑟,ya'se
伊史塔,yi'shi'ta
樱石,ying'shi
永田,yong'tian
尤菲,you'fei
尤菲丽雅,you'fei'li'ya
尤菲米亚,you'fei'mi'ya
玉城,yu'cheng
玉城真一郎,yu'cheng'zhen'yi'lang
斩击包围阵,zhan'ji'bao'wei'zhen
詹姆斯议长,zhan'mu'si'yi'zhang
正义的使者,zheng'yi'de'shi'zhe
直人,zhi'ren
周香菱,zhou'xiang'ling
朱雀,zhu'que
佐山流,zuo'shan'liu
