半色调图案,ban'se'diao'tu'an
保存,bao'cun
保存工作空间,bao'cun'gong'zuo'kong'jian
保存为,bao'cun'wei
曝光过度,bao'guang'guo'du
背景图层,bei'jing'tu'ceng
壁画,bi'hua
变化,bian'hua
变换,bian'huan
变换选区,bian'huan'xuan'qu
编辑,bian'ji
便条纸,bian'tiao'zhi
波浪,bo'lang
玻璃,bo'li
波纹,bo'wen
彩块化,cai'kuai'hua
裁切,cai'qie
彩色半调,cai'se'ban'tiao
彩色粉笔,cai'se'fen'bi
彩色铅笔,cai'se'qian'bi
参考线,can'kao'xian
参考线与网格,can'kao'xian'yu'wang'ge
层叠,ceng'die
查找边缘,cha'zhao'bian'yuan
常规,chang'gui
成角的线条,cheng'jiao'de'xian'tiao
重新选择,chong'xin'xuan'ze
抽出,chou'chu
处理,chu'li
处理版,chu'li'ban
处理黑版,chu'li'hei'ban
处理黄版,chu'li'huang'ban
处理青版,chu'li'qing'ban
处理洋红版,chu'li'yang'hong'ban
创建工作路径,chuang'jian'gong'zuo'lu'jing
创建快捷批处理,chuang'jian'kuai'jie'pi'chu'li
创建图层,chuang'jian'tu'ceng
窗口,chuang'kou
垂直,chui'zhi
垂直翻转,chui'zhi'fan'zhuan
垂直居中,chui'zhi'ju'zhong
纯色,chun'se
从工作流程打开,cong'gong'zuo'liu'cheng'da'kai
粗糙彩笔,cu'cao'cai'bi
存储,cun'chu
存储为,cun'chu'wei
存储为所用格式,cun'chu'wei'suo'yong'ge'shi
存储文件,cun'chu'wen'jian
存储选区,cun'chu'xuan'qu
打开,da'kai
打开为,da'kai'wei
打印,da'yin
打印尺寸,da'yin'chi'cun
打印选项,da'yin'xuan'xiang
打印一份拷贝,da'yin'yi'fen'kao'bei
单位与标尺,dan'wei'yu'biao'chi
当前路径,dang'qian'lu'jing
登出,deng'chu
等高线,deng'gao'xian
登记,deng'ji
底边,di'bian
底纹效果,di'wen'xiao'guo
点状化,dian'zhuang'hua
顶边,ding'bian
定义画笔,ding'yi'hua'bi
定义自定形状,ding'yi'zi'ding'xing'zhuang
动感模糊,dong'gan'mo'hu
动态模糊,dong'tai'mo'hu
读取水印,du'qu'shui'yin
对齐,dui'qi
对齐到,dui'qi'dao
对齐链接图层,dui'qi'lian'jie'tu'ceng
多通道,duo'tong'dao
多页到,duo'ye'dao
返回,fan'hui
反相,fan'xiang
反选,fan'xuan
放大,fang'da
粉笔和炭笔,fen'bi'he'tan'bi
分布链接的,fen'bu'lian'jie'de
分层云彩,fen'ceng'yun'cai
风,feng
风格化,feng'ge'hua
副本,fu'ben
浮雕,fu'diao
复位调板位置,fu'wei'tiao'ban'wei'zhi
复制,fu'zhi
复制图层,fu'zhi'tu'ceng
干笔画,gan'bi'hua
干画笔,gan'hua'bi
高反差保留,gao'fan'cha'bao'liu
高斯模糊,gao'si'mo'hu
隔行,ge'hang
铬黄,ge'huang
更改图层内容,geng'gai'tu'ceng'nei'rong
更新,geng'xin
更新所有文本图层,geng'xin'suo'you'wen'ben'tu'ceng
工具,gong'ju
工作空间,gong'zuo'kong'jian
工作流程选项,gong'zuo'liu'cheng'xuan'xiang
工作组,gong'zuo'zu
工作组服务器,gong'zuo'zu'fu'wu'qi
关闭,guan'bi
关闭全部,guan'bi'quan'bu
管理工作流程,guan'li'gong'zuo'liu'cheng
光泽,guang'ze
光照效果,guang'zhao'xiao'guo
海报边缘,hai'bao'bian'yuan
海绵,hai'mian
海洋波纹,hai'yang'bo'wen
合并拷贝,he'bing'kao'bei
合并可见图层,he'bing'ke'jian'tu'ceng
合并链接图层,he'bing'lian'jie'tu'ceng
合并图层,he'bing'tu'ceng
和前一图层编组,he'qian'yi'tu'ceng'bian'zu
后移一层,hou'yi'yi'ceng
画笔描边,hua'bi'miao'bian
画布垂直翻转,hua'bu'chui'zhi'fan'zhuan
画布大小,hua'bu'da'xiao
画布水平翻转,hua'bu'shui'ping'fan'zhuan
还原,huan'yuan
还原注销,huan'yuan'zhu'xiao
灰度,hui'du
恢复,hui'fu
绘画涂抹,hui'hua'tu'mo
绘图笔,hui'tu'bi
混合选项,hun'he'xuan'xiang
基底凸现,ji'di'tu'xian
计算,ji'suan
挤压,ji'ya
基于图层的切片,ji'yu'tu'ceng'de'qie'pian
极坐标,ji'zuo'biao
加入杂色,jia'ru'za'se
渐变,jian'bian
渐变叠加,jian'bian'die'jia
渐变映射,jian'bian'ying'she
检查拼写,jian'cha'pin'xie
剪切,jian'qie
剪贴板,jian'tie'ban
剪贴画,jian'tie'hua
将图层样式粘贴的链接的,jiang'tu'ceng'yang'shi'zhan'tie'de'lian'jie'de
胶片颗粒,jiao'pian'ke'li
校验状态,jiao'yan'zhuang'tai
校样设置,jiao'yang'she'zhi
校样颜色,jiao'yang'yan'se
进一步模糊,jin'yi'bu'mo'hu
进一步锐化,jin'yi'bu'rui'hua
晶格化,jing'ge'hua
镜头光晕,jing'tou'guang'yun
径向模糊,jing'xiang'mo'hu
龟裂缝,jun'lie'feng
拷贝,kao'bei
拷贝图层样式,kao'bei'tu'ceng'yang'shi
颗粒,ke'li
可选颜色,ke'xuan'yan'se
扩边,kuo'bian
扩大选区,kuo'da'xuan'qu
扩散,kuo'san
扩散亮光,kuo'san'liang'guang
扩展,kuo'zhan
蜡笔,la'bi
