安济桥,an'ji'qiao
安平桥,an'ping'qiao
八路军重庆办事处旧址,ba'lu'jun'chong'qing'ban'shi'chu'jiu'zhi
八路军总司令部旧址,ba'lu'jun'zong'si'ling'bu'jiu'zhi
八一起义指挥部旧址,ba'yi'qi'yi'zhi'hui'bu'jiu'zhi
白马寺,bai'ma'si
半坡遗址,ban'po'yi'zhi
宝顶山摩崖造象,bao'ding'shan'mo'ya'zao'xiang
保国寺,bao'guo'si
保圣寺罗汉塑像,bao'sheng'si'luo'han'su'xiang
褒斜道石门及其摩崖石刻,bao'xie'dao'shi'men'ji'qi'mo'ya'shi'ke
北海及团城,bei'hai'ji'tuan'cheng
北京大学红楼,bei'jing'da'xue'hong'lou
北山摩崖造象,bei'shan'mo'ya'zao'xiang
避暑山庄,bi'shu'shan'zhuang
炳灵寺石窟,bing'ling'si'shi'ku
渤海国上京龙泉府遗址,bo'hai'guo'shang'jing'long'quan'fu'yi'zhi
布达拉宫,bu'da'la'gong
沧州铁狮子,cang'zhou'tie'shi'zi
昌珠寺,chang'zhu'si
城子崖遗址,cheng'zi'ya'yi'zhi
崇圣寺三塔,chong'sheng'si'san'ta
重修护国寺感应塔碑,chong'xiu'hu'guo'si'gan'ying'ta'bei
楚纪南故城,chu'ji'nan'gu'cheng
爨宝子碑,cuan'bao'zi'bei
爨龙颜碑,cuan'long'yan'bei
大明宫遗址,da'ming'gong'yi'zhi
大雁塔,da'yan'ta
大昭寺,da'zhao'si
第一批全国重点文物保护单位,di'yi'pi'quan'guo'zhong'dian'wen'wu'bao'hu'dan'wei
丁村遗址,ding'cun'yi'zhi
定县开元寺塔,ding'xian'kai'yuan'si'ta
洞沟古墓群,dong'gou'gu'mu'qun
杜甫草堂,du'fu'cao'tang
独乐寺,du'le'si
段氏与三十七部会盟碑,duan'shi'yu'san'shi'qi'bu'hui'meng'bei
峨眉山圣寿万年寺铜铁佛像,e'mei'shan'sheng'shou'wan'nian'si'tong'tie'fo'xiang
阿房宫遗址,e'pang'gong'yi'zhi
房山云居寺塔及石经,fang'shan'yun'ju'si'ta'ji'shi'jing
丰镐遗址,feng'gao'yi'zhi
奉国寺,feng'guo'si
冯焕阙,feng'huan'que
封氏墓群,feng'shi'mu'qun
佛宫寺释迦塔,fo'gong'si'shi'jia'ta
佛光寺,fo'guang'si
噶丹寺,ga'dan'si
高昌故城,gao'chang'gu'cheng
高颐墓阙及石刻,gao'yi'mu'que'ji'shi'ke
革命遗址及革命纪念建筑物,ge'ming'yi'zhi'ji'ge'ming'ji'nian'jian'zhu'wu
古格王国遗址,gu'ge'wang'guo'yi'zhi
故宫,gu'gong
古建筑及历史纪念建筑物,gu'jian'zhu'ji'li'shi'ji'nian'jian'zhu'wu
古墓葬,gu'mu'zang
古田会议会址,gu'tian'hui'yi'hui'zhi
古遗址,gu'yi'zhi
观星台,guan'xing'tai
广惠寺华塔,guang'hui'si'hua'ta
广胜寺,guang'sheng'si
光孝寺,guang'xiao'si
广元千佛崖摩崖造象,guang'yuan'qian'fo'ya'mo'ya'zao'xiang
广州公社旧址,guang'zhou'gong'she'jiu'zhi
广州农民运动讲习所旧址,guang'zhou'nong'min'yun'dong'jiang'xi'suo'jiu'zhi
国子监,guo'zi'jian
海宝塔,hai'bao'ta
海丰红宫红场旧址,hai'feng'hong'gong'hong'chang'jiu'zhi
汉长安城遗址,han'chang'an'cheng'yi'zhi
汉魏洛阳故城,han'wei'luo'yang'gu'cheng
侯马晋国遗址,hou'ma'jin'guo'yi'zhi
祜国寺塔,hu'guo'si'ta
华严寺,hua'yan'si
黄帝陵,huang'di'ling
黄花岗七十二烈士墓,huang'hua'gang'qi'shi'er'lie'shi'mu
皇泽寺摩崖造象,huang'ze'si'mo'ya'zao'xiang
霍去病墓,huo'qu'bing'mu
嘉祥武氏墓群石刻,jia'xiang'wu'shi'mu'qun'shi'ke
江孜宗山抗英遗址,jiang'zi'zong'shan'kang'ying'yi'zhi
晋祠,jin'ci
金田起义地址,jin'tian'qi'yi'di'zhi
