阿辉,a'hui
白光,bai'guang
毕涵文,bi'han'wen
不熄灯的游乐场,bu'xi'deng'de'you'le'chang
菜菜,cai'cai
曾经唯一,ceng'jing'wei'yi
曾经我追随你目光,ceng'jing'wo'zhui'sui'ni'mu'guang
陈道明,chen'dao'ming
陈父,chen'fu
陈冠宁,chen'guan'ning
陈俊生,chen'jun'sheng
陈母,chen'mu
程宏,cheng'hong
啜妮,chuo'ni
从什么时候开始,cong'shen'me'shi'hou'kai'shi
崔宝剑,cui'bao'jian
段晓天,duan'xiao'tian
而今你眺望向远方,er'jin'ni'tiao'wang'xiang'yuan'fang
繁忙车阵里,fan'mang'che'zhen'li
关雪盈,guan'xue'ying
郭彤彤,guo'tong'tong
害怕此刻的心悸,hai'pa'ci'ke'de'xin'ji
贺涵,he'han
侯岩松,hou'yan'song
黄靖,huang'jing
黄澜,huang'lan
会轻易被你看穿,hui'qing'yi'bei'ni'kan'chuan
靳东,jin'dong
看你奔向我的身影,kan'ni'ben'xiang'wo'de'shen'ying
看着你离去的身影,kan'zhe'ni'li'qu'de'shen'ying
看着你向我奔来我不能自己,kan'zhe'ni'xiang'wo'ben'lai'wo'bu'neng'zi'ji
孔维,kong'wei
老金,lao'jin
雷佳音,lei'jia'yin
冷佳清,leng'jia'qing
李宏磊,li'hong'lei
李律师,li'lv'shi
李睿,li'rui
李若溪,li'ruo'xi
凌玲,ling'ling
陆玲,lu'ling
栾元晖,luan'yuan'hui
洛洛,luo'luo
罗平,luo'ping
罗子君,luo'zi'jun
罗子群,luo'zi'qun
马伊琍,ma'yi'li
梅婷,mei'ting
闵天浩,min'tian'hao
你的电话号码总会适时打来,ni'de'dian'hua'hao'ma'zong'hui'shi'shi'da'lai
你的脸为什么还是那么清晰,ni'de'lian'wei'shen'me'hai'shi'na'me'qing'xi
你的目光,ni'de'mu'guang
你的所有赋予我存在的荣光,ni'de'suo'you'fu'yu'wo'cun'zai'de'rong'guang
你的笑,ni'de'xiao
你会为我找过来,ni'hui'wei'wo'zhao'guo'lai
胖妞,pang'niu
滂沱大雨里,pang'tuo'da'yu'li
平儿,ping'er
曲凌子,qu'ling'zi
任东霖,ren'dong'lin
任济敏,ren'ji'min
茹天,ru'tian
是安,shi'an
市场部经理,shi'chang'bu'jing'li
是打心底发出的冷淡,shi'da'xin'di'fa'chu'de'leng'dan
是我抬头仰望的唯一阳光,shi'wo'tai'tou'yang'wang'de'wei'yi'yang'guang
是我眼中幸福的唯一形状,shi'wo'yan'zhong'xing'fu'de'wei'yi'xing'zhuang
水晶球破裂那刻,shui'jing'qiu'po'lie'na'ke
宋允皓,song'yun'hao
苏曼殊,su'man'shu
孙语涵,sun'yu'han
谭凯,tan'kai
唐晶,tang'jing
王天泽,wang'tian'ze
为什么我的心有一些游移,wei'shen'me'wo'de'xin'you'yi'xie'you'yi
薇薇安,wei'wei'an
魏之皓,wei'zhi'hao
我屏住呼吸,wo'bing'zhu'hu'xi
我的心将我出卖,wo'de'xin'jiang'wo'chu'mai
我的心有些游移,wo'de'xin'you'xie'you'yi
我该驶向何方,wo'gai'shi'xiang'he'fang
我令憎我的人失望了,wo'ling'zeng'wo'de'ren'shi'wang'le
邬君梅,wu'jun'mei
吴越,wu'yue
习惯有你在,xi'guan'you'ni'zai
小董,xiao'dong
小心翼翼,xiao'xin'yi'yi
徐才根,xu'cai'gen
许娣,xu'di
徐晟,xu'sheng
选择了遗忘,xuan'ze'le'yi'wang
薛甄珠,xue'zhen'zhu
亚琴,ya'qin
杨梅,yang'mei
依你为方向,yi'ni'wei'fang'xiang
亦舒,yi'shu
因为我活的这样好,yin'wei'wo'huo'de'zhe'yang'hao
莺莺,ying'ying
有一丝丝期待,you'yi'si'si'qi'dai
于明加,yu'ming'jia
袁泉,yuan'quan
张兰,zhang'lan
张龄心,zhang'ling'xin
张棪琰,zhang'yan'yan
张衣,zhang'yi
郑罗茜,zheng'luo'qian
卓渐清,zhuo'jian'qing
最佳的报复不是仇恨,zui'jia'de'bao'fu'bu'shi'chou'hen
