锕系元素,a'xi'yuan'su
埃瓦尔德衍射球,ai'wa'er'de'yan'she'qiu
暗场显微镜,an'chang'xian'wei'jing
鞍点,an'dian
氨基树脂,an'ji'shu'zhi
氨碱法,an'jian'fa
氨羧络合剂,an'suo'luo'he'ji
氨羰基化,an'tang'ji'hua
螯合环,ao'he'huan
奥克洛现象,ao'ke'luo'xian'xiang
靶托,ba'tuo
百里酚蓝,bai'li'fen'lan
半波电位,ban'bo'dian'wei
半交换期,ban'jiao'huan'qi
半胶束,ban'jiao'shu
半连续聚合,ban'lian'xu'ju'he
半微量分析,ban'wei'liang'fen'xi
包合作用,bao'he'zuo'yong
保留体积,bao'liu'ti'ji
包囊化作用,bao'nang'hua'zuo'yong
倍半萜,bei'ban'tie
被俘获电子,bei'fu'huo'dian'zi
背面进攻,bei'mian'jin'gong
背散射,bei'san'she
苯基,ben'ji
本生灯,ben'sheng'deng
比保留体积,bi'bao'liu'ti'ji
闭路电势,bi'lu'dian'shi
吡喃糖,bi'nan'tang
比浓对数粘度,bi'nong'dui'shu'nian'du
比色法,bi'se'fa
比吸光系数,bi'xi'guang'xi'shu
比旋光,bi'xuan'guang
变胺蓝,bian'an'lan
边带,bian'dai
编码数据,bian'ma'shu'ju
苄氧甲酰氯,bian'yang'jia'xian'lv
边缘效应,bian'yuan'xiao'ying
标度,biao'du
标度因子,biao'du'yin'zi
标记原子,biao'ji'yuan'zi
表面,biao'mian
表面不均匀性,biao'mian'bu'jun'yun'xing
表面电导,biao'mian'dian'dao
表面电势,biao'mian'dian'shi
表面反应,biao'mian'fan'ying
表面结构分析,biao'mian'jie'gou'fen'xi
表面皿,biao'mian'min
表面膜,biao'mian'mo
表面膜势,biao'mian'mo'shi
表面迁移率,biao'mian'qian'yi'lv
表面张力,biao'mian'zhang'li
标准电池,biao'zhun'dian'chi
标准燃烧热,biao'zhun'ran'shao're
标准溶液,biao'zhun'rong'ye
标准误差,biao'zhun'wu'cha
标准状态,biao'zhun'zhuang'tai
并苯,bing'ben
丙烯酸酯类聚合物,bing'xi'suan'zhi'lei'ju'he'wu
玻尔磁子,bo'er'ci'zi
伯格斯矢量,bo'ge'si'shi'liang
波节,bo'jie
玻璃化转变温度,bo'li'hua'zhuan'bian'wen'du
剥离强度,bo'li'qiang'du
