阿伏伽德罗定律,a'fu'jia'de'luo'ding'lv
阿伏伽德罗假说,a'fu'jia'de'luo'jia'shuo
阿伏伽德罗数,a'fu'jia'de'luo'shu
锕系,a'xi
氨基酸,an'ji'suan
安全,an'quan
氨水,an'shui
铵盐,an'yan
螯合,ao'he
螯合剂,ao'he'ji
螯合效应,ao'he'xiao'ying
八面体,ba'mian'ti
白垩,bai'e
白糖,bai'tang
白铁皮,bai'tie'pi
半导体,ban'dao'ti
半电池,ban'dian'chi
半金属,ban'jin'shu
半径比,ban'jing'bi
半透膜,ban'tou'mo
半微分析,ban'wei'fen'xi
半微量天平,ban'wei'liang'tian'ping
保存,bao'cun
包含化合物,bao'han'hua'he'wu
饱和,bao'he
饱和甘汞电极,bao'he'gan'gong'dian'ji
饱和化合物,bao'he'hua'he'wu
饱和溶液,bao'he'rong'ye
饱和酸,bao'he'suan
饱和烃,bao'he'ting
饱和蒸汽压,bao'he'zheng'qi'ya
饱和脂肪酸,bao'he'zhi'fang'suan
爆鸣气,bao'ming'qi
宝石,bao'shi
爆炸波,bao'zha'bo
爆炸范围,bao'zha'fan'wei
爆炸化合物,bao'zha'hua'he'wu
爆炸混合物,bao'zha'hun'he'wu
爆炸极限,bao'zha'ji'xian
爆炸链锁反应,bao'zha'lian'suo'fan'ying
爆炸球管,bao'zha'qiu'guan
焙烧,bei'shao
苯环,ben'huan
比例,bi'li
比重计,bi'zhong'ji
标定,biao'ding
表面皿,biao'mian'min
标准,biao'zhun
标准电池,biao'zhun'dian'chi
标准电极,biao'zhun'dian'ji
标准电极势,biao'zhun'dian'ji'shi
标准偏差,biao'zhun'pian'cha
标准氢电极,biao'zhun'qing'dian'ji
标准溶液,biao'zhun'rong'ye
标准条件,biao'zhun'tiao'jian
标准温度,biao'zhun'wen'du
标准状态,biao'zhun'zhuang'tai
冰醋酸,bing'cu'suan
冰点,bing'dian
冰晶石,bing'jing'shi
丙炔,bing'que
丙酮,bing'tong
铂电极,bo'dian'ji
波动方程,bo'dong'fang'cheng
波动函数,bo'dong'han'shu
玻尔半径,bo'er'ban'jing
玻尔理论,bo'er'li'lun
玻尔原子模型,bo'er'yuan'zi'mo'xing
铂黑,bo'hei
玻璃棒,bo'li'bang
玻璃电极,bo'li'dian'ji
玻璃管,bo'li'guan
玻璃态,bo'li'tai
玻璃纤维,bo'li'xian'wei
铂丝,bo'si
不饱和,bu'bao'he
不饱和化合物,bu'bao'he'hua'he'wu
不饱和键,bu'bao'he'jian
不饱和溶液,bu'bao'he'rong'ye
不饱烃,bu'bao'ting
部分燃烧,bu'fen'ran'shao
不均匀性,bu'jun'yun'xing
不可逆反应,bu'ke'ni'fan'ying
不可逆过程,bu'ke'ni'guo'cheng
布朗运动,bu'lang'yun'dong
不燃性,bu'ran'xing
不溶混溶液,bu'rong'hun'rong'ye
布氏漏斗,bu'shi'lou'dou
不完全反应,bu'wan'quan'fan'ying
不完全燃烧,bu'wan'quan'ran'shao
不稳定化合物,bu'wen'ding'hua'he'wu
不稳定平衡,bu'wen'ding'ping'heng
不相混的,bu'xiang'hun'de
草酸,cao'suan
草酸盐,cao'suan'yan
测不准原理,ce'bu'zhun'yuan'li
测定,ce'ding
侧链,ce'lian
产品,chan'pin
常数,chang'shu
超电势,chao'dian'shi
潮解,chao'jie
超铀元素,chao'you'yuan'su
沉淀,chen'dian
沉淀剂,chen'dian'ji
沉淀物,chen'dian'wu
沉降常数,chen'jiang'chang'shu
沉降平衡,chen'jiang'ping'heng
沉降速度,chen'jiang'su'du
称量,cheng'liang
称量准确度,cheng'liang'zhun'que'du
称瓶,cheng'ping
澄清,cheng'qing
稠环,chou'huan
抽吸,chou'xi
臭氧,chou'yang
除气,chu'qi
传导性,chuan'dao'xing
纯物质,chun'wu'zhi
刺激性气体,ci'ji'xing'qi'ti
磁力搅拌器,ci'li'jiao'ban'qi
磁铁,ci'tie
瓷土,ci'tu
醋酸,cu'suan
醋酸盐,cu'suan'yan
粗铜,cu'tong
粗制酒精,cu'zhi'jiu'jing
催化剂,cui'hua'ji
萃取,cui'qu
萃取物,cui'qu'wu
萃取液,cui'qu'ye
脆性,cui'xing
大分子,da'fen'zi
大理石,da'li'shi
大气压,da'qi'ya
带电粒子,dai'dian'li'zi
蛋白质,dan'bai'zhi
胆矾,dan'fan
单分子反应,dan'fen'zi'fan'ying
单键,dan'jian
单晶,dan'jing
丹聂耳电池,dan'nie'er'dian'chi
单原子的,dan'yuan'zi'de
单原子分子,dan'yuan'zi'fen'zi
导电率,dao'dian'lv
道尔顿定律,dao'er'dun'ding'lv
导体,dao'ti
等密度法,deng'mi'du'fa
等容变化,deng'rong'bian'hua
等温变化,deng'wen'bian'hua
等温过程,deng'wen'guo'cheng
等温膨胀,deng'wen'peng'zhang
等温平衡,deng'wen'ping'heng
等温压缩,deng'wen'ya'suo
滴定,di'ding
滴定管夹,di'ding'guan'jia
滴定管架,di'ding'guan'jia
滴瓶,di'ping
滴液漏斗,di'ye'lou'dou
