安抚制置使,an'fu'zhi'zhi'shi
霸府,ba'fu
北道,bei'dao
北道大总管,bei'dao'da'zong'guan
北道都总管,bei'dao'dou'zong'guan
北道副总管,bei'dao'fu'zong'guan
北道总管,bei'dao'zong'guan
本城兵马都监,ben'cheng'bing'ma'dou'jian
兵马大元帅,bing'ma'da'yuan'shuai
兵马都部署,bing'ma'dou'bu'shu
兵马都监,bing'ma'dou'jian
兵马都钤辖,bing'ma'dou'qian'xia
兵马副钤辖,bing'ma'fu'qian'xia
兵马副元帅,bing'ma'fu'yuan'shuai
兵马监押,bing'ma'jian'ya
兵马钤辖,bing'ma'qian'xia
兵马钤辖司,bing'ma'qian'xia'si
兵马司,bing'ma'si
兵马元帅,bing'ma'yuan'shuai
兵钤,bing'qian
兵钤辖,bing'qian'xia
部队将,bu'dui'jiang
部将,bu'jiang
部署,bu'shu
部署司,bu'shu'si
部辖,bu'xia
参谋,can'mou
参谋官,can'mou'guan
参谋军事,can'mou'jun'shi
参议,can'yi
参议官,can'yi'guan
参赞,can'zan
承受,cheng'shou
承受公事,cheng'shou'gong'shi
池州驻扎御前诸军都统制,chi'zhou'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi
储帅,chu'shuai
楚州武锋军都统制,chu'zhou'wu'feng'jun'dou'tong'zhi
川陕荆襄都督府,chuan'shan'jing'xiang'du'du'fu
大将,da'jiang
大使,da'shi
大使司,da'shi'si
大帅,da'shuai
大元帅,da'yuan'shuai
大元帅府,da'yuan'shuai'fu
大制阃,da'zhi'kun
大制司,da'zhi'si
东道,dong'dao
东道都总管,dong'dao'dou'zong'guan
东道副总管,dong'dao'fu'zong'guan
东南道都总管,dong'nan'dao'dou'zong'guan
东南道总管,dong'nan'dao'zong'guan
东南三总领所,dong'nan'san'zong'ling'suo
都部管,dou'bu'guan
都部署,dou'bu'shu
都部署司,dou'bu'shu'si
都府,dou'fu
都监,dou'jian
都排阵使,dou'pai'zhen'shi
都钤,dou'qian
都钤辖,dou'qian'xia
都同巡检,dou'tong'xun'jian
都统制,dou'tong'zhi
都统制军马,dou'tong'zhi'jun'ma
都巡,dou'xun
都巡检,dou'xun'jian
都巡检使,dou'xun'jian'shi
都巡检司,dou'xun'jian'si
都巡司,dou'xun'si
都总管,dou'zong'guan
都总管承受,dou'zong'guan'cheng'shou
都总管司,dou'zong'guan'si
都总管司承受,dou'zong'guan'si'cheng'shou
都总管司走马承受公事,dou'zong'guan'si'zou'ma'cheng'shou'gong'shi
督参,du'can
都督,du'du
都督府,du'du'fu
都督府参谋官,du'du'fu'can'mou'guan
都督府参谋军事,du'du'fu'can'mou'jun'shi
都督府参议官,du'du'fu'can'yi'guan
都督府参议军事,du'du'fu'can'yi'jun'shi
都督府参赞军事,du'du'fu'can'zan'jun'shi
都督府干办公事,du'du'fu'gan'ban'gong'shi
都督府回易库,du'du'fu'hui'yi'ku
都督府随军运副,du'du'fu'sui'jun'yun'fu
都督府随军转运副使,du'du'fu'sui'jun'zhuan'yun'fu'shi
都督府随军转运判官,du'du'fu'sui'jun'zhuan'yun'pan'guan
都督府随军转运使,du'du'fu'sui'jun'zhuan'yun'shi
都督府主管机宜文字,du'du'fu'zhu'guan'ji'yi'wen'zi
都督府主管书写机宜文字,du'du'fu'zhu'guan'shu'xie'ji'yi'wen'zi
都督府准备差遣,du'du'fu'zhun'bei'chai'qian
都督府准备差使,du'du'fu'zhun'bei'chai'shi
都督府谘议军事,du'du'fu'zi'yi'jun'shi
都督行府,du'du'xing'fu
督府,du'fu
都护,du'hu
都护府,du'hu'fu
督军,du'jun
督视,du'shi
督视府,du'shi'fu
督视军马,du'shi'jun'ma
督视军马府,du'shi'jun'ma'fu
督视军马府参谋军事,du'shi'jun'ma'fu'can'mou'jun'shi
都统,du'tong
都统司,du'tong'si
都统四路,du'tong'si'lu
督议,du'yi
队将,dui'jiang
鄂州都统,e'zhou'du'tong
鄂州江陵府驻扎御前诸军,e'zhou'jiang'ling'fu'zhu'zha'yu'qian'zhu'jun
鄂州江陵府驻扎御前诸军都统制,e'zhou'jiang'ling'fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi
鄂州驻扎御前诸军都统制,e'zhou'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi
鄂州总领,e'zhou'zong'ling
副部署,fu'bu'shu
副都制,fu'dou'zhi
副都统,fu'du'tong
副度总管,fu'du'zong'guan
副将,fu'jiang
副钤辖,fu'qian'xia
副使,fu'shi
副帅,fu'shuai
副司,fu'si
副宣抚,fu'xuan'fu
抚谕官,fu'yu'guan
抚谕使,fu'yu'shi
副元帅,fu'yuan'shuai
府驻扎御前某军,fu'zhu'zha'yu'qian'mou'jun
府驻扎御前诸军都统制,fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi
府驻扎御前诸军都统制司,fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi'si
副总管,fu'zong'guan
干办官,gan'ban'guan
管勾本州驻泊兵马公事,guan'gou'ben'zhou'zhu'bo'bing'ma'gong'shi
管勾经略安抚司公事,guan'gou'jing'lue'an'fu'si'gong'shi
管勾经略司文字,guan'gou'jing'lue'si'wen'zi
管勾一路兵马钤辖司事,guan'gou'yi'lu'bing'ma'qian'xia'si'shi
管勾梓夔两路兵马司事,guan'gou'zi'kui'liang'lu'bing'ma'si'shi
广南东路经略安抚都总管司,guang'nan'dong'lu'jing'lue'an'fu'dou'zong'guan'si
广南西路经略安抚都总管司,guang'nan'xi'lu'jing'lue'an'fu'dou'zong'guan'si
