吃标未,chi'biao'wei
吃梗饭,chi'geng'fan
后朝,hou'chao
嘉陵仔,jia'ling'zai
贱柴,jian'chai
今朝,jin'zhao
来朝,lai'chao
老佬,lao'lao
麻呖佬,ma'li'lao
马骝仔,ma'liu'zai
孖烟通,ma'yan'tong
冇米事,mao'mi'shi
劈友,pi'you
傻佬,sha'lao
傻婆,sha'po
傻仔,sha'zai
识得么,shi'de'me
听梗音乐,ting'geng'yin'yue
望米望,wang'mi'wang
妏乸,wen'na
唔爱响,wu'ai'xiang
咸色佬,xian'se'lao
有事益你,you'shi'yi'ni
做粳米,zuo'jing'mi
做米呐,zuo'mi'na
