岸兜,an'dou
安海,an'hai
垵内,an'nei
坂头,ban'tou
丙州,bing'zhou
钞岱,chao'dai
钞井,chao'jing
车厝,che'cuo
彻田,che'tian
陈埭,chen'dai
池店,chi'dian
赤塘,chi'tang
赤下,chi'xia
磁坑,ci'keng
东山,dong'shan
东石,dong'shi
斗林,dou'lin
坊脚,fang'jiao
福埔,fu'pu
福全,fu'quan
港塔,gang'ta
高湖,gao'hu
高霞,gao'xia
沟西,gou'xi
古埯,gu'an
古福,gu'fu
古湖,gu'hu
官前,guan'qian
洪厝,hong'cuo
洪溪,hong'xi
洪宅垵,hong'zhai'an
后池,hou'chi
后间,hou'jian
后坑,hou'keng
后山寮,hou'shan'liao
后洋,hou'yang
湖格,hu'ge
湖中,hu'zhong
花厅口,hua'ting'kou
季延,ji'yan
嘉排,jia'pai
金井,jin'jing
菌边,jun'bian
菌柄,jun'bing
柯坑,ke'keng
坑边,keng'bian
赖厝,lai'cuo
鲤鱼穴,li'yu'xue
林口,lin'kou
岭山,ling'shan
柳山,liu'shan
龙湖,long'hu
龙湖亭,long'hu'ting
龙首岭,long'shou'ling
龙园,long'yuan
罗山,luo'shan
马坪,ma'ping
马山,ma'shan
梅岭,mei'ling
南沙岗,nan'sha'gang
南霞美,nan'xia'mei
内坑,nei'keng
鹏头,peng'tou
平山,ping'shan
埔宅,pu'zhai
前店,qian'dian
清濛,qing'meng
清透,qing'tou
青阳,qing'yang
沙塘,sha'tang
上郭,shang'guo
上清,shang'qing
社店,she'dian
深沪,shen'hu
仕春,shi'chun
石龟许,shi'gui'xu
石圳,shi'zhen
双沟,shuang'gou
四境,si'jing
四石柱,si'shi'zhu
苏厝,su'cuo
唐厝,tang'cuo
塘东,tang'dong
塘市,tang'shi
亭店,ting'dian
王厝,wang'cuo
围头,wei'tou
溪边,xi'bian
西滨,xi'bin
锡坑,xi'keng
西埔,xi'pu
西塔,xi'ta
下柯坑,xia'ke'keng
下伍堡,xia'wu'bao
象山,xiang'shan
新店,xin'dian
杏田,xing'tian
许厝,xu'cuo
衙口,ya'kou
洋埭,yang'dai
英厝头,ying'cuo'tou
英林,ying'lin
永和,yong'he
中山街,zhong'shan'jie
紫帽,zi'mao
