阿比可糖,a'bi'ke'tang
阿的平,a'di'ping
阿狄森氏病,a'di'sen'shi'bing
吖啶,a'ding
吖啶橙,a'ding'cheng
吖啶黄,a'ding'huang
吖啶黄素,a'ding'huang'su
吖啶酮,a'ding'tong
阿黑皮原,a'hei'pi'yuan
阿拉伯半乳聚糖,a'la'bo'ban'ru'ju'tang
阿拉伯吡喃糖,a'la'bo'bi'nan'tang
阿拉伯呋喃糖,a'la'bo'fu'nan'tang
阿拉伯聚糖,a'la'bo'ju'tang
阿拉伯木聚糖,a'la'bo'mu'ju'tang
阿拉伯树胶,a'la'bo'shu'jiao
阿拉伯酸,a'la'bo'suan
阿拉伯糖,a'la'bo'tang
阿拉伯糖胺醇,a'la'bo'tang'an'chun
阿拉伯糖醇,a'la'bo'tang'chun
阿拉伯糖基葡糖苷,a'la'bo'tang'ji'pu'tang'gan
阿拉伯糖酸,a'la'bo'tang'suan
阿拉伯糖型抗坏血酸,a'la'bo'tang'xing'kang'huai'xue'suan
阿拉伯酮糖,a'la'bo'tong'tang
阿洛甲基糖,a'luo'jia'ji'tang
阿洛糖,a'luo'tang
阿洛酮糖,a'luo'tong'tang
阿洛酮糖腺苷,a'luo'tong'tang'xian'gan
阿吗灵,a'ma'ling
阿米巴,a'mi'ba
阿密妥,a'mi'tuo
阿脲,a'niao
阿脲酸,a'niao'suan
阿脲糖尿病,a'niao'tang'niao'bing
啊朴啡,a'pu'fei
阿糖胞苷,a'tang'bao'gan
阿托品,a'tuo'pin
阿魏酸,a'wei'suan
阿卓糖,a'zhuo'tang
阿卓糖醇,a'zhuo'tang'chun
癌蛋白,ai'dan'bai
艾杜糖,ai'du'tang
艾杜糖醇,ai'du'tang'chun
艾杜糖苷酸酶,ai'du'tang'gan'suan'mei
艾杜糖醛酸,ai'du'tang'quan'suan
艾杜糖醛酸盐,ai'du'tang'quan'suan'yan
艾杜糖酸,ai'du'tang'suan
艾杜糖酸内酯,ai'du'tang'suan'nei'zhi
癌基因,ai'ji'yin
癌胚抗原,ai'pei'kang'yuan
矮牵牛苷,ai'qian'niu'gan
矮牵牛苷配基,ai'qian'niu'gan'pei'ji
癌溶解,ai'rong'jie
矮壮素,ai'zhuang'su
艾滋病,ai'zi'bing
氨苄青霉素,an'bian'qing'mei'su
氨丙醇,an'bing'chun
氨丙基转移酶,an'bing'ji'zhuan'yi'mei
安定,an'ding
暗复活作用,an'fu'huo'zuo'yong
安福灵,an'fu'ling
安哥拉紫檀素,an'ge'la'zi'tan'su
安哈酮定,an'ha'tong'ding
胺化作用,an'hua'zuo'yong
胺基,an'ji
氨基,an'ji
氨基巴比妥,an'ji'ba'bi'tuo
氨基半乳糖,an'ji'ban'ru'tang
氨基半乳糖苷,an'ji'ban'ru'tang'gan
氨基半乳糖基转移酶,an'ji'ban'ru'tang'ji'zhuan'yi'mei
氨基苯二酰肼,an'ji'ben'er'xian'jing
氨基苯磺酰胺,an'ji'ben'huang'xian'an
氨基苯基糖苷,an'ji'ben'ji'tang'gan
氨基苯甲醚,an'ji'ben'jia'mi
氨基苯甲酸,an'ji'ben'jia'suan
氨基丙二酰脲,an'ji'bing'er'xian'niao
氨基丙酸,an'ji'bing'suan
氨基丙烷,an'ji'bing'wan
氨基丙烯酸,an'ji'bing'xi'suan
氨基醇类,an'ji'chun'lei
氨基蝶呤,an'ji'die'ling
氨基丁酸,an'ji'ding'suan
氨基二羧酸,an'ji'er'suo'suan
氨基胍,an'ji'gua
氨基环丙烷羧酸,an'ji'huan'bing'wan'suo'suan
氨基茴香醚,an'ji'hui'xiang'mi
氨基己二酸,an'ji'ji'er'suan
氨基己二酸半醛,an'ji'ji'er'suan'ban'quan
氨基己糖,an'ji'ji'tang
氨基己糖苷,an'ji'ji'tang'gan
氨基己糖苷酶,an'ji'ji'tang'gan'mei
氨基甲酸,an'ji'jia'suan
氨基甲烷,an'ji'jia'wan
氨基甲烷缓冲液,an'ji'jia'wan'huan'chong'ye
氨基磷酸酶,an'ji'lin'suan'mei
氨基六氢吡啶羧酸,an'ji'liu'qing'bi'ding'suo'suan
氨基马尿酸,an'ji'ma'niao'suan
氨基嘧啶,an'ji'mi'ding
氨基嘧啶丙氨酸,an'ji'mi'ding'bing'an'suan
氨基咪唑,an'ji'mi'zuo
氨基咪唑核苷酸,an'ji'mi'zuo'he'gan'suan
氨基末端,an'ji'mo'duan
氨基脲,an'ji'niao
氨基嘌呤,an'ji'piao'ling
氨基葡糖,an'ji'pu'tang
氨基葡糖苷,an'ji'pu'tang'gan
氨基青霉烷酸,an'ji'qing'mei'wan'suan
氨基三环癸烷,an'ji'san'huan'gui'wan
氨基三唑,an'ji'san'zuo
氨基酸,an'ji'suan
氨基酸残基,an'ji'suan'can'ji
氨基酸尿,an'ji'suan'niao
氨基酸脱甲基酶,an'ji'suan'tuo'jia'ji'mei
氨基酸脱羧酶,an'ji'suan'tuo'suo'mei
氨基酸氧化酶,an'ji'suan'yang'hua'mei
氨基酸转乙酰酶,an'ji'suan'zhuan'yi'xian'mei
氨基酸组成分析仪,an'ji'suan'zu'cheng'fen'xi'yi
氨基糖,an'ji'tang
氨基酮,an'ji'tong
氨基烷基糖苷,an'ji'wan'ji'tang'gan
氨基戊二酸,an'ji'wu'er'suan
氨基戊酰胺,an'ji'wu'xian'an
氨基酰,an'ji'xian
氨基乙醇,an'ji'yi'chun
氨基乙磺酸,an'ji'yi'huang'suan
氨基已糖苷,an'ji'yi'tang'gan
氨甲蝶呤,an'jia'die'ling
氨甲基吡咯,an'jia'ji'bi'luo
氨甲基羟异恶唑,an'jia'ji'qiang'yi'e'zuo
氨甲酸激酶,an'jia'suan'ji'mei
氨甲酰,an'jia'xian
氨甲酰丙氨酸,an'jia'xian'bing'an'suan
氨甲酰蛋白,an'jia'xian'dan'bai
