爱白,ai'bai
爱白网,ai'bai'wang
艾滋病,ai'zi'bing
安全套,an'quan'tao
掰弯,bai'wan
扮装皇后,ban'zhuang'huang'hou
变性,bian'xing
变性者,bian'xing'zhe
不问不说,bu'wen'bu'shuo
彩虹旗,cai'hong'qi
陈蒨,chen'qian
出柜,chu'gui
耽美,dan'mei
第三性,di'san'xing
丁螺环酮,ding'luo'huan'tong
动物同性恋,dong'wu'tong'xing'lian
董贤,dong'xian
断背,duan'bei
断背山,duan'bei'shan
断袖,duan'xiu
飞赞,fei'zan
粉红三角形,fen'hong'san'jiao'xing
分桃而食,fen'tao'er'shi
福柯,fu'ke
腐女,fu'nv
氟西汀,fu'xi'ting
肛交,gang'jiao
睾丸酮,gao'wan'tong
国际不再恐同日,guo'ji'bu'zai'kong'tong'ri
国际男女同性恋联合会,guo'ji'nan'nv'tong'xing'lian'lian'he'hui
汉哀帝,han'ai'di
韩子高,han'zi'gao
黑色三角形,hei'se'san'jiao'xing
鸡奸,ji'jian
鸡奸法,ji'jian'fa
基佬,ji'lao
尖锐湿疣,jian'rui'shi'you
骄傲游行,jiao'ao'you'xing
金赛,jin'sai
开放式关系,kai'fang'shi'guan'xi
恐同,kong'tong
恐同症,kong'tong'zheng
口交,kou'jiao
酷儿,ku'er
酷儿理论,ku'er'li'lun
跨性别,kua'xing'bie
跨性别者,kua'xing'bie'zhe
蓝宇,lan'yu
李银河,li'yin'he
连续性谱,lian'xu'xing'pu
氯丙咪嗪,lv'bing'mi'qin
美国精神病学协会,mei'guo'jing'shen'bing'xue'xie'hui
弥子瑕,mi'zi'xia
民事结合,min'shi'jie'he
慕残,mu'can
男同,nan'tong
男性行为,nan'xing'xing'wei
年上攻,nian'shang'gong
年下攻,nian'xia'gong
女同,nv'tong
女王受,nv'wang'shou
女性性行为,nv'xing'xing'xing'wei
帕罗西汀,pa'luo'xi'ting
去同性恋,qu'tong'xing'lian
拳交,quan'jiao
石墙事件,shi'qiang'shi'jian
手淫,shou'yin
双性恋,shuang'xing'lian
双性恋自豪日,shuang'xing'lian'zi'hao'ri
双性人,shuang'xing'ren
天佑鲍比,tian'you'bao'bi
同人,tong'ren
同性婚姻,tong'xing'hun'yin
同性结合,tong'xing'jie'he
同性恋,tong'xing'lian
同性恋基因,tong'xing'lian'ji'yin
同性恋军队,tong'xing'lian'jun'dui
同性恋亚文化,tong'xing'lian'ya'wen'hua
同性恋自豪日,tong'xing'lian'zi'hao'ri
同志,tong'zhi
同志村,tong'zhi'cun
同志国歌,tong'zhi'guo'ge
同志偶像,tong'zhi'ou'xiang
同志运动,tong'zhi'yun'dong
万年受,wan'nian'shou
卫灵公,wei'ling'gong
无性恋,wu'xing'lian
下克上,xia'ke'shang
性变态,xing'bian'tai
性别隔离,xing'bie'ge'li
性别角色,xing'bie'jue'se
性别认同,xing'bie'ren'tong
形婚,xing'hun
性渴望,xing'ke'wang
性倾向,xing'qing'xiang
性取向,xing'qu'xiang
形式婚姻,xing'shi'hun'yin
性吸引,xing'xi'yin
性心理障碍,xing'xin'li'zhang'ai
性行为,xing'xing'wei
性欲倒错,xing'yu'dao'cuo
性欲望,xing'yu'wang
异地恋,yi'di'lian
异性恋,yi'xing'lian
转换疗法,zhuan'huan'liao'fa
自慰,zi'wei
