阿焕鸭面,a'huan'ya'mian
阿一焖斋,a'yi'men'zhai
艾草粑粑,ai'cao'ba'ba
爱尔香,ai'er'xiang
爱群,ai'qun
矮人松糕,ai'ren'song'gao
艾西姆桑扎,ai'xi'mu'sang'zha
安多面片,an'duo'mian'pian
安徽卤舌,an'hui'lu'she
安康窝窝面,an'kang'wo'wo'mian
安铺鸡饭,an'pu'ji'fan
鞍山枫叶肉干,an'shan'feng'ye'rou'gan
鞍山肉枣,an'shan'rou'zao
安岳咸肉,an'yue'xian'rou
安泽火腿,an'ze'huo'tui
八宝百合,ba'bao'bai'he
八宝菠菜,ba'bao'bo'cai
八宝参糕,ba'bao'can'gao
八宝茶汤,ba'bao'cha'tang
八宝蛋炸食,ba'bao'dan'zha'shi
八宝饭,ba'bao'fan
八宝黑米粥,ba'bao'hei'mi'zhou
八宝甲鱼,ba'bao'jia'yu
八宝蜜食,ba'bao'mi'shi
八宝青蟹饭,ba'bao'qing'xie'fan
八宝肉辣子,ba'bao'rou'la'zi
八宝油糕,ba'bao'you'gao
扒擦,ba'ca
八公山豆腐,ba'gong'shan'dou'fu
八公山雪月银球,ba'gong'shan'xue'yue'yin'qiu
八果芝麻糍,ba'guo'zhi'ma'ci
八块鸡,ba'kuai'ji
吧啦饼,ba'la'bing
八批果子,ba'pi'guo'zi
拔丝苹果,ba'si'ping'guo
拔丝芋头,ba'si'yu'tou
拔丝楂糕,ba'si'zha'gao
霸王别姬,ba'wang'bie'ji
八仙粉,ba'xian'fen
白八粿,bai'ba'hua
白肠,bai'chang
白炒刀鱼丝,bai'chao'dao'yu'si
白炒墨鱼卷,bai'chao'mo'yu'juan
白橙糖,bai'cheng'tang
白鹅,bai'e
白丰糕,bai'feng'gao
白封肉,bai'feng'rou
白干煮三丝,bai'gan'zhu'san'si
白果桂花羹,bai'guo'gui'hua'geng
百合,bai'he
百侯薄饼,bai'hou'bao'bing
百花,bai'hua
百花串酱菜,bai'hua'chuan'jiang'cai
百花大虾,bai'hua'da'xia
白记饺子,bai'ji'jiao'zi
白记水饺,bai'ji'shui'jiao
白辣椒,bai'la'jiao
白兰瓜,bai'lan'gua
百乐熏鸡,bai'le'xun'ji
白米酥,bai'mi'su
白蘑,bai'mo
白皮儿,bai'pi'er
白切狗,bai'qie'gou
白切鸡,bai'qie'ji
白肉血肠,bai'rou'xue'chang
白肉罩火烧,bai'rou'zhao'huo'shao
白蛇烧饼,bai'she'shao'bing
白市驿板鸭,bai'shi'yi'ban'ya
白水羊肉,bai'shui'yang'rou
白糖糕,bai'tang'gao
白糖伦教糕,bai'tang'lun'jiao'gao
白糖杨梅,bai'tang'yang'mei
白岘吊瓜子,bai'xian'diao'gua'zi
白象香糕,bai'xiang'xiang'gao
白玉藏珠,bai'yu'cang'zhu
白云凤爪,bai'yun'feng'zhao
白运章包子,bai'yun'zhang'bao'zi
白云猪手,bai'yun'zhu'shou
白斩河田鸡,bai'zhan'he'tian'ji
白斩鸡,bai'zhan'ji
白粥,bai'zhou
白猪头肉,bai'zhu'tou'rou
白灼响螺片,bai'zhuo'xiang'luo'pian
拌粉干,ban'fen'gan
板栗红烧肉,ban'li'hong'shao'rou
棒棒鸡,bang'bang'ji
梆梆肉,bang'bang'rou
棒槌果子,bang'chui'guo'zi
榜舍龟,bang'she'gui
薄饼,bao'bing
包饼油条,bao'bing'you'tiao
爆炒乌鸡,bao'chao'wu'ji
爆炒羊羔肉,bao'chao'yang'gao'rou
爆炒腰花,bao'chao'yao'hua
爆炒猪血丸子,bao'chao'zhu'xue'wan'zi
保德碗托,bao'de'wan'tuo
保德油枣,bao'de'you'zao
保定府三件宝,bao'ding'fu'san'jian'bao
宝发园,bao'fa'yuan
包谷粑,bao'gu'ba
包谷粑粑,bao'gu'ba'ba
包谷稀饭,bao'gu'xi'fan
抱滚埘,bao'gun'shi
宝鸡茶酥,bao'ji'cha'su
保靖秤砣耙,bao'jing'cheng'tuo'ba
苞芦松,bao'lu'song
抱罗粉,bao'luo'fen
苞米,bao'mi
包面,bao'mian
爆墨鱼卷,bao'mo'yu'juan
宝庆猪血丸子,bao'qing'zhu'xue'wan'zi
包烧鲜鱼,bao'shao'xian'yu
爆氽,bao'tun
爆乌花,bao'wu'hua
宝箱豆腐,bao'xiang'dou'fu
宝玉鱼唇,bao'yu'yu'chun
煲仔鱼丸,bao'zi'yu'wan
本地鸡,ben'di'ji
本斋清真肉饼,ben'zhai'qing'zhen'rou'bing
毕节汤圆,bi'jie'tang'yuan
碧绿虾仁,bi'lv'xia'ren
蝙蝠莲藕,bian'fu'lian'ou
便宜坊,bian'yi'fang
别具风味手抓面,bie'ju'feng'wei'shou'zhua'mian
滨州锅子饼,bin'zhou'guo'zi'bing
滨州芝麻酥糖,bin'zhou'zhi'ma'su'tang
冰菜,bing'cai
冰点,bing'dian
冰粉,bing'fen
冰峰,bing'feng
冰葫芦,bing'hu'lu
冰激凌水果沙拉,bing'ji'ling'shui'guo'sha'la
冰凉糕,bing'liang'gao
冰泉滴珠豆浆,bing'quan'di'zhu'dou'jiang
冰泉豆浆,bing'quan'dou'jiang
冰糖金耳鸽蛋,bing'tang'jin'er'ge'dan
冰糖湘莲,bing'tang'xiang'lian
冰糖燕窝,bing'tang'yan'wo
冰豌豆粉,bing'wan'dou'fen
冰镇石凉粉,bing'zhen'shi'liang'fen
博爱浆面条,bo'ai'jiang'mian'tiao
