拔模,ba'mo
薄片,bao'pian
杯头,bei'tou
杯头螺丝,bei'tou'luo'si
备注,bei'zhu
避空,bi'kong
边钉,bian'ding
扁顶针,bian'ding'zhen
边司,bian'si
边锁,bian'suo
扁针,bian'zhen
表面要求,biao'mian'yao'qiu
标牌,biao'pai
薄钢,bo'gang
波仔螺丝,bo'zai'luo'si
波子弹弓,bo'zi'dan'gong
波子螺丝,bo'zi'luo'si
波子弹簧,bo'zi'tan'huang
不准用镶件,bu'zhun'yong'xiang'jian
材料,cai'liao
插穿,cha'chuan
插骨,cha'gu
插头,cha'tou
插座,cha'zuo
铲机,chan'ji
铲鸡,chan'ji
常用名,chang'yong'ming
车床,che'chuang
承板,cheng'ban
撑鸡,cheng'ji
撑头,cheng'tou
齿轮,chi'lun
齿条,chi'tiao
冲花,chong'hua
出模,chu'mo
出散件,chu'san'jian
出图,chu'tu
粗电极,cu'dian'ji
粗工,cu'gong
粗加工,cu'jia'gong
淬火,cui'huo
寸法基点,cun'fa'ji'dian
打光,da'guang
打合,da'he
打火花,da'huo'hua
大水口,da'shui'kou
大水口模,da'shui'kou'mo
大同,da'tong
弹弓,dan'gong
弹弓胶,dan'gong'jiao
弹弓柱,dan'gong'zhu
氮化,dan'hua
挡板,dang'ban
挡水板,dang'shui'ban
导边,dao'bian
导滑块,dao'hua'kuai
倒角,dao'jiao
倒扣,dao'kou
导套,dao'tao
导向块,dao'xiang'kuai
导柱,dao'zhu
德胜,de'sheng
底板,di'ban
底针板,di'zhen'ban
电镀,dian'du
电极,dian'ji
垫脚,dian'jiao
电木,dian'mu
电脑锣,dian'nao'luo
电热衬套,dian're'chen'tao
电热管,dian're'guan
电热圈,dian're'quan
点蚀,dian'shi
吊环,diao'huan
雕刻,diao'ke
吊模孔,diao'mo'kong
吊模螺丝,diao'mo'luo'si
顶凹,ding'ao
顶白,ding'bai
顶板,ding'ban
顶出距离,ding'chu'ju'li
顶出块,ding'chu'kuai
顶棍,ding'gun
顶棍孔,ding'gun'kong
定距,ding'ju
定模,ding'mo
定锁,ding'suo
定位钢珠,ding'wei'gang'zhu
定位环,ding'wei'huan
定位圈,ding'wei'quan
定位销,ding'wei'xiao
定位珠,ding'wei'zhu
定芯棒,ding'xin'bang
顶针,ding'zhen
顶针板,ding'zhen'ban
顶针板导套,ding'zhen'ban'dao'tao
顶针板导柱,ding'zhen'ban'dao'zhu
顶针代,ding'zhen'dai
顶针底板,ding'zhen'di'ban
顶针面板,ding'zhen'mian'ban
动模,dong'mo
度定位块,du'ding'wei'kuai
堵铜,du'tong
段差,duan'cha
断裂,duan'lie
多胶,duo'jiao
二板模,er'ban'mo
二次顶出,er'ci'ding'chu
法兰,fa'lan
发热管,fa're'guan
反铲,fan'chan
反为,fan'wei
放大图,fang'da'tu
放电,fang'dian
放电间隙,fang'dian'jian'xi
方顶针,fang'ding'zhen
防水胶圈,fang'shui'jiao'quan
放缩水,fang'suo'shui
方铁,fang'tie
方型辅助器,fang'xing'fu'zhu'qi
防转,fang'zhuan
飞边,fei'bian
非标,fei'biao
菲林,fei'lin
飞模,fei'mo
分流道板,fen'liu'dao'ban
分流锥,fen'liu'zhui
分模,fen'mo
分模面,fen'mo'mian
封料,feng'liao
富得巴,fu'de'ba
腐蚀,fu'shi
复位顶杆,fu'wei'ding'gan
复位杆,fu'wei'gan
复位键,fu'wei'jian
扶针,fu'zhen
感温器,gan'wen'qi
感温线,gan'wen'xian
刚性扣机,gang'xing'kou'ji
隔片,ge'pian
隔热,ge're
隔热板,ge're'ban
隔水片,ge'shui'pian
跟形,gen'xing
根元,gen'yuan
公差,gong'cha
公模,gong'mo
公模仁,gong'mo'ren
公模板,gong'mu'ban
攻牙,gong'ya
勾配,gou'pei
勾针,gou'zhen
骨位,gu'wei
管钉,guan'ding
光刀,guang'dao
规格,gui'ge
滚压,gun'ya
过渡配合,guo'du'pei'he
过切,guo'qie
哈斯高,ha'si'gao
合模,he'mo
呵芯,he'xin
烘干,hong'gan
红铜,hong'tong
烘印,hong'yin
喉管,hou'guan
后模,hou'mo
喉塞,hou'sai
互换镶件,hu'huan'xiang'jian
滑块,hua'kuai
滑块导轨,hua'kuai'dao'gui
滑块束块,hua'kuai'shu'kuai
滑块镶件,hua'kuai'xiang'jian
滑块座,hua'kuai'zuo
黄铜,huang'tong
回针,hui'zhen
活动臂,huo'dong'bi
火花机,huo'hua'ji
火花位,huo'hua'wei
火山口,huo'shan'kou
机床,ji'chuang
基点,ji'dian
唧咀,ji'ju
机米,ji'mi
极重载荷弹簧,ji'zhong'zai'he'tan'huang
唧嘴,ji'zui
唧嘴口径,ji'zui'kou'jing
唧嘴直流,ji'zui'zhi'liu
加长水嘴,jia'chang'shui'zui
加工中心,jia'gong'zhong'xin
加急,jia'ji
加胶,jia'jiao
加强筋,jia'qiang'jin
加热棒,jia're'bang
假体,jia'ti
尖点式,jian'dian'shi
减胶,jian'jiao
减肉,jian'rou
降面,jiang'mian
校核,jiao'he
浇口,jiao'kou
浇口衬套,jiao'kou'chen'tao
胶口衬套,jiao'kou'chen'tao
胶圈,jiao'quan
胶位,jiao'wei
节流阀,jie'liu'fa
接头,jie'tou
接线盒,jie'xian'he
进胶,jin'jiao
紧配,jin'pei
进水位,jin'shui'wei
金相,jin'xiang
精电极,jing'dian'ji
精加工,jing'jia'gong
镜面,jing'mian
龟裂,jun'lie
开闭器,kai'bi'qi
开粗,kai'cu
开放式,kai'fang'shi
开框,kai'kuang
开料,kai'liao
开裂,kai'lie
开模槽,kai'mo'cao
开模距离,kai'mo'ju'li
开模器,kai'mo'qi
开模止板,kai'mo'zhi'ban
刻字,ke'zi
控温耦合器,kong'wen'ou'he'qi
孔止环,kong'zhi'huan
扣机,kou'ji
扣鸡,kou'ji
快速接头,kuai'su'jie'tou
快走丝,kuai'zou'si
困气,kun'qi
拉杆,la'gan
垃圾钉,la'ji'ding
拉料销,la'liao'xiao
冷料井,leng'liao'jing
冷流道,leng'liu'dao
冷却水,leng'que'shui
冷却水道,leng'que'shui'dao
冷却水接头,leng'que'shui'jie'tou
棱线,leng'xian
零度块,ling'du'kuai
流道,liu'dao
流道平衡,liu'dao'ping'heng
龙记,long'ji
锣床,luo'chuang
螺塞,luo'sai
螺丝,luo'si
码仔,ma'zai
慢走丝,man'zou'si
毛边,mao'bian
密封,mi'feng
密封圈,mi'feng'quan
面板,mian'ban
面针板,mian'zhen'ban
末端,mo'duan
模架,mo'jia
模脚,mo'jiao
模流分析,mo'liu'fen'xi
模排气,mo'pai'qi
模仁,mo'ren
模仁底部线,mo'ren'di'bu'xian
模仁底面,mo'ren'di'mian
模数,mo'shu
磨损,mo'sun
模图,mo'tu
模总高超出啤机规格,mo'zong'gao'chao'chu'pi'ji'gui'ge
模具,mu'ju
模具零件,mu'ju'ling'jian
母模,mu'mo
母模仁,mu'mo'ren
母模板,mu'mu'ban
模胚,mu'pei
模胚上加工放模仁的位置,mu'pei'shang'jia'gong'fang'mo'ren'de'wei'zhi
模胚原身出料位,mu'pei'yuan'shen'chu'liao'wei
耐磨板,nai'mo'ban
耐磨片,nai'mo'pian
耐热弹簧,nai're'tan'huang
内六角螺丝,nei'liu'jiao'luo'si
内模管位,nei'mo'guan'wei
尼龙开闭器,ni'long'kai'bi'qi
尼龙拉勾,ni'long'la'gou
牛角,niu'jiao
啪啦面,pa'la'mian
排气,pai'qi
盘起,pan'qi
抛光,pao'guang
炮筒,pao'tong
配模,pei'mo
喷水管,pen'shui'guan
碰穿,peng'chuan
批峰,pi'feng
披锋,pi'feng
铍铜,pi'tong
皮纹,pi'wen
拼块,pin'kuai
平头,ping'tou
平头小螺丝,ping'tou'xiao'luo'si
剖面,pou'mian
剖切,pou'qie
气阀,qi'fa
气辅,qi'fu
气缸,qi'gang
气纹,qi'wen
气压缸,qi'ya'gang
前模,qian'mo
前模弹出行位,qian'mo'tan'chu'xing'wei
潜水,qian'shui
强度不够,qiang'du'bu'gou
强行复位,qiang'xing'fu'wei
撬模槽,qiao'mo'cao
撬模角,qiao'mo'jiao
清角,qing'jiao
青铜块,qing'tong'kuai
青铜片,qing'tong'pian
轻小载荷弹簧,qing'xiao'zai'he'tan'huang
轻载荷弹簧,qing'zai'he'tan'huang
球面,qiu'mian
曲面,qu'mian
曲线,qu'xian
缺胶,que'jiao
热处理,re'chu'li
热流板,re'liu'ban
热流道,re'liu'dao
热流道板,re'liu'dao'ban
热油,re'you
热嘴,re'zui
日期章,ri'qi'zhang
熔接痕,rong'jie'hen
容模尺寸,rong'mo'chi'cun
入水,ru'shui
入子,ru'zi
三板模,san'ban'mo
散件,san'jian
三住,san'zhu
晒纹,shai'wen
上顶针板,shang'ding'zhen'ban
上固定板,shang'gu'ding'ban
烧焦,shao'jiao
省模,sheng'mo
石墨,shi'mo
试模,shi'mo
实配,shi'pei
视图,shi'tu
蚀纹,shi'wen
实线,shi'xian
手机,shou'ji
数控,shu'kong
数量,shu'liang
树脂开模器,shu'zhi'kai'mo'qi
栓打螺丝,shuan'da'luo'si
双点划线,shuang'dian'hua'xian
双节顶针,shuang'jie'ding'zhen
双节司筒,shuang'jie'si'tong
双色模,shuang'se'mo
水道塞子,shui'dao'sai'zi
水管,shui'guan
水管无头螺丝,shui'guan'wu'tou'luo'si
水喉,shui'hou
水口,shui'kou
水口板,shui'kou'ban
水口大小,shui'kou'da'xiao
水口司,shui'kou'si
水口推板,shui'kou'tui'ban
水口形式,shui'kou'xing'shi
水路,shui'lu
水嘴,shui'zui
司筒,si'tong
司筒针,si'tong'zhen
松配,song'pei
塑胶管,su'jiao'guan
缩呵,suo'he
锁紧块,suo'jin'kuai
锁扣,suo'kou
锁模块,suo'mo'kuai
锁模片,suo'mo'pian
缩水,suo'shui
缩水率,suo'shui'lv
太尖,tai'jian
弹簧,tan'huang
弹簧柱,tan'huang'zhu
探针,tan'zhen
特征,te'zheng
提前回杆,ti'qian'hui'gan
梯形流道,ti'xing'liu'dao
调质,tiao'zhi
铜公,tong'gong
透明,tou'ming
透气钢,tou'qi'gang
凸不可,tu'bu'ke
图层,tu'ceng
图框,tu'kuang
凸轮,tu'lun
推板,tui'ban
推杆,tui'gan
推块,tui'kuai
托板,tuo'ban
拖花,tuo'hua
脱料板,tuo'liao'ban
外六角螺丝,wai'liu'jiao'luo'si
王牌,wang'pai
温控箱,wen'kong'xiang
窝点,wo'dian
无头螺丝,wu'tou'luo'si
铣床,xi'chuang
细水口,xi'shui'kou
细水口模,xi'shui'kou'mo
下顶针板,xia'ding'zhen'ban
下固定板,xia'gu'ding'ban
下料,xia'liao
线槽,xian'cao
线割,xian'ge
线割图,xian'ge'tu
线接头,xian'jie'tou
线切割,xian'qie'ge
限位开关,xian'wei'kai'guan
限位块,xian'wei'kuai
限位螺丝,xian'wei'luo'si
限制块,xian'zhi'kuai
镶件,xiang'jian
镶针,xiang'zhen
校杯,xiao'bei
小拉杆,xiao'la'gan
销子,xiao'zi
斜边,xie'bian
斜边座,xie'bian'zuo
斜导边,xie'dao'bian
斜导柱,xie'dao'zhu
斜顶,xie'ding
斜顶导向块,xie'ding'dao'xiang'kuai
斜顶底座,xie'ding'di'zuo
斜顶杆,xie'ding'gan
斜顶座,xie'ding'zuo
斜度,xie'du
斜度定位块,xie'du'ding'wei'kuai
斜鸡,xie'ji
斜紧块,xie'jin'kuai
斜销,xie'xiao
斜压块,xie'ya'kuai
新图,xin'tu
型腔,xing'qiang
型圈,xing'quan
行位,xing'wei
行位夹,xing'wei'jia
行位座,xing'wei'zuo
序号,xu'hao
虚线,xu'xian
压板,ya'ban
压力胶,ya'li'jiao
压力角,ya'li'jiao
压缩,ya'suo
压条,ya'tiao
压线板,ya'xian'ban
压座,ya'zuo
咬花,yao'hua
一勝百,yi'sheng'bai
引水,yin'shui
用铍铜做镶件,yong'pi'tong'zuo'xiang'jian
油板,you'ban
油封,you'feng
油缸,you'gang
油钢,you'gang
幼工,you'gong
有孔的圆柱,you'kong'de'yuan'zhu
有托导套,you'tuo'dao'tao
有托顶针,you'tuo'ding'zhen
油压缸,you'ya'gang
油压马达,you'ya'ma'da
预压,yu'ya
预硬,yu'ying
圆角,yuan'jiao
圆线弹簧,yuan'xian'tan'huang
圆形定位器,yuan'xing'ding'wei'qi
圆形流道,yuan'xing'liu'dao
运水,yun'shui
造型,zao'xing
增肉,zeng'rou
针阀,zhen'fa
针阀式,zhen'fa'shi
枕位,zhen'wei
正钢,zheng'gang
正面图,zheng'mian'tu
正面图底部数,zheng'mian'tu'di'bu'shu
支撑柱,zhi'cheng'zhu
直导套,zhi'dao'tao
直顶,zhi'ding
止水栓,zhi'shui'shuan
中托司,zhong'tuo'si
中心线,zhong'xin'xian
中载荷弹簧,zhong'zai'he'tan'huang
重载荷弹簧,zhong'zai'he'tan'huang
周边,zhou'bian
轴承,zhou'cheng
注塑,zhu'su
转水口,zhuan'shui'kou
装配图,zhuang'pei'tu
锥度,zhui'du
组立图,zu'li'tu
阻水,zu'shui
组装图,zu'zhuang'tu
钻孔,zuan'kong
