矮毛蕨,ai'mao'jue
安蕨属,an'jue'shu
暗鳞鳞毛蕨,an'lin'lin'mao'jue
白豆杉,bai'dou'shan
白豆杉属,bai'dou'shan'shu
白垩铁线蕨,bai'e'tie'xian'jue
白果树,bai'guo'shu
柏科,bai'ke
柏木,bai'mu
柏木属,bai'mu'shu
白皮松,bai'pi'song
百日青,bai'ri'qing
百山祖冷杉,bai'shan'zu'leng'shan
百山祖蹄盖蕨,bai'shan'zu'ti'gai'jue
白叶杉,bai'ye'shan
半边旗,ban'bian'qi
半边铁角蕨,ban'bian'tie'jiao'jue
半岛鳞毛蕨,ban'dao'lin'mao'jue
蚌壳蕨科,bang'ke'jue'ke
宝华山瓦韦,bao'hua'shan'wa'wei
抱石莲,bao'shi'lian
北京铁角蕨,bei'jing'tie'jiao'jue
北美红杉,bei'mei'hong'shan
北美红杉属,bei'mei'hong'shan'shu
北美香柏,bei'mei'xiang'bai
北美圆柏,bei'mei'yuan'bai
北美长叶松,bei'mei'zhang'ye'song
本松,ben'song
笔管草,bi'guan'cao
笔直石松,bi'zhi'shi'song
扁柏,bian'bai
扁柏属,bian'bai'shu
边生短肠蕨,bian'sheng'duan'chang'jue
边生鳞毛蕨,bian'sheng'lin'mao'jue
鞭叶耳蕨,bian'ye'er'jue
鞭叶蕨,bian'ye'jue
鞭叶蕨属,bian'ye'jue'shu
鞭叶铁线蕨,bian'ye'tie'xian'jue
变异凤尾蕨,bian'yi'feng'wei'jue
变异鳞毛蕨,bian'yi'lin'mao'jue
变异铁角蕨,bian'yi'tie'jiao'jue
边缘鳞盖蕨,bian'yuan'lin'gai'jue
扁枝石松,bian'zhi'shi'song
扁枝石松属,bian'zhi'shi'song'shu
柄盖蕨科,bing'gai'jue'ke
薄盖短肠蕨,bo'gai'duan'chang'jue
波纹蕗蕨,bo'wen'lu'jue
薄叶卷柏,bo'ye'juan'bai
薄叶碎米蕨,bo'ye'sui'mi'jue
薄叶阴地蕨,bo'ye'yin'di'jue
波缘鳞盖蕨,bo'yuan'lin'gai'jue
不等羽鳞毛蕨,bu'deng'yu'lin'mao'jue
布朗卷柏,bu'lang'juan'bai
菜蕨,cai'jue
菜蕨属,cai'jue'shu
侧柏,ce'bai
侧柏属,ce'bai'shu
岑叶毛蕨,cen'ye'mao'jue
叉毛禾叶蕨,cha'mao'he'ye'jue
长白落叶松,chang'bai'luo'ye'song
长柄假膜蕨,chang'bing'jia'mo'jue
长柄蕗蕨,chang'bing'lu'jue
长柄线蕨,chang'bing'xian'jue
常春藤鳞果星蕨,chang'chun'teng'lin'guo'xing'jue
昌化铁线蕨,chang'hua'tie'xian'jue
长江蹄盖蕨,chang'jiang'ti'gai'jue
肠蕨属,chang'jue'shu
长毛蕗蕨,chang'mao'lu'jue
长生铁角蕨,chang'sheng'tie'jiao'jue
长书羽凤丫蕨,chang'shu'yu'feng'ya'jue
长尾变种,chang'wei'bian'zhong
长尾复叶耳蕨,chang'wei'fu'ye'er'jue
长尾鳞毛蕨,chang'wei'lin'mao'jue
长籽榧,chang'zi'fei
朝鲜落叶松,chao'xian'luo'ye'song
城户凤尾蕨,cheng'hu'feng'wei'jue
池柏,chi'bai
齿盖贯众,chi'gai'guan'zhong
齿果铁角蕨,chi'guo'tie'jiao'jue
齿片毛蕨,chi'pian'mao'jue
池杉,chi'shan
齿头鳞毛蕨,chi'tou'lin'mao'jue
齿牙毛蕨,chi'ya'mao'jue
匙叶剑蕨,chi'ye'jian'jue
齿叶金星蕨,chi'ye'jin'xing'jue
齿缘瘤足蕨,chi'yuan'liu'zu'jue
川黔肠蕨,chuan'qian'chang'jue
垂穗石松,chui'sui'shi'song
刺柏,ci'bai
刺柏属,ci'bai'shu
刺齿凤尾蕨,ci'chi'feng'wei'jue
刺毛介蕨,ci'mao'jie'jue
刺杉,ci'shan
