俺,an
按窝,an'wo
扒水,ba'shui
白姑用,bai'gu'yong
半福,ban'fu
棒子秸,bang'zi'jie
步捻,bu'nian
补土杠烟,bu'tu'gang'yan
操人,cao'ren
草眼底,cao'yan'di
掺约,chan'yue
刺毛决定,ci'mao'jue'ding
跐着,ci'zhe
窜门子,cuan'men'zi
搭把手,da'ba'shou
打戈里,da'ge'li
打哈哈,da'ha'ha
当央窝哈,dang'yang'wo'ha
倒猛,dao'meng
得以,de'yi
恶了拐带,e'le'guai'dai
恶鹰人,e'ying'ren
耳瓜子呼你,er'gua'zi'hu'ni
发丧,fa'sang
发呓瘴,fa'yi'zhang
菲尼地,fei'ni'di
飞听听,fei'ting'ting
福秸,fu'jie
伏九,fu'jiu
盖提,gai'ti
赶缠人,gan'chan'ren
干熊,gan'xiong
干哕人,gan'yue'ren
隔了拜子,ge'le'bai'zi
革气,ge'qi
格支,ge'zhi
咣当,guang'dang
憨,han
喝豆腐汤,he'dou'fu'tang
喝糖茶,he'tang'cha
黑雀子,hei'qiao'zi
后儿,hou'er
胡哕哕,hu'hui'hui
混账,hun'zhang
鸡嘎子,ji'ga'zi
焦黄,jiao'huang
解了子,jie'le'zi
筋骨,jin'gu
酒猫子,jiu'mao'zi
绝捞,jue'lao
觉业,jue'ye
坷垃头子,ke'la'tou'zi
狂唠,kuang'lao
拉呱,la'gua
赖尻,lai'kao
老灭,lao'mie
立棱,li'leng
列熊,lie'xiong
列熊了,lie'xiong'le
溜地,liu'di
撸叶子,lu'ye'zi
麻利地,ma'li'di
麦穰,mai'rang
冒噗喽,mao'pu'lou
茅子,mao'zi
迷楞,mi'leng
那没来,na'mei'lai
哪门,na'men
馁,nei
能,neng
腻歪,ni'wai
念宁,nian'ning
尿瀡,niao'sui
七叶子,qi'ye'zi
妻侄羔子,qi'zhi'gao'zi
黢黑,qu'hei
去黑,qu'hei
曲了拐弯,qu'le'guai'wan
群亮,qun'liang
傻白,sha'bai
上赛,shang'sai
圣人蛋,sheng'ren'dan
踢滑,ti'hua
添腚眼子官,tian'ding'yan'zi'guan
挑乎,tiao'hu
贴轩,tie'xuan
乌喽牛,wu'lou'niu
下衫烂,xia'shan'lan
献浅子,xian'qian'zi
小小蜂,xiao'xiao'feng
小小子,xiao'xiao'zi
熊黄子,xiong'huang'zi
嘘嘹,xu'liao
许清,xu'qing
盐猫虎子,yan'mao'hu'zi
洋车子,yang'che'zi
洋乎,yang'hu
洋火,yang'huo
洋烧,yang'shao
舀子,yao'zi
用脚排你,yong'jiao'pai'ni
玉福枯,yu'fu'ku
迂默,yu'mo
芋头母子,yu'tou'mu'zi
芋头秧子,yu'tou'yang'zi
怨叶,yuan'ye
造业,zao'ye
这黄子,zhe'huang'zi
这窝哈,zhe'wo'ha
挣命,zheng'ming
吱歪,zhi'wai
滋的跟屁呲的样,zi'de'gen'pi'ci'de'yang
揍嘛地,zou'ma'di
