班委会,ban'wei'hui
初一二班,chu'yi'er'ban
各种委员,ge'zhong'wei'yuan
混的人真多,hun'de'ren'zhen'duo
老师的话不是圣旨而是口谕,lao'shi'de'hua'bu'shi'sheng'zhi'er'shi'kou'yu
没能力的班长,mei'neng'li'de'ban'zhang
死飞,si'fei
四中,si'zhong
乡村非主流,xiang'cun'fei'zhu'liu
校规是摆着看的,xiao'gui'shi'bai'zhe'kan'de
小学同学,xiao'xue'tong'xue
学生会,xue'sheng'hui
咬字不清,yao'zi'bu'qing
找对象,zhao'dui'xiang
政教的人,zheng'jiao'de'ren
