癌细胞,ai'xi'bao
癌症,ai'zheng
暗反应,an'fan'ying
氨基,an'ji
氨基酸,an'ji'suan
靶器官,ba'qi'guan
靶细胞,ba'xi'bao
半保留复制,ban'bao'liu'fu'zhi
半透膜,ban'tou'mo
伴性遗传,ban'xing'yi'chuan
被动运输,bei'dong'yun'shu
表现型,biao'xian'xing
病原体,bing'yuan'ti
不定向,bu'ding'xiang
捕食,bu'shi
测交,ce'jiao
常染色体,chang'ran'se'ti
赤道板,chi'dao'ban
赤霉素,chi'mei'su
出生率,chu'sheng'lv
初生演替,chu'sheng'yan'ti
垂直结构,chui'zhi'jie'gou
纯合子,chun'he'zi
纯种,chun'zhong
次生演替,ci'sheng'yan'ti
催化效率,cui'hua'xiao'lv
达尔文,da'er'wen
大量元素,da'liang'yuan'su
蛋白质,dan'bai'zhi
单倍体,dan'bei'ti
单基因遗传病,dan'ji'yin'yi'chuan'bing
单糖,dan'tang
单体,dan'ti
等位基因,deng'wei'ji'yin
抵抗力稳定性,di'kang'li'wen'ding'xing
地理隔离,di'li'ge'li
顶端优势,ding'duan'you'shi
多倍体,duo'bei'ti
多基因遗传病,duo'ji'yin'yi'chuan'bing
多聚体,duo'ju'ti
多肽,duo'tai
多糖,duo'tang
多样性,duo'yang'xing
二倍体,er'bei'ti
二磷酸腺苷,er'lin'suan'xian'gan
二肽,er'tai
二糖,er'tang
二氧化碳固定,er'yang'hua'tan'gu'ding
二氧化碳还原,er'yang'hua'tan'huan'yuan
反交,fan'jiao
反馈调节,fan'kui'tiao'jie
反密码子,fan'mi'ma'zi
反射,fan'she
反射弧,fan'she'hu
翻译,fan'yi
纺锤体,fang'chui'ti
肺炎双球菌,fei'yan'shuang'qiu'jun
分解者,fen'jie'zhe
分离比,fen'li'bi
分离定律,fen'li'ding'lv
分裂后期,fen'lie'hou'qi
分裂间期,fen'lie'jian'qi
分裂末期,fen'lie'mo'qi
分裂期,fen'lie'qi
分裂前期,fen'lie'qian'qi
分裂中期,fen'lie'zhong'qi
丰富度,feng'fu'du
父本,fu'ben
负反馈调节,fu'fan'kui'tiao'jie
干细胞,gan'xi'bao
干重,gan'zhong
高尔基体,gao'er'ji'ti
高能磷酸键,gao'neng'lin'suan'jian
高效性,gao'xiao'xing
隔离,ge'li
共同进化,gong'tong'jin'hua
固醇,gu'chun
光反应,guang'fan'ying
光合作用,guang'he'zuo'yong
果胶,guo'jiao
过敏反应,guo'min'fan'ying
核苷酸,he'gan'suan
核膜,he'mo
核酸,he'suan
核糖核酸,he'tang'he'suan
核糖体,he'tang'ti
互利共生,hu'li'gong'sheng
胡萝卜素,hu'luo'bo'su
化能合成作用,hua'neng'he'cheng'zuo'yong
化学信息,hua'xue'xin'xi
化学因素,hua'xue'yin'su
环境容纳量,huan'jing'rong'na'liang
恢复力稳定性,hui'fu'li'wen'ding'xing
活化能,huo'hua'neng
计划生育,ji'hua'sheng'yu
寄生,ji'sheng
激素,ji'su
激素调节,ji'su'tiao'jie
极体,ji'ti
极性运输,ji'xing'yun'shu
记忆细胞,ji'yi'xi'bao
基因,ji'yin
基因重组,ji'yin'chong'zu
基因多样性,ji'yin'duo'yang'xing
基因工程,ji'yin'gong'cheng
基因库,ji'yin'ku
基因频率,ji'yin'pin'lv
基因突变,ji'yin'tu'bian
基因型,ji'yin'xing
甲状腺激素,jia'zhuang'xian'ji'su
碱基,jian'ji
碱基互补配对,jian'ji'hu'bu'pei'dui
间接价值,jian'jie'jia'zhi
减数第二次分裂,jian'shu'di'er'ci'fen'lie
减数第一次分裂,jian'shu'di'yi'ci'fen'lie
减数分裂,jian'shu'fen'lie
浆细胞,jiang'xi'bao
交叉互换,jiao'cha'hu'huan
交叉遗传,jiao'cha'yi'chuan
结合水,jie'he'shui
解旋,jie'xuan
竞争,jing'zheng
精子,jing'zi
就地保护,jiu'di'bao'hu
酒精发酵,jiu'jing'fa'jiao
聚合酶,ju'he'mei
卡尔文循环,ka'er'wen'xun'huan
抗体,kang'ti
抗原,kang'yuan
可持续发展,ke'chi'xu'fa'zhan
克隆,ke'long
拉马克,la'ma'ke
类胡萝卜素,lei'hu'luo'bo'su
离子,li'zi
镰刀型贫血症,lian'dao'xing'pin'xue'zheng
联会,lian'hui
连接酶,lian'jie'mei
两重性,liang'chong'xing
淋巴,lin'ba
磷酸,lin'suan
磷脂,lin'zhi
流动镶嵌模型,liu'dong'xiang'qian'mo'xing
卵细胞,luan'xi'bao
孟德尔,meng'de'er
密码子,mi'ma'zi
密码子表,mi'ma'zi'biao
免疫调节,mian'yi'tiao'jie
免疫系统,mian'yi'xi'tong
免疫学,mian'yi'xue
模板,mo'ban
摩尔根,mo'er'gen
母本,mu'ben
囊泡,nang'pao
内环境,nei'huan'jing
内质网,nei'zhi'wang
能量金字塔,neng'liang'jin'zi'ta
能量流动,neng'liang'liu'dong
能源物质,neng'yuan'wu'zhi
年龄结构,nian'ling'jie'gou
浓度梯度,nong'du'ti'du
普遍存在,pu'bian'cun'zai
葡萄糖,pu'tao'tang
迁出率,qian'chu'lv
迁入率,qian'ru'lv
潜在价值,qian'zai'jia'zhi
氢键,qing'jian
秋水仙素,qiu'shui'xian'su
群落,qun'luo
染色体,ran'se'ti
染色体变异,ran'se'ti'bian'yi
染色体病,ran'se'ti'bing
染色体异常遗传病,ran'se'ti'yi'chang'yi'chuan'bing
染色体组,ran'se'ti'zu
染色质,ran'se'zhi
人工杂交,ren'gong'za'jiao
人类基因组计划,ren'lei'ji'yin'zu'ji'hua
溶酶体,rong'mei'ti
乳酸发酵,ru'suan'fa'jiao
三磷酸腺苷,san'lin'suan'xian'gan
神经冲动,shen'jing'chong'dong
神经递质,shen'jing'di'zhi
神经调节,shen'jing'tiao'jie
渗透压,shen'tou'ya
生产者,sheng'chan'zhe
生命系统,sheng'ming'xi'tong
生态系统,sheng'tai'xi'tong
生态系统的稳定性,sheng'tai'xi'tong'de'wen'ding'xing
生态系统多样性,sheng'tai'xi'tong'duo'yang'xing
生物地球化学循环,sheng'wu'di'qiu'hua'xue'xun'huan
生物多样性,sheng'wu'duo'yang'xing
生物膜系统,sheng'wu'mo'xi'tong
生物圈,sheng'wu'quan
生物因素,sheng'wu'yin'su
生长素,sheng'zhang'su
生长调节剂,sheng'zhang'tiao'jie'ji
生殖隔离,sheng'zhi'ge'li
噬菌体,shi'jun'ti
失水,shi'shui
食物链,shi'wu'lian
食物网,shi'wu'wang
受精作用,shou'jing'zuo'yong
双螺旋结构,shuang'luo'xuan'jie'gou
水平结构,shui'ping'jie'gou
四分体,si'fen'ti
死亡率,si'wang'lv
酸碱度,suan'jian'du
随机,sui'ji
羧基,suo'ji
肽键,tai'jian
肽链,tai'lian
碳循环,tan'xun'huan
糖类,tang'lei
糖原,tang'yuan
特异性,te'yi'xing
体液,ti'ye
体液免疫,ti'ye'mian'yi
体液调节,ti'ye'tiao'jie
同位素标记法,tong'wei'su'biao'ji'fa
同型,tong'xing
同源染色体,tong'yuan'ran'se'ti
突变,tu'bian
突触,tu'chu
突触小体,tu'chu'xiao'ti
脱落酸,tuo'luo'suan
脱水缩合,tuo'shui'suo'he
脱氧核糖,tuo'yang'he'tang
脱氧核糖核酸,tuo'yang'he'tang'he'suan
微量元素,wei'liang'yuan'su
稳态,wen'tai
无机盐,wu'ji'yan
物理信息,wu'li'xin'xi
物理因素,wu'li'yin'su
无丝分裂,wu'si'fen'lie
五碳糖,wu'tan'tang
无氧呼吸,wu'yang'hu'xi
物质交换,wu'zhi'jiao'huan
物质循环,wu'zhi'xun'huan
物种,wu'zhong
物种多样性,wu'zhong'duo'yang'xing
细胞,xi'bao
细胞癌变,xi'bao'ai'bian
细胞板,xi'bao'ban
细胞壁,xi'bao'bi
细胞编程性死亡,xi'bao'bian'cheng'xing'si'wang
细胞代谢,xi'bao'dai'xie
细胞的全能性,xi'bao'de'quan'neng'xing
细胞凋亡,xi'bao'diao'wang
细胞分化,xi'bao'fen'hua
细胞分裂素,xi'bao'fen'lie'su
细胞核,xi'bao'he
细胞呼吸,xi'bao'hu'xi
细胞免疫,xi'bao'mian'yi
细胞膜,xi'bao'mo
细胞内液,xi'bao'nei'ye
细胞器,xi'bao'qi
细胞衰老,xi'bao'shuai'lao
细胞外液,xi'bao'wai'ye
细胞学说,xi'bao'xue'shuo
细胞增殖,xi'bao'zeng'zhi
细胞质,xi'bao'zhi
细胞周期,xi'bao'zhou'qi
吸水,xi'shui
线粒体,xian'li'ti
先天性愚型,xian'tian'xing'yu'xing
显微镜,xian'wei'jing
纤维素,xian'wei'su
显性基因,xian'xing'ji'yin
显性性状,xian'xing'xing'zhuang
限制酶,xian'zhi'mei
限制性核酸内切酶,xian'zhi'xing'he'suan'nei'qie'mei
鲜重,xian'zhong
相对性状,xiang'dui'xing'zhuang
向光性,xiang'guang'xing
消费者,xiao'fei'zhe
携带者,xie'dai'zhe
协助扩散,xie'zhu'kuo'san
信息,xin'xi
信息传递,xin'xi'chuan'di
信息交流,xin'xi'jiao'liu
信息素,xin'xi'su
性别比例,xing'bie'bi'li
兴奋,xing'fen
性染色体,xing'ran'se'ti
星射线,xing'she'xian
性状,xing'zhuang
性状分离,xing'zhuang'fen'li
选择透过性膜,xuan'ze'tou'guo'xing'mo
血浆,xue'jiang
演替,yan'ti
言语区,yan'yu'qu
样方法,yang'fang'fa
叶黄素,ye'huang'su
叶绿素,ye'lv'su
叶绿体,ye'lv'ti
液泡,ye'pao
遗传病,yi'chuan'bing
遗传密码,yi'chuan'mi'ma
遗传信息,yi'chuan'xin'xi
遗传因子,yi'chuan'yin'zi
胰岛素,yi'dao'su
易地保护,yi'di'bao'hu
胰高血糖素,yi'gao'xue'tang'su
乙烯,yi'xi
异型,yi'xing
