岸本齐史,an'ben'qi'shi
奥义,ao'yi
八卦空掌,ba'gua'kong'zhang
八卦六十四掌,ba'gua'liu'shi'si'zhang
八卦一百二十八掌,ba'gua'yi'bai'er'shi'ba'zhang
八卦掌回天,ba'gua'zhang'hui'tian
八门遁甲,ba'men'dun'jia
八俣大蛇,ba'yu'da'she
白磷大蛇,bai'lin'da'she
白眼,bai'yan
暴水冲波,bao'shui'chong'bo
倍化术,bei'hua'shu
崩掌,beng'zhang
变身术,bian'shen'shu
表莲华,biao'lian'hua
冰牢之术,bing'lao'zhi'shu
并足雷同,bing'zu'lei'tong
波风水门,bo'feng'shui'men
部分倍化术,bu'fen'bei'hua'shu
不知火玄间,bu'zhi'huo'xuan'jian
彩隐之术,cai'yin'zhi'shu
草雉剑,cao'zhi'jian
查克拉,cha'ke'la
查克拉手术刀,cha'ke'la'shou'shu'dao
超大玉螺旋丸,chao'da'yu'luo'xuan'wan
超级倍化术,chao'ji'bei'hua'shu
朝孔雀,chao'kong'que
超兽伪画,chao'shou'wei'hua
赤丸,chi'wan
初代火影,chu'dai'huo'ying
创造再生,chuang'zao'zai'sheng
春野樱,chun'ye'ying
次郎坊,ci'lang'fang
大乱斗,da'luan'dou
大瀑布,da'pu'bu
大蛇丸,da'she'wan
大突进幻之地底遗迹,da'tu'jin'huan'zhi'di'di'yi'ji
大兴奋三日月岛的动物骚动,da'xing'fen'san'ri'yue'dao'de'dong'wu'sao'dong
大兴奋三日月岛的动物骚乱,da'xing'fen'san'ri'yue'dao'de'dong'wu'sao'luan
大玉螺旋丸,da'yu'luo'xuan'wan
大招,da'zhao
迪达拉,di'da'la
地达罗,di'da'luo
第三只眼,di'san'zhi'yan
杜门,du'men
毒雾,du'wu
多重影分身术,duo'chong'ying'fen'shen'shu
多斯,duo'si
多由也,duo'you'ye
二代火影,er'dai'huo'ying
飞段,fei'duan
分身术,fen'shen'shu
封黑法印,feng'hei'fa'yin
封火法印,feng'huo'fa'yin
风魔手里剑,feng'mo'shou'li'jian
封邪法印,feng'xie'fa'yin
风影,feng'ying
风之国,feng'zhi'guo
风之刃,feng'zhi'ren
干柿鬼鲛,gan'shi'gui'jiao
纲手,gang'shou
钢子铁,gang'zi'tie
鬼灯水月,gui'deng'shui'yue
鬼童丸,gui'tong'wan
蛤蟆短刀斩,ha'ma'duan'dao'zhan
蛤蟆吉,ha'ma'ji
蛤蟆龙,ha'ma'long
蛤蟆文太,ha'ma'wen'tai
蛤蟆油炎弹,ha'ma'you'yan'tan
蛤蟆忠,ha'ma'zhong
海老藏,hai'lao'cang
海野伊鲁卡,hai'ye'yi'lu'ka
豪火球之术,hao'huo'qiu'zhi'shu
貉兽,hao'shou
合体变身术,he'ti'bian'shen'shu
黑暗行之术,hei'an'xing'zhi'shu
黑龙暴风雪,hei'long'bao'feng'xue
后宫术,hou'gong'shu
花晨姬,hua'chen'ji
幻龙九封尽,huan'long'jiu'feng'jin
幻术,huan'shu
黄泉沼,huang'quan'zhao
惠比寿,hui'bi'shou
秽土转生,hui'tu'zhuan'sheng
火龙炎弹,huo'long'yan'tan
火龙之术,huo'long'zhi'shu
火影,huo'ying
火影式耳顺术,huo'ying'shi'er'shun'shu
火之国,huo'zhi'guo
羁绊,ji'ban
激斗忍者大战,ji'dou'ren'zhe'da'zhan
矶抚,ji'fu
吉拉比,ji'la'bi
假寐之术,jia'mei'zhi'shu
角白鲸,jiao'bai'jing
角都,jiao'dou
皆波风,jie'bo'feng
惊门,jing'men
景门,jing'men
究极觉醒,jiu'ji'jue'xing
九尾狐,jiu'wei'hu
卷轴,juan'zhou
军粮丸,jun'liang'wan
君麻吕,jun'ma'lv
卡多,ka'duo
开门,kai'men
堪九郎,kan'jiu'lang
苦无,ku'wu
傀儡术,kui'lei'shu
兰丸,lan'wan
狼牙雪崩术,lang'ya'xue'beng'shu
雷切,lei'qie
雷兽,lei'shou
雷牙,lei'ya
雷影,lei'ying
里莲华,li'lian'hua
李洛克,li'luo'ke
镰鼬之术,lian'you'zhi'shu
裂土转掌,lie'tu'zhuan'zhang
流沙暴流,liu'sha'bao'liu
胧分身术,long'fen'shen'shu
乱雨,luan'yu
轮回眼,lun'hui'yan
螺旋丸,luo'xuan'wan
马基,ma'ji
迈特凯,mai'te'kai
猫又,mao'you
梅雨,mei'yu
梦幻音锁,meng'huan'yin'suo
萌黄,meng'huang
梦火,meng'huo
鸣人之死,ming'ren'zhi'si
冥头,ming'tou
魔镜冰晶,mo'jing'bing'jing
木锭壁,mu'ding'bi
木叶,mu'ye
木叶村的英雄们,mu'ye'cun'de'ying'xiong'men
木叶烈风,mu'ye'lie'feng
木叶丸,mu'ye'wan
木叶英雄,mu'ye'ying'xiong
奈良鹿久,nai'liang'lu'jiu
奈良鹿丸,nai'liang'lu'wan
泥遁,ni'dun
拟人忍法,ni'ren'ren'fa
拟兽忍法,ni'shou'ren'fa
涅舍盘精之术,nie'she'pan'jing'zhi'shu
彭侯,peng'hou
起爆符,qi'bao'fu
旗木卡卡西,qi'mu'ka'ka'xi
旗木朔茂,qi'mu'shuo'mao
千代,qian'dai
千鸟,qian'niao
千鸟流,qian'niao'liu
千杀水翔,qian'sha'shui'xiang
千手柱间,qian'shou'zhu'jian
潜影蛇手,qian'ying'she'shou
秋道丁次,qiu'dao'ding'ci
秋道丁座,qiu'dao'ding'zuo
犬冢花,quan'zhong'hua
犬冢牙,quan'zhong'ya
犬冢爪,quan'zhong'zhao
刃金子铁,ren'jin'zi'tie
忍猫,ren'mao
忍犬,ren'quan
忍术,ren'shu
人柱力,ren'zhu'li
日向雏田,ri'xiang'chu'tian
日向花火,ri'xiang'hua'huo
日向宁次,ri'xiang'ning'ci
日向日差,ri'xiang'ri'cha
日向日足,ri'xiang'ri'zu
肉弹战车,rou'dan'zhan'che
柔拳,rou'quan
萨克,sa'ke
三重罗生门,san'chong'luo'sheng'men
三代火影,san'dai'huo'ying
色诱术,se'you'shu
森乃伊比喜,sen'nai'yi'bi'xi
砂暴大葬,sha'bao'da'zang
砂暴送葬,sha'bao'song'zang
砂缚柩,sha'fu'jiu
沙忍,sha'ren
砂时雨,sha'shi'yu
砂手里剑,sha'shou'li'jian
砂铁界法,sha'tie'jie'fa
砂铁时雨,sha'tie'shi'yu
砂之铠甲,sha'zhi'kai'jia
山城青叶,shan'cheng'qing'ye
山中井野,shan'zhong'jing'ye
山中井野市,shan'zhong'jing'ye'shi
伤门,shang'men
舌齿粘酸,she'chi'zhan'suan
蛇小队,she'xiao'dui
神经扰乱术,shen'jing'rao'luan'shu
身心转换术,shen'xin'zhuan'huan'shu
神月出云,shen'yue'chu'yun
升龙,sheng'long
生门,sheng'men
尸鬼封尽,shi'gui'feng'jin
十全剑,shi'quan'jian
时雨,shi'yu
十指穿弹,shi'zhi'chuan'tan
狮子连弹,shi'zi'lian'tan
守鹤,shou'he
守鹤之盾,shou'he'zhi'dun
手鞠,shou'ju
手里剑,shou'li'jian
手里剑影分身之术,shou'li'jian'ying'fen'shen'zhi'shu
兽人分身,shou'ren'fen'shen
鼠蛟,shu'jiao
双龙暴风雪,shuang'long'bao'feng'xue
双蛇相杀,shuang'she'xiang'sha
双升龙,shuang'sheng'long
水分身,shui'fen'shen
水戸门炎,shui'hu'men'yan
水牢之术,shui'lao'zhi'shu
水木,shui'mu
水翔羽,shui'xiang'yu
水影,shui'ying
水阵壁,shui'zhen'bi
瞬身之术,shun'shen'zhi'shu
四代火影,si'dai'huo'ying
四黑雾阵,si'hei'wu'zhen
死魂之术,si'hun'zhi'shu
四脚之术,si'jiao'zhi'shu
死门,si'men
死亡森林,si'wang'sen'lin
四像封印,si'xiang'feng'yin
四柱家之术,si'zhu'jia'zhi'shu
四柱牢之术,si'zhu'lao'zhi'shu
四紫雾阵,si'zi'wu'zhen
四紫炎阵,si'zi'yan'zhen
桃地再不斩,tao'di'zai'bu'zhan
替身术,ti'shen'shu
体术,ti'shu
天天,tian'tian
天照,tian'zhao
通灵之术,tong'ling'zhi'shu
瞳术,tong'shu
通牙,tong'ya
土牢术,tu'lao'shu
土流壁,tu'liu'bi
土流大河,tu'liu'da'he
土龙弹,tu'long'tan
土陆归来,tu'lu'gui'lai
土影,tu'ying
团藏,tuan'cang
瓦片手里剑,wa'pian'shou'li'jian
万花筒写轮眼,wan'hua'tong'xie'lun'yan
伪装术,wei'zhuang'shu
我爱罗,wo'ai'luo
涡卷鸣门,wo'juan'ming'men
五代火影,wu'dai'huo'ying
乌冬,wu'dong
无幻城之卷,wu'huan'cheng'zhi'juan
雾姬,wu'ji
五行封印,wu'xing'feng'yin
五行解印,wu'xing'jie'yin
雾隐,wu'yin
雾隐术,wu'yin'shu
五指鲛,wu'zhi'jiao
夕日红,xi'ri'hong
仙术,xian'shu
香膦,xiang'lin
象转之术,xiang'zhuan'zhi'shu
小南,xiao'nan
写轮眼,xie'lun'yan
心乱身之术,xin'luan'shen'zhi'shu
休门,xiu'men
修行,xiu'xing
须佐能乎,xu'zuo'neng'hu
须佐之男,xu'zuo'zhi'nan
漩涡鸣人,xuan'wo'ming'ren
漩涡忍传,xuan'wo'ren'chuan
雪姬忍法帖,xue'ji'ren'fa'tie
血继限界,xue'ji'xian'jie
牙狼牙,ya'lang'ya
牙通牙,ya'tong'ya
燕吹雪,yan'chui'xue
岩击,yan'ji
岩宿崩,yan'su'beng
妖狐之衣,yao'hu'zhi'yi
药师兜,yao'shi'dou
夜叉丸,ye'cha'wan
业头,ye'tou
一乐拉面,yi'le'la'mian
伊那里,yi'na'li
引爆符,yin'bao'fu
影分身术,ying'fen'shen'shu
影风车,ying'feng'che
影缚颈之术,ying'fu'jing'zhi'shu
影束缚之术,ying'shu'fu'zhi'shu
影舞叶,ying'wu'ye
鹰小队,ying'xiao'dui
影子模仿术,ying'zi'mo'fang'shu
右近,you'jin
由良,you'liang
油女志乃,you'nv'zhi'nai
油女志尾,you'nv'zhi'wei
语暴之术,yu'bao'zhi'shu
雨露千本,yu'lu'qian'ben
御手洗红豆,yu'shou'xi'hong'dou
宇智波斑,yu'zhi'bo'ban
宇智波带土,yu'zhi'bo'dai'tu
宇智波富岳,yu'zhi'bo'fu'yue
宇智波美琴,yu'zhi'bo'mei'qin
宇智波鼬,yu'zhi'bo'you
宇智波止水,yu'zhi'bo'zhi'shui
宇智波佐助,yu'zhi'bo'zuo'zhu
猿飞,yuan'fei
猿飞阿斯玛,yuan'fei'a'si'ma
猿猴王猿魔,yuan'hou'wang'yuan'mo
月读,yue'du
月光疾风,yue'guang'ji'feng
增血丸,zeng'xue'wan
斩空波,zhan'kong'bo
斩空极波,zhan'kong'ji'bo
斩斩舞,zhan'zhan'wu
者之书,zhe'zhi'shu
针地藏,zhen'di'zang
挣脱术,zheng'tuo'shu
治愈术,zhi'yu'shu
蜘蛛缠丝,zhi'zhu'chan'si
蜘蛛巢开,zhi'zhu'chao'kai
蜘蛛缚,zhi'zhu'fu
蜘蛛粘金,zhi'zhu'zhan'jin
终极英雄,zhong'ji'ying'xiong
终结之谷,zhong'jie'zhi'gu
中忍考试,zhong'ren'kao'shi
重吾,zhong'wu
中心斩首术,zhong'xin'zhan'shou'shu
咒印,zhou'yin
转寝小春,zhuan'qin'xiao'chun
转生仪式,zhuan'sheng'yi'shi
追牙术,zhui'ya'shu
自来也,zi'lai'ye
自然能源,zi'ran'neng'yuan
左近,zuo'jin
佐井,zuo'jing
