阿堵物,a'du'wu
安乐窝,an'le'wo
傲霜枝,ao'shuang'zhi
八不挨,ba'bu'ai
八斗才,ba'dou'cai
八龙荀,ba'long'xun
八下里,ba'xia'li
八翼梦,ba'yi'meng
拜把子,bai'ba'zi
白费蜡,bai'fei'la
摆架子,bai'jia'zi
败家子,bai'jia'zi
百里才,bai'li'cai
白马生,bai'ma'sheng
白日梦,bai'ri'meng
百世师,bai'shi'shi
百事问,bai'shi'wen
半吊子,ban'diao'zi
绊脚石,ban'jiao'shi
半面妆,ban'mian'zhuang
半瓶醋,ban'ping'cu
帮倒忙,bang'dao'mang
抱不平,bao'bu'ping
暴发户,bao'fa'hu
抱佛脚,bao'fo'jiao
保护伞,bao'hu'san
饱眼福,bao'yan'fu
背黑锅,bei'hei'guo
北群空,bei'qun'kong
杯中物,bei'zhong'wu
本草经,ben'cao'jing
鼻凹糖,bi'ao'tang
避风港,bi'feng'gang
闭门羹,bi'men'geng
壁上观,bi'shang'guan
比翼鸟,bi'yi'niao
变鹿马,bian'lu'ma
变色龙,bian'se'long
表面光,biao'mian'guang
并蒂莲,bing'di'lian
并头莲,bing'tou'lian
不成器,bu'cheng'qi
不倒翁,bu'dao'weng
不得命,bu'de'ming
不二门,bu'er'men
步后尘,bu'hou'chen
不肖子,bu'xiao'zi
不旋踵,bu'xuan'zhong
布衣交,bu'yi'jiao
不自量,bu'zi'liang
擦边球,ca'bian'qiu
拆烂污,ca'lan'wu
擦屁股,ca'pi'gu
长安近,chang'an'jin
长安远,chang'an'yuan
唱反调,chang'fan'diao
唱高调,chang'gao'diao
长鲸饮,chang'jing'yin
长流水,chang'liu'shui
长卿病,chang'qing'bing
长舌妇,chang'she'fu
炒冷饭,chao'leng'fan
炒鱿鱼,chao'you'yu
车轮战,che'lun'zhan
吃白食,chi'bai'shi
吃虎胆,chi'hu'dan
池中物,chi'zhong'wu
丑八怪,chou'ba'guai
出锋头,chu'feng'tou
出风头,chu'feng'tou
杵臼交,chu'jiu'jiao
出气筒,chu'qi'tong
初生犊,chu'sheng'du
出头鸟,chu'tou'niao
出洋相,chu'yang'xiang
穿窬盗,chuan'yu'dao
吹鼓手,chui'gu'shou
吹牛皮,chui'niu'pi
醋坛子,cu'tan'zi
催命鬼,cui'ming'gui
错安头,cuo'an'tou
错认水,cuo'ren'shui
错支剌,cuo'zhi'la
错煮水,cuo'zhu'shui
打边鼓,da'bian'gu
打光棍,da'guang'gun
大锅饭,da'guo'fan
打擂台,da'lei'tai
打埋伏,da'mai'fu
打前站,da'qian'zhan
打秋风,da'qiu'feng
大手笔,da'shou'bi
打死虎,da'si'hu
打头风,da'tou'feng
打圆场,da'yuan'chang
