挨挫,ai'cuo
安居,an'ju
百米大道,bai'mi'da'dao
半拉子,ban'la'zi
板子,ban'zi
包逗,bao'dou
保急,bao'ji
宝塔山,bao'ta'shan
毕咧,bi'lie
鼻塌憨水,bi'ta'han'shui
冰溜子,bing'liu'zi
不灵醒,bu'ling'xing
擦们,ca'men
茬戏,cha'xi
成松蓝,cheng'song'lan
吃蓝么,chi'lan'me
吃了么,chi'liao'me
串可蓝,chuan'ke'lan
纯粹,chun'cui
瓷锤子,ci'chui'zi
瓷马二愣,ci'ma'er'leng
瓷嘛二楞,ci'ma'er'leng
瓷实,ci'shi
瓷怂,ci'song
打发娃,da'fa'wa
单蹦人,dan'beng'ren
道擦,dao'ca
道仓,dao'cang
倒势,dao'shi
电壶,dian'hu
奠酒,dian'jiu
丢吨,diu'dun
丢盹,diu'dun
都成松蓝,dou'cheng'song'lan
兜兜,dou'dou
逗火,dou'huo
毒子,du'zi
多或,duo'huo
恶水,e'shui
二道该,er'dao'gai
二杆子,er'gan'zi
二糊糊,er'hu'hu
二马路,er'ma'lu
二球,er'qiu
二庄科,er'zhuang'ke
浮起,fu'qi
嘎达马西,ga'da'ma'xi
旮旯,ga'la
擀面皮,gan'mian'pi
高四五,gao'si'wu
搞笑,gao'xiao
咯戳,ge'chuo
圪蹴,ge'cu
圪蹴哈,ge'cu'ha
圪圪拧拧,ge'ge'ning'ning
革旧哈,ge'jiu'ha
各囊,ge'nang
格西打晃,ge'xi'da'huang
瓜瓜,gua'gua
刮迷失念,gua'mi'shi'nian
刮批,gua'pi
瓜熊瓷锤,gua'xiong'ci'chui
哈七搅,ha'qi'jiao
哈事,ha'shi
哈水,ha'shui
哈说,ha'shuo
哈松,ha'song
害哈勒,hai'ha'le
憨儿,han'er
憨流少势,han'liu'shao'shi
航标,hang'biao
好蓝,hao'lan
好蓝么,hao'lan'me
好利来,hao'li'lai
好事情,hao'shi'qing
黑天打洞,hei'tian'da'dong
哄人,hong'ren
红树林,hong'shu'lin
红堂瓜水,hong'tang'gua'shui
后生,hou'sheng
胡吹冒撂,hu'chui'mao'liao
胡凑,hu'cou
唿噜,hu'lu
胡谝,hu'pian
胡砌,hu'qi
挥笔,hui'bi
灰怂,hui'song
夹夹,jia'jia
煎饼,jian'bing
贱货,jian'huo
煎水,jian'shui
叫驴,jiao'lv
就那么个,jiu'na'me'ge
局劲,ju'jing
尻门子,kao'men'zi
尻子,kao'zi
可儿了,ke'er'le
刻立马嚓,ke'li'ma'cha
啦当,la'dang
拉话,la'hua
拉里了,la'li'le
烂货,lan'huo
拦羊,lan'yang
涝池,lao'chi
牢饭,lao'fan
老家亲,lao'jia'qin
老蛙,lao'wa
老碗,lao'wan
嘹咋咧,liao'za'lie
撩咂咧,liao'za'lie
灵醒,ling'xing
驴哈的,lv'ha'de
麻达,ma'da
马家湾,ma'jia'wan
