阿里了,a'li'le
安国寺,an'guo'si
安监处,an'jian'chu
安阳路,an'yang'lu
安业,an'ye
吧么,ba'me
八一街,ba'yi'jie
白龙山,bai'long'shan
白人了,bai'ren'le
被人了,bei'ren'le
北武当,bei'wu'dang
别告,bie'gao
不顶事,bu'ding'shi
不对的了,bu'dui'de'le
不敢么,bu'gan'me
不告,bu'gao
不告你,bu'gao'ni
不告我,bu'gao'wo
不好活,bu'hao'huo
不机密,bu'ji'mi
不加的,bu'jia'de
不烂子,bu'lan'zi
不了么,bu'le'me
不喽,bu'lou
不么,bu'me
不拿的,bu'na'de
不能么,bu'neng'me
不念书,bu'nian'shu
不说理,bu'shuo'li
不下井,bu'xia'jing
不行行,bu'xing'xing
补一年,bu'yi'nian
不知道了么,bu'zhi'dao'le'me
猜不见,cai'bu'jian
蔡家沟,cai'jia'gou
蔡家崖,cai'jia'ya
猜见,cai'jian
采掘,cai'jue
采空区,cai'kong'qu
采煤机,cai'mei'ji
曹村,cao'cun
曹家山,cao'jia'shan
炒大米,chao'da'mi
成村,cheng'cun
成家庄,cheng'jia'zhuang
城里了,cheng'li'le
城庄,cheng'zhuang
吃不行,chi'bu'xing
吃大米,chi'da'mi
吃饭来没,chi'fan'lai'mei
吃了饭啦,chi'le'fan'la
吃啥来,chi'sha'lai
吃甚了,chi'shen'le
吃什么来,chi'shen'me'lai
崇义园,chong'yi'yuan
臭撇,chou'pie
丑小,chou'xiao
串串叔叔,chuan'chuan'shu'shu
串去,chuan'qu
蠢笑,chun'xiao
从太原,cong'tai'yuan
窜吧,cuan'ba
窜的,cuan'de
窜个,cuan'ge
窜会,cuan'hui
窜么,cuan'me
窜去,cuan'qu
村里了,cun'li'le
打蛋蛋,da'dan'dan
大暖,da'nuan
大土河,da'tu'he
大孝堡,da'xiao'bao
大众路,da'zhong'lu
呆不行,dai'bu'xing
代教,dai'jiao
蛋蛋车,dan'dan'che
到离石,dao'li'shi
到临汾,dao'lin'fen
到吕梁,dao'lv'liang
到山西,dao'shan'xi
到太原,dao'tai'yuan
倒歇,dao'xie
到谢谢,dao'xie'xie
等不上,deng'bu'shang
等不行,deng'bu'xing
等不行了,deng'bu'xing'le
等的吧,deng'de'ba
等的哈,deng'de'ha
等你的了,deng'ni'de'le
等你着,deng'ni'zhe
等我着,deng'wo'zhe
地测,di'ce
地测科,di'ce'ke
第二客厅,di'er'ke'ting
电车子,dian'che'zi
点瞌睡,dian'ke'shui
东方百合,dong'fang'bai'he
东南街,dong'nan'jie
东一环,dong'yi'huan
都告你,dou'gao'ni
逗你了,dou'ni'le
杜村,du'cun
独自家,du'zi'jia
段纯,duan'chun
段村,duan'cun
兑煤,dui'mei
对着了,dui'zhe'le
多会了,duo'hui'le
多了不,duo'le'bu
朵以,duo'yi
嗯么,en'me
二宝贝,er'bao'bei
二人台,er'ren'tai
发恶心,fa'e'xin
发个心,fa'ge'xin
防暴队,fang'bao'dui
放几天了,fang'ji'tian'le
方山,fang'shan
方山县,fang'shan'xian
放星期,fang'xing'qi
防治水,fang'zhi'shui
汾河,fen'he
汾酒,fen'jiu
汾酒厂,fen'jiu'chang
汾阳,fen'yang
汾阳的,fen'yang'de
汾阳了,fen'yang'le
汾阳市,fen'yang'shi
汾阳王,fen'yang'wang
汾阳医院,fen'yang'yi'yuan
凤城镇,feng'cheng'zhen
凤山底,feng'shan'di
冯霞,feng'xia
服不住,fu'bu'zhu
复习班,fu'xi'ban
副斜井,fu'xie'jing
该是么,gai'shi'me
该是说,gai'shi'shuo
该是说么,gai'shi'shuo'me
干嘛了么,gan'ma'le'me
干嘛去来,gan'ma'qu'lai
干什么来了,gan'shen'me'lai'le
矸石,gan'shi
刚买下,gang'mai'xia
刚睡下,gang'shui'xia
告不告,gao'bu'gao
高车,gao'che
告的,gao'de
告告,gao'gao
告告我,gao'gao'wo
告过,gao'guo
告过你,gao'guo'ni
高家沟,gao'jia'gou
告你吧,gao'ni'ba
告你个,gao'ni'ge
告你个事,gao'ni'ge'shi
告你来,gao'ni'lai
告你了,gao'ni'le
告你么,gao'ni'me
告你说,gao'ni'shuo
告我啊,gao'wo'a
告我来,gao'wo'lai
告我了,gao'wo'le
告我么,gao'wo'me
告我说,gao'wo'shuo
告下我,gao'xia'wo
高阳矿,gao'yang'kuang
告一下,gao'yi'xia
圪洞,ge'dong
圪台,ge'tai
跟前的,gen'qian'de
跟前了,gen'qian'le
跟上你,gen'shang'ni
跟谁了,gen'shui'le
耿竹龙,geng'zhu'long
供应科,gong'ying'ke
工作面,gong'zuo'mian
够不的,gou'bu'de
姑舅,gu'jiu
鼓楼北,gu'lou'bei
鼓楼底,gu'lou'di
寡吧,gua'ba
寡的,gua'de
寡话,gua'hua
刮墙,gua'qiang
卦山,gua'shan
管不下,guan'bu'xia
广胜寺,guang'sheng'si
贵士,gui'shi
鬼说,gui'shuo
鬼说吧,gui'shuo'ba
郭家山,guo'jia'shan
哈说了,ha'shuo'le
害不哈,hai'bu'ha
害不开,hai'bu'kai
还不睡觉了,hai'bu'shui'jiao'le
还不睡啦,hai'bu'shui'la
还不睡了,hai'bu'shui'le
害不下,hai'bu'xia
还不走了,hai'bu'zou'le
还忙了,hai'mang'le
孩么,hai'me
还么啦,hai'me'la
孩们,hai'men
还念书,hai'nian'shu
还上学了,hai'shang'xue'le
还睡得了,hai'shui'de'le
还疼了,hai'teng'le
还小了,hai'xiao'le
还有了,hai'you'le
还有人了,hai'you'ren'le
还有谁了,hai'you'shui'le
还在了,hai'zai'le
还在太原,hai'zai'tai'yuan
还早了么,hai'zao'le'me
巷道,hang'dao
好好念,hao'hao'nian
好活,hao'huo
好活的,hao'huo'de
好活了,hao'huo'le
好看了不,hao'kan'le'bu
好啥了,hao'sha'le
好呀呀,hao'ya'ya
好爷爷,hao'ye'ye
贺昌,he'chang
河底,he'di
喝饭,he'fan
贺家沟,he'jia'gou
和谁聊了,he'shei'liao'le
和谁了,he'shui'le
呵呀,he'ya
黑间,hei'jian
黑龙关,hei'long'guan
黑楼,hei'lou
黑小,hei'xiao
洪洞,hong'tong
侯鬼,hou'gui
后生们,hou'sheng'men
胡说了吧,hu'shuo'le'ba
花名表,hua'ming'biao
黄家沟,huang'jia'gou
回采,hui'cai
回村,hui'cun
回村了,hui'cun'le
回村里,hui'cun'li
回的啦,hui'de'la
回风,hui'feng
回风巷,hui'feng'xiang
慧军,hui'jun
回离石,hui'li'shi
回柳林,hui'liu'lin
回太原,hui'tai'yuan
会校,hui'xiao
回孝义,hui'xiao'yi
回也,hui'ye
茴子白,hui'zi'bai
火的我,huo'de'wo
火线号,huo'xian'hao
霍州市,huo'zhou'shi
急不行,ji'bu'xing
几点回来了,ji'dian'hui'lai'le
几点去了,ji'dian'qu'le
几点下班了,ji'dian'xia'ban'le
几点走了,ji'dian'zou'le
积极家,ji'ji'jia
疾控店,ji'kong'dian
吉泰,ji'tai
机尾,ji'wei
冀周村,ji'zhou'cun
家沟,jia'gou
家家利,jia'jia'li
贾家庄,jia'jia'zhuang
家了么,jia'le'me
夹肉饼,jia'rou'bing
佳香基,jia'xiang'ji
建东街,jian'dong'jie
建管处,jian'guan'chu
见你来,jian'ni'lai
见我来,jian'wo'lai
建西街,jian'xi'jie
绞车,jiao'che
交城,jiao'cheng
交城的,jiao'cheng'de
交城了,jiao'cheng'le
交城县,jiao'cheng'xian
叫喊,jiao'han
焦化厂,jiao'hua'chang
交口,jiao'kou
交口的,jiao'kou'de
交口了,jiao'kou'le
交口县,jiao'kou'xian
焦煤,jiao'mei
借不下,jie'bu'xia
接孩,jie'hai
接送车,jie'song'che
介休,jie'xiu
介休的,jie'xiu'de
介休了,jie'xiu'le
金家庄,jin'jia'zhuang
晋剧,jin'ju
晋中学院,jin'zhong'xue'yuan
精干,jing'gan
精煤,jing'mei
井下,jing'xia
久安路,jiu'an'lu
就不告,jiu'bu'gao
就不告你,jiu'bu'gao'ni
旧广场,jiu'guang'chang
揪片,jiu'pian
就是个那,jiu'shi'ge'na
就是么,jiu'shi'me
就是说了么,jiu'shi'shuo'le'me
就是说么,jiu'shi'shuo'me
九思,jiu'si
居义村,ju'yi'cun
掘进,jue'jin
爵士岛,jue'shi'dao
军渡,jun'du
开栅,kai'shan
开心宇,kai'xin'yu
看不哈,kan'bu'ha
看不行,kan'bu'xing
看歌舞,kan'ge'wu
看见来,kan'jian'lai
看你了么,kan'ni'le'me
看说的,kan'shuo'de
看下了,kan'xia'le
康家沟,kang'jia'gou
考不下,kao'bu'xia
可不是了,ke'bu'shi'le
磕打,ke'da
苛岚,ke'lan
岢临,ke'lin
可是家,ke'shi'jia
瞌睡的,ke'shui'de
瞌睡的不行,ke'shui'de'bu'xing
瞌睡的我,ke'shui'de'wo
瞌睡啦,ke'shui'la
瞌睡了不,ke'shui'le'bu
瞌睡了么,ke'shui'le'me
瞌睡死啦,ke'shui'si'la
肯定么,ken'ding'me
快不用,kuai'bu'yong
会计之星,kuai'ji'zhi'xing
快了不,kuai'le'bu
快了么,kuai'le'me
快了没,kuai'le'mei
快死的啦,kuai'si'de'la
快死的了,kuai'si'de'le
款了么,kuan'le'me
矿井,kuang'jing
矿领导,kuang'ling'dao
矿上,kuang'shang
矿上的,kuang'shang'de
矿上了,kuang'shang'le
矿长,kuang'zhang
来吧么,lai'ba'me
来汾阳,lai'fen'yang
来福区,lai'fu'qu
来离石,lai'li'shi
来临汾,lai'lin'fen
来柳林,lai'liu'lin
来山西,lai'shan'xi
来我看,lai'wo'kan
赖小,lai'xiao
来孝义,lai'xiao'yi
岚县,lan'xian
老拜,lao'bai
老爷山,lao'ye'shan
劳资科,lao'zi'ke
了不了,le'bu'liao
了睡啦,le'shui'la
冷了不,leng'le'bu
厉害了么,li'hai'le'me
李家沟,li'jia'gou
李家湾,li'jia'wan
李家庄,li'jia'zhuang
离石,li'shi
离石吧,li'shi'ba
离石的,li'shi'de
离石话,li'shi'hua
离石了,li'shi'le
离石区,li'shi'qu
联盛,lian'sheng
梁家庄,liang'jia'zhuang
撩逗,liao'dou
临汾,lin'fen
临汾的,lin'fen'de
临汾了,lin'fen'le
临汾市,lin'fen'shi
林家坪,lin'jia'ping
临县,lin'xian
临县的,lin'xian'de
领导组,ling'dao'zu
刘家会,liu'jia'hui
刘家山,liu'jia'shan
刘家湾,liu'jia'wan
刘家庄,liu'jia'zhuang
柳林,liu'lin
柳林吧,liu'lin'ba
柳林的,liu'lin'de
柳林了,liu'lin'le
柳林县,liu'lin'xian
柳林镇,liu'lin'zhen
楼东,lou'dong
吕梁,lv'liang
吕梁的,lv'liang'de
吕梁地区,lv'liang'di'qu
吕梁了,lv'liang'le
吕梁山,lv'liang'shan
吕梁市,lv'liang'shi
吕梁学院,lv'liang'xue'yuan
马茂庄,ma'mao'zhuang
买的吃,mai'de'chi
麦肯基,mai'ken'ji
埋人了,mai'ren'le
买上个,mai'shang'ge
买下吧,mai'xia'ba
买下的,mai'xia'de
买下拉,mai'xia'la
买下了,mai'xia'le
买下了吗,mai'xia'le'ma
忙的你,mang'de'ni
忙了不,mang'le'bu
忙了么,mang'le'me
忙求,mang'qiu
忙啥了,mang'sha'le
忙甚,mang'shen
忙什了,mang'shen'le
忙什么了,mang'shen'me'le
毛家庄,mao'jia'zhuang
毛你,mao'ni
锚索,mao'suo
毛我,mao'wo
么拉,me'la
么做,me'zuo
么做的,me'zuo'de
煤层,mei'ceng
煤尘,mei'chen
煤电,mei'dian
